biomarker,theta_mean,theta_std,phi_mean,phi_std
MMSE,22.0,2.6666666666666665,28.0,0.6666666666666666
ADAS,-20.0,4.0,-6.0,1.3333333333333333
AB,150.0,16.666666666666668,250.0,50.0
P-Tau,-50.0,33.333333333333336,-25.0,16.666666666666668
HIP-FCI,-5.0,6.666666666666667,5.0,1.6666666666666667
HIP-GMI,0.3,0.3333333333333333,0.4,0.2333333333333333
AVLT-Sum,20.0,6.666666666666667,40.0,15.0
PCC-FCI,5.0,3.3333333333333335,12.0,4.0
FUS-GMI,0.5,0.06666666666666667,0.6,0.06666666666666667
FUS-FCI,-20.0,6.0,-10.0,3.3333333333333335
