iteration,all_current_accepted_likelihoods
1,-964.0082175147872
2,-943.8850362530777
3,-928.0458120920562
4,-927.4170427182892
5,-927.4170427182892
6,-927.4170427182892
7,-927.4170427182892
8,-927.4170427182892
9,-927.4170427182892
10,-927.4170427182892
11,-920.1791664584099
12,-919.1523452377081
13,-895.7118839239636
14,-881.5032441718862
15,-878.3784969650511
16,-878.3784969650511
17,-878.3784969650511
18,-878.3784969650511
19,-878.3784969650511
20,-878.3784969650511
21,-878.3784969650511
22,-878.3784969650511
23,-878.3784969650511
24,-878.3784969650511
25,-878.3784969650511
26,-878.3784969650511
27,-878.3784969650511
28,-878.3784969650511
29,-870.2237445943795
30,-870.2237445943795
31,-870.2237445943795
32,-870.2237445943795
33,-870.2237445943795
34,-870.2237445943795
35,-870.2237445943795
36,-870.2237445943795
37,-870.2237445943795
38,-870.2237445943795
39,-870.2237445943795
40,-870.2237445943795
41,-870.2237445943795
42,-870.2237445943795
43,-870.2237445943795
44,-870.2237445943795
45,-870.2237445943795
46,-870.2237445943795
47,-870.2237445943795
48,-870.2237445943795
49,-870.2237445943795
50,-870.2237445943795
51,-870.2237445943795
52,-870.2237445943795
53,-870.2237445943795
54,-870.2237445943795
55,-870.2237445943795
56,-870.2237445943795
57,-870.2237445943795
58,-870.2237445943795
59,-870.2237445943795
60,-870.2237445943795
61,-870.2237445943795
62,-870.2237445943795
63,-870.2237445943795
64,-870.2237445943795
65,-870.2237445943795
66,-870.2237445943795
67,-870.2237445943795
68,-870.2237445943795
69,-870.2237445943795
70,-870.2237445943795
71,-870.2237445943795
72,-870.2237445943795
73,-870.2237445943795
74,-870.2237445943795
75,-870.2237445943795
76,-870.2237445943795
77,-870.2237445943795
78,-870.2237445943795
79,-870.2237445943795
80,-870.2237445943795
81,-870.2237445943795
82,-870.2237445943795
83,-870.2237445943795
84,-870.2237445943795
85,-870.2237445943795
86,-870.2237445943795
87,-870.2237445943795
88,-870.2237445943795
89,-870.2237445943795
90,-870.2237445943795
91,-870.2237445943795
92,-870.2237445943795
93,-870.2237445943795
94,-870.2237445943795
95,-870.2237445943795
96,-870.2237445943795
97,-870.2237445943795
98,-870.2237445943795
99,-870.2237445943795
100,-870.2237445943795
101,-870.2237445943795
102,-870.2237445943795
103,-870.2237445943795
104,-870.2237445943795
105,-870.2237445943795
106,-870.2237445943795
107,-870.2237445943795
108,-870.2237445943795
109,-871.0942156127222
110,-871.0942156127222
111,-871.0942156127222
112,-871.0942156127222
113,-871.0942156127222
114,-871.0942156127222
115,-871.0942156127222
116,-871.0942156127222
117,-871.0942156127222
118,-871.0942156127222
119,-871.0942156127222
120,-871.0942156127222
121,-871.0942156127222
122,-871.0942156127222
123,-871.0942156127222
124,-871.0942156127222
125,-871.0942156127222
126,-871.0942156127222
127,-871.0942156127222
128,-871.0942156127222
129,-871.0942156127222
130,-871.0942156127222
131,-871.0942156127222
132,-871.0942156127222
133,-871.0942156127222
134,-871.0942156127222
135,-871.0942156127222
136,-871.0942156127222
137,-871.0942156127222
138,-871.0942156127222
139,-871.0942156127222
140,-871.0942156127222
141,-871.0942156127222
142,-871.0942156127222
143,-871.0942156127222
144,-871.0942156127222
145,-871.0942156127222
146,-871.0942156127222
147,-871.0942156127222
148,-871.0942156127222
149,-871.0942156127222
150,-871.0942156127222
151,-871.0942156127222
152,-871.0942156127222
153,-871.0942156127222
154,-871.0942156127222
155,-871.0942156127222
156,-871.0942156127222
157,-871.0942156127222
158,-871.0942156127222
159,-871.0942156127222
160,-871.0942156127222
161,-871.0942156127222
162,-871.0942156127222
163,-871.0942156127222
164,-871.0942156127222
165,-871.0942156127222
166,-871.0942156127222
