iteration,all_current_accepted_likelihoods
1,-1201.3582396684242
2,-918.3528313946198
3,-866.8494710877586
4,-866.8494710877586
5,-866.8494710877586
6,-866.8494710877586
7,-866.8494710877586
8,-866.8494710877586
9,-866.8494710877586
10,-861.2591452829377
11,-862.0090391202681
12,-862.0090391202681
13,-862.0090391202681
14,-862.0090391202681
15,-862.0090391202681
16,-862.0090391202681
17,-862.0090391202681
18,-862.0090391202681
19,-862.0090391202681
20,-862.0090391202681
21,-862.0090391202681
22,-862.0090391202681
23,-862.0090391202681
24,-862.0090391202681
25,-860.3912886565694
26,-859.0405529441698
27,-859.0405529441698
28,-859.0405529441698
29,-859.0405529441698
30,-859.0405529441698
31,-859.0405529441698
32,-859.0405529441698
33,-859.6828177350718
34,-860.6752787087186
35,-854.5055056442613
36,-854.5055056442613
37,-854.5055056442613
38,-854.5055056442613
39,-854.5055056442613
40,-854.5055056442613
41,-854.5055056442613
42,-854.5055056442613
43,-854.5055056442613
44,-854.5055056442613
45,-854.5055056442613
46,-854.5055056442613
47,-854.5055056442613
48,-854.5055056442613
49,-854.5055056442613
50,-854.5055056442613
51,-854.5055056442613
52,-854.5055056442613
53,-854.5055056442613
54,-854.5055056442613
55,-854.5055056442613
56,-854.5055056442613
57,-854.5055056442613
58,-854.5055056442613
59,-854.5055056442613
60,-854.5055056442613
61,-854.5055056442613
62,-854.5055056442613
63,-854.5055056442613
64,-854.5055056442613
65,-854.5055056442613
66,-854.5055056442613
67,-854.5055056442613
68,-854.5055056442613
69,-854.5055056442613
70,-854.5055056442613
71,-854.5055056442613
72,-854.5055056442613
73,-854.5055056442613
74,-854.5055056442613
75,-854.5055056442613
76,-854.5055056442613
77,-854.5055056442613
78,-854.5055056442613
79,-854.5055056442613
80,-854.5055056442613
81,-854.5055056442613
82,-854.5055056442613
83,-854.5055056442613
84,-854.5055056442613
85,-854.5055056442613
86,-854.5055056442613
87,-854.5055056442613
88,-855.0006849598082
89,-853.8741790195058
90,-853.8741790195058
91,-853.8741790195058
92,-853.8741790195058
93,-853.8741790195058
94,-853.8741790195058
95,-853.8741790195058
96,-853.8741790195058
97,-853.8741790195058
98,-853.8741790195058
99,-853.8741790195058
100,-853.8741790195058
101,-853.8741790195058
102,-853.8741790195058
103,-853.8741790195058
104,-853.8741790195058
105,-853.8741790195058
106,-853.8741790195058
107,-853.8741790195058
108,-853.8741790195058
109,-853.8741790195058
110,-853.8741790195058
111,-853.8741790195058
112,-853.8741790195058
113,-853.8741790195058
