iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,5,2,1,3,4
2,5,2,3,1,4
3,5,2,3,1,4
4,4,2,3,1,5
5,5,2,3,4,1
6,5,1,3,2,4
7,1,2,3,5,4
8,1,2,3,5,4
9,5,2,3,1,4
10,5,2,3,1,4
11,5,3,2,1,4
12,1,3,2,5,4
13,5,3,2,4,1
14,5,3,2,1,4
15,5,3,4,1,2
16,5,2,3,1,4
17,5,3,4,1,2
18,5,4,2,1,3
19,5,2,3,1,4
20,5,3,4,1,2
21,2,3,5,1,4
22,5,3,2,1,4
23,5,3,1,2,4
24,5,3,2,1,4
25,5,3,2,1,4
26,5,3,2,1,4
27,1,3,2,5,4
28,5,3,2,1,4
29,5,4,2,1,3
30,2,3,5,1,4
31,5,3,2,1,4
32,5,3,1,2,4
33,5,3,2,1,4
34,5,3,1,2,4
35,5,3,1,2,4
36,5,3,1,4,2
37,3,5,1,2,4
38,5,3,2,1,4
39,5,3,1,2,4
40,5,3,1,2,4
41,5,3,4,2,1
42,5,3,1,2,4
43,3,5,1,2,4
44,5,1,3,2,4
45,5,3,1,2,4
46,5,3,1,2,4
47,5,4,1,2,3
48,3,5,1,2,4
49,5,3,1,2,4
50,5,3,1,2,4
51,1,3,5,2,4
52,3,5,1,2,4
53,5,4,1,2,3
54,5,1,3,2,4
55,5,3,1,2,4
56,2,3,1,5,4
57,2,3,1,5,4
58,5,3,1,2,4
59,5,4,1,2,3
60,5,3,1,2,4
61,1,3,5,2,4
62,5,3,1,2,4
63,3,5,1,2,4
64,1,3,5,2,4
65,5,3,1,2,4
66,5,2,1,3,4
67,5,3,2,1,4
68,5,3,1,2,4
69,5,3,1,2,4
70,4,3,1,2,5
71,5,3,1,2,4
72,5,3,1,2,4
73,2,3,1,5,4
74,1,3,5,2,4
75,5,3,1,2,4
76,5,3,1,2,4
77,2,3,1,5,4
78,5,3,1,2,4
79,5,1,3,2,4
80,5,3,4,2,1
81,5,3,1,2,4
82,5,3,1,2,4
83,4,3,1,2,5
84,5,1,3,2,4
85,5,3,1,2,4
