iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,5,2,1,4,3
2,5,2,1,4,3
3,4,2,1,5,3
4,5,2,3,4,1
5,5,2,1,4,3
6,5,2,1,4,3
7,5,2,1,4,3
8,5,2,1,4,3
9,3,2,1,4,5
10,5,2,1,4,3
11,5,2,1,4,3
12,4,2,1,5,3
13,2,5,1,4,3
14,5,2,1,4,3
15,5,3,1,4,2
16,5,2,1,4,3
17,5,2,1,4,3
18,5,2,4,1,3
19,5,2,1,4,3
20,5,2,1,4,3
21,5,2,1,4,3
22,5,2,1,4,3
23,5,2,1,4,3
24,5,2,4,1,3
25,5,2,1,4,3
26,5,2,3,4,1
27,5,4,1,2,3
28,5,2,1,4,3
29,5,2,1,4,3
30,5,2,3,4,1
31,5,2,1,3,4
32,5,2,1,4,3
33,5,2,1,4,3
34,5,2,4,1,3
35,4,2,1,5,3
36,5,2,1,4,3
37,5,2,1,4,3
38,3,2,1,4,5
39,5,3,1,4,2
40,5,2,1,4,3
41,5,2,1,4,3
42,3,2,1,4,5
43,1,2,5,4,3
44,1,2,5,4,3
45,4,2,5,1,3
46,1,2,5,4,3
47,1,2,5,4,3
48,5,2,1,4,3
49,5,2,1,4,3
50,1,2,5,4,3
51,1,2,5,4,3
52,4,2,5,1,3
53,1,2,5,4,3
54,1,2,5,4,3
55,1,4,5,2,3
56,1,4,5,2,3
57,1,3,5,2,4
58,2,4,5,1,3
59,1,4,5,2,3
60,1,3,5,2,4
61,1,4,5,2,3
62,1,5,4,2,3
63,1,4,5,2,3
64,4,1,5,2,3
65,4,1,5,2,3
66,1,4,5,2,3
67,1,4,5,2,3
68,1,3,5,2,4
69,1,4,2,5,3
70,1,4,5,2,3
71,1,4,5,2,3
72,1,2,5,4,3
73,1,4,5,2,3
74,1,2,5,4,3
75,1,4,5,2,3
76,1,5,4,2,3
77,1,3,5,2,4
78,1,4,3,2,5
79,1,4,5,2,3
80,1,4,5,2,3
81,2,4,5,1,3
82,1,4,5,2,3
83,1,4,5,2,3
84,1,4,5,2,3
85,1,4,5,2,3
86,1,5,4,2,3
87,1,4,5,2,3
88,1,4,5,2,3
89,1,4,2,5,3
90,2,4,5,1,3
91,1,4,3,2,5
92,1,4,5,3,2
93,1,4,5,2,3
94,1,2,5,4,3
95,1,4,3,2,5
96,5,4,1,2,3
97,1,4,5,2,3
98,1,4,5,2,3
99,4,1,5,2,3
100,1,4,5,2,3
101,1,4,5,2,3
102,1,4,5,2,3
103,1,4,2,5,3
104,3,4,5,2,1
105,1,3,5,2,4
106,1,4,5,2,3
107,5,4,1,2,3
108,1,4,3,2,5
109,1,4,5,2,3
110,1,4,5,2,3
111,1,4,2,5,3
112,1,2,5,4,3
113,1,4,5,3,2
114,1,4,5,2,3
115,1,5,4,2,3
116,1,4,2,5,3
117,1,4,5,2,3
118,1,4,5,2,3
119,1,4,5,2,3
120,1,4,5,2,3
121,1,4,5,2,3
122,1,4,5,2,3
123,1,4,5,2,3
124,1,4,5,2,3
125,2,4,5,1,3
126,1,4,3,2,5
127,3,4,5,2,1
128,2,4,5,1,3
129,1,4,5,2,3
130,1,4,5,2,3
131,1,4,5,2,3
132,1,4,5,2,3
133,1,4,5,2,3
134,1,4,5,2,3
135,1,4,5,2,3
136,1,4,5,2,3
137,3,4,5,2,1
138,4,1,5,2,3
139,4,1,5,2,3
140,1,4,5,2,3
141,1,4,5,2,3
142,1,4,5,2,3
143,2,4,5,1,3
144,1,3,5,2,4
145,1,4,5,2,3
146,1,4,2,5,3
147,1,4,5,2,3
148,1,2,5,4,3
149,1,4,5,2,3
150,1,4,5,2,3
151,1,4,5,2,3
152,3,4,5,2,1
153,1,4,5,2,3
154,1,3,5,2,4
155,3,4,5,2,1
156,5,4,1,2,3
157,2,4,5,1,3
158,1,4,5,2,3
159,1,4,5,2,3
160,1,5,4,2,3
161,1,4,5,2,3
162,1,5,4,2,3
163,1,4,5,2,3
164,1,4,5,2,3
165,1,5,4,2,3
166,1,4,5,2,3
167,1,4,5,2,3
168,1,4,5,2,3
169,1,4,5,2,3
170,1,4,3,2,5
171,1,4,2,5,3
172,1,4,5,2,3
173,1,4,5,2,3
174,1,4,5,2,3
175,1,3,5,2,4
176,1,4,5,2,3
177,1,2,5,4,3
178,1,5,4,2,3
179,3,4,5,2,1
180,1,4,2,5,3
181,1,2,5,4,3
182,4,1,5,2,3
183,1,4,2,5,3
184,5,4,1,2,3
185,1,4,5,2,3
186,1,4,5,2,3
187,1,4,5,2,3
188,1,4,3,2,5
189,1,4,5,2,3
190,1,4,5,2,3
191,1,4,5,2,3
192,4,1,5,2,3
193,1,4,3,2,5
194,1,4,5,2,3
195,4,1,5,2,3
196,1,4,5,2,3
197,1,3,5,2,4
198,1,4,5,3,2
199,1,5,4,2,3
200,1,4,5,2,3
201,4,1,5,2,3
202,1,4,5,2,3
203,3,4,5,2,1
204,4,1,5,2,3
205,1,2,5,4,3
206,1,4,5,2,3
207,1,4,5,2,3
208,1,4,5,3,2
209,1,2,5,4,3
210,1,4,5,2,3
211,1,4,5,2,3
212,1,4,5,2,3
213,1,4,5,2,3
214,1,4,5,2,3
215,1,4,5,2,3
216,1,5,4,2,3
217,3,4,5,2,1
218,1,4,5,2,3
219,1,4,5,2,3
220,1,4,5,2,3
221,3,4,5,2,1
222,1,4,5,2,3
223,1,4,2,5,3
224,1,4,5,2,3
225,1,4,5,2,3
226,1,2,5,4,3
227,1,4,5,2,3
228,1,3,5,2,4
229,1,4,5,2,3
230,1,4,5,2,3
231,1,4,5,2,3
232,1,4,5,2,3
233,1,4,5,2,3
234,1,4,5,2,3
235,1,4,5,2,3
236,1,4,5,2,3
237,1,4,5,2,3
238,1,3,5,2,4
239,1,4,5,2,3
240,1,4,2,5,3
241,1,4,5,2,3
242,1,4,2,5,3
243,1,4,3,2,5
244,1,4,5,3,2
245,1,3,5,2,4
246,1,4,5,2,3
247,1,4,5,3,2
248,1,4,5,2,3
249,1,4,5,2,3
250,1,4,5,2,3
251,1,4,5,2,3
252,1,4,5,2,3
253,3,4,5,2,1
254,2,4,5,1,3
255,1,4,5,2,3
256,4,1,5,2,3
257,1,4,5,2,3
258,1,3,5,2,4
259,5,4,1,2,3
260,1,4,3,2,5
261,1,4,5,2,3
262,1,3,5,2,4
263,1,4,5,2,3
264,1,2,5,4,3
265,1,4,5,2,3
266,1,4,3,2,5
267,1,4,3,2,5
268,1,4,5,2,3
269,1,4,5,2,3
270,1,4,5,2,3
271,2,4,5,1,3
272,2,4,5,1,3
273,1,4,5,2,3
274,4,1,5,2,3
275,1,5,4,2,3
276,1,4,5,2,3
277,1,4,5,2,3
278,2,4,5,1,3
279,1,5,4,2,3
280,1,3,5,2,4
281,1,4,5,2,3
282,1,4,5,2,3
283,1,3,5,2,4
284,1,4,5,2,3
285,4,1,5,2,3
286,1,4,5,2,3
287,1,5,4,2,3
288,1,3,5,2,4
289,1,4,5,2,3
290,1,4,5,2,3
291,1,4,5,2,3
292,1,4,5,2,3
293,2,4,5,1,3
294,1,4,5,2,3
295,1,4,5,2,3
296,1,2,5,4,3
297,1,4,5,3,2
298,1,4,5,2,3
299,1,4,5,2,3
300,1,3,5,2,4
301,3,4,5,2,1
302,1,2,5,4,3
303,2,4,5,1,3
304,1,5,4,2,3
305,1,4,5,3,2
306,1,4,5,2,3
307,1,4,2,5,3
308,1,4,5,2,3
309,1,3,5,2,4
310,2,4,5,1,3
311,1,4,5,3,2
312,1,4,5,2,3
313,3,4,5,2,1
314,4,1,5,2,3
315,1,5,4,2,3
316,1,5,4,2,3
317,1,4,5,2,3
318,1,4,5,2,3
319,1,4,5,2,3
320,5,4,1,2,3
321,1,4,5,2,3
322,1,4,5,2,3
323,1,4,5,2,3
324,1,4,5,2,3
325,1,4,5,2,3
326,1,4,5,2,3
327,4,1,5,2,3
328,1,4,5,2,3
329,1,2,5,4,3
330,1,4,5,2,3
331,2,4,5,1,3
332,1,4,2,5,3
333,4,1,5,2,3
334,1,4,2,5,3
335,1,4,5,2,3
336,1,4,5,2,3
337,1,4,5,3,2
338,1,4,5,2,3
339,1,4,5,2,3
340,1,5,4,2,3
341,4,1,5,2,3
342,1,4,5,2,3
343,2,4,5,1,3
344,5,4,1,2,3
345,1,4,5,2,3
346,1,4,5,2,3
347,1,4,5,2,3
348,1,4,3,2,5
349,1,4,5,2,3
350,1,4,3,2,5
351,1,4,5,2,3
352,1,4,5,3,2
353,1,4,5,2,3
354,1,4,5,2,3
355,3,4,5,2,1
356,5,4,1,2,3
357,1,4,2,5,3
358,1,4,5,2,3
359,1,4,5,2,3
360,1,4,5,3,2
361,1,4,5,2,3
362,1,2,5,4,3
363,1,4,5,2,3
364,3,4,5,2,1
365,1,4,5,2,3
366,1,4,5,2,3
367,1,4,2,5,3
368,1,4,5,2,3
369,4,1,5,2,3
370,1,3,5,2,4
371,3,4,5,2,1
372,1,3,5,2,4
373,1,5,4,2,3
374,1,4,5,2,3
375,1,4,5,2,3
376,1,4,5,2,3
377,1,4,5,2,3
378,1,4,2,5,3
379,1,5,4,2,3
380,1,4,5,2,3
381,1,2,5,4,3
382,1,4,5,2,3
383,1,4,5,2,3
384,1,4,5,3,2
385,4,1,5,2,3
386,1,5,4,2,3
387,1,4,5,2,3
388,1,4,5,2,3
389,1,4,5,3,2
390,3,4,5,2,1
391,1,4,5,2,3
392,1,4,2,5,3
393,1,4,5,2,3
394,1,4,5,2,3
395,1,4,5,2,3
396,1,4,2,5,3
397,1,4,2,5,3
398,4,1,5,2,3
399,1,4,5,2,3
400,1,3,5,2,4
401,1,5,4,2,3
402,3,4,5,2,1
403,1,4,5,2,3
404,1,2,5,4,3
405,1,4,5,2,3
406,1,5,4,2,3
407,1,4,5,2,3
408,3,4,5,2,1
409,1,3,5,2,4
410,1,3,5,2,4
411,1,4,5,2,3
412,5,4,1,2,3
413,1,4,5,2,3
414,5,4,1,2,3
415,1,4,5,2,3
416,5,4,1,2,3
417,1,3,5,2,4
418,1,4,5,2,3
419,1,4,5,2,3
420,1,4,5,2,3
421,1,2,5,4,3
422,1,4,5,3,2
423,1,4,5,2,3
424,1,4,5,2,3
425,3,4,5,2,1
426,2,4,5,1,3
427,1,4,5,2,3
428,1,4,5,2,3
429,1,4,5,2,3
430,1,4,5,2,3
431,5,4,1,2,3
432,1,4,5,2,3
433,1,4,5,3,2
434,1,5,4,2,3
435,1,4,5,3,2
436,4,1,5,2,3
437,1,4,5,2,3
438,1,4,5,2,3
439,1,4,5,2,3
440,1,2,5,4,3
441,1,5,4,2,3
442,1,4,5,2,3
443,1,3,5,2,4
444,1,4,5,2,3
445,1,4,5,2,3
446,1,4,5,2,3
447,1,4,5,2,3
448,1,4,5,2,3
449,1,4,5,2,3
450,1,4,5,2,3
451,1,4,5,2,3
452,1,4,5,2,3
453,4,1,5,2,3
454,1,4,3,2,5
455,1,4,5,2,3
456,1,4,5,2,3
457,1,3,5,2,4
458,1,4,5,2,3
459,1,4,5,2,3
460,1,4,5,2,3
461,1,4,5,2,3
462,1,4,3,2,5
463,1,4,5,2,3
