iteration,all_current_accepted_likelihoods
1,-820.2687555093087
2,-809.3015327948316
3,-808.2538688151366
4,-804.2704096964789
5,-797.4278479980476
6,-794.9867260532496
7,-794.9867260532496
8,-794.9867260532496
9,-794.9867260532496
10,-794.9867260532496
11,-794.9867260532496
12,-794.9867260532496
13,-794.9867260532496
14,-794.9867260532496
15,-794.9867260532496
16,-794.8858179267377
17,-794.8858179267377
18,-794.8858179267377
19,-795.4584757641842
20,-795.4584757641842
21,-794.773922089806
22,-794.773922089806
23,-794.773922089806
24,-794.773922089806
25,-794.773922089806
26,-794.773922089806
27,-794.773922089806
28,-794.773922089806
29,-794.773922089806
30,-793.1338922955341
31,-788.6885124361804
32,-786.469695500478
33,-783.4805633267915
34,-783.4805633267915
35,-783.4805633267915
36,-783.4805633267915
37,-784.191905076429
38,-784.191905076429
39,-784.0906531069878
40,-784.0906531069878
41,-784.0906531069878
42,-784.0906531069878
43,-784.0906531069878
44,-785.1614916144747
45,-784.5055619765137
46,-784.5055619765137
47,-784.5055619765137
48,-784.5055619765137
49,-784.8429097725432
50,-785.0311422261267
51,-785.0311422261267
52,-785.0615124076575
53,-784.3992152409802
54,-784.3992152409802
55,-785.3472832230048
56,-784.1123480735092
57,-784.1123480735092
58,-784.1123480735092
59,-784.1123480735092
60,-784.1123480735092
61,-784.1123480735092
62,-784.1123480735092
63,-784.1123480735092
64,-784.1123480735092
65,-784.1123480735092
66,-786.1765052551427
67,-784.5344935546542
68,-784.5344935546542
69,-784.5344935546542
70,-788.6246445165785
71,-783.9476904123626
72,-783.9891792429631
73,-783.9891792429631
74,-783.9891792429631
75,-783.9891792429631
76,-783.9891792429631
77,-783.9891792429631
78,-783.9891792429631
79,-783.9891792429631
80,-783.9891792429631
81,-783.85857224322
82,-783.5046403979771
83,-783.5046403979771
84,-783.5046403979771
85,-783.5046403979771
86,-783.5046403979771
87,-783.5046403979771
88,-783.5046403979771
89,-783.5046403979771
90,-783.5046403979771
91,-783.8697487817452
92,-783.9593884582207
93,-783.6298915753924
94,-783.6298915753924
95,-783.6298915753924
96,-783.6298915753924
97,-783.6298915753924
98,-783.6298915753924
99,-783.6298915753924
100,-783.6298915753924
101,-783.6298915753924
102,-783.6298915753924
103,-783.6298915753924
104,-783.6298915753924
105,-783.6298915753924
106,-783.6298915753924
107,-783.6298915753924
108,-783.5945332147367
109,-783.5945332147367
110,-783.5945332147367
111,-783.5945332147367
112,-783.5945332147367
113,-787.7327788858872
114,-787.5973058805968
115,-787.5973058805968
116,-787.5973058805968
117,-787.5973058805968
118,-787.5973058805968
119,-787.5973058805968
120,-787.5973058805968
121,-786.3987321452327
122,-785.9731014688196
123,-785.9731014688196
124,-785.9731014688196
125,-785.9731014688196
126,-786.4589479321045
127,-785.1700362825836
128,-783.9589883281337
129,-783.9589883281337
130,-784.8105847576791
131,-784.4109136202678
132,-784.4109136202678
133,-784.4109136202678
134,-786.0877817417087
135,-786.0877817417087
136,-786.0877817417087
137,-784.8152510526152
138,-784.8152510526152
139,-784.8152510526152
140,-784.8152510526152
141,-784.8152510526152
142,-784.8152510526152
143,-784.8152510526152
144,-784.8152510526152
145,-784.8152510526152
146,-784.8152510526152
147,-784.8152510526152
148,-784.8152510526152
149,-784.8152510526152
150,-784.8152510526152
151,-784.8152510526152
152,-784.8152510526152
153,-784.8152510526152
154,-784.8152510526152
155,-787.198414275692
156,-785.8931287471363
157,-784.2183499125105
158,-783.8631481118828
159,-783.8631481118828
160,-783.8631481118828
161,-783.8631481118828
162,-783.8631481118828
163,-786.0430851901647
164,-786.0430851901647
165,-786.0430851901647
166,-786.0430851901647
167,-786.0430851901647
168,-786.0430851901647
169,-786.0430851901647
170,-786.0430851901647
171,-786.0430851901647
172,-786.0430851901647
173,-786.0430851901647
174,-786.0430851901647
175,-786.0430851901647
176,-786.0430851901647
177,-786.0430851901647
178,-785.6076444436776
179,-785.6076444436776
180,-785.6076444436776
181,-784.7961406637521
182,-784.7961406637521
183,-784.7961406637521
184,-783.5157188643877
185,-783.5157188643877
186,-783.5157188643877
187,-783.5157188643877
188,-784.069782055495
189,-783.6529776818496
190,-783.6529776818496
191,-783.6529776818496
192,-783.6529776818496
193,-783.6529776818496
194,-783.7500280954366
195,-783.7325386342583
196,-783.7325386342583
197,-783.7325386342583
198,-783.7325386342583
199,-783.7325386342583
200,-783.7325386342583
201,-783.7325386342583
202,-783.7325386342583
203,-783.7325386342583
204,-783.7325386342583
205,-783.7325386342583
206,-783.7325386342583
207,-783.7325386342583
208,-783.7325386342583
209,-783.7325386342583
210,-783.7325386342583
211,-783.7325386342583
212,-783.7325386342583
213,-783.7325386342583
214,-783.7325386342583
215,-783.7325386342583
216,-784.2644571971637
217,-784.1432696920323
218,-784.1432696920323
219,-784.1432696920323
220,-784.1432696920323
221,-784.1432696920323
222,-784.1432696920323
223,-784.1432696920323
224,-784.1432696920323
225,-784.1432696920323
226,-784.1432696920323
227,-784.1432696920323
228,-784.1432696920323
229,-784.1432696920323
230,-784.1432696920323
231,-784.1432696920323
232,-784.1432696920323
233,-784.1432696920323
234,-784.1432696920323
235,-784.1432696920323
236,-784.1432696920323
237,-784.1432696920323
238,-784.1432696920323
239,-784.1432696920323
240,-784.1432696920323
241,-784.1432696920323
242,-784.1432696920323
243,-784.1432696920323
244,-784.1432696920323
245,-784.1432696920323
246,-783.614740427145
247,-783.6669546764265
248,-784.3658969089613
249,-784.3658969089613
250,-784.3658969089613
251,-784.3658969089613
252,-783.8734550524117
253,-783.8734550524117
254,-783.8734550524117
255,-783.8734550524117
256,-786.5864207045108
257,-786.5864207045108
258,-786.5864207045108
259,-784.5902102534582
260,-784.3947732167085
261,-783.9297309081061
262,-783.764735204615
263,-783.1350290908996
264,-783.1350290908996
265,-783.1350290908996
266,-783.1350290908996
267,-783.1350290908996
268,-783.1350290908996
269,-783.1350290908996
270,-783.1350290908996
271,-783.1350290908996
272,-783.1350290908996
273,-783.1350290908996
274,-783.1350290908996
275,-783.1350290908996
276,-783.1350290908996
277,-783.1350290908996
278,-783.1350290908996
279,-783.1350290908996
280,-783.1350290908996
281,-783.1350290908996
282,-783.1350290908996
283,-783.1350290908996
284,-783.1350290908996
285,-783.1350290908996
286,-783.1350290908996
287,-783.1350290908996
288,-783.1350290908996
289,-783.1350290908996
290,-783.1350290908996
291,-783.1350290908996
292,-783.1350290908996
293,-783.1350290908996
294,-783.1350290908996
295,-783.1350290908996
296,-783.1350290908996
297,-783.1350290908996
298,-783.1350290908996
299,-783.7256095860137
300,-783.7256095860137
301,-783.7256095860137
302,-783.7256095860137
303,-783.7256095860137
304,-783.7256095860137
305,-783.7256095860137
306,-783.7256095860137
307,-785.453158821709
308,-783.9023336747434
309,-783.9023336747434
310,-783.9023336747434
311,-783.9023336747434
312,-783.9023336747434
313,-783.9023336747434
314,-783.9023336747434
315,-783.9023336747434
316,-783.9023336747434
317,-783.9023336747434
318,-783.79175170053
319,-783.7719264420892
320,-783.7719264420892
321,-783.7719264420892
322,-784.9445143591141
323,-784.1095188999269
324,-784.1095188999269
325,-784.1095188999269
326,-784.1095188999269
327,-784.1095188999269
328,-784.1095188999269
329,-783.6751699627688
330,-783.6751699627688
331,-783.6751699627688
332,-783.6751699627688
333,-783.6751699627688
334,-783.6751699627688
335,-783.6751699627688
336,-783.6751699627688
337,-783.6751699627688
338,-785.7939460834474
339,-784.9491200783167
340,-784.9491200783167
341,-784.9491200783167
342,-784.9491200783167
343,-784.9491200783167
344,-784.9491200783167
345,-784.9491200783167
