iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,5,1,2,3,4
2,3,1,2,5,4
3,2,1,3,5,4
4,2,1,3,4,5
5,2,1,5,3,4
6,2,1,3,4,5
7,2,1,4,5,3
8,2,1,3,5,4
9,1,2,3,5,4
10,2,4,3,5,1
11,2,1,3,5,4
12,2,1,5,3,4
13,2,1,3,5,4
14,2,4,3,5,1
15,2,1,3,5,4
16,2,3,1,5,4
17,1,2,3,5,4
18,1,2,3,5,4
19,1,2,3,5,4
20,1,2,3,4,5
21,4,2,3,5,1
22,1,2,3,5,4
23,1,2,4,5,3
24,1,2,3,5,4
25,1,2,4,5,3
26,1,2,4,5,3
27,1,5,4,2,3
28,1,2,4,5,3
29,1,3,4,5,2
30,1,2,4,5,3
31,1,2,4,5,3
32,1,2,4,5,3
33,1,2,4,5,3
34,1,2,4,5,3
35,1,5,4,2,3
36,1,2,4,5,3
37,1,3,4,5,2
38,1,2,4,5,3
39,1,2,4,5,3
40,1,2,4,3,5
41,1,2,4,5,3
42,1,2,4,5,3
43,1,2,4,5,3
44,1,5,4,2,3
45,1,2,4,5,3
46,2,1,4,5,3
47,4,2,1,5,3
48,1,2,4,5,3
49,1,2,4,5,3
50,5,2,4,1,3
51,1,5,4,2,3
52,1,5,4,2,3
53,1,5,4,2,3
54,1,2,4,5,3
55,1,2,4,5,3
56,4,2,1,5,3
57,1,2,3,5,4
58,3,2,4,5,1
59,1,2,4,5,3
60,1,2,4,5,3
61,1,2,4,5,3
62,1,4,2,5,3
63,1,2,4,5,3
64,1,2,4,5,3
65,1,2,4,5,3
66,1,2,4,5,3
67,1,2,4,5,3
68,1,2,4,5,3
69,1,2,3,5,4
70,1,5,4,2,3
71,1,2,4,5,3
72,4,2,1,5,3
73,1,2,3,5,4
74,1,2,4,5,3
75,2,1,4,5,3
76,3,2,4,5,1
77,2,1,4,5,3
78,1,2,5,4,3
79,1,2,4,5,3
80,1,2,4,5,3
81,1,2,4,5,3
82,4,2,1,5,3
83,1,2,3,5,4
84,1,2,4,5,3
85,1,2,3,5,4
86,1,5,4,2,3
87,1,2,4,5,3
88,1,2,4,5,3
89,1,2,4,5,3
90,4,2,1,5,3
91,4,2,1,5,3
92,1,2,3,5,4
93,1,5,4,2,3
94,1,2,4,5,3
95,1,2,3,5,4
96,3,2,4,5,1
97,5,2,4,1,3
98,5,2,4,1,3
99,1,2,4,5,3
100,1,2,4,5,3
101,1,2,4,5,3
102,1,2,4,5,3
103,1,2,4,5,3
104,1,2,4,3,5
105,5,2,4,1,3
106,1,2,3,5,4
107,1,2,4,5,3
108,1,4,2,5,3
109,1,2,5,4,3
110,4,2,1,5,3
111,4,2,1,5,3
112,1,2,4,5,3
113,1,2,5,4,3
114,1,2,4,5,3
115,1,2,4,5,3
116,1,2,4,5,3
117,1,2,4,3,5
118,1,2,4,5,3
119,1,2,4,5,3
120,1,2,4,5,3
121,1,2,4,5,3
122,4,2,1,5,3
123,1,2,4,5,3
124,3,2,4,5,1
125,1,2,4,5,3
126,1,2,4,3,5
127,1,2,4,5,3
128,1,2,4,5,3
129,1,2,4,5,3
130,1,2,3,5,4
131,1,2,4,5,3
132,1,2,5,4,3
133,1,2,4,5,3
134,1,3,4,5,2
135,4,2,1,5,3
136,1,2,4,5,3
137,1,2,4,5,3
138,1,2,3,5,4
139,1,5,4,2,3
140,1,2,4,5,3
141,1,2,4,5,3
142,1,2,4,5,3
143,1,2,4,5,3
144,1,4,2,5,3
145,2,1,4,5,3
146,1,4,2,5,3
147,1,5,4,2,3
148,5,2,4,1,3
149,1,2,4,5,3
150,1,2,4,5,3
151,3,2,4,5,1
152,1,2,4,5,3
153,1,2,4,5,3
154,2,1,4,5,3
155,1,5,4,2,3
156,2,1,4,5,3
157,4,2,1,5,3
158,1,2,4,5,3
159,1,2,4,3,5
160,1,2,4,5,3
161,1,2,4,5,3
162,1,2,4,3,5
163,1,2,4,5,3
164,1,2,4,5,3
165,1,2,3,5,4
166,1,3,4,5,2
167,1,2,4,5,3
168,1,4,2,5,3
169,1,5,4,2,3
170,1,2,4,5,3
171,1,2,4,5,3
172,1,2,4,5,3
173,1,2,4,5,3
174,1,2,4,5,3
175,1,2,5,4,3
176,1,2,4,5,3
177,1,2,4,5,3
178,1,4,2,5,3
179,1,2,4,5,3
180,1,2,4,5,3
181,1,4,2,5,3
182,1,2,3,5,4
183,5,2,4,1,3
184,1,2,4,5,3
185,1,5,4,2,3
186,5,2,4,1,3
187,1,2,4,5,3
188,2,1,4,5,3
189,1,2,3,5,4
190,1,2,4,5,3
191,1,2,4,5,3
192,1,2,5,4,3
193,1,2,4,5,3
194,1,2,3,5,4
195,1,2,5,4,3
196,1,2,4,5,3
197,4,2,1,5,3
198,1,4,2,5,3
199,1,2,4,5,3
200,1,4,2,5,3
201,1,2,4,5,3
202,1,3,4,5,2
203,2,1,4,5,3
204,1,5,4,2,3
205,4,2,1,5,3
206,5,2,4,1,3
207,1,2,4,5,3
208,1,4,2,5,3
209,1,2,4,5,3
210,5,2,4,1,3
211,1,2,4,5,3
212,3,2,4,5,1
213,1,2,3,5,4
214,1,2,4,3,5
215,1,2,5,4,3
216,1,2,3,5,4
217,1,2,4,5,3
218,1,2,4,5,3
219,1,2,4,5,3
220,1,2,4,5,3
221,5,2,4,1,3
222,1,2,4,3,5
223,1,2,4,5,3
224,1,2,4,5,3
225,4,2,1,5,3
226,1,5,4,2,3
227,5,2,4,1,3
228,1,2,4,5,3
229,1,4,2,5,3
230,1,2,4,5,3
231,1,2,4,5,3
232,1,2,4,5,3
233,1,2,4,5,3
234,4,2,1,5,3
235,1,2,4,5,3
236,3,2,4,5,1
237,1,2,4,5,3
238,1,2,4,5,3
239,1,2,3,5,4
240,1,5,4,2,3
241,1,2,4,5,3
242,1,3,4,5,2
243,1,2,4,5,3
244,1,5,4,2,3
245,1,2,4,5,3
246,4,2,1,5,3
247,1,2,4,5,3
248,1,3,4,5,2
249,1,2,4,5,3
250,1,2,4,3,5
251,1,2,5,4,3
252,1,2,4,5,3
253,1,2,4,3,5
254,1,2,4,5,3
255,1,2,4,5,3
256,1,2,4,5,3
257,1,2,4,5,3
258,1,2,4,5,3
259,5,2,4,1,3
260,1,2,4,5,3
261,1,3,4,5,2
262,1,2,4,5,3
263,1,2,4,3,5
264,1,2,4,5,3
265,1,2,4,3,5
266,1,2,4,5,3
267,2,1,4,5,3
268,1,2,4,5,3
269,1,2,4,5,3
270,1,5,4,2,3
271,3,2,4,5,1
272,1,2,4,3,5
273,4,2,1,5,3
274,2,1,4,5,3
275,1,2,4,5,3
276,1,5,4,2,3
277,1,2,4,5,3
278,1,5,4,2,3
279,1,5,4,2,3
280,4,2,1,5,3
281,1,3,4,5,2
282,1,2,4,5,3
283,1,2,4,5,3
284,1,2,4,5,3
285,5,2,4,1,3
286,1,2,4,5,3
287,5,2,4,1,3
288,1,2,4,3,5
289,1,2,4,5,3
290,1,2,3,5,4
291,1,2,4,5,3
292,1,2,4,5,3
293,5,2,4,1,3
294,5,2,4,1,3
295,3,2,4,5,1
296,1,2,4,5,3
297,2,1,4,5,3
298,4,2,1,5,3
299,1,5,4,2,3
300,3,2,4,5,1
301,3,2,4,5,1
302,1,2,4,5,3
303,1,4,2,5,3
304,4,2,1,5,3
305,2,1,4,5,3
306,1,2,4,5,3
307,1,2,4,5,3
308,1,3,4,5,2
309,1,2,4,5,3
310,1,2,4,5,3
311,3,2,4,5,1
312,1,2,5,4,3
313,1,2,4,5,3
314,5,2,4,1,3
315,3,2,4,5,1
316,1,2,4,5,3
317,1,2,4,5,3
318,1,3,4,5,2
319,1,2,4,5,3
320,4,2,1,5,3
321,1,2,4,5,3
322,1,2,4,5,3
323,1,2,4,5,3
324,1,2,4,5,3
325,1,2,4,5,3
326,3,2,4,5,1
327,1,2,4,5,3
328,4,2,1,5,3
329,3,2,4,5,1
330,1,2,4,5,3
331,1,3,4,5,2
332,1,2,4,3,5
333,1,3,4,5,2
334,3,2,4,5,1
335,1,2,3,5,4
336,1,2,4,5,3
337,3,2,4,5,1
338,1,4,2,5,3
339,3,2,4,5,1
340,1,4,2,5,3
341,1,2,5,4,3
342,1,2,5,4,3
343,5,2,4,1,3
344,1,2,4,5,3
345,4,2,1,5,3
346,4,2,1,5,3
347,1,2,4,5,3
348,5,2,4,1,3
349,1,2,4,5,3
350,1,2,4,5,3
351,1,2,4,5,3
352,1,5,4,2,3
353,1,2,4,5,3
354,1,2,4,5,3
355,1,2,4,5,3
356,1,2,4,5,3
357,1,3,4,5,2
358,1,2,4,5,3
359,1,2,4,3,5
360,1,2,4,5,3
361,3,2,4,5,1
362,1,2,3,5,4
363,2,1,4,5,3
364,1,2,4,5,3
365,3,2,4,5,1
366,1,5,4,2,3
367,1,2,4,5,3
368,1,2,4,5,3
369,1,2,4,5,3
370,1,2,5,4,3
371,1,2,4,5,3
372,1,2,4,5,3
373,1,2,4,5,3
374,1,2,5,4,3
375,1,2,4,5,3
376,1,2,4,5,3
377,3,2,4,5,1
378,1,2,4,3,5
379,4,2,1,5,3
380,2,1,4,5,3
381,1,2,4,5,3
382,1,2,4,5,3
383,1,2,5,4,3
384,1,2,4,5,3
385,5,2,4,1,3
386,1,2,4,3,5
387,3,2,4,5,1
388,1,2,4,5,3
389,1,2,5,4,3
390,1,2,4,5,3
391,1,2,4,5,3
392,1,2,3,5,4
393,1,2,4,5,3
394,1,2,3,5,4
395,1,4,2,5,3
396,1,3,4,5,2
397,4,2,1,5,3
398,4,2,1,5,3
399,1,2,5,4,3
400,1,2,4,5,3
401,1,2,4,5,3
402,1,2,4,5,3
403,4,2,1,5,3
404,1,4,2,5,3
405,1,2,4,5,3
406,1,2,4,5,3
407,3,2,4,5,1
408,1,2,4,5,3
409,1,3,4,5,2
410,1,2,4,5,3
411,1,2,4,5,3
412,1,2,4,5,3
413,1,2,4,5,3
414,5,2,4,1,3
415,1,2,4,5,3
416,4,2,1,5,3
417,1,2,4,5,3
418,1,4,2,5,3
419,3,2,4,5,1
420,1,2,4,5,3
421,1,2,4,5,3
422,1,2,4,5,3
423,1,2,4,3,5
424,1,2,4,5,3
425,1,2,4,5,3
426,1,2,4,3,5
427,1,2,4,5,3
428,1,2,4,5,3
429,1,2,4,5,3
430,1,2,4,3,5
431,4,2,1,5,3
432,1,3,4,5,2
433,3,2,4,5,1
434,1,2,4,5,3
435,1,2,4,5,3
436,1,4,2,5,3
437,1,5,4,2,3
438,4,2,1,5,3
439,1,2,4,5,3
440,3,2,4,5,1
441,1,2,4,5,3
442,1,2,4,3,5
443,1,5,4,2,3
444,1,2,4,5,3
445,1,4,2,5,3
446,1,2,4,3,5
447,1,5,4,2,3
448,4,2,1,5,3
449,1,2,4,5,3
450,1,3,4,5,2
451,1,2,4,5,3
452,1,5,4,2,3
453,1,2,4,5,3
454,1,2,4,5,3
455,1,2,5,4,3
456,1,5,4,2,3
457,1,3,4,5,2
458,4,2,1,5,3
459,1,2,5,4,3
460,4,2,1,5,3
461,1,2,4,5,3
462,1,2,4,5,3
463,1,2,4,5,3
464,1,2,4,5,3
465,1,2,4,5,3
466,1,2,4,5,3
467,1,3,4,5,2
468,1,2,4,5,3
469,1,2,4,5,3
470,2,1,4,5,3
471,1,2,4,5,3
472,4,2,1,5,3
473,1,2,4,5,3
474,1,2,4,5,3
475,1,2,4,3,5
476,1,2,4,5,3
477,1,2,4,3,5
478,1,3,4,5,2
479,1,2,4,5,3
480,1,3,4,5,2
481,1,3,4,5,2
482,1,2,4,5,3
483,1,2,4,5,3
484,1,2,4,5,3
485,1,5,4,2,3
486,1,2,4,5,3
487,1,2,4,5,3
488,1,4,2,5,3
489,1,2,4,5,3
490,1,5,4,2,3
491,1,2,4,5,3
492,1,2,4,5,3
493,1,2,4,5,3
494,1,2,4,5,3
495,4,2,1,5,3
496,1,2,4,5,3
497,1,5,4,2,3
498,5,2,4,1,3
499,1,2,4,5,3
500,1,2,4,5,3
501,1,2,4,5,3
502,1,2,5,4,3
503,1,5,4,2,3
504,1,5,4,2,3
505,1,3,4,5,2
506,5,2,4,1,3
507,3,2,4,5,1
508,4,2,1,5,3
509,5,2,4,1,3
510,1,2,4,5,3
511,1,5,4,2,3
512,1,5,4,2,3
513,1,2,3,5,4
514,1,2,4,5,3
515,1,2,4,5,3
516,1,2,4,5,3
517,1,2,4,5,3
518,1,2,4,5,3
519,1,2,4,5,3
520,1,2,4,5,3
521,1,2,4,5,3
522,5,2,4,1,3
523,1,2,4,5,3
524,1,2,4,5,3
525,1,2,4,5,3
526,4,2,1,5,3
527,4,2,1,5,3
528,1,2,4,5,3
529,3,2,4,5,1
530,1,2,4,5,3
531,4,2,1,5,3
532,5,2,4,1,3
533,1,3,4,5,2
534,1,4,2,5,3
535,1,5,4,2,3
536,1,2,4,5,3
537,1,2,4,5,3
538,1,3,4,5,2
539,1,2,4,5,3
540,1,2,4,5,3
541,1,3,4,5,2
542,1,2,4,5,3
543,1,2,4,5,3
544,1,3,4,5,2
545,1,2,4,5,3
546,1,2,4,5,3
547,1,2,4,5,3
548,1,2,3,5,4
549,1,3,4,5,2
550,1,2,4,5,3
551,1,2,4,5,3
552,1,2,4,5,3
553,1,2,4,5,3
554,1,2,4,5,3
555,1,2,5,4,3
556,1,2,4,5,3
557,1,3,4,5,2
558,3,2,4,5,1
559,3,2,4,5,1
560,1,2,4,5,3
561,3,2,4,5,1
562,1,2,3,5,4
563,1,2,4,5,3
564,4,2,1,5,3
565,1,5,4,2,3
566,2,1,4,5,3
567,1,2,4,5,3
568,3,2,4,5,1
569,3,2,4,5,1
570,1,2,4,5,3
571,1,2,4,5,3
572,1,2,4,5,3
573,1,3,4,5,2
574,1,2,4,3,5
575,1,2,4,3,5
576,1,2,4,5,3
577,1,2,4,5,3
578,1,3,4,5,2
579,1,2,4,5,3
580,1,2,4,5,3
581,1,2,4,5,3
582,4,2,1,5,3
583,1,2,3,5,4
584,1,5,4,2,3
585,1,2,4,3,5
586,1,2,4,5,3
587,1,2,5,4,3
588,2,1,4,5,3
589,1,2,4,5,3
590,1,2,3,5,4
591,1,5,4,2,3
592,1,2,4,5,3
593,4,2,1,5,3
594,1,2,4,5,3
595,1,2,4,5,3
596,5,2,4,1,3
597,1,2,4,5,3
598,1,2,4,5,3
599,1,2,4,5,3
600,1,2,4,5,3
601,1,2,3,5,4
602,1,2,4,5,3
603,5,2,4,1,3
604,1,2,4,5,3
605,1,2,4,5,3
606,1,2,3,5,4
607,1,2,4,5,3
608,1,2,4,5,3
609,1,2,4,5,3
610,1,3,4,5,2
611,1,2,4,5,3
612,1,2,4,5,3
613,1,2,4,5,3
614,1,5,4,2,3
615,1,2,3,5,4
616,1,2,4,5,3
617,1,2,4,5,3
618,3,2,4,5,1
619,1,5,4,2,3
620,1,4,2,5,3
621,1,2,4,5,3
622,4,2,1,5,3
623,1,2,4,5,3
624,1,2,5,4,3
625,1,2,4,5,3
626,1,2,4,5,3
627,3,2,4,5,1
628,1,2,4,5,3
629,1,2,4,5,3
630,1,2,4,5,3
631,1,2,4,5,3
632,1,2,4,5,3
633,1,2,4,5,3
634,1,2,3,5,4
635,1,2,4,3,5
636,1,2,4,5,3
637,4,2,1,5,3
638,4,2,1,5,3
639,1,2,4,5,3
640,1,2,3,5,4
641,5,2,4,1,3
642,1,2,3,5,4
643,1,2,5,4,3
644,1,2,4,5,3
645,5,2,4,1,3
646,1,4,2,5,3
647,1,3,4,5,2
648,1,2,4,5,3
649,1,3,4,5,2
650,5,2,4,1,3
651,4,2,1,5,3
652,1,3,4,5,2
653,3,2,4,5,1
654,4,2,1,5,3
655,1,2,4,5,3
656,1,2,4,5,3
657,1,2,4,5,3
658,1,3,4,5,2
659,1,5,4,2,3
660,1,2,4,5,3
661,1,2,4,5,3
662,1,2,4,5,3
663,1,2,4,5,3
664,1,2,4,5,3
665,1,2,4,5,3
666,1,5,4,2,3
667,3,2,4,5,1
668,1,2,4,5,3
669,1,2,4,3,5
670,1,5,4,2,3
671,1,2,4,5,3
672,1,2,4,5,3
673,1,2,4,5,3
674,1,2,5,4,3
675,1,2,3,5,4
676,2,1,4,5,3
677,1,2,4,5,3
678,3,2,4,5,1
679,4,2,1,5,3
680,1,2,4,5,3
681,1,5,4,2,3
682,1,2,4,5,3
683,1,2,3,5,4
684,1,2,4,5,3
685,1,2,4,5,3
686,1,2,4,5,3
687,1,2,4,5,3
688,1,2,4,5,3
689,1,4,2,5,3
690,3,2,4,5,1
691,4,2,1,5,3
692,1,5,4,2,3
693,1,2,4,5,3
694,3,2,4,5,1
695,1,2,4,5,3
696,1,5,4,2,3
697,1,2,4,5,3
698,1,3,4,5,2
699,1,2,5,4,3
700,1,4,2,5,3
701,4,2,1,5,3
702,1,2,4,5,3
703,1,2,4,5,3
704,4,2,1,5,3
705,1,2,4,5,3
706,1,4,2,5,3
707,1,2,4,3,5
708,1,2,4,5,3
709,1,2,4,5,3
710,1,2,4,5,3
711,1,2,4,5,3
712,1,5,4,2,3
713,2,1,4,5,3
714,1,5,4,2,3
715,1,2,4,5,3
716,1,2,4,5,3
717,1,5,4,2,3
718,4,2,1,5,3
719,1,2,5,4,3
720,1,2,4,5,3
721,1,2,4,5,3
722,1,5,4,2,3
723,1,3,4,5,2
724,1,4,2,5,3
725,1,2,4,5,3
726,1,2,5,4,3
727,3,2,4,5,1
728,1,2,4,5,3
729,4,2,1,5,3
730,1,2,4,5,3
731,1,2,5,4,3
732,5,2,4,1,3
733,1,2,4,5,3
734,1,2,4,5,3
735,1,2,4,5,3
736,1,2,4,5,3
737,1,2,4,3,5
738,1,2,4,5,3
739,1,4,2,5,3
740,1,2,3,5,4
741,1,2,4,5,3
742,1,2,4,5,3
743,4,2,1,5,3
744,1,3,4,5,2
745,1,2,4,5,3
746,1,5,4,2,3
747,1,5,4,2,3
748,1,3,4,5,2
749,1,2,3,5,4
750,1,2,4,5,3
751,1,2,4,5,3
752,5,2,4,1,3
753,1,2,4,5,3
754,1,5,4,2,3
755,2,1,4,5,3
756,1,2,4,5,3
757,3,2,4,5,1
758,1,2,4,5,3
759,1,2,4,5,3
760,1,3,4,5,2
761,1,2,4,5,3
762,1,2,5,4,3
763,1,2,4,5,3
764,1,2,4,5,3
765,1,2,4,5,3
766,1,2,4,5,3
767,1,2,4,5,3
768,1,2,4,5,3
769,1,2,4,5,3
770,3,2,4,5,1
771,1,5,4,2,3
772,4,2,1,5,3
773,1,5,4,2,3
