iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,5,1,4,2,3
2,5,3,4,2,1
3,5,3,4,1,2
4,2,3,4,1,5
5,2,3,4,1,5
6,2,3,4,1,5
7,5,3,4,1,2
8,2,1,4,3,5
9,2,4,3,1,5
10,5,3,4,1,2
11,2,3,4,5,1
12,2,3,4,1,5
13,2,3,4,1,5
14,2,3,4,5,1
15,2,3,1,4,5
16,2,3,4,5,1
17,2,3,4,1,5
18,2,5,4,1,3
19,2,3,4,1,5
20,2,3,4,1,5
21,2,4,3,1,5
22,2,3,4,1,5
23,1,3,4,2,5
24,1,2,4,3,5
25,4,2,1,3,5
26,1,2,4,3,5
27,1,2,4,3,5
28,1,2,4,3,5
29,1,2,4,3,5
30,1,2,4,3,5
31,1,4,2,3,5
32,2,1,4,3,5
33,1,2,4,3,5
34,3,2,4,1,5
35,1,2,4,3,5
36,3,2,4,1,5
37,1,2,4,3,5
38,1,2,5,3,4
39,2,1,4,3,5
40,4,2,1,3,5
41,1,2,3,4,5
42,1,2,4,3,5
43,1,5,4,3,2
44,1,5,4,3,2
45,1,5,2,3,4
46,1,2,4,3,5
47,1,5,4,3,2
48,1,3,4,5,2
49,1,5,4,3,2
50,1,5,4,3,2
51,2,5,4,3,1
52,1,5,4,3,2
53,1,5,2,3,4
54,1,5,4,3,2
55,1,5,4,3,2
56,1,5,4,3,2
57,4,5,1,3,2
58,1,4,5,3,2
59,1,5,4,3,2
60,4,5,1,3,2
61,1,5,4,3,2
62,1,5,4,3,2
63,1,2,4,3,5
64,1,5,4,3,2
65,1,5,2,3,4
66,1,5,4,2,3
67,1,5,2,3,4
68,1,5,4,2,3
69,1,5,4,3,2
70,4,5,1,3,2
71,1,5,4,3,2
72,1,5,4,3,2
73,1,5,4,3,2
74,1,5,3,4,2
75,1,5,4,3,2
76,1,3,4,5,2
77,1,4,5,3,2
78,1,4,5,3,2
79,1,2,5,3,4
80,1,2,5,3,4
81,1,2,5,3,4
82,5,2,1,3,4
83,3,2,5,1,4
84,1,2,5,3,4
85,1,2,5,3,4
86,3,2,5,1,4
87,1,2,5,3,4
88,1,2,5,3,4
89,1,5,2,3,4
90,1,2,5,3,4
91,5,2,1,3,4
