iteration,all_current_accepted_likelihoods
1,-706.0971589705101
2,-687.9857483470211
3,-682.7691732262904
4,-682.6971255617476
5,-681.075256469585
6,-681.075256469585
7,-681.075256469585
8,-679.1970360248623
9,-679.1970360248623
10,-679.1970360248623
11,-680.7723931591624
12,-680.7723931591624
13,-680.7723931591624
14,-680.7723931591624
15,-680.7723931591624
16,-680.7684743550424
17,-680.7684743550424
18,-680.7684743550424
19,-680.7684743550424
20,-682.6260198477212
21,-679.1264802631665
22,-679.1264802631665
23,-679.1264802631665
24,-679.1264802631665
25,-679.1264802631665
26,-679.1264802631665
27,-679.1264802631665
28,-679.1264802631665
29,-679.1264802631665
30,-679.1264802631665
31,-679.1264802631665
32,-679.1264802631665
33,-678.5345839378747
34,-678.5345839378747
35,-678.5345839378747
36,-678.7041623230807
37,-677.4176818796068
38,-677.4176818796068
39,-677.4176818796068
40,-677.4176818796068
41,-677.4176818796068
42,-673.6812664377441
43,-673.6812664377441
44,-666.3447840468244
45,-663.1728223402292
46,-663.1728223402292
47,-663.1728223402292
48,-663.1728223402292
49,-663.1728223402292
50,-663.1728223402292
51,-663.1728223402292
52,-663.1728223402292
53,-663.1728223402292
54,-663.1728223402292
55,-663.1728223402292
56,-663.1728223402292
57,-663.1728223402292
58,-663.1728223402292
59,-663.1728223402292
60,-662.7472676435113
61,-662.7472676435113
62,-662.7472676435113
63,-663.1852764066882
64,-663.1852764066882
65,-663.1852764066882
66,-663.1852764066882
67,-663.1852764066882
68,-663.1852764066882
69,-663.1852764066882
70,-663.1852764066882
71,-663.1852764066882
72,-663.1852764066882
73,-663.1852764066882
74,-663.1852764066882
75,-663.1852764066882
76,-663.1852764066882
77,-663.1852764066882
78,-663.1852764066882
79,-663.1852764066882
80,-663.1852764066882
81,-663.1852764066882
82,-663.1852764066882
83,-663.1852764066882
84,-663.1852764066882
85,-663.1852764066882
86,-663.1852764066882
87,-663.1852764066882
88,-663.1852764066882
89,-663.1852764066882
90,-663.1852764066882
91,-663.1852764066882
92,-663.1852764066882
93,-663.1852764066882
94,-663.1852764066882
95,-663.1852764066882
96,-663.1852764066882
97,-662.8580588526538
98,-662.3102521946106
99,-662.3102521946106
100,-662.3102521946106
101,-662.3102521946106
102,-662.3102521946106
103,-662.3102521946106
104,-662.3102521946106
105,-662.3102521946106
106,-662.3102521946106
107,-662.3102521946106
108,-662.3102521946106
109,-662.3102521946106
110,-662.3102521946106
111,-662.3102521946106
112,-662.3102521946106
113,-662.3102521946106
114,-662.3102521946106
115,-662.3102521946106
116,-662.3102521946106
117,-662.3102521946106
118,-662.3102521946106
119,-662.3102521946106
120,-662.3102521946106
121,-662.3102521946106
122,-662.3102521946106
123,-662.3102521946106
124,-662.3102521946106
125,-662.3102521946106
126,-662.3102521946106
127,-662.3102521946106
128,-662.3102521946106
129,-662.3102521946106
130,-662.3102521946106
131,-662.3102521946106
132,-662.3102521946106
133,-662.3102521946106
134,-662.3102521946106
135,-662.3102521946106
136,-662.3102521946106
137,-662.3102521946106
138,-662.3102521946106
139,-662.3102521946106
140,-662.3102521946106
141,-662.3102521946106
142,-662.3102521946106
143,-662.3102521946106
144,-662.3102521946106
145,-662.3102521946106
146,-662.3102521946106
147,-662.3102521946106
148,-662.3102521946106
149,-662.3102521946106
150,-662.3102521946106
151,-662.3102521946106
152,-662.3102521946106
153,-662.3102521946106
154,-662.3102521946106
155,-662.3102521946106
156,-662.4818937344739
157,-662.4818937344739
158,-662.4818937344739
159,-662.4818937344739
160,-662.4818937344739
161,-662.4818937344739
162,-662.4818937344739
163,-662.4818937344739
164,-663.8003670308275
165,-662.7814191882245
166,-662.3898742510825
167,-662.3898742510825
168,-662.3898742510825
169,-662.3898742510825
170,-662.3898742510825
171,-662.3898742510825
172,-662.3898742510825
173,-662.3898742510825
174,-662.3898742510825
175,-662.3898742510825
176,-662.3898742510825
177,-662.3898742510825
178,-662.3898742510825
179,-662.3898742510825
180,-662.3898742510825
181,-662.3898742510825
182,-662.3898742510825
183,-662.3898742510825
184,-662.3898742510825
185,-662.3898742510825
186,-662.3898742510825
187,-662.3898742510825
188,-662.3898742510825
189,-662.3898742510825
190,-662.3898742510825
191,-662.3898742510825
192,-662.3898742510825
193,-662.3898742510825
194,-662.3898742510825
195,-662.3898742510825
196,-662.3898742510825
197,-662.3898742510825
198,-662.3898742510825
199,-662.3898742510825
200,-662.3898742510825
201,-662.3898742510825
202,-662.3898742510825
203,-662.3898742510825
204,-662.3898742510825
205,-662.3898742510825
206,-662.3898742510825
207,-662.3898742510825
208,-662.3898742510825
209,-662.3898742510825
210,-662.3898742510825
211,-662.3898742510825
212,-662.3898742510825
213,-662.3898742510825
214,-662.3898742510825
215,-662.3898742510825
216,-662.3898742510825
217,-662.3898742510825
218,-662.3898742510825
219,-662.3898742510825
220,-662.3898742510825
221,-662.3898742510825
222,-662.3898742510825
223,-662.3898742510825
224,-662.3898742510825
225,-662.3898742510825
226,-662.3898742510825
227,-662.3898742510825
228,-662.3898742510825
229,-662.3898742510825
230,-662.3898742510825
231,-662.3898742510825
232,-662.3898742510825
233,-662.3898742510825
234,-662.3898742510825
235,-662.3898742510825
236,-662.3898742510825
237,-662.3898742510825
238,-662.3898742510825
239,-662.3898742510825
240,-662.3898742510825
241,-662.3898742510825
242,-662.3898742510825
243,-662.3898742510825
244,-662.3898742510825
245,-662.3898742510825
246,-662.3898742510825
247,-662.3898742510825
248,-662.3052593236298
249,-661.5430195175186
250,-661.5430195175186
251,-661.5430195175186
252,-661.5430195175186
253,-661.5430195175186
254,-661.5430195175186
255,-661.5430195175186
256,-661.5430195175186
257,-661.5430195175186
258,-661.5430195175186
259,-661.5430195175186
260,-661.5430195175186
261,-661.5430195175186
262,-661.5430195175186
263,-661.5430195175186
264,-661.5430195175186
265,-661.5430195175186
266,-661.5430195175186
267,-661.5430195175186
268,-661.5430195175186
269,-661.5430195175186
270,-661.5430195175186
271,-661.5430195175186
272,-661.5430195175186
273,-661.5430195175186
274,-661.5430195175186
275,-661.5430195175186
276,-661.5430195175186
277,-661.5430195175186
278,-661.5430195175186
279,-661.5430195175186
280,-661.5430195175186
281,-661.5430195175186
282,-661.5430195175186
283,-661.5430195175186
284,-661.5430195175186
285,-661.5430195175186
286,-661.5430195175186
287,-661.5430195175186
288,-661.5430195175186
289,-661.5430195175186
290,-661.5430195175186
291,-661.5430195175186
292,-661.5430195175186
293,-661.5430195175186
294,-661.5430195175186
295,-661.5430195175186
296,-661.5430195175186
297,-661.5430195175186
298,-661.5430195175186
299,-661.5430195175186
300,-661.5430195175186
301,-661.5430195175186
302,-661.5430195175186
303,-661.5430195175186
304,-661.5430195175186
305,-661.5430195175186
306,-661.5430195175186
307,-661.5430195175186
308,-661.5430195175186
309,-661.5430195175186
310,-661.5430195175186
311,-661.5430195175186
312,-661.5430195175186
313,-661.5430195175186
314,-661.5430195175186
315,-661.5430195175186
316,-661.5430195175186
317,-663.9537346635243
318,-661.8205412654117
319,-661.8205412654117
320,-661.8205412654117
321,-661.8205412654117
322,-661.8205412654117
323,-661.8205412654117
324,-661.8205412654117
325,-661.8205412654117
326,-661.8205412654117
327,-661.8205412654117
328,-661.8205412654117
329,-661.8205412654117
330,-661.8205412654117
331,-661.8205412654117
332,-661.8205412654117
333,-661.8205412654117
334,-661.8205412654117
335,-661.8205412654117
336,-661.8205412654117
337,-661.8205412654117
338,-661.8205412654117
339,-661.8205412654117
340,-661.8205412654117
341,-661.8205412654117
342,-661.8205412654117
343,-662.8114480874999
344,-662.8114480874999
345,-663.016219739343
346,-663.016219739343
347,-663.016219739343
348,-663.016219739343
349,-662.6261229475299
350,-662.2472876711493
351,-662.2472876711493
352,-662.2472876711493
353,-662.2472876711493
354,-662.2472876711493
355,-664.8513208824587
356,-664.8513208824587
357,-664.8513208824587
358,-664.5274116738262
359,-661.1926403842173
360,-661.1926403842173
361,-661.1926403842173
362,-661.1926403842173
363,-661.1926403842173
364,-661.1926403842173
365,-661.1926403842173
366,-661.1926403842173
367,-661.1926403842173
368,-661.1926403842173
369,-661.1926403842173
370,-661.1926403842173
371,-661.1926403842173
372,-661.1926403842173
373,-661.1926403842173
374,-661.1926403842173
375,-661.1926403842173
376,-661.1926403842173
377,-661.1926403842173
378,-661.1926403842173
379,-661.1926403842173
380,-661.1926403842173
381,-661.1926403842173
382,-661.1926403842173
383,-661.1926403842173
384,-661.1926403842173
385,-661.1926403842173
386,-661.1926403842173
387,-661.1926403842173
388,-661.1926403842173
389,-661.1926403842173
390,-661.1926403842173
391,-661.1926403842173
392,-661.1926403842173
393,-661.1926403842173
394,-661.1926403842173
395,-661.1926403842173
396,-661.1926403842173
397,-661.1926403842173
398,-661.1926403842173
399,-661.1926403842173
400,-661.1926403842173
401,-661.1926403842173
402,-661.1926403842173
403,-661.1926403842173
404,-661.1926403842173
405,-661.1926403842173
406,-661.1926403842173
407,-661.1926403842173
408,-661.1926403842173
409,-661.1926403842173
410,-661.1926403842173
411,-661.1926403842173
412,-661.1926403842173
413,-661.1926403842173
414,-661.1926403842173
415,-661.1926403842173
416,-661.1926403842173
417,-661.1926403842173
418,-661.1926403842173
419,-661.1926403842173
420,-661.1926403842173
421,-661.1926403842173
422,-661.1926403842173
423,-661.1926403842173
424,-661.1926403842173
425,-662.629117783226
426,-662.1561258235622
427,-662.1561258235622
428,-662.1561258235622
429,-662.1561258235622
430,-662.1561258235622
431,-662.1561258235622
432,-662.1561258235622
433,-662.1561258235622
434,-662.1561258235622
435,-662.1561258235622
436,-663.3512000900827
437,-662.1973617007377
438,-662.1973617007377
439,-662.9119821323393
440,-662.9119821323393
441,-662.9119821323393
442,-663.2624002939073
443,-663.2624002939073
444,-663.2624002939073
445,-663.2624002939073
446,-663.2624002939073
447,-663.2624002939073
448,-663.2624002939073
449,-663.2624002939073
450,-663.2624002939073
451,-663.2624002939073
452,-663.2624002939073
453,-663.2624002939073
454,-663.2624002939073
455,-663.2624002939073
456,-663.2624002939073
457,-663.2624002939073
458,-663.2624002939073
459,-663.2624002939073
460,-663.2624002939073
461,-663.2624002939073
462,-663.2624002939073
463,-663.2624002939073
464,-663.2624002939073
465,-663.2624002939073
466,-663.2624002939073
467,-663.2624002939073
468,-663.2624002939073
469,-663.2624002939073
470,-663.2624002939073
471,-663.2624002939073
472,-663.2624002939073
473,-663.2624002939073
474,-663.2624002939073
475,-663.2624002939073
476,-663.2624002939073
477,-663.5075531056772
478,-662.8681270346945
479,-662.8681270346945
480,-662.8681270346945
481,-662.8681270346945
482,-662.8681270346945
483,-662.8681270346945
484,-662.8681270346945
485,-662.8681270346945
486,-662.8681270346945
487,-662.8681270346945
488,-662.8681270346945
489,-662.8681270346945
490,-662.8681270346945
491,-662.8681270346945
492,-662.8681270346945
493,-662.8681270346945
494,-662.8681270346945
495,-662.8681270346945
496,-662.8681270346945
497,-662.8681270346945
498,-662.8681270346945
499,-662.8681270346945
500,-662.8681270346945
501,-662.8681270346945
502,-662.8681270346945
503,-662.8681270346945
504,-662.8681270346945
505,-662.8681270346945
506,-662.8681270346945
507,-662.8681270346945
508,-662.8681270346945
509,-662.8681270346945
510,-662.8681270346945
511,-662.8681270346945
512,-662.8681270346945
513,-662.8681270346945
514,-662.8681270346945
515,-662.8681270346945
516,-662.8681270346945
517,-662.8681270346945
518,-662.8681270346945
519,-662.8681270346945
520,-662.8681270346945
521,-662.8681270346945
522,-662.8681270346945
523,-662.8681270346945
524,-662.8681270346945
525,-662.8681270346945
526,-662.8681270346945
527,-662.8681270346945
528,-662.8681270346945
529,-662.8681270346945
530,-662.8681270346945
531,-662.8681270346945
532,-662.8681270346945
533,-662.8681270346945
534,-662.8681270346945
535,-662.8681270346945
536,-662.8681270346945
537,-662.8681270346945
538,-662.8681270346945
539,-662.8681270346945
540,-662.8681270346945
541,-662.8681270346945
542,-662.8681270346945
543,-662.8681270346945
544,-662.8681270346945
545,-662.8681270346945
546,-662.8681270346945
547,-662.3622228361572
548,-662.3622228361572
549,-662.3622228361572
550,-662.3622228361572
551,-662.3622228361572
552,-662.3622228361572
553,-662.3622228361572
554,-662.3622228361572
555,-662.3622228361572
556,-662.3622228361572
557,-662.3622228361572
558,-662.3622228361572
559,-662.3622228361572
560,-662.3622228361572
561,-662.3622228361572
562,-662.3622228361572
563,-662.3622228361572
564,-662.3622228361572
565,-662.3622228361572
566,-662.3622228361572
567,-662.3622228361572
568,-662.3622228361572
569,-662.3622228361572
570,-662.3622228361572
571,-662.3622228361572
572,-662.3622228361572
573,-662.3622228361572
574,-663.4788923052611
575,-663.4788923052611
576,-663.4788923052611
577,-663.4788923052611
578,-662.8510537103859
579,-662.8510537103859
580,-662.8510537103859
581,-664.3211113554419
582,-664.3211113554419
583,-664.0274336207398
584,-664.0274336207398
585,-664.0274336207398
586,-664.0274336207398
587,-664.0274336207398
588,-664.0274336207398
589,-664.0274336207398
590,-664.0274336207398
591,-664.0274336207398
592,-664.0274336207398
593,-664.0274336207398
594,-664.0274336207398
595,-663.5543248956249
596,-663.5543248956249
597,-662.9124190636306
598,-662.093794025763
599,-662.093794025763
600,-662.093794025763
601,-662.4020125149893
602,-662.4020125149893
603,-662.4020125149893
604,-662.4020125149893
605,-662.4020125149893
606,-662.4020125149893
607,-662.4020125149893
608,-662.4020125149893
609,-662.8502388451909
610,-662.8502388451909
611,-662.8502388451909
612,-662.8502388451909
613,-662.8502388451909
614,-662.8502388451909
615,-662.8502388451909
616,-662.8502388451909
617,-662.8502388451909
618,-662.8502388451909
619,-662.8502388451909
620,-664.3021102795315
621,-664.3021102795315
622,-665.2106390749459
623,-664.4792369448985
624,-663.2129633064287
625,-663.3368088751927
626,-661.8359954175769
627,-661.8359954175769
628,-661.8359954175769
629,-661.8359954175769
630,-661.8359954175769
631,-661.8359954175769
