iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,1,4,3,2,5
2,1,4,3,2,5
3,1,5,3,2,4
4,1,5,4,2,3
5,1,4,5,2,3
6,5,1,4,2,3
7,1,5,4,2,3
8,2,5,4,1,3
9,1,5,4,2,3
10,1,3,4,2,5
11,1,2,4,5,3
12,1,5,4,2,3
13,5,1,4,2,3
14,4,5,1,2,3
15,3,5,4,2,1
16,1,5,4,2,3
17,1,5,4,2,3
18,1,5,4,3,2
19,1,5,4,2,3
20,1,5,3,2,4
21,1,5,3,4,2
22,2,5,3,1,4
23,3,5,1,2,4
24,1,5,3,2,4
25,2,5,3,1,4
26,1,2,3,5,4
27,1,5,3,2,4
28,1,5,3,2,4
29,1,5,3,2,4
30,1,5,3,2,4
31,1,5,3,2,4
32,1,5,3,2,4
33,1,5,3,2,4
34,2,5,3,1,4
35,1,5,3,2,4
36,1,5,3,2,4
37,1,5,3,2,4
38,1,5,3,2,4
39,1,5,3,2,4
40,1,5,3,2,4
41,1,5,3,2,4
42,1,5,3,2,4
43,3,5,1,2,4
44,1,2,3,5,4
45,1,3,5,2,4
46,1,5,3,2,4
47,1,2,3,5,4
48,1,5,3,2,4
49,3,5,1,2,4
50,1,5,3,4,2
51,1,2,3,5,4
52,2,5,3,1,4
53,1,5,3,2,4
54,1,5,3,2,4
55,1,5,3,2,4
56,1,5,3,2,4
57,3,5,1,2,4
58,1,5,3,2,4
59,1,5,3,2,4
60,1,5,3,2,4
61,1,5,3,2,4
62,1,5,3,2,4
63,1,5,3,2,4
64,1,5,3,2,4
65,3,5,1,2,4
66,1,3,5,2,4
67,1,5,3,4,2
68,1,5,3,2,4
69,3,5,1,2,4
70,1,5,2,3,4
71,1,5,2,3,4
72,1,5,4,2,3
73,1,5,4,2,3
74,1,5,3,2,4
75,1,5,3,2,4
76,1,5,3,2,4
77,1,5,3,2,4
78,1,5,3,2,4
79,1,2,3,5,4
80,1,5,3,2,4
81,4,5,3,2,1
82,1,5,3,4,2
83,1,5,3,2,4
84,1,5,3,2,4
85,1,5,3,2,4
86,1,5,3,2,4
87,1,5,3,2,4
88,2,5,3,1,4
89,1,5,3,2,4
90,1,5,3,2,4
91,4,5,3,2,1
92,1,5,3,2,4
93,1,5,3,2,4
94,1,5,4,2,3
95,1,5,4,2,3
96,1,5,4,2,3
97,1,5,4,2,3
98,1,3,4,2,5
99,1,5,4,2,3
100,1,5,4,2,3
101,1,5,4,3,2
102,1,5,4,2,3
103,1,4,5,2,3
104,1,5,4,3,2
105,1,5,4,2,3
106,1,5,4,2,3
107,1,5,4,2,3
108,1,5,4,2,3
109,1,5,4,2,3
110,5,1,4,2,3
111,1,5,4,2,3
112,1,3,4,2,5
113,1,5,4,2,3
114,4,5,1,2,3
115,1,2,4,5,3
116,1,5,4,2,3
117,1,4,5,2,3
118,1,5,4,2,3
119,1,5,4,2,3
120,1,3,4,2,5
121,1,3,4,2,5
122,4,3,1,2,5
123,1,3,4,2,5
124,1,3,4,2,5
125,1,3,4,2,5
126,1,3,4,2,5
127,1,4,3,2,5
128,1,4,3,2,5
129,1,4,3,2,5
130,1,4,3,2,5
131,1,4,3,2,5
132,1,3,4,2,5
133,1,4,3,2,5
134,1,2,3,4,5
135,1,4,3,2,5
136,3,4,1,2,5
137,1,4,3,2,5
138,5,4,3,2,1
139,4,1,3,2,5
140,3,4,1,2,5
141,1,4,3,2,5
142,1,4,3,2,5
143,1,4,3,2,5
144,1,4,3,2,5
145,1,4,3,2,5
146,1,4,3,2,5
147,1,4,3,2,5
148,1,4,3,2,5
149,1,4,2,3,5
150,3,4,1,2,5
151,1,4,3,2,5
152,3,4,1,2,5
153,4,1,3,2,5
154,1,4,3,2,5
155,2,4,3,1,5
156,1,4,3,2,5
157,1,4,5,2,3
158,1,4,5,2,3
159,1,4,5,2,3
160,1,2,5,4,3
161,1,4,5,2,3
162,1,4,5,3,2
163,1,2,5,4,3
164,1,3,5,2,4
165,1,4,5,2,3
166,1,4,5,2,3
167,3,4,5,2,1
168,1,4,5,2,3
169,1,3,5,2,4
170,2,3,5,1,4
171,1,3,5,2,4
172,2,3,5,1,4
173,1,3,2,5,4
174,1,3,5,2,4
175,4,3,5,2,1
176,1,3,5,2,4
177,1,3,5,2,4
178,1,3,5,2,4
179,1,3,5,4,2
180,1,3,5,2,4
181,1,2,5,3,4
182,1,2,3,5,4
183,1,2,5,3,4
184,1,2,5,3,4
185,1,2,5,3,4
186,1,4,5,3,2
187,1,3,5,4,2
188,1,4,5,3,2
189,2,4,5,3,1
190,1,4,5,3,2
191,2,4,5,3,1
192,1,3,5,4,2
193,1,3,5,4,2
194,1,4,5,3,2
195,1,4,5,3,2
196,1,2,5,3,4
197,1,4,5,3,2
198,1,4,5,3,2
199,2,4,5,3,1
200,1,4,5,3,2
201,1,3,5,4,2
202,1,4,5,3,2
203,1,4,5,3,2
204,1,4,5,3,2
205,1,4,5,3,2
