iteration,FCI(HIP),GMI(HIP),FCI(Fusi),FCI(PCC),GMI(FUS)
1,1,2,5,4,3
2,1,2,5,3,4
3,3,2,5,1,4
4,3,2,5,1,4
5,3,2,5,1,4
6,3,2,5,1,4
7,3,2,5,1,4
8,3,2,5,1,4
9,3,2,5,1,4
10,3,2,5,1,4
11,3,2,5,1,4
12,3,2,5,1,4
13,3,2,5,1,4
14,3,2,5,1,4
15,3,2,5,1,4
16,3,2,5,1,4
17,3,2,5,1,4
18,3,2,5,1,4
19,3,2,5,1,4
20,3,2,5,1,4
21,3,2,5,1,4
22,3,2,5,1,4
23,3,2,5,1,4
24,3,2,5,1,4
25,3,2,5,1,4
26,3,2,5,1,4
27,3,2,5,1,4
28,3,2,5,1,4
29,3,2,5,1,4
30,3,2,5,1,4
31,3,2,5,1,4
32,3,2,5,1,4
33,3,2,5,1,4
34,3,2,5,1,4
35,3,2,5,1,4
36,3,2,5,1,4
37,3,2,5,1,4
38,3,2,5,1,4
39,3,2,5,1,4
40,3,2,5,1,4
41,3,2,5,1,4
42,3,2,5,1,4
43,3,2,5,1,4
44,3,2,5,1,4
45,3,2,5,1,4
46,3,2,5,1,4
47,3,2,5,1,4
48,3,2,5,1,4
49,3,2,5,1,4
50,3,2,5,1,4
51,3,2,5,1,4
52,3,2,5,1,4
53,3,2,5,1,4
54,3,2,5,1,4
55,3,2,5,1,4
56,3,2,5,1,4
57,3,2,5,1,4
58,3,2,5,1,4
59,3,2,5,1,4
60,3,2,5,1,4
61,3,2,5,1,4
62,3,2,5,1,4
63,3,2,5,1,4
64,3,2,5,1,4
65,3,2,5,1,4
66,3,2,5,1,4
67,3,2,5,1,4
68,3,2,5,1,4
69,3,2,5,1,4
70,3,2,5,1,4
71,3,2,5,1,4
72,3,2,5,1,4
73,3,2,5,1,4
74,3,2,5,1,4
75,3,2,5,1,4
76,3,2,5,1,4
77,3,2,5,1,4
78,3,2,5,1,4
79,3,2,5,1,4
80,3,2,5,1,4
81,3,2,5,1,4
82,3,2,5,1,4
83,3,2,5,1,4
84,3,2,5,1,4
85,3,2,5,1,4
86,3,2,5,1,4
87,3,2,5,1,4
88,3,2,5,1,4
89,3,2,5,1,4
90,3,2,5,1,4
91,3,2,5,1,4
92,3,2,5,1,4
93,3,2,5,1,4
94,3,2,5,1,4
95,3,2,5,1,4
96,3,2,5,1,4
97,3,2,5,1,4
98,3,2,5,1,4
99,3,2,5,1,4
100,3,2,5,1,4
101,3,2,5,1,4
102,3,2,5,1,4
103,3,2,5,1,4
104,3,2,5,1,4
105,3,2,5,1,4
106,3,2,5,1,4
107,3,2,5,1,4
108,3,2,5,1,4
109,3,2,5,1,4
110,3,2,5,1,4
111,3,2,5,1,4
112,3,2,5,1,4
113,3,2,5,1,4
114,3,2,5,1,4
115,3,2,5,1,4
116,3,2,5,1,4
117,3,2,5,1,4
118,3,2,5,1,4
119,3,2,5,1,4
120,3,2,5,1,4
121,3,2,5,1,4
122,3,2,5,1,4
123,3,2,5,1,4
124,3,2,5,1,4
125,3,2,5,1,4
126,3,2,5,1,4
127,3,2,5,1,4
128,3,2,5,1,4
129,3,2,5,1,4
130,3,2,5,1,4
131,3,2,5,1,4
132,3,2,5,1,4
133,3,2,5,1,4
134,3,2,5,1,4
135,3,2,5,1,4
136,3,2,5,1,4
137,3,2,5,1,4
138,3,2,5,1,4
139,3,2,5,1,4
140,3,2,5,1,4
141,3,2,5,1,4
142,3,2,5,1,4
143,3,2,5,1,4
144,3,2,5,1,4
145,3,2,5,1,4
146,3,2,5,1,4
147,3,2,5,1,4
148,3,2,5,1,4
149,3,2,5,1,4
150,3,2,5,1,4
151,3,2,5,1,4
152,3,2,5,1,4
153,3,2,5,1,4
154,3,2,5,1,4
155,3,2,5,1,4
156,3,2,5,1,4
157,3,2,5,1,4
158,3,2,5,1,4
159,3,2,5,1,4
160,3,2,5,1,4
161,3,2,5,1,4
162,3,2,5,1,4
163,3,2,5,1,4
164,3,2,5,1,4
165,3,2,5,1,4
166,3,2,5,1,4
167,3,2,5,1,4
168,3,2,5,1,4
169,3,2,5,1,4
170,3,2,5,1,4
171,3,2,5,1,4
172,3,2,5,1,4
173,3,2,5,1,4
174,3,2,5,1,4
175,3,2,5,1,4
176,3,2,5,1,4
177,3,2,5,1,4
178,3,2,5,1,4
179,3,2,5,1,4
180,3,2,5,1,4
181,3,2,5,1,4
182,3,2,5,1,4
183,3,2,5,1,4
184,3,2,5,1,4
185,3,2,5,1,4
186,3,2,5,1,4
187,3,2,5,1,4
188,3,2,5,1,4
189,3,2,5,1,4
190,3,2,5,1,4
191,3,2,5,1,4
192,3,2,5,1,4
193,3,2,5,1,4
194,3,2,5,1,4
195,3,2,5,1,4
196,3,2,5,1,4
197,3,2,5,1,4
198,3,2,5,1,4
199,3,2,5,1,4
200,3,2,5,1,4
201,3,2,5,1,4
202,3,2,5,1,4
203,3,2,5,1,4
204,3,2,5,1,4
205,3,2,5,1,4
206,3,2,5,1,4
207,3,2,5,1,4
208,3,2,5,1,4
209,3,2,5,1,4
210,3,2,5,1,4
211,3,2,5,1,4
212,1,3,5,2,4
213,1,3,5,2,4
214,1,3,5,2,4
215,1,3,5,2,4
216,1,3,5,2,4
217,1,3,5,2,4
218,1,3,5,2,4
219,1,3,5,2,4
220,1,3,5,2,4
221,1,3,5,2,4
222,1,3,5,2,4
223,1,3,5,2,4
224,1,3,5,2,4
225,1,3,5,2,4
226,1,3,5,2,4
227,1,3,5,2,4
228,1,3,5,2,4
229,1,3,5,2,4
230,1,3,5,2,4
231,1,3,5,2,4
232,1,3,5,2,4
233,1,3,5,2,4
234,1,3,5,2,4
235,1,3,5,2,4
236,1,3,5,2,4
237,1,3,5,2,4
238,1,3,5,2,4
239,1,3,5,2,4
240,1,3,5,2,4
241,1,3,5,2,4
242,1,3,5,2,4
243,1,3,5,2,4
244,1,3,5,2,4
245,1,3,5,2,4
246,1,3,5,2,4
247,1,3,5,2,4
248,1,3,5,2,4
249,1,3,5,2,4
250,1,3,5,2,4
251,1,3,5,2,4
252,1,3,5,2,4
253,1,3,5,2,4
254,1,3,5,2,4
255,1,3,5,2,4
256,1,3,5,2,4
257,1,3,5,2,4
258,1,3,5,2,4
259,1,3,5,2,4
260,1,3,5,2,4
261,1,3,5,2,4
262,1,3,5,2,4
263,1,3,5,2,4
264,1,3,5,2,4
265,1,3,5,2,4
266,1,3,5,2,4
267,1,3,5,2,4
268,1,3,5,2,4
269,1,3,5,2,4
270,1,3,5,2,4
271,1,3,5,2,4
272,1,3,5,2,4
273,1,3,5,2,4
274,1,3,5,2,4
275,1,3,5,2,4
276,1,3,5,2,4
277,1,3,5,2,4
278,1,3,5,2,4
279,1,3,5,2,4
280,1,3,5,2,4
281,1,3,5,2,4
282,1,3,5,2,4
283,1,3,5,2,4
284,1,3,5,2,4
285,1,3,5,2,4
286,1,3,5,2,4
287,1,3,5,2,4
288,1,3,5,2,4
289,1,3,5,2,4
290,1,3,5,2,4
291,1,3,5,2,4
292,1,3,5,2,4
293,1,3,5,2,4
294,1,3,5,2,4
295,1,3,5,2,4
296,1,3,5,2,4
297,1,3,5,2,4
298,1,3,5,2,4
299,1,3,5,2,4
300,1,3,5,2,4
301,1,3,5,2,4
302,1,3,5,2,4
303,1,3,5,2,4
304,1,3,5,2,4
305,1,3,5,2,4
306,1,3,5,2,4
307,1,3,5,2,4
308,1,3,5,2,4
309,1,3,5,2,4
310,1,3,5,2,4
311,1,3,5,2,4
312,1,3,5,2,4
313,1,3,5,2,4
314,1,3,5,2,4
315,1,3,5,2,4
316,1,3,5,2,4
317,1,3,5,2,4
318,1,3,5,2,4
319,1,3,5,2,4
320,1,3,5,2,4
321,1,3,5,2,4
322,1,3,5,2,4
323,1,3,5,2,4
324,1,3,5,2,4
325,1,3,5,2,4
326,1,3,5,2,4
327,1,3,5,2,4
328,1,3,5,2,4
329,1,3,5,2,4
330,1,3,5,2,4
331,1,3,5,2,4
332,1,3,5,2,4
333,1,3,5,2,4
334,1,3,5,2,4
335,1,3,5,2,4
336,1,3,5,2,4
337,1,3,5,2,4
338,1,3,5,2,4
339,1,3,5,2,4
340,1,3,5,2,4
341,1,3,5,2,4
342,1,3,5,2,4
343,1,3,5,2,4
344,1,3,5,2,4
345,1,3,5,2,4
346,1,3,5,2,4
347,1,3,5,2,4
348,1,3,5,2,4
349,1,3,5,2,4
350,1,3,5,2,4
351,1,3,5,2,4
352,1,3,5,2,4
353,1,3,5,2,4
354,1,3,5,2,4
355,1,3,5,2,4
356,1,3,5,2,4
357,1,3,5,2,4
358,1,3,5,2,4
359,1,3,5,2,4
360,1,3,5,2,4
361,1,3,5,2,4
362,1,3,5,2,4
363,1,3,5,2,4
364,1,3,5,2,4
365,1,3,5,2,4
366,1,3,5,2,4
367,1,3,5,2,4
368,1,3,5,2,4
369,1,3,5,2,4
370,1,3,5,2,4
371,1,3,5,2,4
372,1,3,5,2,4
373,1,3,5,2,4
374,1,3,5,2,4
375,1,3,5,2,4
376,1,3,5,2,4
377,1,3,5,2,4
378,1,3,5,2,4
379,1,3,5,2,4
380,1,3,5,2,4
381,1,3,5,2,4
382,1,3,5,2,4
383,1,3,5,2,4
384,1,3,5,2,4
385,1,3,5,2,4
386,1,3,5,2,4
387,1,3,5,2,4
388,1,3,5,2,4
389,1,3,5,2,4
390,1,3,5,2,4
391,1,3,5,2,4
392,1,3,5,2,4
393,1,3,5,2,4
394,1,3,5,2,4
395,1,3,5,2,4
396,1,3,5,2,4
397,1,3,5,2,4
398,1,3,5,2,4
399,1,3,5,2,4
400,1,3,5,2,4
401,1,3,5,2,4
402,1,3,5,2,4
403,1,3,5,2,4
404,1,3,5,2,4
405,1,3,5,2,4
406,1,3,5,2,4
407,1,3,5,2,4
408,1,3,5,2,4
409,1,3,5,2,4
410,1,3,5,2,4
411,1,3,5,2,4
412,1,3,5,2,4
413,1,3,5,2,4
414,1,3,5,2,4
415,1,3,5,2,4
416,1,3,5,2,4
417,1,3,5,2,4
418,1,3,5,2,4
419,1,3,5,2,4
420,1,3,5,2,4
421,1,3,5,2,4
422,1,3,5,2,4
423,1,3,5,2,4
424,1,3,5,2,4
425,1,3,5,2,4
426,1,3,5,2,4
427,1,3,5,2,4
428,1,3,5,2,4
429,1,3,5,2,4
430,1,3,5,2,4
431,1,3,5,2,4
432,1,3,5,2,4
433,1,3,5,2,4
434,1,3,5,2,4
435,1,3,5,2,4
436,1,3,5,2,4
437,1,3,5,2,4
438,1,3,5,2,4
439,1,3,5,2,4
440,1,3,5,2,4
441,1,3,5,2,4
442,1,3,5,2,4
443,1,3,5,2,4
444,1,3,5,2,4
445,1,3,5,2,4
446,1,3,5,2,4
447,1,3,5,2,4
448,1,3,5,2,4
449,1,3,5,2,4
450,1,3,5,2,4
451,1,3,5,2,4
452,1,3,5,2,4
453,1,3,5,2,4
454,1,3,5,2,4
455,1,3,5,2,4
456,1,3,5,2,4
457,1,3,5,2,4
458,1,3,5,2,4
459,1,3,5,2,4
460,1,3,5,2,4
461,1,3,5,2,4
462,1,3,5,2,4
463,1,3,5,2,4
464,1,3,5,2,4
465,1,3,5,2,4
466,1,3,5,2,4
467,1,3,5,2,4
468,1,3,5,2,4
469,1,3,5,2,4
470,1,3,5,2,4
471,1,3,5,2,4
472,1,3,5,2,4
473,1,3,5,2,4
474,1,3,5,2,4
475,1,3,5,2,4
476,1,3,5,2,4
477,1,3,5,2,4
478,1,3,5,2,4
479,1,3,5,2,4
480,1,3,5,2,4
481,1,3,5,2,4
482,1,3,5,2,4
483,1,3,5,2,4
484,1,3,5,2,4
485,1,3,5,2,4
486,1,3,5,2,4
487,1,3,5,2,4
488,1,3,5,2,4
489,1,3,5,2,4
490,1,3,5,2,4
491,1,3,5,2,4
492,1,3,5,2,4
493,1,3,5,2,4
494,1,3,5,2,4
495,1,3,5,2,4
496,1,3,5,2,4
497,1,3,5,2,4
498,1,3,5,2,4
499,1,3,5,2,4
500,1,3,5,2,4
501,1,3,5,2,4
502,1,3,5,2,4
503,1,3,5,2,4
504,1,3,5,2,4
505,1,3,5,2,4
506,1,3,5,2,4
507,1,3,5,2,4
508,1,3,5,2,4
509,1,3,5,2,4
510,1,3,5,2,4
511,1,3,5,2,4
512,1,3,5,2,4
513,1,3,5,2,4
514,1,3,5,2,4
515,1,3,5,2,4
516,1,3,5,2,4
517,1,3,5,2,4
518,1,3,5,2,4
519,1,3,5,2,4
520,1,3,5,2,4
521,1,3,5,2,4
522,1,3,5,2,4
523,1,3,5,2,4
524,1,3,5,2,4
525,1,3,5,2,4
526,1,3,5,2,4
527,1,3,5,2,4
528,1,3,5,2,4
529,1,3,5,2,4
530,1,3,5,2,4
531,1,3,5,2,4
532,1,3,5,2,4
533,1,3,5,2,4
534,1,3,5,2,4
535,1,3,5,2,4
536,1,3,5,2,4
537,1,3,5,2,4
538,1,3,5,2,4
539,1,3,5,2,4
540,1,3,5,2,4
541,1,3,5,2,4
542,1,3,5,2,4
543,1,3,5,2,4
544,1,3,5,2,4
545,1,3,5,2,4
546,1,3,5,2,4
547,1,3,5,2,4
548,1,3,5,2,4
549,1,3,5,2,4
550,1,3,5,2,4
551,1,3,5,2,4
552,1,3,5,2,4
553,1,3,5,2,4
554,1,3,5,2,4
555,1,3,5,2,4
556,1,3,5,2,4
557,1,3,5,2,4
558,1,3,5,2,4
559,1,3,5,2,4
560,1,3,5,2,4
561,1,3,5,2,4
562,1,3,5,2,4
563,1,3,5,2,4
564,1,3,5,2,4
565,1,3,5,2,4
566,1,3,5,2,4
567,1,3,5,2,4
568,1,3,5,2,4
569,1,3,5,2,4
570,1,3,5,2,4
571,1,3,5,2,4
572,1,3,5,2,4
573,1,3,5,2,4
574,1,3,5,2,4
575,1,3,5,2,4
576,1,3,5,2,4
577,1,3,5,2,4
578,1,3,5,2,4
579,1,3,5,2,4
580,1,3,5,2,4
581,1,3,5,2,4
582,1,3,5,2,4
583,1,3,5,2,4
584,1,3,5,2,4
585,1,3,5,2,4
586,1,3,5,2,4
587,1,3,5,2,4
588,1,3,5,2,4
589,1,3,5,2,4
590,1,3,5,2,4
591,1,3,5,2,4
592,1,3,5,2,4
593,1,3,5,2,4
594,1,3,5,2,4
595,1,3,5,2,4
596,1,3,5,2,4
597,1,3,5,2,4
598,1,3,5,2,4
599,1,3,5,2,4
600,1,3,5,2,4
601,1,3,5,2,4
602,1,3,5,2,4
603,1,3,5,2,4
604,1,3,5,2,4
605,1,3,5,2,4
606,1,3,5,2,4
607,1,3,5,2,4
608,1,3,5,2,4
609,1,3,5,2,4
610,1,3,5,2,4
611,1,3,5,2,4
612,1,3,5,2,4
613,1,3,5,2,4
614,1,3,5,2,4
615,1,3,5,2,4
616,1,3,5,2,4
617,1,3,5,2,4
618,1,3,5,2,4
619,1,3,5,2,4
620,1,3,5,2,4
621,1,3,5,2,4
622,1,3,5,2,4
623,1,3,5,2,4
624,1,3,5,2,4
625,1,3,5,2,4
626,1,3,5,2,4
627,1,3,5,2,4
628,1,3,5,2,4
629,1,3,5,2,4
630,1,3,5,2,4
631,1,3,5,2,4
632,1,3,5,2,4
633,1,3,5,2,4
634,1,3,5,2,4
635,1,3,5,2,4
636,1,3,5,2,4
637,1,3,5,2,4
638,1,3,5,2,4
639,1,3,5,2,4
640,1,3,5,2,4
641,1,3,5,2,4
642,1,3,5,2,4
643,1,3,5,2,4
644,1,3,5,2,4
645,1,3,5,2,4
646,1,3,5,2,4
647,1,3,5,2,4
648,1,3,5,2,4
649,1,3,5,2,4
650,1,3,5,2,4
651,1,3,5,2,4
652,1,3,5,2,4
653,1,3,5,2,4
654,1,3,5,2,4
655,1,3,5,2,4
656,1,3,5,2,4
657,1,3,5,2,4
658,1,3,5,2,4
659,1,3,5,2,4
660,1,3,5,2,4
661,1,3,5,2,4
662,1,3,5,2,4
663,1,3,5,2,4
664,1,3,5,2,4
665,1,3,5,2,4
