iteration,FCI(HIP),GMI(HIP),FCI(Fusi),FCI(PCC),GMI(FUS)
1,1,2,5,4,3
2,1,2,5,3,4
3,3,2,5,1,4
4,3,2,5,1,4
5,2,5,3,1,4
6,3,2,5,1,4
7,3,1,5,2,4
8,3,2,5,1,4
9,3,2,5,1,4
10,3,2,5,1,4
11,3,2,5,1,4
12,5,2,4,1,3
13,3,2,1,4,5
14,3,4,2,1,5
15,3,2,5,1,4
16,3,1,5,4,2
17,4,3,5,1,2
18,5,2,3,1,4
19,3,1,2,5,4
20,3,1,5,2,4
21,3,2,5,1,4
22,3,1,5,4,2
23,3,1,5,2,4
24,3,2,1,5,4
25,4,2,5,3,1
26,3,2,5,4,1
27,2,1,5,3,4
28,3,1,2,5,4
29,3,4,5,1,2
30,3,2,5,1,4
31,3,2,5,1,4
32,3,1,2,5,4
33,3,1,5,4,2
34,3,5,4,1,2
35,3,2,4,1,5
36,3,1,2,5,4
37,5,2,3,1,4
38,3,2,5,1,4
39,3,2,4,5,1
40,3,1,5,2,4
41,3,5,2,1,4
42,3,4,5,1,2
43,3,2,5,4,1
44,5,2,1,3,4
45,5,2,4,1,3
46,5,2,3,1,4
47,3,2,1,5,4
48,4,2,3,1,5
49,1,2,5,3,4
50,3,2,4,1,5
51,3,4,5,1,2
52,3,2,1,5,4
53,3,5,2,1,4
54,3,5,2,1,4
55,4,2,5,1,3
56,3,1,5,2,4
57,1,2,5,4,3
58,1,2,5,3,4
59,4,2,5,1,3
60,3,4,5,2,1
61,3,4,5,1,2
62,3,1,5,4,2
63,3,1,5,2,4
64,3,2,5,1,4
65,3,2,1,5,4
66,5,2,3,1,4
67,4,2,5,1,3
68,5,2,4,1,3
69,3,2,5,1,4
70,2,3,5,1,4
71,5,2,1,3,4
72,2,5,3,1,4
73,3,5,2,1,4
74,2,5,3,1,4
75,1,2,3,5,4
76,5,2,3,1,4
77,3,2,5,1,4
78,3,2,5,1,4
79,3,2,5,1,4
80,3,2,5,1,4
81,3,2,1,5,4
82,3,2,4,1,5
83,3,2,1,5,4
84,3,2,5,1,4
85,1,2,3,5,4
86,3,5,2,1,4
87,3,2,5,1,4
88,3,2,5,1,4
89,3,1,5,2,4
90,3,2,5,4,1
91,3,2,5,4,1
92,4,2,3,1,5
93,3,2,1,5,4
94,3,5,1,2,4
95,3,2,5,1,4
96,5,2,3,1,4
97,3,2,5,4,1
98,4,2,5,1,3
99,3,2,5,1,4
100,3,4,2,1,5
101,2,3,5,1,4
102,3,2,5,1,4
103,3,2,1,5,4
104,4,5,1,3,2
105,2,3,5,1,4
106,1,2,5,4,3
107,3,2,4,1,5
108,4,2,5,1,3
109,1,2,5,3,4
110,4,3,1,5,2
111,2,3,5,1,4
112,1,2,5,3,4
113,3,2,1,5,4
114,3,5,4,1,2
115,3,2,5,4,1
116,5,2,1,3,4
117,5,2,3,1,4
118,3,2,5,1,4
119,3,2,5,1,4
120,3,2,5,1,4
121,4,2,5,1,3
122,3,5,2,1,4
123,3,4,2,1,5
124,4,2,5,3,1
125,1,2,3,5,4
126,4,1,5,3,2
127,3,5,2,1,4
128,3,2,5,1,4
129,3,1,5,4,2
130,3,2,5,1,4
131,3,2,5,1,4
132,3,2,5,1,4
133,3,4,5,1,2
134,5,2,3,1,4
135,4,2,5,1,3
136,3,2,5,4,1
137,2,3,5,1,4
138,4,2,5,3,1
139,3,2,5,4,1
140,3,4,5,1,2
141,3,5,2,1,4
142,3,2,5,4,1
143,3,2,4,1,5
144,3,2,5,1,4
145,3,2,5,1,4
146,4,3,5,1,2
147,4,3,5,1,2
148,3,1,5,2,4
149,3,5,2,1,4
150,3,2,5,1,4
151,1,2,5,3,4
152,2,3,4,1,5
153,3,5,4,1,2
154,3,2,4,5,1
155,1,2,5,3,4
156,3,2,5,1,4
157,2,3,4,1,5
158,3,4,2,1,5
159,2,3,1,4,5
160,3,2,5,1,4
161,4,2,5,1,3
162,3,2,1,5,4
163,2,1,3,4,5
164,3,5,4,1,2
165,2,3,5,1,4
166,1,3,5,2,4
167,2,1,5,4,3
168,4,3,5,1,2
169,3,2,5,1,4
170,1,3,5,2,4
171,5,2,3,1,4
172,3,2,5,1,4
173,3,2,1,5,4
174,2,3,5,1,4
175,3,1,5,2,4
176,3,2,5,1,4
177,3,4,5,2,1
178,1,2,3,5,4
179,3,1,5,2,4
180,3,4,2,1,5
181,2,4,5,1,3
182,3,1,5,2,4
183,3,1,5,2,4
184,3,4,2,1,5
185,4,2,5,1,3
186,1,2,5,3,4
187,3,2,5,1,4
188,3,2,1,5,4
189,3,2,5,1,4
190,2,3,5,1,4
191,3,2,5,1,4
192,3,2,5,1,4
193,3,1,5,2,4
194,5,3,2,1,4
195,3,1,5,2,4
196,3,2,5,1,4
197,3,4,5,1,2
198,3,4,5,1,2
199,3,2,4,1,5
200,3,5,2,1,4
201,4,2,5,3,1
202,5,2,3,1,4
203,3,5,2,1,4
204,1,3,5,2,4
205,3,2,5,1,4
206,3,2,5,1,4
207,1,2,5,4,3
208,4,2,5,1,3
209,3,2,5,1,4
210,1,2,5,3,4
211,3,2,5,1,4
212,1,3,5,2,4
213,1,3,5,2,4
214,1,5,3,2,4
215,2,1,5,3,4
216,1,2,5,3,4
217,1,4,5,2,3
218,1,4,3,2,5
219,1,3,4,5,2
220,1,2,5,3,4
221,4,3,5,2,1
222,1,2,5,3,4
223,1,5,2,3,4
224,1,4,3,2,5
225,1,3,4,2,5
226,3,1,5,2,4
227,4,3,1,2,5
228,1,2,5,3,4
229,1,3,5,2,4
230,1,3,5,2,4
231,1,3,5,2,4
232,4,3,5,1,2
233,4,3,5,2,1
234,1,4,5,3,2
235,2,3,5,4,1
236,1,3,2,4,5
237,3,1,5,2,4
238,5,3,1,2,4
239,1,3,5,2,4
240,1,3,5,2,4
241,4,3,5,2,1
242,3,5,1,2,4
243,1,3,5,2,4
244,1,3,4,2,5
245,1,3,4,5,2
246,1,5,2,3,4
247,4,3,5,2,1
248,5,3,2,1,4
249,4,3,1,2,5
250,1,5,3,2,4
251,1,3,5,2,4
252,1,2,5,3,4
253,3,4,5,2,1
254,1,3,5,4,2
255,3,1,5,2,4
256,1,3,2,4,5
257,1,3,4,2,5
258,4,1,5,2,3
259,1,3,4,5,2
260,4,3,5,2,1
261,5,1,3,2,4
262,1,3,5,4,2
263,3,1,5,2,4
264,1,5,4,2,3
265,3,1,5,2,4
266,1,4,3,2,5
267,3,1,5,2,4
268,1,3,2,4,5
269,2,3,5,4,1
270,4,3,5,2,1
271,1,3,5,2,4
272,1,3,5,2,4
273,1,3,2,4,5
274,5,3,2,1,4
275,1,2,3,5,4
276,1,3,2,5,4
277,5,1,3,2,4
278,4,3,1,2,5
279,1,3,2,5,4
280,1,4,5,2,3
281,4,3,5,2,1
282,5,3,4,2,1
283,1,2,5,3,4
284,2,3,5,1,4
285,1,5,4,2,3
286,1,3,5,2,4
287,1,4,5,2,3
288,5,3,1,2,4
289,2,1,5,3,4
290,1,2,5,3,4
291,1,3,5,2,4
292,1,3,4,5,2
293,4,3,5,2,1
294,1,3,5,2,4
295,4,3,1,2,5
296,5,3,1,2,4
297,1,5,4,2,3
298,1,3,5,4,2
299,5,1,3,2,4
300,1,5,2,3,4
301,1,3,5,4,2
302,3,1,5,2,4
303,3,4,5,2,1
304,1,3,5,2,4
305,5,1,3,2,4
306,1,3,5,2,4
307,1,4,5,2,3
308,1,3,5,2,4
309,1,3,4,5,2
310,3,2,5,1,4
311,1,2,5,3,4
312,2,1,5,3,4
313,4,3,1,2,5
314,1,3,5,4,2
315,1,2,5,4,3
316,3,1,5,2,4
317,1,4,5,2,3
318,2,3,5,4,1
319,1,3,4,2,5
320,3,1,5,2,4
321,1,4,5,3,2
322,1,3,5,2,4
323,4,3,1,2,5
324,1,5,2,3,4
325,2,1,5,3,4
326,1,4,3,2,5
327,1,3,2,5,4
328,2,1,5,3,4
329,3,2,5,1,4
330,2,3,5,1,4
331,4,1,5,2,3
332,2,3,5,1,4
333,2,3,5,4,1
334,1,3,5,4,2
335,5,3,2,1,4
336,1,3,5,2,4
337,1,2,5,3,4
338,1,4,5,2,3
339,1,2,5,4,3
340,1,3,5,2,4
341,5,3,1,2,4
342,5,3,1,2,4
343,1,5,3,2,4
344,1,5,3,2,4
345,1,5,4,2,3
346,4,3,5,2,1
347,4,3,5,2,1
348,1,3,5,2,4
349,1,4,5,2,3
350,1,3,5,2,4
351,1,3,4,2,5
352,2,3,5,1,4
353,1,2,5,3,4
354,1,2,3,5,4
355,1,3,4,5,2
356,1,2,5,3,4
357,1,3,4,2,5
358,5,1,3,2,4
359,1,3,5,4,2
360,1,3,4,2,5
361,2,3,1,5,4
362,1,2,5,3,4
363,1,2,5,3,4
364,1,3,5,2,4
365,1,2,5,3,4
366,1,3,5,4,2
367,2,3,5,1,4
368,1,4,5,2,3
369,1,3,5,4,2
370,1,3,5,4,2
371,1,2,5,3,4
372,5,3,4,2,1
373,4,3,5,2,1
374,1,3,5,2,4
375,4,3,1,2,5
376,4,1,5,2,3
377,2,3,5,1,4
378,3,4,5,2,1
379,2,3,5,1,4
380,1,4,5,2,3
381,3,1,5,2,4
382,1,3,5,2,4
383,5,1,3,2,4
384,5,3,4,2,1
385,2,3,1,5,4
386,1,3,5,2,4
387,1,3,5,4,2
388,5,3,2,1,4
389,2,3,1,5,4
390,4,3,5,2,1
391,1,3,4,2,5
392,1,4,5,2,3
393,1,3,2,5,4
394,1,4,5,2,3
395,1,3,5,4,2
396,1,2,3,5,4
397,5,3,1,2,4
398,3,4,5,2,1
399,5,3,2,1,4
400,1,3,5,2,4
401,1,3,5,2,4
402,2,3,5,1,4
403,1,4,5,3,2
404,5,1,3,2,4
405,1,3,4,2,5
406,1,3,5,4,2
407,2,3,5,4,1
408,1,5,3,2,4
409,1,3,5,2,4
410,1,3,5,2,4
411,1,3,5,2,4
412,1,3,2,5,4
413,4,3,5,2,1
414,5,3,1,2,4
415,1,3,4,2,5
416,5,3,4,2,1
417,3,1,5,2,4
418,1,2,5,4,3
419,3,2,5,1,4
420,1,3,4,5,2
421,1,3,2,5,4
422,1,2,5,3,4
423,2,3,5,4,1
424,3,5,1,2,4
425,2,3,5,1,4
426,3,1,5,2,4
427,1,4,5,3,2
428,3,1,5,2,4
429,1,2,5,4,3
430,3,1,5,2,4
431,1,3,2,5,4
432,4,3,5,1,2
433,1,3,5,2,4
434,1,3,2,4,5
435,2,3,5,1,4
436,1,3,5,4,2
437,3,1,5,2,4
438,2,3,1,5,4
439,2,3,5,4,1
440,1,3,2,5,4
441,3,2,5,1,4
442,4,3,1,2,5
443,1,3,5,2,4
444,4,3,5,2,1
445,1,3,5,2,4
446,1,3,5,2,4
447,4,3,5,2,1
448,1,3,5,2,4
449,3,1,5,2,4
450,4,3,5,1,2
451,3,1,5,2,4
452,1,3,4,2,5
453,1,3,2,5,4
454,5,3,1,2,4
455,5,3,1,2,4
456,3,2,5,1,4
457,4,3,5,2,1
458,1,5,3,2,4
459,1,3,5,2,4
460,1,3,5,4,2
461,1,4,3,2,5
462,4,3,1,2,5
463,1,3,5,4,2
464,2,1,5,3,4
465,5,3,2,1,4
466,2,1,5,3,4
467,1,3,4,2,5
468,1,2,3,5,4
469,1,5,3,2,4
470,1,3,5,4,2
471,5,3,1,2,4
472,2,3,5,4,1
473,1,2,5,4,3
474,5,3,1,2,4
475,2,3,5,1,4
476,5,3,1,2,4
477,2,3,5,1,4
478,2,3,5,1,4
479,1,2,3,5,4
480,1,3,5,4,2
481,1,2,5,3,4
482,2,3,5,1,4
483,1,3,5,4,2
484,1,2,5,4,3
485,1,3,2,5,4
486,1,3,5,4,2
487,1,5,4,2,3
488,1,2,5,4,3
489,1,5,4,2,3
490,1,3,2,5,4
491,5,3,4,2,1
492,3,1,5,2,4
493,2,3,1,5,4
494,1,3,2,4,5
495,4,3,1,2,5
496,1,2,5,3,4
497,3,5,1,2,4
498,1,5,2,3,4
499,3,1,5,2,4
500,2,3,1,5,4
501,2,3,5,1,4
502,2,3,5,1,4
503,1,3,4,2,5
504,4,3,5,2,1
505,1,3,4,2,5
506,1,3,5,2,4
507,1,2,5,3,4
508,2,1,5,3,4
509,1,3,5,2,4
510,3,1,5,2,4
511,1,2,3,5,4
512,1,3,5,2,4
513,2,3,5,1,4
514,2,3,5,1,4
515,3,1,5,2,4
516,1,2,3,5,4
517,1,3,5,2,4
518,1,3,2,5,4
519,1,3,4,2,5
520,1,4,5,2,3
521,1,3,5,2,4
522,5,3,2,1,4
523,4,3,5,2,1
524,1,4,3,2,5
525,2,3,5,4,1
526,1,3,5,2,4
527,4,1,5,2,3
528,5,3,1,2,4
529,1,3,2,4,5
530,1,3,5,2,4
531,4,1,5,2,3
532,3,2,5,1,4
533,3,2,5,1,4
534,2,3,5,1,4
535,5,3,4,2,1
536,1,3,5,2,4
537,3,4,5,2,1
538,5,3,4,2,1
539,3,4,5,2,1
540,3,1,5,2,4
541,4,1,5,2,3
542,1,4,3,2,5
543,1,3,2,5,4
544,1,2,5,4,3
545,5,3,2,1,4
546,1,3,4,2,5
547,3,1,5,2,4
548,4,3,5,2,1
549,2,3,5,1,4
550,3,1,5,2,4
551,1,4,5,2,3
552,4,3,1,2,5
553,1,2,3,5,4
554,1,2,5,3,4
555,5,3,1,2,4
556,1,3,4,5,2
557,5,3,1,2,4
558,1,3,4,2,5
559,1,3,5,2,4
560,3,2,5,1,4
561,1,3,5,2,4
562,1,3,5,2,4
563,4,1,5,2,3
564,4,3,5,2,1
565,1,3,2,5,4
566,2,1,5,3,4
567,1,3,5,4,2
568,1,3,5,2,4
569,2,1,5,3,4
570,4,1,5,2,3
571,1,3,2,4,5
572,1,3,2,5,4
573,3,5,1,2,4
574,1,4,5,2,3
575,1,3,4,5,2
576,1,3,5,4,2
577,2,3,5,1,4
578,1,5,2,3,4
579,4,3,1,2,5
580,1,3,2,5,4
581,1,3,5,2,4
582,1,3,5,2,4
583,3,4,5,2,1
584,5,3,2,1,4
585,3,2,5,1,4
586,1,3,5,4,2
587,3,1,5,2,4
588,5,3,1,2,4
589,4,1,5,2,3
590,3,1,5,2,4
591,1,3,2,5,4
592,1,3,5,2,4
593,1,3,5,2,4
594,1,3,5,2,4
595,2,3,5,1,4
596,1,5,3,2,4
597,3,4,5,2,1
598,1,3,5,4,2
599,4,3,1,2,5
600,1,3,2,5,4
601,1,3,5,2,4
602,1,5,3,2,4
603,1,3,4,2,5
604,4,1,5,2,3
605,1,3,4,2,5
606,4,1,5,2,3
607,3,1,5,2,4
608,1,2,3,5,4
609,1,3,2,5,4
610,1,5,3,2,4
611,1,2,5,3,4
612,5,1,3,2,4
613,4,3,5,2,1
614,1,3,5,2,4
615,1,3,5,2,4
616,5,3,4,2,1
617,1,3,5,2,4
618,1,2,5,3,4
619,1,5,2,3,4
620,2,3,5,1,4
621,1,4,5,2,3
622,1,2,5,4,3
623,4,1,5,2,3
624,5,3,1,2,4
625,4,3,5,2,1
626,1,3,5,4,2
627,2,3,5,1,4
628,2,3,5,1,4
629,2,3,5,1,4
630,5,3,1,2,4
631,4,3,5,2,1
632,3,5,1,2,4
633,5,1,3,2,4
634,1,2,3,5,4
635,2,1,5,3,4
636,1,3,2,5,4
637,1,3,5,2,4
638,1,2,5,3,4
639,4,1,5,2,3
640,1,5,3,2,4
641,1,3,4,2,5
642,5,3,1,2,4
643,1,3,5,4,2
644,1,4,5,3,2
645,1,3,5,4,2
646,2,1,5,3,4
647,1,2,3,5,4
648,1,3,4,2,5
649,4,1,5,2,3
650,1,5,2,3,4
651,1,3,2,5,4
652,1,3,5,2,4
653,1,2,5,3,4
654,1,3,5,4,2
655,1,4,5,2,3
656,3,1,5,2,4
657,1,2,3,5,4
658,2,3,5,1,4
659,1,3,4,2,5
660,1,3,5,4,2
661,2,3,5,4,1
662,5,3,2,1,4
663,4,3,5,1,2
664,1,3,2,5,4
665,1,3,2,5,4
