iteration,participant_stages_at_the_start_of_this_round,should_revert_to_max_likelihood_order,new_order_to_test,all_participant_ln_likelihood,max_likelihood_up_until_now,all_participant_ln_likelihood_is_larger,accepted_order,accepted_likelihood,participant_stages_at_the_end_of_iteration,acceptance_ratio,actualy_reverted
1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 2 2 3 1 3 2 4 4 3 1 4 3 5 4 1 5 3 5 3 3 5 5 1 4 4 2 4 1
 4 4 3 5 2 2 4 3 4 1 2 1 4 3 4 3 3 2 1 3 2 1 2 3 3 2 3 5 1 5 1 3 3 2 4 5 5
 1 4 3 1 3 3 4 3 2 5 2 1 2 4 5 2 1 2 3 3 4 3 3 2 1 4 5 4 2 1 5 2 5]",False,"{'FCI(HIP)': 1, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 4, 'GMI(FUS)': 3}",-940.8107847940248,-940.8107847940248,True,"{'FCI(HIP)': 1, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 4, 'GMI(FUS)': 3}",-940.8107847940248,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 3 1 1 2 4 2 5 5 3 5 1 5 4 5 3 5 5 4 2 5 2 3 1 5 3 2 5 3
 4 2 5 5 1 2 2 3 5 1 4 1 2 3 3 1 5 4 4 1 4 1 3 5 4 2 3 1 3 1 4 5 2 5 1 5 3
 1 5 3 5 2 1 1 5 5 4 5 4 3 2 4 4 3 3 3 2 3 3 5 3 2 1 4 4 3 4 4 5 1]",100.0,
2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 3 1 1 2 4 2 5 5 3 5 1 5 4 5 3 5 5 4 2 5 2 3 1 5 3 2 5 3
 4 2 5 5 1 2 2 3 5 1 4 1 2 3 3 1 5 4 4 1 4 1 3 5 4 2 3 1 3 1 4 5 2 5 1 5 3
 1 5 3 5 2 1 1 5 5 4 5 4 3 2 4 4 3 3 3 2 3 3 5 3 2 1 4 4 3 4 4 5 1]",False,"{'FCI(HIP)': 1, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 3, 'GMI(FUS)': 4}",-940.7097654636201,-940.7097654636201,True,"{'FCI(HIP)': 1, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 3, 'GMI(FUS)': 4}",-940.7097654636201,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3 3 3 1 1 4 3 2 1 5 4 1 1 1 4 5 2 4 4 4 5 2 1 1 4 4 5 3 4
 2 3 1 2 2 4 2 4 2 3 4 1 2 2 4 5 1 4 1 4 5 5 2 3 2 5 1 1 2 4 4 5 2 4 1 3 5
 4 5 4 5 5 2 4 4 3 5 2 2 2 4 4 5 3 3 4 1 5 5 4 1 2 5 4 3 2 4 4 4 1]",100.0,
3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3 3 3 1 1 4 3 2 1 5 4 1 1 1 4 5 2 4 4 4 5 2 1 1 4 4 5 3 4
 2 3 1 2 2 4 2 4 2 3 4 1 2 2 4 5 1 4 1 4 5 5 2 3 2 5 1 1 2 4 4 5 2 4 1 3 5
 4 5 4 5 5 2 4 4 3 5 2 2 2 4 4 5 3 3 4 1 5 5 4 1 2 5 4 3 2 4 4 4 1]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-921.0659163966957,-921.0659163966957,True,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-921.0659163966957,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3 1 5 5 1 3 4 5 1 4 1 3 2 1 1 1 5 1 5 2 5 5 2 2 5 5 3 5 5
 5 3 5 1 5 5 5 2 1 3 1 1 5 4 4 3 3 5 2 3 4 2 4 3 4 1 1 3 2 5 4 3 3 4 1 3 4
 1 4 4 4 2 4 2 5 2 2 5 2 5 2 1 4 5 5 4 4 2 4 5 2 1 5 4 4 4 3 4 5 2]",100.0,
4,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3 1 5 5 1 3 4 5 1 4 1 3 2 1 1 1 5 1 5 2 5 5 2 2 5 5 3 5 5
 5 3 5 1 5 5 5 2 1 3 1 1 5 4 4 3 3 5 2 3 4 2 4 3 4 1 1 3 2 5 4 3 3 4 1 3 4
 1 4 4 4 2 4 2 5 2 2 5 2 5 2 1 4 5 5 4 4 2 4 5 2 1 5 4 4 4 3 4 5 2]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-913.0648884116131,-913.0648884116131,True,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-913.0648884116131,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 3 2 1 1 2 2 5 2 4 1 1 5 3 2 1 3 2 5 4 1 1 3 3 5 5 1 5 2
 4 2 5 1 2 5 2 4 5 2 2 1 1 5 4 3 5 2 1 4 2 3 4 1 4 1 1 1 2 4 4 2 4 5 4 1 4
 5 4 5 5 2 2 5 5 3 4 4 2 4 5 3 3 2 4 4 1 1 4 5 5 4 5 4 4 2 5 4 4 3]",100.0,
5,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 3 2 1 1 2 2 5 2 4 1 1 5 3 2 1 3 2 5 4 1 1 3 3 5 5 1 5 2
 4 2 5 1 2 5 2 4 5 2 2 1 1 5 4 3 5 2 1 4 2 3 4 1 4 1 1 1 2 4 4 2 4 5 4 1 4
 5 4 5 5 2 2 5 5 3 4 4 2 4 5 3 3 2 4 4 1 1 4 5 5 4 5 4 4 2 5 4 4 3]",False,"{'FCI(HIP)': 2, 'GMI(HIP)': 5, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-936.6793902482991,-913.0648884116131,False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-913.0648884116131,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 5 3 1 1 1 1 2 5 3 5 3 3 3 1 5 1 1 1 5 5 2 2 3 3 1 5 5 5 2
 4 1 3 2 4 2 2 4 2 2 4 1 2 5 4 2 3 3 5 5 1 5 5 3 4 2 1 1 1 4 1 3 5 4 1 2 5
 3 4 5 3 1 5 5 4 1 3 3 4 2 4 1 5 1 3 5 2 4 5 5 3 2 4 5 5 1 5 5 5 1]",80.0,
6,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 5 3 1 1 1 1 2 5 3 5 3 3 3 1 5 1 1 1 5 5 2 2 3 3 1 5 5 5 2
 4 1 3 2 4 2 2 4 2 2 4 1 2 5 4 2 3 3 5 5 1 5 5 3 4 2 1 1 1 4 1 3 5 4 1 2 5
 3 4 5 3 1 5 5 4 1 3 3 4 2 4 1 5 1 3 5 2 4 5 5 3 2 4 5 5 1 5 5 5 1]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-915.971943432707,-913.0648884116131,False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-913.0648884116131,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 1 1 2 4 4 3 4 5 5 3 2 5 1 1 1 2 2 5 1 1 1 3 1 3 5 2 4 1
 4 2 1 5 4 3 1 5 1 1 4 2 1 4 5 3 3 3 1 4 3 3 5 1 5 1 3 3 1 3 4 1 4 1 2 1 4
 1 4 5 3 2 3 1 4 1 4 2 1 4 3 5 2 3 3 2 1 2 5 4 4 4 2 5 5 2 1 5 4 1]",66.66666666666667,
7,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 1 1 2 4 4 3 4 5 5 3 2 5 1 1 1 2 2 5 1 1 1 3 1 3 5 2 4 1
 4 2 1 5 4 3 1 5 1 1 4 2 1 4 5 3 3 3 1 4 3 3 5 1 5 1 3 3 1 3 4 1 4 1 2 1 4
 1 4 5 3 2 3 1 4 1 4 2 1 4 3 5 2 3 3 2 1 2 5 4 4 4 2 5 5 2 1 5 4 1]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 1, 'FCI(Fusi)': 5, 'FCI(PCC)': 2, 'GMI(FUS)': 4}",-933.0659057150168,-913.0648884116131,False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-913.0648884116131,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3 3 2 3 1 1 1 5 2 5 3 3 5 3 1 2 5 2 5 4 1 1 1 2 3 4 2 1 4
 4 4 5 2 1 1 2 1 4 1 5 3 2 3 5 1 3 3 3 4 3 3 5 3 5 2 5 1 1 5 4 4 1 3 2 1 4
 3 5 4 1 2 2 5 4 4 5 1 1 4 5 4 3 2 3 5 1 2 5 5 3 4 2 5 5 4 5 5 5 4]",57.142857142857146,
8,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3 3 2 3 1 1 1 5 2 5 3 3 5 3 1 2 5 2 5 4 1 1 1 2 3 4 2 1 4
 4 4 5 2 1 1 2 1 4 1 5 3 2 3 5 1 3 3 3 4 3 3 5 3 5 2 5 1 1 5 4 4 1 3 2 1 4
 3 5 4 1 2 2 5 4 4 5 1 1 4 5 4 3 2 3 5 1 2 5 5 3 4 2 5 5 4 5 5 5 4]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-915.2158536669912,-913.0648884116131,False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-913.0648884116131,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 3 2 3 1 1 1 2 1 5 1 1 5 2 3 1 1 1 4 5 3 1 1 3 2 4 5 5 1
 5 2 4 3 5 3 5 4 1 3 1 2 2 5 5 2 2 2 1 4 3 4 3 2 4 2 1 1 3 3 1 1 2 1 1 1 4
 2 5 4 3 3 3 5 4 2 3 4 5 5 5 1 3 2 3 4 4 2 4 4 2 4 4 5 5 3 1 4 4 2]",50.0,
9,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 3 2 3 1 1 1 2 1 5 1 1 5 2 3 1 1 1 4 5 3 1 1 3 2 4 5 5 1
 5 2 4 3 5 3 5 4 1 3 1 2 2 5 5 2 2 2 1 4 3 4 3 2 4 2 1 1 3 3 1 1 2 1 1 1 4
 2 5 4 3 3 3 5 4 2 3 4 5 5 5 1 3 2 3 4 4 2 4 4 2 4 4 5 5 3 1 4 4 2]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-897.1634392039239,-897.1634392039239,True,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-897.1634392039239,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 2 4 2 5 1 3 5 1 4 1 1 1 1 1 1 1 3 4 3 4 5 1 3 5 4 3 5 3
 5 1 5 1 1 2 1 5 3 2 1 1 1 5 5 1 1 3 2 2 2 2 5 2 5 3 4 1 3 3 4 1 2 2 1 2 5
 1 5 4 1 2 3 5 5 2 4 5 4 4 5 5 2 2 2 5 4 2 4 5 5 3 3 4 5 3 2 5 4 1]",55.55555555555556,
10,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 2 4 2 5 1 3 5 1 4 1 1 1 1 1 1 1 3 4 3 4 5 1 3 5 4 3 5 3
 5 1 5 1 1 2 1 5 3 2 1 1 1 5 5 1 1 3 2 2 2 2 5 2 5 3 4 1 3 3 4 1 2 2 1 2 5
 1 5 4 1 2 3 5 5 2 4 5 4 4 5 5 2 2 2 5 4 2 4 5 5 3 3 4 5 3 2 5 4 1]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-888.0618676330135,-888.0618676330135,True,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 5, 'FCI(PCC)': 1, 'GMI(FUS)': 4}",-888.0618676330135,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3 1 1 1 5 1 3 3 1 5 1 1 1 3 1 2 3 1 4 4 5 5 3 1 2 4 2 5 1
 4 2 1 2 1 2 2 3 1 2 1 1 1 5 5 3 3 3 4 4 5 3 5 1 5 1 4 1 2 1 4 1 5 1 1 1 4
 1 4 3 1 2 5 5 5 2 2 3 5 5 5 4 2 3 3 5 3 2 4 4 3 3 4 4 4 2 4 5 5 1]",60.0,
