iteration,all_current_accepted_likelihoods
1,-1300.7054860029195
2,-1300.7054860029195
3,-1279.0467617755849
4,-1269.9648750519505
5,-1269.9648750519505
6,-1129.8901924821128
7,-1129.8901924821128
8,-1129.8901924821128
9,-1129.8901924821128
10,-1129.8901924821128
11,-1127.168137826934
12,-1127.168137826934
13,-1127.168137826934
14,-1127.168137826934
15,-1127.168137826934
16,-1123.3491514985167
17,-1123.3491514985167
18,-1123.3491514985167
19,-1123.3491514985167
20,-1123.3491514985167
21,-1123.3491514985167
22,-1123.3491514985167
23,-1123.3491514985167
24,-1123.3491514985167
25,-1123.3491514985167
26,-1123.3491514985167
27,-1109.6100974534359
28,-1109.6100974534359
29,-1109.6100974534359
30,-1109.6100974534359
31,-1109.6100974534359
32,-1109.6100974534359
33,-1109.6100974534359
34,-1109.6100974534359
35,-1109.6100974534359
36,-1109.6100974534359
37,-1109.6100974534359
38,-1109.6100974534359
39,-1109.6100974534359
40,-1109.6100974534359
41,-1109.6100974534359
42,-1109.6100974534359
43,-1109.6100974534359
44,-1109.6100974534359
45,-1109.6100974534359
46,-1109.6100974534359
47,-1109.6100974534359
48,-1109.6100974534359
49,-1109.6100974534359
50,-1110.4684675206038
51,-1110.4684675206038
52,-1110.4684675206038
53,-1110.4684675206038
54,-1110.4684675206038
55,-1110.4684675206038
56,-1110.4684675206038
57,-1110.4684675206038
58,-1110.4684675206038
59,-1110.4684675206038
60,-1110.4684675206038
61,-1110.4684675206038
62,-1110.4684675206038
63,-1110.4684675206038
64,-1110.4684675206038
65,-1109.6100974534359
66,-1109.6100974534359
67,-1109.6100974534359
68,-1109.6100974534359
69,-1109.6100974534359
70,-1109.6100974534359
71,-1109.6100974534359
72,-1109.6100974534359
73,-1109.6100974534359
74,-1109.6100974534359
75,-1109.6100974534359
76,-1109.6100974534359
77,-1109.6100974534359
78,-1109.6100974534359
79,-1109.6100974534359
80,-1109.6100974534359
81,-1109.6100974534359
82,-1109.6100974534359
83,-1109.6100974534359
84,-1109.6100974534359
85,-1109.6100974534359
86,-1109.6100974534359
87,-1109.6100974534359
88,-1109.6100974534359
89,-1109.6100974534359
90,-1109.6100974534359
91,-1109.6100974534359
92,-1109.6100974534359
93,-1109.6100974534359
94,-1109.6100974534359
95,-1109.6100974534359
96,-1109.6100974534359
97,-1109.6100974534359
98,-1109.6100974534359
99,-1109.6100974534359
100,-1109.6100974534359
101,-1109.6100974534359
102,-1109.6100974534359
103,-1109.6100974534359
104,-1109.6100974534359
105,-1109.6100974534359
106,-1109.6100974534359
107,-1109.6100974534359
108,-1109.6100974534359
109,-1109.6100974534359
110,-1109.6100974534359
111,-1109.6100974534359
112,-1109.6100974534359
113,-1109.6100974534359
114,-1109.6100974534359
115,-1109.6100974534359
116,-1109.6100974534359
117,-1109.6100974534359
118,-1109.6100974534359
119,-1109.6100974534359
120,-1109.6100974534359
121,-1109.6100974534359
122,-1109.6100974534359
123,-1109.6100974534359
124,-1109.6100974534359
125,-1109.6100974534359
126,-1109.6100974534359
127,-1109.6100974534359
128,-1109.6100974534359
129,-1109.6100974534359
130,-1109.6100974534359
131,-1109.6100974534359
132,-1109.6100974534359
133,-1109.6100974534359
134,-1110.4684675206038
135,-1110.4684675206038
136,-1110.4684675206038
137,-1110.4684675206038
138,-1110.4684675206038
139,-1110.4684675206038
140,-1110.4684675206038
141,-1110.4684675206038
142,-1110.4684675206038
143,-1110.4684675206038
144,-1110.4684675206038
145,-1110.4684675206038
146,-1110.4684675206038
147,-1110.4684675206038
148,-1110.4684675206038
149,-1110.4684675206038
150,-1110.4684675206038
151,-1110.4684675206038
152,-1109.6100974534359
153,-1109.6100974534359
154,-1109.6100974534359
155,-1109.6100974534359
156,-1109.6100974534359
157,-1109.6100974534359
158,-1109.6100974534359
159,-1109.6100974534359
160,-1109.6100974534359
161,-1109.6100974534359
162,-1109.6100974534359
163,-1109.6100974534359
164,-1109.6100974534359
165,-1109.6100974534359
166,-1109.6100974534359
167,-1109.6100974534359
168,-1109.6100974534359
169,-1109.6100974534359
170,-1109.6100974534359
171,-1109.6100974534359
172,-1109.6100974534359
173,-1109.6100974534359
174,-1109.6100974534359
175,-1109.6100974534359
176,-1109.6100974534359
177,-1109.6100974534359
178,-1109.6100974534359
179,-1109.6100974534359
180,-1109.6100974534359
181,-1109.6100974534359
182,-1109.6100974534359
183,-1109.6100974534359
184,-1109.6100974534359
185,-1109.6100974534359
186,-1109.6100974534359
187,-1109.6100974534359
188,-1109.6100974534359
189,-1109.6100974534359
190,-1109.6100974534359
191,-1109.6100974534359
192,-1109.6100974534359
193,-1109.6100974534359
194,-1109.6100974534359
195,-1109.6100974534359
196,-1109.6100974534359
197,-1109.6100974534359
198,-1109.6100974534359
199,-1109.6100974534359
200,-1109.6100974534359
201,-1109.6100974534359
202,-1109.6100974534359
203,-1109.6100974534359
204,-1109.6100974534359
205,-1109.6100974534359
206,-1109.6100974534359
207,-1109.6100974534359
208,-1109.6100974534359
209,-1109.6100974534359
210,-1109.6100974534359
211,-1109.6100974534359
212,-1109.6100974534359
213,-1109.6100974534359
214,-1109.6100974534359
215,-1109.6100974534359
216,-1109.6100974534359
217,-1109.6100974534359
218,-1109.6100974534359
219,-1109.6100974534359
220,-1109.6100974534359
221,-1109.6100974534359
222,-1109.6100974534359
223,-1109.6100974534359
224,-1109.6100974534359
225,-1109.6100974534359
226,-1109.6100974534359
227,-1109.6100974534359
228,-1109.6100974534359
229,-1109.6100974534359
230,-1109.6100974534359
231,-1109.6100974534359
232,-1109.6100974534359
233,-1109.6100974534359
234,-1109.6100974534359
235,-1109.6100974534359
236,-1109.6100974534359
237,-1109.6100974534359
238,-1109.6100974534359
239,-1109.6100974534359
240,-1109.6100974534359
241,-1109.6100974534359
242,-1110.4684675206038
243,-1110.4684675206038
244,-1110.4684675206038
245,-1110.4684675206038
246,-1110.4684675206038
247,-1110.4684675206038
248,-1110.4684675206038
249,-1110.4684675206038
250,-1110.4684675206038
251,-1110.4684675206038
252,-1110.4684675206038
253,-1110.4684675206038
254,-1110.4684675206038
255,-1110.4684675206038
256,-1110.4684675206038
257,-1110.4684675206038
258,-1110.4684675206038
