iteration,FCI(HIP),GMI(HIP),FCI(Fusi),FCI(PCC),GMI(FUS)
1,1,2,4,5,3
2,4,2,1,5,3
3,1,2,4,3,5
4,1,2,4,3,5
5,3,2,4,5,1
6,1,4,2,5,3
7,1,2,4,3,5
8,1,2,3,5,4
9,3,2,4,5,1
10,5,2,4,1,3
11,3,2,4,5,1
12,3,2,4,5,1
13,2,1,4,5,3
14,1,2,4,3,5
15,5,2,4,1,3
16,1,5,4,2,3
17,5,2,4,1,3
18,4,2,1,5,3
19,4,2,1,5,3
20,1,3,4,5,2
21,4,2,1,5,3
22,2,1,4,5,3
23,5,2,4,1,3
24,1,4,2,5,3
25,1,2,3,5,4
26,1,4,2,5,3
27,1,3,4,5,2
28,1,5,4,2,3
29,1,2,4,3,5
30,3,2,4,5,1
31,1,2,3,5,4
32,1,2,3,5,4
33,3,2,4,5,1
34,1,4,2,5,3
35,5,2,4,1,3
36,1,2,3,5,4
37,1,4,2,5,3
38,3,2,4,5,1
39,3,2,4,5,1
40,1,2,4,3,5
41,5,2,4,1,3
42,1,3,4,5,2
43,1,4,2,5,3
44,2,1,4,5,3
45,1,3,4,5,2
46,1,3,4,5,2
47,1,2,4,3,5
48,1,4,2,5,3
49,1,2,3,5,4
50,1,4,2,5,3
51,2,1,4,5,3
52,1,4,2,5,3
53,1,4,2,5,3
54,1,2,3,5,4
55,2,1,4,5,3
56,1,4,2,5,3
57,1,2,5,4,3
58,1,2,5,4,3
59,1,4,2,5,3
60,5,2,4,1,3
61,1,2,5,4,3
62,1,4,2,5,3
63,1,3,4,5,2
64,3,2,4,5,1
65,2,1,4,5,3
66,1,4,2,5,3
67,2,1,4,5,3
68,1,4,2,5,3
69,5,2,4,1,3
70,1,4,2,5,3
71,1,3,4,5,2
72,5,2,4,1,3
73,1,4,2,5,3
74,4,2,1,5,3
75,1,5,4,2,3
76,1,3,4,5,2
77,1,2,5,4,3
78,4,2,1,5,3
79,2,1,4,5,3
80,1,2,5,4,3
81,1,2,4,3,5
82,2,1,4,5,3
83,3,2,4,5,1
84,1,2,4,3,5
85,1,2,5,4,3
86,1,2,5,4,3
87,1,2,5,4,3
88,2,1,4,5,3
89,1,2,5,4,3
90,5,2,4,1,3
91,1,4,2,5,3
92,1,4,2,5,3
93,1,5,4,2,3
94,2,1,4,5,3
95,1,4,2,5,3
96,2,1,4,5,3
97,1,2,3,5,4
98,3,2,4,5,1
99,1,2,5,4,3
100,2,1,4,5,3
101,5,2,4,1,3
102,5,2,4,1,3
103,1,2,5,4,3
104,1,2,3,5,4
105,5,2,4,1,3
106,3,2,4,5,1
107,1,2,3,5,4
108,5,2,4,1,3
109,5,2,4,1,3
110,1,5,4,2,3
111,1,2,4,3,5
112,2,1,4,5,3
113,3,2,4,5,1
114,5,2,4,1,3
115,1,2,4,3,5
116,1,4,2,5,3
117,1,3,4,5,2
118,1,2,5,4,3
119,2,1,4,5,3
120,1,3,4,5,2
121,2,1,4,5,3
122,1,2,5,4,3
123,5,2,4,1,3
124,1,2,5,4,3
125,4,2,1,5,3
126,3,2,4,5,1
127,1,3,4,5,2
128,2,1,4,5,3
129,4,2,1,5,3
130,1,2,4,3,5
131,1,2,4,3,5
132,1,5,4,2,3
133,1,2,4,3,5
134,4,2,1,5,3
135,1,4,2,5,3
136,5,2,4,1,3
137,1,5,4,2,3
138,1,2,4,3,5
139,1,2,3,5,4
140,1,5,4,2,3
141,1,2,4,3,5
142,3,2,4,5,1
143,1,2,4,3,5
144,1,2,5,4,3
145,1,5,4,2,3
146,5,2,4,1,3
147,1,2,5,4,3
148,1,2,3,5,4
149,1,3,4,5,2
150,1,4,2,5,3
151,1,3,4,5,2
152,5,2,4,1,3
153,1,5,4,2,3
154,5,2,4,1,3
155,1,4,2,5,3
156,1,4,2,5,3
157,1,2,3,5,4
158,3,2,4,5,1
159,1,4,2,5,3
160,2,1,4,5,3
161,1,4,2,5,3
162,3,2,4,5,1
163,1,4,2,5,3
164,5,2,4,1,3
165,5,2,4,1,3
166,1,4,2,5,3
167,1,2,3,5,4
168,1,5,4,2,3
169,4,2,1,5,3
170,2,1,4,5,3
171,4,2,1,5,3
172,1,2,3,5,4
173,1,2,3,5,4
174,1,2,3,5,4
175,3,2,4,5,1
176,1,5,4,2,3
177,1,5,4,2,3
178,4,2,1,5,3
179,1,2,5,4,3
180,1,5,4,2,3
181,1,5,4,2,3
182,3,2,4,5,1
183,5,2,4,1,3
184,1,3,4,5,2
185,3,2,4,5,1
186,1,2,3,5,4
187,2,1,4,5,3
188,2,1,4,5,3
189,5,2,4,1,3
190,1,4,2,5,3
191,1,4,2,5,3
192,5,2,4,1,3
193,4,2,1,5,3
194,2,1,4,5,3
195,1,4,2,5,3
196,3,2,4,5,1
197,1,3,4,5,2
198,1,2,5,4,3
199,3,2,4,5,1
200,4,2,1,5,3
201,4,2,1,5,3
202,3,2,4,5,1
203,2,1,4,5,3
204,1,5,4,2,3
205,1,5,4,2,3
206,1,3,4,5,2
207,5,2,4,1,3
208,5,2,4,1,3
209,5,2,4,1,3
210,4,2,1,5,3
211,2,1,4,5,3
212,1,4,2,5,3
213,2,1,4,5,3
214,1,2,4,3,5
215,2,1,4,5,3
216,1,2,4,3,5
217,5,2,4,1,3
218,1,2,5,4,3
219,3,2,4,5,1
220,1,4,2,5,3
221,1,2,3,5,4
222,1,2,5,4,3
223,1,2,5,4,3
224,2,1,4,5,3
225,3,2,4,5,1
226,2,1,4,5,3
227,1,3,4,5,2
228,2,1,4,5,3
229,1,2,5,4,3
230,4,2,1,5,3
231,1,4,2,5,3
232,1,2,4,3,5
233,4,2,1,5,3
234,1,2,5,4,3
235,4,2,1,5,3
236,5,2,4,1,3
237,1,4,2,5,3
238,1,2,3,5,4
239,4,2,1,5,3
240,4,2,1,5,3
241,1,4,2,5,3
242,1,2,3,5,4
243,1,3,4,5,2
244,4,2,1,5,3
245,1,3,4,5,2
246,1,4,2,5,3
247,1,2,5,4,3
248,4,2,1,5,3
249,1,2,3,5,4
250,1,5,4,2,3
251,1,3,4,5,2
252,3,2,4,5,1
253,1,5,4,2,3
254,1,2,3,5,4
255,4,2,1,5,3
256,1,4,2,5,3
257,1,3,4,5,2
258,1,2,3,5,4
259,2,1,4,5,3
260,2,1,4,5,3
261,1,2,5,4,3
262,1,2,3,5,4
263,1,3,4,5,2
264,5,2,4,1,3
265,5,2,4,1,3
266,1,2,5,4,3
267,1,2,4,3,5
268,1,4,2,5,3
269,1,2,5,4,3
270,1,2,5,4,3
271,1,2,4,3,5
272,4,2,1,5,3
