iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,1,2,5,3,4
2,1,2,5,3,4
3,1,2,5,3,4
4,1,2,5,4,3
5,3,2,5,4,1
6,4,2,5,1,3
7,1,2,5,4,3
8,1,4,5,2,3
9,1,4,5,2,3
10,1,4,5,3,2
11,1,4,5,2,3
12,1,4,5,2,3
13,1,4,5,2,3
14,1,4,5,2,3
15,1,4,5,2,3
16,1,4,5,2,3
17,1,4,5,2,3
18,5,4,1,2,3
19,1,4,3,2,5
20,1,4,5,2,3
21,1,4,5,3,2
22,1,3,5,2,4
23,1,4,5,2,3
24,1,4,5,2,3
25,1,2,5,4,3
26,1,4,5,2,3
27,1,4,3,2,5
28,1,4,5,2,3
29,1,4,5,3,2
30,1,4,5,2,3
31,1,4,2,5,3
32,1,4,3,2,5
33,1,4,5,2,3
34,1,3,5,2,4
35,5,4,1,2,3
36,1,4,5,2,3
37,1,4,5,2,3
38,1,4,5,3,2
39,1,4,5,2,3
40,1,4,5,2,3
41,1,4,5,2,3
42,1,4,2,5,3
43,1,2,5,4,3
44,1,4,5,2,3
45,1,4,5,2,3
46,1,4,5,2,3
47,1,4,5,2,3
48,5,4,1,2,3
49,1,4,5,2,3
50,1,4,5,2,3
51,1,3,5,2,4
52,1,3,5,2,4
53,1,3,5,2,4
54,4,3,5,2,1
55,1,3,5,2,4
56,1,3,5,2,4
57,1,3,5,2,4
58,2,3,5,1,4
59,2,4,5,1,3
60,2,3,5,1,4
61,2,3,5,1,4
62,1,3,5,2,4
63,2,3,5,1,4
64,2,3,5,1,4
65,2,3,5,4,1
66,2,3,5,1,4
67,2,3,5,1,4
68,2,3,5,1,4
69,2,3,5,1,4
70,2,1,5,3,4
71,2,3,5,1,4
72,2,3,1,5,4
73,2,3,1,5,4
74,2,3,5,1,4
75,2,3,5,1,4
76,2,3,4,1,5
77,2,3,5,1,4
78,2,3,1,5,4
79,2,3,5,1,4
80,5,3,2,1,4
81,4,3,5,1,2
82,2,3,5,1,4
83,2,3,5,1,4
84,2,1,5,3,4
85,2,3,5,1,4
86,2,3,5,1,4
87,2,3,5,1,4
88,2,3,5,1,4
89,4,3,5,1,2
90,2,3,5,1,4
91,2,3,5,1,4
92,1,3,5,2,4
93,1,4,5,2,3
94,1,3,5,2,4
95,1,5,3,2,4
96,1,3,2,5,4
97,1,3,5,2,4
98,2,3,5,1,4
99,1,3,5,2,4
100,1,3,5,2,4
101,3,1,5,2,4
102,3,1,5,2,4
103,4,3,5,2,1
104,1,4,5,2,3
105,1,3,4,2,5
106,1,5,3,2,4
107,1,3,5,2,4
108,4,3,5,2,1
109,1,3,5,2,4
110,1,3,5,2,4
111,1,4,5,2,3
112,5,3,1,2,4
113,1,2,5,3,4
114,1,4,5,2,3
115,1,3,5,2,4
116,1,3,5,2,4
117,1,3,5,2,4
118,1,3,5,2,4
119,1,3,5,2,4
120,5,3,1,2,4
121,1,3,5,2,4
122,1,3,5,4,2
123,2,3,5,1,4
124,1,3,5,2,4
125,1,3,5,2,4
126,3,1,5,2,4
127,1,3,5,2,4
128,1,3,5,2,4
129,1,3,5,2,4
130,1,3,5,2,4
131,1,3,5,2,4
132,1,3,4,2,5
133,1,3,5,2,4
134,1,3,5,2,4
135,5,3,1,2,4
136,5,3,1,2,4
137,1,3,5,2,4
138,1,3,5,2,4
139,1,3,5,2,4
140,4,3,5,2,1
141,1,3,4,2,5
142,1,2,5,3,4
143,5,3,1,2,4
144,1,3,4,2,5
145,1,3,5,2,4
146,1,3,5,2,4
147,1,3,5,2,4
148,1,4,5,2,3
149,1,3,2,5,4
150,1,3,5,2,4
151,1,2,5,3,4
152,1,3,5,4,2
153,1,3,5,2,4
154,1,4,5,2,3
155,1,2,5,3,4
156,1,2,5,3,4
157,1,3,5,2,4
158,1,3,5,2,4
159,1,3,5,2,4
160,1,2,5,3,4
161,1,3,5,2,4
162,1,3,5,2,4
163,1,3,4,2,5
164,1,3,5,2,4
165,4,3,5,2,1
166,1,3,5,4,2
167,1,3,5,2,4
168,1,3,5,2,4
169,1,3,5,2,4
170,1,5,3,2,4
171,2,3,5,1,4
172,1,2,5,3,4
173,1,3,5,2,4
174,1,3,5,2,4
175,1,3,4,2,5
176,1,3,5,2,4
177,4,3,5,2,1
178,1,3,5,2,4
179,1,5,3,2,4
180,1,3,2,5,4
181,1,3,5,2,4
182,1,3,5,2,4
183,1,3,5,2,4
184,3,1,5,2,4
185,1,4,5,2,3
186,1,3,5,2,4
187,1,3,5,2,4
188,1,3,5,2,4
189,1,3,5,2,4
190,1,5,3,2,4
191,1,3,5,2,4
192,1,3,5,2,4
193,1,3,5,2,4
194,1,2,5,3,4
195,1,4,5,2,3
196,1,3,2,5,4
197,5,3,1,2,4
198,1,3,5,2,4
199,1,4,5,2,3
200,1,3,2,5,4
201,1,3,5,2,4
202,1,5,3,2,4
203,1,3,5,2,4
204,1,3,2,5,4
205,1,3,5,2,4
206,1,3,5,2,4
207,1,3,5,2,4
208,1,5,3,2,4
209,1,3,5,2,4
210,1,3,5,2,4
211,1,3,5,2,4
212,1,3,5,2,4
213,1,3,2,5,4
214,1,2,5,3,4
215,1,2,5,3,4
216,1,2,5,3,4
217,1,3,5,2,4
218,2,3,5,1,4
219,1,5,3,2,4
220,1,5,3,2,4
221,1,3,5,2,4
222,3,1,5,2,4
223,5,3,1,2,4
224,1,3,5,2,4
