iteration,all_current_accepted_likelihoods
1,-1932.3054344611035
2,-1927.6728014431321
3,-1924.327562155736
4,-1922.7843228003344
5,-1922.6313215876278
6,-1922.2335465891945
7,-1922.2335465891945
8,-1922.2335465891945
9,-1922.2335465891945
10,-1922.2335465891945
11,-1922.2335465891945
12,-1921.7126655310235
13,-1921.7126655310235
14,-1919.822612202706
15,-1909.076822155223
16,-1901.9800356125993
17,-1901.1516247258332
18,-1899.594382225549
19,-1900.5701969068923
20,-1901.1067142285533
21,-1895.4611913183528
22,-1893.2002438402224
23,-1893.2002438402224
24,-1893.2002438402224
25,-1893.2002438402224
26,-1893.2002438402224
27,-1893.2002438402224
28,-1893.2002438402224
29,-1893.2002438402224
30,-1893.2002438402224
31,-1893.2002438402224
32,-1893.2002438402224
33,-1893.2002438402224
34,-1893.2002438402224
35,-1893.1802377774954
36,-1893.1802377774954
37,-1893.1802377774954
38,-1893.1802377774954
39,-1893.1802377774954
40,-1893.1802377774954
41,-1893.1802377774954
42,-1893.1802377774954
43,-1895.6778871807533
44,-1892.2223288189834
45,-1890.8679472696003
46,-1889.4580754895248
47,-1888.8277308215884
48,-1890.0605201323758
49,-1890.0605201323758
50,-1891.2680430707815
51,-1888.4968248419225
52,-1887.0959095622034
53,-1885.2238538918216
54,-1883.2100381138262
55,-1883.2100381138262
56,-1883.2100381138262
57,-1883.2100381138262
58,-1883.2100381138262
59,-1883.2100381138262
60,-1883.2100381138262
61,-1883.2100381138262
62,-1883.2100381138262
63,-1883.2100381138262
64,-1883.2100381138262
65,-1883.2100381138262
66,-1883.2100381138262
67,-1883.2100381138262
68,-1883.2100381138262
69,-1883.2100381138262
70,-1883.2100381138262
71,-1883.2100381138262
72,-1883.2100381138262
73,-1883.2100381138262
74,-1883.2100381138262
75,-1883.2100381138262
76,-1883.2100381138262
77,-1883.2100381138262
78,-1883.2100381138262
79,-1883.2100381138262
80,-1883.2100381138262
81,-1883.2100381138262
82,-1883.2100381138262
83,-1883.2100381138262
84,-1883.2100381138262
85,-1884.003032557294
86,-1884.003032557294
87,-1884.003032557294
88,-1884.003032557294
89,-1884.003032557294
90,-1884.003032557294
91,-1884.003032557294
92,-1884.003032557294
93,-1884.003032557294
94,-1884.003032557294
95,-1884.003032557294
96,-1884.003032557294
97,-1884.003032557294
98,-1884.003032557294
99,-1884.003032557294
100,-1884.003032557294
101,-1884.003032557294
102,-1884.003032557294
103,-1884.003032557294
104,-1884.003032557294
105,-1884.003032557294
106,-1884.003032557294
107,-1884.003032557294
108,-1884.003032557294
109,-1884.003032557294
110,-1884.003032557294
111,-1884.003032557294
112,-1884.003032557294
113,-1884.003032557294
114,-1884.003032557294
115,-1884.003032557294
116,-1884.003032557294
117,-1884.003032557294
118,-1884.003032557294
119,-1884.003032557294
120,-1884.003032557294
121,-1884.003032557294
122,-1884.003032557294
123,-1884.003032557294
124,-1884.003032557294
125,-1884.003032557294
126,-1884.003032557294
127,-1884.003032557294
128,-1884.003032557294
129,-1884.003032557294
130,-1884.003032557294
131,-1884.003032557294
132,-1884.003032557294
133,-1884.003032557294
134,-1884.003032557294
135,-1884.003032557294
136,-1884.003032557294
137,-1884.003032557294
138,-1884.003032557294
139,-1884.003032557294
140,-1884.003032557294
141,-1884.003032557294
142,-1884.003032557294
143,-1884.003032557294
144,-1884.003032557294
145,-1884.003032557294
146,-1884.003032557294
147,-1884.003032557294
148,-1884.003032557294
149,-1884.003032557294
150,-1884.003032557294
151,-1884.160098733512
152,-1884.417978405667
153,-1887.0669961219153
154,-1883.0357246306585
155,-1879.9355028908403
156,-1878.1474924553313
157,-1878.1474924553313
158,-1878.1474924553313
159,-1878.1474924553313
160,-1878.1474924553313
161,-1880.1778763908253
162,-1880.1778763908253
163,-1880.1881782902358
164,-1880.1881782902358
165,-1880.1881782902358
166,-1880.1881782902358
167,-1880.1881782902358
168,-1880.1881782902358
169,-1880.1881782902358
170,-1880.1881782902358
171,-1880.1881782902358
172,-1880.1881782902358
173,-1880.1881782902358
174,-1880.1881782902358
175,-1880.1881782902358
176,-1880.1881782902358
177,-1880.1881782902358
178,-1880.1881782902358
179,-1880.1881782902358
180,-1880.1881782902358
181,-1880.1881782902358
182,-1880.1881782902358
183,-1880.1881782902358
184,-1880.1881782902358
185,-1880.1881782902358
186,-1880.1881782902358
187,-1880.1881782902358
188,-1880.1881782902358
189,-1880.1881782902358
190,-1880.1881782902358
191,-1880.1881782902358
192,-1880.1881782902358
193,-1880.1881782902358
194,-1880.1881782902358
195,-1880.1881782902358
196,-1880.1881782902358
197,-1880.1881782902358
198,-1880.1881782902358
199,-1880.1881782902358
200,-1880.1881782902358
201,-1880.1881782902358
202,-1880.1881782902358
203,-1880.1881782902358
204,-1880.1881782902358
205,-1880.1881782902358
206,-1880.1881782902358
207,-1880.1881782902358
208,-1880.1881782902358
209,-1880.1881782902358
210,-1880.1881782902358
211,-1880.1881782902358
212,-1880.1881782902358
213,-1880.1881782902358
214,-1880.1881782902358
215,-1880.1881782902358
216,-1880.1881782902358
217,-1880.1881782902358
218,-1880.1881782902358
219,-1880.1881782902358
220,-1880.1881782902358
221,-1880.1881782902358
222,-1880.1881782902358
223,-1880.1881782902358
224,-1880.1881782902358
225,-1880.1881782902358
226,-1880.1881782902358
227,-1880.1881782902358
228,-1880.1881782902358
229,-1880.1881782902358
230,-1880.1881782902358
231,-1880.1881782902358
232,-1880.1881782902358
233,-1880.1881782902358
234,-1880.1881782902358
235,-1880.1881782902358
236,-1880.1881782902358
237,-1880.1881782902358
238,-1880.1881782902358
239,-1880.1881782902358
240,-1880.1881782902358
241,-1880.1881782902358
242,-1880.1881782902358
243,-1880.1881782902358
244,-1880.1881782902358
245,-1880.1881782902358
246,-1880.1881782902358
247,-1880.1881782902358
248,-1880.1881782902358
249,-1880.1881782902358
250,-1880.1881782902358
251,-1880.1881782902358
252,-1880.1881782902358
253,-1880.1881782902358
254,-1880.1881782902358
255,-1880.1881782902358
256,-1880.1881782902358
257,-1880.1881782902358
258,-1880.1881782902358
259,-1880.1881782902358
260,-1880.1881782902358
261,-1880.1881782902358
262,-1880.1881782902358
263,-1880.1881782902358
264,-1880.1881782902358
265,-1880.1881782902358
266,-1879.800428473285
267,-1879.800428473285
268,-1879.800428473285
269,-1879.800428473285
270,-1879.800428473285
271,-1879.800428473285
272,-1879.800428473285
273,-1879.800428473285
274,-1879.800428473285
275,-1879.800428473285
276,-1879.800428473285
277,-1879.800428473285
278,-1879.800428473285
279,-1880.3306022600466
280,-1877.2940438916992
281,-1877.7940149928295
282,-1877.7940149928295
283,-1877.7940149928295
284,-1877.7940149928295
285,-1877.7940149928295
286,-1877.7940149928295
287,-1877.7940149928295
288,-1877.7940149928295
289,-1877.7940149928295
290,-1877.7940149928295
291,-1877.7940149928295
292,-1877.7940149928295
293,-1877.7940149928295
294,-1877.7940149928295
295,-1877.7940149928295
296,-1877.7940149928295
297,-1877.7940149928295
298,-1877.7940149928295
299,-1877.7940149928295
300,-1877.7940149928295
301,-1877.7940149928295
302,-1877.7940149928295
303,-1877.7940149928295
304,-1877.7940149928295
305,-1877.7940149928295
306,-1877.7940149928295
307,-1877.7940149928295
308,-1877.7940149928295
309,-1879.2308165709383
310,-1878.148134640312
311,-1876.7659946676508
312,-1876.7659946676508
313,-1876.7659946676508
314,-1876.7659946676508
315,-1876.7659946676508
316,-1876.7659946676508
317,-1876.7659946676508
318,-1876.7659946676508
319,-1876.7659946676508
320,-1876.7659946676508
321,-1876.7659946676508
322,-1876.7659946676508
323,-1876.7659946676508
324,-1876.7659946676508
325,-1876.7659946676508
326,-1876.7659946676508
327,-1876.7659946676508
328,-1876.7659946676508
329,-1876.7659946676508
330,-1876.7659946676508
331,-1876.7659946676508
332,-1876.7659946676508
333,-1876.7659946676508
334,-1876.7659946676508
335,-1876.7659946676508
336,-1876.7659946676508
337,-1876.7659946676508
338,-1876.7659946676508
339,-1876.7659946676508
340,-1876.7659946676508
341,-1876.7659946676508
342,-1876.7659946676508
343,-1876.7659946676508
344,-1876.7659946676508
345,-1876.7659946676508
346,-1876.7659946676508
347,-1876.7659946676508
348,-1876.7659946676508
349,-1876.7659946676508
350,-1876.7659946676508
351,-1876.7659946676508
352,-1876.7659946676508
353,-1876.7659946676508
354,-1876.7659946676508
355,-1876.7659946676508
356,-1876.7659946676508
357,-1876.7659946676508
358,-1876.7659946676508
359,-1876.7659946676508
360,-1876.7659946676508
361,-1876.7659946676508
362,-1876.7659946676508
363,-1876.7659946676508
364,-1876.7659946676508
365,-1876.7659946676508
366,-1876.7659946676508
367,-1880.6944534041113
368,-1880.6944534041113
369,-1879.290653290666
370,-1879.290653290666
371,-1879.290653290666
372,-1879.290653290666
373,-1879.290653290666
374,-1879.290653290666
375,-1879.290653290666
376,-1879.290653290666
377,-1879.290653290666
378,-1879.290653290666
379,-1879.290653290666
380,-1879.290653290666
381,-1879.290653290666
382,-1879.290653290666
383,-1879.290653290666
384,-1879.290653290666
385,-1879.290653290666
386,-1879.290653290666
387,-1879.290653290666
388,-1879.290653290666
389,-1879.290653290666
390,-1879.290653290666
391,-1879.290653290666
392,-1879.290653290666
393,-1879.290653290666
394,-1879.290653290666
395,-1879.290653290666
396,-1879.290653290666
397,-1879.290653290666
398,-1879.290653290666
399,-1879.290653290666
400,-1879.290653290666
401,-1879.290653290666
402,-1879.290653290666
403,-1879.222416366681
404,-1879.222416366681
405,-1879.222416366681
406,-1879.222416366681
407,-1879.222416366681
408,-1879.222416366681
409,-1879.222416366681
410,-1879.222416366681
411,-1879.222416366681
412,-1879.222416366681
413,-1879.222416366681
414,-1879.222416366681
415,-1879.222416366681
416,-1879.222416366681
417,-1879.222416366681
418,-1879.222416366681
419,-1879.222416366681
420,-1879.222416366681
421,-1879.222416366681
422,-1879.222416366681
423,-1879.222416366681
424,-1879.222416366681
425,-1879.222416366681
426,-1879.222416366681
427,-1879.2614965442428
428,-1879.2614965442428
429,-1879.2614965442428
430,-1879.2614965442428
431,-1879.2614965442428
432,-1879.2614965442428
433,-1879.2614965442428
434,-1879.2614965442428
435,-1879.2614965442428
436,-1879.2614965442428
437,-1879.2614965442428
438,-1879.2614965442428
439,-1879.2614965442428
440,-1879.2614965442428
441,-1879.2614965442428
442,-1879.2614965442428
443,-1879.2614965442428
444,-1879.2614965442428
445,-1879.2614965442428
446,-1879.2614965442428
447,-1879.2614965442428
448,-1879.2614965442428
449,-1879.2614965442428
450,-1879.2614965442428
451,-1879.2614965442428
452,-1879.2614965442428
453,-1879.2614965442428
454,-1879.2614965442428
455,-1879.2614965442428
456,-1879.2614965442428
457,-1879.2614965442428
458,-1879.2614965442428
459,-1879.2614965442428
460,-1879.163512412283
461,-1879.163512412283
462,-1879.163512412283
463,-1879.163512412283
464,-1879.163512412283
465,-1879.163512412283
466,-1879.163512412283
467,-1879.163512412283
468,-1879.163512412283
469,-1879.163512412283
470,-1879.163512412283
471,-1879.163512412283
472,-1879.163512412283
473,-1879.163512412283
474,-1879.163512412283
475,-1879.163512412283
476,-1879.163512412283
477,-1879.163512412283
478,-1879.163512412283
479,-1879.163512412283
480,-1879.163512412283
481,-1879.163512412283
482,-1879.163512412283
483,-1879.163512412283
484,-1879.163512412283
