iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,5,4,3,2,1
2,5,4,3,2,1
3,5,4,3,2,1
4,2,4,3,5,1
5,2,4,3,5,1
6,3,4,2,5,1
7,2,4,3,1,5
8,2,4,3,1,5
9,2,4,1,3,5
10,3,4,2,1,5
11,2,4,5,1,3
12,2,4,1,3,5
13,1,4,3,2,5
14,3,4,1,2,5
15,1,4,3,2,5
16,1,4,2,3,5
17,1,4,5,3,2
18,1,3,2,4,5
19,1,4,2,3,5
20,1,4,2,3,5
21,1,3,2,4,5
22,1,3,2,4,5
23,2,3,1,4,5
24,1,3,2,4,5
25,1,5,2,4,3
26,1,5,2,4,3
27,1,5,2,4,3
28,5,1,2,4,3
29,5,1,2,4,3
30,1,5,2,4,3
31,1,5,2,4,3
32,1,5,2,4,3
33,1,2,5,4,3
34,1,5,2,4,3
35,1,5,4,2,3
36,1,5,2,4,3
37,1,5,2,4,3
38,1,5,2,4,3
39,1,5,4,2,3
40,4,5,1,2,3
41,1,5,4,2,3
42,1,5,4,3,2
43,1,5,4,2,3
44,1,5,4,2,3
45,1,5,4,2,3
46,1,5,4,2,3
47,1,5,4,2,3
48,2,5,4,1,3
49,1,5,4,2,3
50,1,5,4,2,3
51,1,5,3,2,4
52,1,5,3,2,4
53,1,5,4,2,3
54,1,5,4,2,3
55,1,5,2,4,3
56,3,5,4,2,1
57,1,5,3,2,4
58,2,5,4,1,3
59,5,1,4,2,3
60,1,5,4,2,3
61,1,5,4,2,3
62,1,5,2,4,3
63,4,5,1,2,3
64,1,5,3,2,4
65,1,5,4,2,3
66,5,1,4,2,3
67,1,3,4,2,5
68,1,5,4,2,3
69,1,2,4,5,3
70,1,5,4,2,3
71,2,5,4,1,3
72,1,4,5,2,3
73,1,5,4,2,3
74,1,5,4,2,3
75,1,5,4,2,3
76,1,5,4,2,3
77,1,5,4,2,3
78,1,5,4,2,3
79,5,1,4,2,3
80,1,3,4,2,5
81,1,5,4,2,3
82,1,5,4,2,3
83,1,5,4,2,3
84,1,5,4,2,3
85,1,4,5,2,3
86,1,5,3,2,4
87,3,5,4,2,1
88,1,5,3,2,4
89,1,5,4,2,3
90,1,5,4,2,3
91,1,5,4,2,3
92,1,5,4,2,3
93,1,5,4,2,3
94,1,5,4,2,3
95,1,5,4,2,3
96,1,5,4,2,3
97,1,5,4,2,3
98,1,3,4,2,5
99,1,5,4,3,2
100,1,5,4,2,3
101,1,5,4,2,3
102,1,5,4,2,3
103,1,5,4,2,3
104,1,5,4,2,3
105,1,5,4,2,3
106,3,5,4,2,1
107,1,4,5,2,3
108,1,5,2,4,3
109,4,5,1,2,3
110,4,5,1,2,3
111,1,5,4,2,3
112,1,5,4,2,3
113,1,5,4,3,2
114,1,5,4,3,2
115,1,5,4,2,3
116,1,3,4,2,5
117,1,5,4,2,3
118,1,5,4,2,3
119,1,5,4,2,3
120,1,5,4,2,3
121,1,4,5,2,3
122,1,2,4,5,3
123,1,5,4,2,3
124,1,5,4,2,3
125,1,5,4,2,3
126,3,5,4,2,1
127,1,5,4,2,3
128,1,5,4,2,3
129,1,5,4,2,3
130,4,5,1,2,3
131,1,3,4,2,5
132,1,5,4,2,3
133,1,5,4,2,3
134,1,5,4,2,3
135,1,5,4,2,3
136,1,5,4,2,3
137,1,4,5,2,3
138,1,5,4,2,3
139,1,5,4,2,3
140,1,4,5,2,3
141,1,2,4,5,3
142,1,3,4,2,5
143,1,5,2,4,3
144,1,5,3,2,4
145,5,1,4,2,3
146,1,5,2,4,3
147,1,5,4,2,3
148,1,5,4,2,3
149,1,5,4,2,3
150,1,5,2,4,3
151,4,5,1,2,3
152,1,5,4,2,3
153,1,2,4,5,3
154,1,5,4,3,2
155,1,2,4,5,3
156,1,5,4,2,3
157,1,3,4,2,5
158,1,5,4,3,2
159,1,4,5,2,3
160,1,5,4,2,3
161,3,5,4,2,1
162,1,5,4,3,2
163,1,4,5,2,3
164,1,5,4,3,2
165,1,5,4,2,3
166,1,5,4,2,3
167,1,5,4,2,3
168,1,5,4,2,3
169,1,4,5,2,3
170,1,5,4,2,3
171,2,5,4,1,3
172,1,5,4,2,3
173,1,5,4,2,3
174,1,5,3,2,4
175,1,5,4,3,2
176,1,5,4,2,3
177,1,3,4,2,5
178,1,5,4,2,3
179,1,3,4,2,5
180,1,5,4,2,3
181,1,5,4,2,3
182,1,5,4,2,3
183,5,1,4,2,3
184,1,2,4,5,3
185,1,5,4,2,3
186,1,5,4,2,3
187,1,5,3,2,4
188,5,1,4,2,3
189,4,5,1,2,3
190,1,5,4,2,3
191,1,5,4,2,3
192,1,5,4,2,3
193,2,5,4,1,3
194,1,5,4,2,3
195,1,5,4,2,3
196,3,5,4,2,1
197,1,5,4,2,3
198,5,1,4,2,3
199,1,4,5,2,3
200,1,5,4,2,3
201,1,5,4,2,3
202,1,5,4,2,3
203,1,4,5,2,3
204,1,5,4,2,3
205,1,5,4,2,3
206,1,5,4,2,3
207,1,5,4,2,3
208,1,5,4,2,3
209,1,4,5,2,3
210,1,5,3,2,4
211,1,4,5,2,3
212,1,5,4,3,2
213,1,5,4,2,3
214,4,5,1,2,3
215,3,5,4,2,1
216,1,5,3,2,4
217,1,5,4,2,3
218,1,5,4,2,3
219,1,5,2,4,3
220,1,5,4,2,3
221,1,4,5,2,3
222,1,5,4,2,3
223,1,5,4,2,3
224,1,5,4,2,3
225,1,5,4,2,3
226,1,5,3,2,4
227,1,3,4,2,5
228,1,5,4,3,2
229,1,5,4,2,3
230,1,5,4,2,3
231,1,5,4,2,3
232,4,5,1,2,3
233,1,5,3,2,4
234,1,5,4,2,3
235,1,5,2,4,3
236,1,5,4,2,3
237,1,5,4,2,3
238,1,2,4,5,3
239,2,5,4,1,3
240,1,5,4,2,3
241,1,5,4,2,3
242,2,5,4,1,3
243,1,5,4,2,3
244,5,1,4,2,3
245,3,5,4,2,1
246,1,5,4,2,3
247,4,5,1,2,3
248,5,1,4,2,3
249,1,5,4,2,3
250,1,5,4,2,3
251,1,5,2,4,3
252,4,5,1,2,3
253,1,5,4,2,3
254,1,5,4,2,3
255,1,5,3,2,4
256,1,4,5,2,3
257,1,5,4,2,3
258,1,5,4,2,3
259,2,5,4,1,3
260,1,5,2,4,3
261,1,5,4,2,3
262,1,5,2,4,3
263,1,5,4,2,3
264,5,1,4,2,3
265,1,5,4,2,3
266,1,5,2,4,3
267,3,5,4,2,1
268,1,3,4,2,5
269,1,5,2,4,3
270,1,5,3,2,4
271,1,5,4,2,3
272,1,5,4,2,3
273,1,5,4,2,3
274,1,5,3,2,4
275,1,5,4,2,3
276,2,5,4,1,3
277,1,5,4,2,3
278,2,5,4,1,3
279,1,5,4,2,3
280,1,5,4,2,3
281,5,1,4,2,3
282,4,5,1,2,3
283,1,5,4,2,3
284,3,5,4,2,1
285,1,5,4,2,3
286,3,5,4,2,1
287,2,5,4,1,3
288,1,5,4,2,3
289,1,5,4,2,3
290,1,5,4,2,3
291,1,5,4,2,3
292,1,5,4,2,3
293,1,5,4,2,3
294,1,5,4,2,3
295,1,5,4,2,3
296,1,5,4,2,3
297,5,1,4,2,3
298,1,5,4,2,3
299,1,5,4,2,3
300,4,5,1,2,3
301,1,5,4,2,3
302,3,5,4,2,1
303,5,1,4,2,3
304,1,5,4,2,3
305,1,5,4,2,3
306,4,5,1,2,3
307,1,5,4,2,3
308,1,5,4,2,3
309,2,5,4,1,3
310,2,5,4,1,3
311,4,5,1,2,3
312,1,5,2,4,3
313,1,5,2,4,3
314,3,5,4,2,1
315,1,5,2,4,3
316,1,5,4,2,3
317,1,5,4,2,3
318,1,5,4,2,3
319,1,5,4,2,3
320,1,5,4,2,3
321,1,5,2,4,3
322,1,2,4,5,3
323,2,5,4,1,3
324,1,5,4,2,3
325,1,5,4,2,3
326,1,3,4,2,5
327,1,3,4,2,5
328,1,3,4,2,5
329,1,5,4,2,3
330,1,3,4,2,5
331,1,3,2,4,5
332,1,3,4,2,5
333,1,3,4,2,5
334,1,3,4,2,5
335,1,3,4,2,5
336,1,5,4,2,3
337,1,3,4,2,5
338,1,3,2,4,5
339,1,3,4,5,2
340,1,3,4,2,5
341,1,2,4,3,5
342,1,3,5,2,4
343,1,3,4,2,5
344,1,3,4,2,5
345,1,3,4,2,5
346,2,3,4,1,5
347,1,3,5,2,4
348,5,3,4,2,1
349,1,3,4,2,5
350,1,4,3,2,5
351,5,3,4,2,1
352,1,3,4,2,5
353,1,3,4,2,5
354,1,3,4,2,5
355,1,3,4,2,5
356,1,2,4,3,5
357,4,3,1,2,5
358,1,5,4,2,3
359,1,3,4,2,5
