iteration,participant_stages_at_the_start_of_this_round,should_revert_to_max_likelihood_order,new_order_to_test,all_participant_ln_likelihood,max_likelihood_up_until_now,all_participant_ln_likelihood_is_larger,accepted_order,accepted_likelihood,participant_stages_at_the_end_of_iteration,acceptance_ratio,actualy_reverted
1,"[0 0 0 1 2 2 0 2 5 1 0 0 5 5 1 0 4 0 0 4 3 0 3 0 1 3 5 3 2 5 0 5 5 4 2 4 0
 0 2 0 1 1 0 1 1 0 3 1 4 0 0 2 1 3 0 3 5 0 4 2 1 1 0 3 0 0 0 2 5 0 1 5 1 1
 2 3 3 5 3 2 3 0 1 0 2 2 3 0 3 3 0 3 5 0 0 1 4 2 0 0]",False,"{'HIP-FCI': 2, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 1, 'FUS-GMI': 4}",-1932.3054344611035,-1932.3054344611035,True,"{'HIP-FCI': 2, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 1, 'FUS-GMI': 4}",-1932.3054344611035,"[0 0 0 5 5 4 0 1 1 2 0 0 5 1 5 0 4 0 0 3 1 0 1 0 3 2 5 2 1 5 0 1 5 4 4 4 0
 0 4 0 4 4 0 1 3 0 3 5 1 0 0 3 5 3 0 1 1 0 4 3 1 1 0 4 0 0 0 1 5 0 1 2 3 3
 1 2 2 5 3 2 3 0 2 0 4 4 1 0 3 5 0 5 4 0 0 2 3 5 0 0]",100.0,
2,"[0 0 0 5 5 4 0 1 1 2 0 0 5 1 5 0 4 0 0 3 1 0 1 0 3 2 5 2 1 5 0 1 5 4 4 4 0
 0 4 0 4 4 0 1 3 0 3 5 1 0 0 3 5 3 0 1 1 0 4 3 1 1 0 4 0 0 0 1 5 0 1 2 3 3
 1 2 2 5 3 2 3 0 2 0 4 4 1 0 3 5 0 5 4 0 0 2 3 5 0 0]",False,"{'HIP-FCI': 2, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 1, 'FUS-GMI': 4}",-1927.6728014431321,-1927.6728014431321,True,"{'HIP-FCI': 2, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 1, 'FUS-GMI': 4}",-1927.6728014431321,"[0 0 0 4 4 5 0 4 1 5 0 0 4 1 3 0 3 0 0 4 2 0 4 0 2 4 5 5 1 4 0 4 5 5 5 2 0
 0 1 0 1 2 0 4 3 0 5 4 4 0 0 3 4 2 0 2 5 0 1 3 2 1 0 3 0 0 0 4 5 0 5 2 4 2
 1 1 4 5 1 5 2 0 3 0 4 1 1 0 3 5 0 1 3 0 0 2 5 5 0 0]",100.0,
3,"[0 0 0 4 4 5 0 4 1 5 0 0 4 1 3 0 3 0 0 4 2 0 4 0 2 4 5 5 1 4 0 4 5 5 5 2 0
 0 1 0 1 2 0 4 3 0 5 4 4 0 0 3 4 2 0 2 5 0 1 3 2 1 0 3 0 0 0 4 5 0 5 2 4 2
 1 1 4 5 1 5 2 0 3 0 4 1 1 0 3 5 0 1 3 0 0 2 5 5 0 0]",False,"{'HIP-FCI': 2, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 1, 'FUS-GMI': 4}",-1924.327562155736,-1924.327562155736,True,"{'HIP-FCI': 2, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 1, 'FUS-GMI': 4}",-1924.327562155736,"[0 0 0 4 3 5 0 5 4 5 0 0 5 3 4 0 3 0 0 4 2 0 4 0 2 5 4 5 1 5 0 4 4 1 4 4 0
 0 5 0 5 2 0 1 1 0 4 1 5 0 0 3 5 5 0 2 3 0 5 1 2 2 0 4 0 0 0 2 5 0 1 1 1 5
 2 3 5 1 1 1 5 0 3 0 4 2 3 0 1 5 0 4 4 0 0 1 5 4 0 0]",100.0,
4,"[0 0 0 4 3 5 0 5 4 5 0 0 5 3 4 0 3 0 0 4 2 0 4 0 2 5 4 5 1 5 0 4 4 1 4 4 0
 0 5 0 5 2 0 1 1 0 4 1 5 0 0 3 5 5 0 2 3 0 5 1 2 2 0 4 0 0 0 2 5 0 1 1 1 5
 2 3 5 1 1 1 5 0 3 0 4 2 3 0 1 5 0 4 4 0 0 1 5 4 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.7843228003344,-1922.7843228003344,True,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.7843228003344,"[0 0 0 5 3 3 0 1 1 4 0 0 4 2 5 0 4 0 0 5 3 0 2 0 1 4 3 5 2 2 0 5 4 2 3 5 0
 0 4 0 2 2 0 2 1 0 5 1 4 0 0 1 2 5 0 3 4 0 4 2 2 1 0 4 0 0 0 4 1 0 2 4 2 2
 1 3 4 5 5 4 5 0 2 0 4 2 5 0 1 4 0 4 5 0 0 3 4 1 0 0]",100.0,
5,"[0 0 0 5 3 3 0 1 1 4 0 0 4 2 5 0 4 0 0 5 3 0 2 0 1 4 3 5 2 2 0 5 4 2 3 5 0
 0 4 0 2 2 0 2 1 0 5 1 4 0 0 1 2 5 0 3 4 0 4 2 2 1 0 4 0 0 0 4 1 0 2 4 2 2
 1 3 4 5 5 4 5 0 2 0 4 2 5 0 1 4 0 4 5 0 0 3 4 1 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.6313215876278,-1922.6313215876278,True,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.6313215876278,"[0 0 0 1 4 4 0 2 1 4 0 0 5 3 5 0 5 0 0 4 2 0 5 0 2 4 5 5 5 5 0 1 4 4 2 3 0
 0 4 0 2 5 0 4 1 0 3 2 3 0 0 2 5 4 0 2 4 0 4 2 1 2 0 4 0 0 0 4 5 0 2 1 1 1
 2 1 5 4 5 5 5 0 3 0 4 3 4 0 1 4 0 4 4 0 0 2 2 4 0 0]",100.0,
6,"[0 0 0 1 4 4 0 2 1 4 0 0 5 3 5 0 5 0 0 4 2 0 5 0 2 4 5 5 5 5 0 1 4 4 2 3 0
 0 4 0 2 5 0 4 1 0 3 2 3 0 0 2 5 4 0 2 4 0 4 2 1 2 0 4 0 0 0 4 5 0 2 1 1 1
 2 1 5 4 5 5 5 0 3 0 4 3 4 0 1 4 0 4 4 0 0 2 2 4 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.2335465891945,-1922.2335465891945,True,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.2335465891945,"[0 0 0 3 4 2 0 1 1 5 0 0 5 2 5 0 4 0 0 4 2 0 3 0 2 5 5 5 4 4 0 5 5 4 4 4 0
 0 2 0 1 1 0 1 3 0 4 4 2 0 0 1 4 3 0 1 4 0 5 3 1 2 0 4 0 0 0 5 4 0 5 4 4 1
 2 2 4 5 4 1 4 0 3 0 4 2 4 0 2 4 0 4 3 0 0 2 5 3 0 0]",100.0,
7,"[0 0 0 3 4 2 0 1 1 5 0 0 5 2 5 0 4 0 0 4 2 0 3 0 2 5 5 5 4 4 0 5 5 4 4 4 0
 0 2 0 1 1 0 1 3 0 4 4 2 0 0 1 4 3 0 1 4 0 5 3 1 2 0 4 0 0 0 5 4 0 5 4 4 1
 2 2 4 5 4 1 4 0 3 0 4 2 4 0 2 4 0 4 3 0 0 2 5 3 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 4, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 5}",-1926.5354880099649,-1922.2335465891945,False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.2335465891945,"[0 0 0 1 5 3 0 1 1 5 0 0 4 2 5 0 4 0 0 3 4 0 1 0 4 2 5 5 1 3 0 5 3 5 5 5 0
 0 5 0 2 2 0 2 4 0 3 1 5 0 0 3 5 2 0 2 1 0 4 4 2 4 0 2 0 0 0 5 5 0 5 5 5 2
 2 2 1 4 2 5 1 0 4 0 5 1 5 0 3 3 0 5 5 0 0 4 5 5 0 0]",85.71428571428571,
8,"[0 0 0 1 5 3 0 1 1 5 0 0 4 2 5 0 4 0 0 3 4 0 1 0 4 2 5 5 1 3 0 5 3 5 5 5 0
 0 5 0 2 2 0 2 4 0 3 1 5 0 0 3 5 2 0 2 1 0 4 4 2 4 0 2 0 0 0 5 5 0 5 5 5 2
 2 2 1 4 2 5 1 0 4 0 5 1 5 0 3 3 0 5 5 0 0 4 5 5 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1936.6702446310198,-1922.2335465891945,False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.2335465891945,"[0 0 0 4 1 3 0 5 5 3 0 0 5 5 3 0 1 0 0 3 2 0 2 0 3 1 3 1 1 1 0 4 5 1 3 4 0
 0 3 0 1 4 0 3 5 0 3 4 1 0 0 3 3 2 0 2 5 0 5 4 2 2 0 5 0 0 0 2 5 0 3 2 3 5
 1 5 3 3 5 5 1 0 3 0 5 3 4 0 2 4 0 2 1 0 0 3 2 5 0 0]",75.0,
9,"[0 0 0 4 1 3 0 5 5 3 0 0 5 5 3 0 1 0 0 3 2 0 2 0 3 1 3 1 1 1 0 4 5 1 3 4 0
 0 3 0 1 4 0 3 5 0 3 4 1 0 0 3 3 2 0 2 5 0 5 4 2 2 0 5 0 0 0 2 5 0 3 2 3 5
 1 5 3 3 5 5 1 0 3 0 5 3 4 0 2 4 0 2 1 0 0 3 2 5 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1935.7776904433672,-1922.2335465891945,False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.2335465891945,"[0 0 0 1 1 3 0 4 5 4 0 0 5 5 5 0 4 0 0 5 1 0 2 0 5 4 5 3 4 3 0 2 5 2 3 2 0
 0 3 0 1 1 0 3 2 0 3 5 1 0 0 4 3 4 0 3 2 0 1 1 1 3 0 5 0 0 0 1 5 0 5 3 2 5
 1 4 1 4 3 2 5 0 1 0 2 3 2 0 5 1 0 4 3 0 0 2 3 4 0 0]",66.66666666666667,
10,"[0 0 0 1 1 3 0 4 5 4 0 0 5 5 5 0 4 0 0 5 1 0 2 0 5 4 5 3 4 3 0 2 5 2 3 2 0
 0 3 0 1 1 0 3 2 0 3 5 1 0 0 4 3 4 0 3 2 0 1 1 1 3 0 5 0 0 0 1 5 0 5 3 2 5
 1 4 1 4 3 2 5 0 1 0 2 3 2 0 5 1 0 4 3 0 0 2 3 4 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1935.0038243894087,-1922.2335465891945,False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.2335465891945,"[0 0 0 4 4 4 0 2 3 5 0 0 2 3 2 0 4 0 0 2 2 0 4 0 4 2 1 1 4 5 0 4 1 3 2 4 0
 0 1 0 1 1 0 4 3 0 1 1 4 0 0 2 2 2 0 2 1 0 2 3 2 3 0 2 0 0 0 1 5 0 2 1 5 2
 2 2 5 1 5 3 2 0 1 0 2 3 4 0 3 5 0 5 4 0 0 3 4 2 0 0]",60.0,
