iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,3,2,4,5,1
2,3,2,5,4,1
3,2,3,5,4,1
4,2,3,5,4,1
5,2,3,5,4,1
6,2,3,5,4,1
7,2,3,5,4,1
8,2,3,5,4,1
9,2,3,5,4,1
10,2,3,5,4,1
11,2,3,5,4,1
12,2,3,5,4,1
13,2,3,5,4,1
14,2,1,5,4,3
15,2,1,5,4,3
16,2,1,5,4,3
17,2,1,5,3,4
18,2,1,5,3,4
19,2,1,5,3,4
20,2,1,5,3,4
21,2,1,5,3,4
22,2,1,5,3,4
23,1,2,5,3,4
24,1,2,5,3,4
25,1,2,5,3,4
26,1,2,5,3,4
27,1,2,5,3,4
28,1,2,5,3,4
29,1,3,5,2,4
30,1,3,5,2,4
31,1,3,5,2,4
32,1,3,5,2,4
33,1,3,5,2,4
34,1,3,5,2,4
35,1,3,5,2,4
36,1,3,5,2,4
37,1,3,5,2,4
38,1,3,5,2,4
39,1,3,5,2,4
40,1,4,5,2,3
41,1,4,5,2,3
42,1,4,5,2,3
43,1,4,5,2,3
44,1,4,5,2,3
45,1,4,5,2,3
46,1,4,5,2,3
47,1,4,5,2,3
48,1,4,5,2,3
49,1,4,5,2,3
50,1,4,5,2,3
51,1,4,5,2,3
52,1,4,5,2,3
53,1,4,5,2,3
54,1,4,5,2,3
55,1,4,5,2,3
56,1,4,5,2,3
57,1,4,5,2,3
58,1,4,5,2,3
59,1,4,5,2,3
60,1,4,5,2,3
61,1,4,5,2,3
62,1,4,5,2,3
63,1,4,5,2,3
64,1,4,5,2,3
65,1,4,5,2,3
66,1,4,5,2,3
67,1,4,5,2,3
68,1,4,5,2,3
69,1,4,5,2,3
70,1,4,5,2,3
71,1,4,5,2,3
72,1,4,5,2,3
73,1,4,5,2,3
74,1,4,5,2,3
75,1,4,5,2,3
76,1,4,5,2,3
77,1,4,5,2,3
78,1,4,5,2,3
79,1,4,5,2,3
80,1,4,5,2,3
81,1,4,5,2,3
82,1,4,5,2,3
83,1,4,5,2,3
84,1,4,5,2,3
85,1,4,5,2,3
86,1,4,5,2,3
87,1,4,5,2,3
88,1,4,5,2,3
89,1,4,5,2,3
90,1,4,5,2,3
91,1,4,5,2,3
92,1,4,5,2,3
93,1,4,5,2,3
94,1,4,5,2,3
95,1,4,5,2,3
96,1,4,5,2,3
97,1,4,5,2,3
98,1,4,5,2,3
99,1,4,5,2,3
100,1,4,5,2,3
101,1,4,5,2,3
102,1,4,5,2,3
103,1,4,5,2,3
104,1,4,5,2,3
105,1,4,5,2,3
106,1,4,5,2,3
107,1,4,5,2,3
108,1,4,5,2,3
109,1,4,5,2,3
110,1,4,5,2,3
111,1,4,5,2,3
112,1,4,5,2,3
113,1,4,5,2,3
114,1,4,5,2,3
115,1,4,5,2,3
116,1,4,5,2,3
117,1,4,5,2,3
118,1,4,5,2,3
119,1,4,5,2,3
120,1,4,5,2,3
121,1,4,5,2,3
122,1,4,5,2,3
123,1,4,5,2,3
124,1,4,5,2,3
125,1,4,5,2,3
126,1,4,5,2,3
127,1,4,5,2,3
128,1,4,5,2,3
129,1,4,5,2,3
130,1,4,5,2,3
131,1,4,5,2,3
132,1,4,5,2,3
133,1,4,5,2,3
134,1,4,5,2,3
135,1,4,5,2,3
136,1,4,5,2,3
137,1,4,5,2,3
138,1,4,5,2,3
139,1,4,5,2,3
140,1,4,5,2,3
141,1,4,5,2,3
142,1,4,5,2,3
143,1,4,5,2,3
144,1,4,5,2,3
145,1,4,5,2,3
146,1,4,5,2,3
147,1,4,5,2,3
148,1,4,5,2,3
149,1,4,5,2,3
150,1,4,5,2,3
151,1,4,5,2,3
152,1,4,5,2,3
153,1,4,5,2,3
154,1,4,5,2,3
155,1,4,5,2,3
156,1,4,5,2,3
157,1,4,5,2,3
158,1,4,5,2,3
159,1,4,5,2,3
160,1,4,5,2,3
161,1,4,5,2,3
162,1,4,5,2,3
163,1,4,5,2,3
164,1,4,5,2,3
165,1,4,5,2,3
166,1,4,5,2,3
167,1,4,5,2,3
168,1,4,5,2,3
169,1,4,5,2,3
170,1,4,5,2,3
171,1,4,5,2,3
172,1,4,5,2,3
173,1,4,5,2,3
174,1,4,5,2,3
175,1,4,5,2,3
176,1,4,5,2,3
177,1,4,5,2,3
178,1,4,5,2,3
179,1,4,5,2,3
180,1,4,5,2,3
181,1,4,5,2,3
182,1,4,5,2,3
183,1,4,5,2,3
184,1,4,5,2,3
185,1,4,5,2,3
186,1,4,5,2,3
187,1,4,5,2,3
188,1,4,5,2,3
189,1,4,5,2,3
190,1,4,5,2,3
