iteration,all_current_likelihoods
1,-2205.3289751555476
2,-2194.4469412466588
3,-1989.8400951621882
4,-1989.8400951621882
5,-1989.8400951621882
6,-1952.6666009157298
7,-1952.6666009157298
8,-1952.6666009157298
9,-1952.6666009157298
10,-1952.6666009157298
11,-1952.6666009157298
12,-1952.7177367436468
13,-1952.7177367436468
14,-1952.6666009157298
15,-1952.6666009157298
16,-1952.6666009157298
17,-1952.6666009157298
18,-1952.6666009157298
19,-1952.6666009157298
20,-1952.6666009157298
21,-1952.7177367436468
22,-1952.7177367436468
23,-1952.7177367436468
24,-1952.7177367436468
25,-1952.7177367436468
26,-1952.7177367436468
27,-1952.7177367436468
28,-1952.7177367436468
29,-1952.7177367436468
30,-1952.7177367436468
31,-1952.7177367436468
32,-1952.7177367436468
33,-1952.7177367436468
34,-1952.7177367436468
35,-1952.7177367436468
36,-1952.7177367436468
37,-1952.7177367436468
38,-1952.7177367436468
39,-1952.7177367436468
40,-1952.7177367436468
41,-1952.7177367436468
42,-1952.7177367436468
43,-1952.7177367436468
44,-1952.7177367436468
45,-1952.7177367436468
46,-1952.7177367436468
47,-1952.7177367436468
48,-1952.7177367436468
49,-1952.7177367436468
50,-1952.7177367436468
51,-1952.7177367436468
52,-1952.7177367436468
53,-1952.7177367436468
54,-1952.7177367436468
55,-1952.7177367436468
56,-1952.7177367436468
57,-1952.7177367436468
58,-1952.7177367436468
59,-1952.7177367436468
60,-1952.7177367436468
61,-1952.7177367436468
62,-1952.7177367436468
63,-1952.7177367436468
64,-1952.6666009157298
65,-1952.6666009157298
66,-1952.6666009157298
67,-1952.6666009157298
68,-1952.6666009157298
69,-1952.6666009157298
70,-1952.6666009157298
71,-1952.6666009157298
72,-1952.7177367436468
73,-1952.7177367436468
74,-1952.7177367436468
75,-1952.7177367436468
76,-1952.7177367436468
77,-1952.7177367436468
78,-1952.7177367436468
79,-1952.7177367436468
80,-1952.7177367436468
81,-1952.7177367436468
82,-1952.7177367436468
83,-1952.7177367436468
84,-1952.6666009157298
85,-1952.6666009157298
86,-1952.6666009157298
87,-1952.6666009157298
88,-1952.6666009157298
89,-1952.6666009157298
90,-1952.6666009157298
91,-1952.6666009157298
92,-1952.6666009157298
93,-1952.7177367436468
94,-1952.7177367436468
95,-1952.7177367436468
96,-1952.7177367436468
97,-1952.7177367436468
98,-1952.7177367436468
99,-1952.7177367436468
100,-1952.7177367436468
101,-1952.7177367436468
102,-1952.7177367436468
103,-1952.7177367436468
104,-1952.6666009157298
105,-1952.6666009157298
106,-1952.6666009157298
107,-1952.6666009157298
108,-1952.6666009157298
109,-1952.6666009157298
110,-1952.6666009157298
111,-1952.6666009157298
112,-1952.6666009157298
113,-1952.6666009157298
114,-1952.7177367436468
115,-1952.7177367436468
116,-1952.7177367436468
117,-1952.7177367436468
118,-1952.7177367436468
119,-1952.7177367436468
120,-1952.7177367436468
121,-1952.7177367436468
122,-1952.7177367436468
123,-1952.7177367436468
124,-1952.7177367436468
125,-1952.7177367436468
126,-1952.7177367436468
127,-1952.7177367436468
128,-1952.7177367436468
129,-1952.7177367436468
130,-1952.7177367436468
131,-1952.7177367436468
132,-1952.7177367436468
133,-1952.7177367436468
134,-1952.7177367436468
135,-1952.7177367436468
136,-1952.7177367436468
137,-1952.7177367436468
138,-1952.7177367436468
139,-1952.7177367436468
140,-1952.7177367436468
141,-1952.7177367436468
142,-1952.7177367436468
143,-1952.6666009157298
144,-1952.6666009157298
145,-1952.6666009157298
146,-1952.6666009157298
147,-1952.6666009157298
148,-1952.6666009157298
149,-1952.6666009157298
150,-1952.6666009157298
151,-1952.6666009157298
152,-1952.6666009157298
153,-1952.7177367436468
154,-1952.7177367436468
155,-1952.7177367436468
156,-1952.7177367436468
157,-1952.7177367436468
158,-1952.7177367436468
159,-1952.7177367436468
160,-1952.7177367436468
161,-1952.7177367436468
162,-1952.7177367436468
163,-1952.7177367436468
164,-1952.7177367436468
165,-1952.7177367436468
166,-1952.7177367436468
167,-1952.7177367436468
168,-1952.7177367436468
169,-1952.6666009157298
170,-1952.6666009157298
171,-1952.6666009157298
172,-1952.7177367436468
173,-1952.7177367436468
174,-1952.7177367436468
175,-1952.7177367436468
176,-1952.7177367436468
177,-1952.6666009157298
178,-1952.6666009157298
179,-1952.7177367436468
180,-1952.7177367436468
181,-1952.7177367436468
182,-1952.7177367436468
183,-1952.7177367436468
184,-1952.7177367436468
185,-1952.7177367436468
186,-1952.6666009157298
187,-1952.6666009157298
188,-1952.6666009157298
189,-1952.6666009157298
190,-1952.6666009157298
191,-1952.6666009157298
192,-1952.6666009157298
193,-1952.6666009157298
194,-1952.6666009157298
195,-1952.7177367436468
196,-1952.7177367436468
197,-1952.7177367436468
198,-1952.7177367436468
199,-1952.7177367436468
200,-1952.7177367436468
201,-1952.7177367436468
202,-1952.7177367436468
203,-1952.6666009157298
204,-1952.6666009157298
205,-1952.7177367436468
206,-1952.7177367436468
207,-1952.7177367436468
208,-1952.7177367436468
209,-1952.7177367436468
210,-1952.7177367436468
211,-1952.7177367436468
212,-1952.7177367436468
213,-1952.7177367436468
214,-1952.7177367436468
215,-1952.7177367436468
216,-1952.7177367436468
217,-1952.7177367436468
218,-1952.7177367436468
219,-1952.7177367436468
220,-1952.6666009157298
221,-1952.6666009157298
222,-1952.6666009157298
223,-1952.6666009157298
224,-1952.7177367436468
225,-1952.6666009157298
226,-1952.6666009157298
227,-1952.6666009157298
228,-1952.6666009157298
229,-1952.7177367436468
230,-1952.6666009157298
231,-1952.6666009157298
232,-1952.6666009157298
233,-1952.6666009157298
234,-1952.6666009157298
235,-1952.6666009157298
236,-1952.6666009157298
237,-1952.6666009157298
238,-1952.6666009157298
239,-1952.6666009157298
240,-1952.6666009157298
241,-1952.6666009157298
242,-1952.6666009157298
243,-1952.7177367436468
244,-1952.7177367436468
245,-1952.7177367436468
246,-1952.6666009157298
247,-1952.6666009157298
248,-1952.6666009157298
249,-1952.6666009157298
250,-1952.6666009157298
251,-1952.6666009157298
252,-1952.6666009157298
253,-1952.6666009157298
254,-1952.6666009157298
255,-1952.6666009157298
256,-1952.6666009157298
257,-1952.6666009157298
258,-1952.6666009157298
259,-1952.6666009157298
260,-1952.6666009157298
261,-1952.6666009157298
262,-1952.6666009157298
263,-1952.6666009157298
264,-1952.7177367436468
265,-1952.7177367436468
266,-1952.7177367436468
267,-1952.6666009157298
268,-1952.6666009157298
269,-1952.6666009157298
270,-1952.6666009157298
271,-1952.7177367436468
272,-1952.7177367436468
273,-1952.7177367436468
274,-1952.7177367436468
275,-1952.7177367436468
276,-1952.6666009157298
277,-1952.6666009157298
278,-1952.6666009157298
279,-1952.6666009157298
280,-1952.7177367436468
281,-1952.7177367436468
282,-1952.7177367436468
283,-1952.7177367436468
284,-1952.7177367436468
285,-1952.7177367436468
286,-1952.7177367436468
287,-1952.7177367436468
288,-1952.7177367436468
289,-1952.7177367436468
290,-1952.7177367436468
291,-1952.7177367436468
292,-1952.7177367436468
293,-1952.7177367436468
294,-1952.7177367436468
295,-1952.7177367436468
296,-1952.7177367436468
297,-1952.7177367436468
298,-1952.7177367436468
299,-1952.7177367436468
300,-1952.7177367436468
301,-1952.6666009157298
302,-1952.6666009157298
303,-1952.6666009157298
304,-1952.6666009157298
305,-1952.6666009157298
306,-1952.6666009157298
307,-1952.7177367436468
308,-1952.7177367436468
309,-1952.7177367436468
310,-1952.7177367436468
311,-1952.7177367436468
312,-1952.6666009157298
313,-1952.6666009157298
314,-1952.6666009157298
315,-1952.6666009157298
316,-1952.6666009157298
317,-1952.6666009157298
318,-1952.6666009157298
319,-1952.7177367436468
320,-1952.7177367436468
321,-1952.7177367436468
322,-1952.7177367436468
323,-1952.7177367436468
324,-1952.7177367436468
325,-1952.7177367436468
326,-1952.7177367436468
327,-1952.7177367436468
328,-1952.7177367436468
329,-1952.7177367436468
330,-1952.7177367436468
331,-1952.7177367436468
332,-1952.7177367436468
333,-1952.7177367436468
334,-1952.7177367436468
335,-1952.7177367436468
336,-1952.7177367436468
337,-1952.7177367436468
338,-1952.7177367436468
339,-1952.7177367436468
340,-1952.7177367436468
341,-1952.6666009157298
342,-1952.6666009157298
343,-1952.6666009157298
344,-1952.6666009157298
345,-1952.6666009157298
346,-1952.6666009157298
347,-1952.6666009157298
348,-1952.6666009157298
349,-1952.6666009157298
350,-1952.6666009157298
351,-1952.6666009157298
352,-1952.6666009157298
353,-1952.7177367436468
354,-1952.7177367436468
355,-1952.7177367436468
356,-1952.7177367436468
357,-1952.7177367436468
358,-1952.7177367436468
359,-1952.7177367436468
360,-1952.7177367436468
361,-1952.7177367436468
362,-1952.7177367436468
363,-1952.7177367436468
364,-1952.7177367436468
365,-1952.7177367436468
366,-1952.6666009157298
367,-1952.6666009157298
368,-1952.6666009157298
369,-1952.6666009157298
370,-1952.6666009157298
371,-1952.6666009157298
372,-1952.7177367436468
373,-1952.7177367436468
374,-1952.7177367436468
375,-1952.7177367436468
376,-1952.7177367436468
377,-1952.7177367436468
378,-1952.7177367436468
379,-1952.6666009157298
380,-1952.6666009157298
381,-1952.7177367436468
382,-1952.7177367436468
383,-1952.7177367436468
384,-1952.7177367436468
385,-1952.6666009157298
386,-1952.6666009157298
387,-1952.6666009157298
388,-1952.6666009157298
389,-1952.6666009157298
390,-1952.6666009157298
391,-1952.7177367436468
392,-1952.6666009157298
393,-1952.6666009157298
394,-1952.6666009157298
395,-1952.6666009157298
396,-1952.6666009157298
397,-1952.7177367436468
398,-1952.7177367436468
399,-1952.7177367436468
400,-1952.7177367436468
401,-1952.7177367436468
402,-1952.7177367436468
403,-1952.7177367436468
404,-1952.7177367436468
405,-1952.7177367436468
406,-1952.7177367436468
407,-1952.7177367436468
408,-1952.7177367436468
409,-1952.7177367436468
410,-1952.7177367436468
411,-1952.6666009157298
412,-1952.6666009157298
413,-1952.6666009157298
414,-1952.6666009157298
415,-1952.6666009157298
416,-1952.6666009157298
417,-1952.6666009157298
418,-1952.6666009157298
419,-1952.6666009157298
420,-1952.6666009157298
421,-1952.6666009157298
422,-1952.6666009157298
423,-1952.6666009157298
424,-1952.6666009157298
425,-1952.6666009157298
426,-1952.6666009157298
427,-1952.6666009157298
428,-1952.6666009157298
429,-1952.6666009157298
430,-1952.6666009157298
431,-1952.7177367436468
432,-1952.7177367436468
433,-1952.6666009157298
434,-1952.7177367436468
435,-1952.7177367436468
436,-1952.7177367436468
437,-1952.7177367436468
438,-1952.7177367436468
439,-1952.7177367436468
440,-1952.7177367436468
441,-1952.7177367436468
442,-1952.7177367436468
443,-1952.7177367436468
444,-1952.7177367436468
445,-1952.7177367436468
446,-1952.7177367436468
447,-1952.7177367436468
448,-1952.7177367436468
449,-1952.7177367436468
450,-1952.7177367436468
451,-1952.6666009157298
452,-1952.6666009157298
453,-1952.6666009157298
454,-1952.6666009157298
455,-1952.6666009157298
456,-1952.6666009157298
457,-1952.6666009157298
458,-1952.6666009157298
459,-1952.6666009157298
460,-1952.6666009157298
461,-1952.6666009157298
462,-1952.6666009157298
463,-1952.6666009157298
464,-1952.6666009157298
465,-1952.6666009157298
466,-1952.6666009157298
467,-1952.6666009157298
468,-1952.6666009157298
469,-1952.6666009157298
470,-1952.6666009157298
471,-1952.6666009157298
472,-1952.7177367436468
473,-1952.7177367436468
474,-1952.7177367436468
475,-1952.7177367436468
476,-1952.7177367436468
477,-1952.6666009157298
478,-1952.7177367436468
479,-1952.6666009157298
480,-1952.6666009157298
481,-1952.6666009157298
482,-1952.6666009157298
483,-1952.6666009157298
484,-1952.6666009157298
485,-1952.6666009157298
486,-1952.6666009157298
487,-1952.6666009157298
488,-1952.6666009157298
489,-1952.6666009157298
490,-1952.6666009157298
491,-1952.6666009157298
492,-1952.7177367436468
493,-1952.7177367436468
494,-1952.7177367436468
495,-1952.7177367436468
496,-1952.7177367436468
497,-1952.7177367436468
498,-1952.6666009157298
499,-1952.6666009157298
500,-1952.7177367436468
501,-1952.7177367436468
502,-1952.7177367436468
503,-1952.7177367436468
504,-1952.7177367436468
505,-1952.7177367436468
506,-1952.7177367436468
507,-1952.7177367436468
508,-1952.7177367436468
509,-1952.7177367436468
510,-1952.7177367436468
511,-1952.7177367436468
512,-1952.7177367436468
513,-1952.7177367436468
514,-1952.7177367436468
515,-1952.6666009157298
516,-1952.6666009157298
517,-1952.6666009157298
518,-1952.6666009157298
519,-1952.6666009157298
520,-1952.6666009157298
521,-1952.6666009157298
522,-1952.6666009157298
523,-1952.6666009157298
524,-1952.6666009157298
525,-1952.6666009157298
526,-1952.6666009157298
527,-1952.6666009157298
528,-1952.6666009157298
529,-1952.6666009157298
530,-1952.6666009157298
531,-1952.6666009157298
532,-1952.6666009157298
533,-1952.6666009157298
534,-1952.6666009157298
535,-1952.6666009157298
536,-1952.7177367436468
537,-1952.7177367436468
538,-1952.7177367436468
539,-1952.7177367436468
540,-1952.7177367436468
541,-1952.7177367436468
542,-1952.7177367436468
543,-1952.7177367436468
544,-1952.7177367436468
545,-1952.7177367436468
546,-1952.7177367436468
547,-1952.7177367436468
548,-1952.7177367436468
549,-1952.7177367436468
550,-1952.7177367436468
551,-1952.7177367436468
552,-1952.7177367436468
553,-1952.7177367436468
554,-1952.7177367436468
555,-1952.7177367436468
556,-1952.7177367436468
557,-1952.6666009157298
558,-1952.6666009157298
559,-1952.6666009157298
560,-1952.6666009157298
561,-1952.6666009157298
562,-1952.6666009157298
563,-1952.6666009157298
564,-1952.6666009157298
565,-1952.6666009157298
566,-1952.6666009157298
567,-1952.6666009157298
568,-1952.6666009157298
569,-1952.6666009157298
570,-1952.6666009157298
571,-1952.6666009157298
572,-1952.6666009157298
573,-1952.6666009157298
574,-1952.6666009157298
575,-1952.6666009157298
576,-1952.6666009157298
577,-1952.6666009157298
578,-1952.6666009157298
579,-1952.6666009157298
580,-1952.6666009157298
581,-1952.6666009157298
582,-1952.6666009157298
583,-1952.6666009157298
584,-1952.6666009157298
585,-1952.6666009157298
586,-1952.7177367436468
587,-1952.7177367436468
588,-1952.7177367436468
589,-1952.7177367436468
590,-1952.7177367436468
591,-1952.7177367436468
592,-1952.7177367436468
593,-1952.7177367436468
594,-1952.7177367436468
595,-1952.7177367436468
596,-1952.7177367436468
597,-1952.7177367436468
598,-1952.7177367436468
599,-1952.7177367436468
600,-1952.7177367436468
601,-1952.6666009157298
602,-1952.6666009157298
603,-1952.6666009157298
604,-1952.6666009157298
605,-1952.6666009157298
606,-1952.6666009157298
607,-1952.6666009157298
608,-1952.7177367436468
609,-1952.7177367436468
610,-1952.7177367436468
611,-1952.7177367436468
612,-1952.6666009157298
613,-1952.6666009157298
614,-1952.6666009157298
615,-1952.6666009157298
616,-1952.6666009157298
617,-1952.6666009157298
618,-1952.6666009157298
619,-1952.6666009157298
620,-1952.6666009157298
621,-1952.7177367436468
622,-1952.7177367436468
623,-1952.7177367436468
624,-1952.6666009157298
625,-1952.6666009157298
626,-1952.7177367436468
627,-1952.7177367436468
628,-1952.6666009157298
629,-1952.6666009157298
630,-1952.6666009157298
631,-1952.7177367436468
632,-1952.7177367436468
633,-1952.7177367436468
634,-1952.7177367436468
635,-1952.7177367436468
636,-1952.7177367436468
637,-1952.7177367436468
638,-1952.7177367436468
639,-1952.7177367436468
640,-1952.7177367436468
641,-1952.7177367436468
642,-1952.7177367436468
643,-1952.7177367436468
644,-1952.7177367436468
645,-1952.7177367436468
646,-1952.7177367436468
647,-1952.7177367436468
648,-1952.6666009157298
649,-1952.6666009157298
650,-1952.6666009157298
651,-1952.6666009157298
652,-1952.6666009157298
653,-1952.6666009157298
654,-1952.6666009157298
655,-1952.6666009157298
656,-1952.6666009157298
657,-1952.6666009157298
658,-1952.6666009157298
659,-1952.6666009157298
660,-1952.7177367436468
661,-1952.6666009157298
662,-1952.6666009157298
663,-1952.6666009157298
664,-1952.6666009157298
665,-1952.6666009157298
666,-1952.6666009157298
667,-1952.6666009157298
668,-1952.6666009157298
669,-1952.6666009157298
670,-1952.6666009157298
671,-1952.6666009157298
672,-1952.6666009157298
673,-1952.6666009157298
674,-1952.6666009157298
675,-1952.6666009157298
676,-1952.6666009157298
677,-1952.6666009157298
678,-1952.6666009157298
679,-1952.6666009157298
680,-1952.7177367436468
681,-1952.7177367436468
682,-1952.7177367436468
683,-1952.7177367436468
684,-1952.7177367436468
685,-1952.7177367436468
686,-1952.7177367436468
687,-1952.7177367436468
688,-1952.7177367436468
689,-1952.7177367436468
690,-1952.7177367436468
691,-1952.7177367436468
692,-1952.7177367436468
693,-1952.7177367436468
694,-1952.7177367436468
695,-1952.7177367436468
696,-1952.7177367436468
697,-1952.7177367436468
698,-1952.7177367436468
699,-1952.7177367436468
700,-1952.7177367436468
701,-1952.7177367436468
702,-1952.7177367436468
703,-1952.7177367436468
704,-1952.7177367436468
705,-1952.7177367436468
706,-1952.7177367436468
707,-1952.7177367436468
708,-1952.6666009157298
709,-1952.6666009157298
710,-1952.6666009157298
711,-1952.6666009157298
712,-1952.6666009157298
713,-1952.6666009157298
714,-1952.7177367436468
715,-1952.7177367436468
716,-1952.7177367436468
717,-1952.7177367436468
718,-1952.6666009157298
719,-1952.6666009157298
720,-1952.6666009157298
721,-1952.6666009157298
722,-1952.6666009157298
723,-1952.7177367436468
724,-1952.7177367436468
725,-1952.7177367436468
726,-1952.7177367436468
727,-1952.7177367436468
728,-1952.7177367436468
729,-1952.7177367436468
730,-1952.7177367436468
731,-1952.7177367436468
732,-1952.6666009157298
733,-1952.6666009157298
734,-1952.6666009157298
735,-1952.6666009157298
736,-1952.7177367436468
737,-1952.7177367436468
738,-1952.7177367436468
739,-1952.7177367436468
740,-1952.7177367436468
741,-1952.7177367436468
742,-1952.7177367436468
743,-1952.7177367436468
744,-1952.7177367436468
745,-1952.7177367436468
746,-1952.7177367436468
747,-1952.7177367436468
748,-1952.7177367436468
749,-1952.7177367436468
750,-1952.7177367436468
751,-1952.7177367436468
752,-1952.7177367436468
753,-1952.6666009157298
754,-1952.6666009157298
755,-1952.6666009157298
756,-1952.6666009157298
757,-1952.6666009157298
758,-1952.6666009157298
759,-1952.6666009157298
760,-1952.7177367436468
761,-1952.7177367436468
762,-1952.7177367436468
763,-1952.7177367436468
764,-1952.7177367436468
765,-1952.7177367436468
766,-1952.7177367436468
767,-1952.7177367436468
768,-1952.7177367436468
769,-1952.7177367436468
770,-1952.7177367436468
771,-1952.6666009157298
772,-1952.6666009157298
773,-1952.6666009157298
774,-1952.6666009157298
775,-1952.6666009157298
776,-1952.6666009157298
777,-1952.6666009157298
778,-1952.6666009157298
779,-1952.6666009157298
780,-1952.6666009157298
781,-1952.7177367436468
782,-1952.7177367436468
783,-1952.7177367436468
784,-1952.7177367436468
785,-1952.7177367436468
786,-1952.7177367436468
787,-1952.7177367436468
788,-1952.7177367436468
789,-1952.7177367436468
790,-1952.7177367436468
791,-1952.7177367436468
792,-1952.7177367436468
793,-1952.7177367436468
794,-1952.7177367436468
795,-1952.7177367436468
796,-1952.7177367436468
797,-1952.7177367436468
798,-1952.7177367436468
799,-1952.7177367436468
800,-1952.7177367436468
801,-1952.7177367436468
802,-1952.7177367436468
803,-1952.7177367436468
804,-1952.7177367436468
805,-1952.7177367436468
806,-1952.7177367436468
807,-1952.7177367436468
808,-1952.7177367436468
809,-1952.7177367436468
810,-1952.7177367436468
811,-1952.7177367436468
812,-1952.7177367436468
813,-1952.7177367436468
814,-1952.7177367436468
815,-1952.7177367436468
816,-1952.7177367436468
817,-1952.7177367436468
818,-1952.6666009157298
819,-1952.6666009157298
820,-1952.6666009157298
821,-1952.6666009157298
822,-1952.6666009157298
823,-1952.6666009157298
824,-1952.6666009157298
825,-1952.7177367436468
826,-1952.7177367436468
827,-1952.7177367436468
828,-1952.7177367436468
829,-1952.7177367436468
830,-1952.7177367436468
831,-1952.7177367436468
832,-1952.6666009157298
833,-1952.6666009157298
834,-1952.6666009157298
835,-1952.6666009157298
836,-1952.6666009157298
837,-1952.6666009157298
838,-1952.6666009157298
839,-1952.6666009157298
840,-1952.6666009157298
841,-1952.6666009157298
842,-1952.6666009157298
843,-1952.6666009157298
844,-1952.6666009157298
845,-1952.6666009157298
846,-1952.6666009157298
847,-1952.6666009157298
848,-1952.6666009157298
849,-1952.6666009157298
850,-1952.6666009157298
851,-1952.6666009157298
852,-1952.6666009157298
853,-1952.6666009157298
854,-1952.6666009157298
855,-1952.6666009157298
856,-1952.6666009157298
857,-1952.6666009157298
858,-1952.6666009157298
859,-1952.6666009157298
860,-1952.6666009157298
861,-1952.6666009157298
862,-1952.6666009157298
863,-1952.6666009157298
864,-1952.6666009157298
865,-1952.6666009157298
866,-1952.6666009157298
867,-1952.6666009157298
868,-1952.6666009157298
869,-1952.6666009157298
870,-1952.6666009157298
871,-1952.6666009157298
872,-1952.6666009157298
873,-1952.6666009157298
874,-1952.6666009157298
875,-1952.6666009157298
876,-1952.7177367436468
877,-1952.7177367436468
878,-1952.7177367436468
879,-1952.7177367436468
880,-1952.6666009157298
881,-1952.6666009157298
882,-1952.6666009157298
883,-1952.6666009157298
884,-1952.6666009157298
885,-1952.6666009157298
886,-1952.6666009157298
887,-1952.6666009157298
888,-1952.6666009157298
889,-1952.6666009157298
890,-1952.6666009157298
891,-1952.6666009157298
892,-1952.6666009157298
893,-1952.6666009157298
894,-1952.6666009157298
895,-1952.7177367436468
896,-1952.7177367436468
897,-1952.7177367436468
898,-1952.7177367436468
899,-1952.7177367436468
900,-1952.7177367436468
901,-1952.7177367436468
902,-1952.7177367436468
