iteration,HIP-FCI,HIP-GMI,FUS-FCI,PCC-FCI,FUS-GMI
1,4,2,3,5,1
2,4,2,5,3,1
3,1,2,5,3,4
4,3,2,5,1,4
5,5,2,1,3,4
6,1,3,5,2,4
7,1,3,2,5,4
8,1,3,5,4,2
9,5,3,1,2,4
10,3,1,5,2,4
11,1,4,5,2,3
12,1,3,4,2,5
13,1,3,2,4,5
14,1,3,5,2,4
15,1,4,5,2,3
16,1,4,5,2,3
17,1,4,5,2,3
18,1,2,5,3,4
19,5,3,1,2,4
20,1,4,5,2,3
21,1,3,4,2,5
22,1,4,3,2,5
23,1,5,4,2,3
24,1,2,4,3,5
25,4,3,1,2,5
26,3,1,4,2,5
27,1,3,4,5,2
28,5,3,4,2,1
29,1,3,2,4,5
30,5,3,4,2,1
31,4,3,1,2,5
32,1,3,2,4,5
33,2,3,4,1,5
34,1,2,4,3,5
35,4,3,1,2,5
36,1,4,3,2,5
37,3,1,4,2,5
38,1,2,4,3,5
39,1,3,2,4,5
40,1,2,4,3,5
41,3,1,4,2,5
42,1,2,4,3,5
43,2,3,4,1,5
44,5,3,4,2,1
45,1,5,4,2,3
46,2,3,4,1,5
47,5,3,4,2,1
48,2,3,4,1,5
49,1,4,3,2,5
50,1,3,4,5,2
51,5,3,4,2,1
52,3,1,4,2,5
53,2,3,5,1,4
54,1,5,4,2,3
55,1,4,3,2,5
56,5,3,4,2,1
57,3,1,4,2,5
58,5,3,4,2,1
59,5,3,4,2,1
60,2,3,4,1,5
61,2,5,4,1,3
62,2,3,4,1,5
63,3,1,4,2,5
64,1,3,5,2,4
65,1,4,5,2,3
66,1,5,3,2,4
67,5,3,1,2,4
68,4,3,5,2,1
69,2,3,5,1,4
70,5,3,1,2,4
71,4,3,5,2,1
72,1,3,4,2,5
73,1,4,3,2,5
74,1,3,2,4,5
75,3,1,4,2,5
76,1,3,2,4,5
77,1,3,4,5,2
78,1,4,3,2,5
79,3,1,4,2,5
80,3,1,4,2,5
81,4,3,1,2,5
82,2,1,4,5,3
83,2,1,3,5,4
84,1,3,5,2,4
85,1,2,5,3,4
86,5,3,1,2,4
87,1,3,5,4,2
88,1,5,3,2,4
89,1,4,5,2,3
90,1,3,2,5,4
91,2,3,5,1,4
92,1,3,2,5,4
93,1,3,4,2,5
94,2,3,4,1,5
95,1,2,4,3,5
96,5,3,4,2,1
97,2,1,5,3,4
98,5,3,4,2,1
99,1,2,4,3,5
100,5,3,4,2,1
101,4,3,1,2,5
102,5,3,4,2,1
103,1,3,4,5,2
104,1,3,5,2,4
105,3,1,5,2,4
106,3,1,5,2,4
107,1,3,2,5,4
108,1,3,2,5,4
109,1,3,5,4,2
110,1,5,3,2,4
111,5,3,1,2,4
112,1,3,5,4,2
113,1,3,5,4,2
114,1,3,4,2,5
115,5,3,4,2,1
116,4,3,1,2,5
117,5,3,4,2,1
118,5,3,4,2,1
119,2,1,4,3,5
120,1,2,4,3,5
121,1,2,4,3,5
122,1,2,4,3,5
123,5,3,4,2,1
124,5,3,4,2,1
125,1,3,4,5,2
126,1,3,2,4,5
127,1,2,4,3,5
128,1,2,4,3,5
129,1,2,4,3,5
130,1,3,2,4,5
131,1,5,4,2,3
132,1,4,3,2,5
133,1,2,4,3,5
134,2,1,3,4,5
135,2,3,4,1,5
136,1,4,3,2,5
137,5,3,4,2,1
138,3,1,4,2,5
139,3,1,4,2,5
140,5,3,4,2,1
141,4,1,3,2,5
142,1,3,2,4,5
143,1,3,5,2,4
144,1,2,5,3,4
145,5,3,1,2,4
146,4,3,5,2,1
147,1,3,5,4,2
148,1,4,5,2,3
149,1,2,5,3,4
150,4,3,5,2,1
151,4,3,5,2,1
152,2,3,5,1,4
153,1,3,4,2,5
154,1,2,4,3,5
155,1,3,4,5,2
156,1,4,3,2,5
157,1,5,4,2,3
158,4,3,1,2,5
159,1,5,4,2,3
160,1,4,3,2,5
161,4,3,1,2,5
162,1,4,3,2,5
