iteration,all_current_accepted_likelihoods
1,-927.5640492283467
2,-678.4215308116077
3,-678.4215308116077
4,-678.4215308116077
5,-678.4215308116077
6,-678.4215308116077
7,-676.694240187261
8,-676.694240187261
9,-676.694240187261
10,-667.0962547463281
11,-666.3944416728658
12,-666.4628193809809
13,-667.0832654564011
14,-668.2644197688232
15,-668.2644197688232
16,-668.2644197688232
17,-668.2644197688232
18,-668.2644197688232
19,-668.2644197688232
20,-668.2644197688232
21,-668.2644197688232
22,-668.2644197688232
23,-668.2644197688232
24,-668.2644197688232
25,-668.2644197688232
26,-668.2644197688232
27,-668.2644197688232
28,-668.2644197688232
29,-668.2644197688232
30,-668.2644197688232
31,-668.2644197688232
32,-668.2644197688232
33,-668.2644197688232
34,-668.2644197688232
35,-668.2644197688232
36,-668.2644197688232
37,-668.2644197688232
38,-668.2644197688232
39,-668.2644197688232
40,-668.2644197688232
41,-668.2644197688232
42,-668.2644197688232
43,-668.2644197688232
44,-668.2644197688232
45,-668.2644197688232
46,-668.2644197688232
47,-668.2644197688232
48,-668.2644197688232
49,-668.2644197688232
50,-668.2644197688232
51,-668.2644197688232
52,-668.2644197688232
53,-668.2644197688232
54,-668.2644197688232
55,-668.2644197688232
56,-668.2644197688232
57,-668.2644197688232
58,-668.2644197688232
59,-668.2644197688232
60,-668.2644197688232
61,-668.2644197688232
62,-668.2644197688232
63,-668.2644197688232
64,-668.2644197688232
65,-668.2644197688232
66,-668.2644197688232
67,-668.2644197688232
68,-668.2644197688232
69,-668.2644197688232
70,-668.2644197688232
71,-668.2644197688232
72,-668.2644197688232
73,-668.2644197688232
74,-668.2644197688232
75,-668.2644197688232
76,-668.2644197688232
77,-668.2644197688232
78,-668.2644197688232
79,-668.2644197688232
80,-668.2644197688232
81,-668.2644197688232
82,-668.2644197688232
83,-668.2644197688232
84,-668.2644197688232
85,-668.2644197688232
86,-668.2644197688232
87,-668.2644197688232
88,-668.2644197688232
89,-668.2644197688232
90,-668.2644197688232
91,-668.2644197688232
92,-668.2644197688232
93,-668.2644197688232
94,-668.2016533763394
95,-668.2016533763394
96,-668.2016533763394
97,-668.2016533763394
98,-668.2016533763394
99,-668.2016533763394
100,-668.2016533763394
101,-668.2016533763394
102,-668.2016533763394
103,-668.2016533763394
104,-668.9393382340003
105,-668.9393382340003
106,-668.9393382340003
107,-668.9393382340003
108,-669.6193859954587
109,-669.2185832354116
110,-669.2185832354116
111,-669.2185832354116
112,-669.2185832354116
113,-669.2185832354116
114,-669.2185832354116
115,-669.2185832354116
116,-669.2185832354116
117,-669.2185832354116
118,-669.2185832354116
119,-669.2185832354116
120,-669.2185832354116
121,-669.2185832354116
122,-669.2185832354116
123,-669.2185832354116
124,-669.2185832354116
125,-669.2185832354116
126,-669.2185832354116
127,-669.2185832354116
128,-669.2185832354116
129,-669.2185832354116
130,-669.2185832354116
131,-669.2185832354116
132,-669.2185832354116
133,-669.2185832354116
134,-669.2185832354116
135,-669.2185832354116
136,-669.2185832354116
137,-669.2185832354116
138,-669.2185832354116
139,-669.2185832354116
140,-669.2185832354116
141,-669.2185832354116
142,-660.3892836837139
143,-641.9383309110282
144,-636.9657052708395
145,-636.9657052708395
146,-636.9657052708395
147,-636.9657052708395
148,-636.9657052708395
149,-636.9657052708395
150,-636.9657052708395
151,-636.9657052708395
152,-636.9657052708395
153,-636.9657052708395
154,-630.3651631792776
155,-630.3651631792776
156,-630.3651631792776
157,-630.3651631792776
158,-630.3651631792776
159,-629.0128324897153
160,-630.5325324053823
161,-631.0484271611741
162,-631.0806712046527
163,-631.0806712046527
164,-631.0806712046527
165,-631.0806712046527
166,-631.0806712046527
167,-631.5360553166254
168,-630.2370699810666
169,-631.0484271611741
170,-631.0806712046527
171,-631.0806712046527
172,-631.0806712046527
173,-631.0806712046527
174,-631.0806712046527
175,-631.0806712046527
176,-630.0658684529558
177,-630.1189787433326
178,-631.0773531552911
179,-631.0773531552911
180,-631.0773531552911
181,-631.0773531552911
182,-631.0773531552911
183,-631.0773531552911
184,-631.0773531552911
185,-631.0773531552911
186,-631.0773531552911
187,-631.0773531552911
188,-631.0773531552911
189,-631.0773531552911
190,-627.7017716250557
191,-627.7017716250557
192,-627.7017716250557
193,-627.7017716250557
194,-627.7017716250557
195,-627.7017716250557
196,-627.7017716250557
197,-627.7017716250557
198,-627.7017716250557
199,-627.7017716250557
200,-627.7017716250557
201,-627.7017716250557
202,-627.7017716250557
203,-627.7017716250557
204,-627.7017716250557
205,-628.1766189133573
206,-628.1766189133573
207,-628.1766189133573
208,-628.1766189133573
209,-628.1766189133573
210,-628.1766189133573
211,-628.1766189133573
212,-628.1766189133573
213,-628.1766189133573
214,-628.1766189133573
215,-628.1766189133573
216,-628.1766189133573
217,-628.1766189133573
218,-628.1766189133573
219,-628.1766189133573
220,-628.1766189133573
221,-628.1766189133573
222,-628.1766189133573
223,-628.1766189133573
224,-628.1766189133573
225,-628.1766189133573
226,-628.5235508596553
227,-628.5235508596553
228,-628.5235508596553
229,-628.5235508596553
230,-628.5235508596553
231,-628.5235508596553
232,-628.5235508596553
233,-629.5296603700446
234,-629.5296603700446
235,-629.5296603700446
236,-629.5296603700446
237,-629.6289820702449
238,-629.6289820702449
239,-629.6289820702449
240,-629.6289820702449
241,-629.6289820702449
242,-629.6289820702449
243,-629.6289820702449
244,-629.6289820702449
245,-628.6295268166755
246,-628.6295268166755
247,-628.6295268166755
248,-629.8050890738917
249,-629.8050890738917
250,-629.8050890738917
251,-629.8050890738917
252,-629.8050890738917
253,-630.5766455976868
254,-630.5766455976868
255,-630.5766455976868
256,-630.5766455976868
257,-630.5766455976868
258,-631.8639195691073
259,-629.6153574960533
260,-630.5325324053823
261,-630.5325324053823
262,-630.5325324053823
263,-630.5325324053823
264,-630.5325324053823
265,-630.5325324053823
266,-630.5325324053823
267,-630.5325324053823
268,-630.0768640525463
269,-630.0768640525463
270,-630.0768640525463
271,-630.0768640525463
272,-630.0768640525463
273,-630.0768640525463
274,-630.0768640525463
275,-629.6467461636588
276,-630.286721867406
277,-630.286721867406
278,-630.286721867406
279,-630.286721867406
280,-630.286721867406
281,-630.286721867406
282,-630.286721867406
283,-630.286721867406
284,-630.286721867406
285,-631.6740093495747
286,-631.6740093495747
287,-631.6740093495747
288,-631.6740093495747
289,-632.7562736372563
290,-630.688546772144
291,-631.0773531552911
292,-631.1076056413023
293,-631.1076056413023
294,-631.1076056413023
295,-631.1076056413023
296,-631.1076056413023
297,-631.1076056413023
298,-631.1076056413023
299,-631.1076056413023
300,-631.1076056413023
301,-631.1076056413023
302,-631.1076056413023
303,-631.1076056413023
304,-631.1076056413023
305,-631.1076056413023
306,-631.1076056413023
307,-631.1076056413023
308,-631.1076056413023
309,-631.1076056413023
310,-631.1076056413023
311,-631.1076056413023
312,-629.0367948199271
313,-628.902858702641
314,-628.902858702641
315,-628.902858702641
316,-628.902858702641
317,-628.902858702641
318,-629.6289820702449
319,-630.515292091852
320,-631.0104985626036
321,-631.0806712046527
322,-631.0806712046527
323,-631.0806712046527
324,-631.0806712046527
325,-631.0806712046527
326,-628.1175816750872
327,-628.1175816750872
328,-628.1175816750872
329,-628.1175816750872
330,-628.1175816750872
331,-629.0367080129938
332,-628.5771475541331
333,-628.5771475541331
334,-628.5771475541331
335,-628.5771475541331
336,-628.5771475541331
337,-630.1587466578598
338,-630.1587466578598
339,-630.1587466578598
340,-630.833490957843
341,-630.833490957843
342,-630.833490957843
343,-630.833490957843
344,-630.833490957843
345,-630.833490957843
346,-628.7322914442477
347,-629.4073913746346
348,-629.4073913746346
349,-629.4073913746346
350,-629.4073913746346
351,-629.4073913746346
352,-629.4073913746346
353,-629.4073913746346
354,-629.4073913746346
355,-629.4073913746346
356,-629.4073913746346
357,-629.4073913746346
358,-629.4073913746346
359,-629.4073913746346
360,-629.4073913746346
361,-629.4073913746346
362,-629.4073913746346
363,-629.4073913746346
364,-629.4073913746346
365,-629.4073913746346
366,-629.4073913746346
367,-629.4073913746346
368,-631.0079257339804
369,-631.0079257339804
370,-631.0079257339804
371,-631.0079257339804
372,-631.0079257339804
373,-631.0079257339804
374,-631.0079257339804
375,-631.0079257339804
376,-631.0079257339804
377,-631.0079257339804
378,-631.0079257339804
379,-631.0079257339804
380,-631.0079257339804
381,-631.0079257339804
382,-631.0079257339804
383,-631.0079257339804
384,-631.0079257339804
385,-630.2779128148678
386,-631.0773531552911
387,-631.1076056413023
388,-631.1076056413023
389,-631.1076056413023
390,-631.1076056413023
391,-631.1076056413023
392,-629.9365803374318
393,-629.9365803374318
394,-629.9365803374318
395,-629.9365803374318
396,-629.9365803374318
397,-631.3958405774708
398,-631.3958405774708
399,-631.3958405774708
400,-631.3958405774708
401,-631.3958405774708
402,-631.3958405774708
403,-631.3958405774708
404,-631.83208889627
405,-631.83208889627
406,-631.83208889627
407,-631.83208889627
408,-631.83208889627
409,-629.5949215793368
410,-629.5949215793368
411,-629.5949215793368
412,-629.5949215793368
413,-629.5949215793368
414,-629.5949215793368
415,-629.5949215793368
416,-629.1722643491194
417,-629.1722643491194
418,-629.1722643491194
419,-629.1722643491194
420,-629.1722643491194
421,-629.1722643491194
422,-629.1722643491194
423,-629.5611920183158
424,-628.4857316633913
425,-628.4857316633913
426,-628.4857316633913
427,-628.4857316633913
428,-628.4857316633913
429,-628.4857316633913
430,-628.4857316633913
431,-628.4857316633913
432,-628.4857316633913
433,-629.8869810080579
434,-629.8869810080579
435,-629.8869810080579
436,-629.8869810080579
437,-628.5806086235544
438,-628.6800411253242
439,-628.6800411253242
440,-628.6800411253242
441,-628.6800411253242
442,-628.6800411253242
443,-628.6800411253242
444,-628.6800411253242
445,-628.6800411253242
446,-628.6800411253242
447,-628.6800411253242
448,-628.6800411253242
449,-628.6800411253242
450,-628.6800411253242
451,-628.6800411253242
452,-628.6800411253242
453,-628.6800411253242
454,-628.6800411253242
455,-628.6800411253242
456,-628.6800411253242
457,-628.6800411253242
458,-628.6800411253242
459,-628.9111612961859
460,-628.1486298147479
461,-628.1486298147479
462,-628.1486298147479
463,-628.1486298147479
464,-628.1486298147479
465,-628.1486298147479
466,-628.1486298147479
467,-628.1486298147479
468,-628.1486298147479
469,-628.1486298147479
470,-628.1486298147479
471,-628.1486298147479
472,-629.2814303233687
473,-629.2814303233687
474,-629.2814303233687
475,-629.2814303233687
476,-629.2814303233687
477,-629.1184304895639
478,-628.902858702641
479,-630.515292091852
480,-630.515292091852
481,-630.515292091852
482,-628.4601694880856
483,-628.6373206465902
484,-628.6373206465902
485,-628.6373206465902
486,-628.6373206465902
487,-628.6373206465902
488,-628.6373206465902
489,-628.6373206465902
490,-628.6373206465902
491,-628.6373206465902
492,-628.6373206465902
493,-628.6373206465902
494,-628.6373206465902
495,-628.6373206465902
496,-628.6373206465902
497,-628.6373206465902
498,-628.6373206465902
499,-628.6373206465902
500,-628.6373206465902
501,-628.6373206465902
502,-626.0536049311412
503,-626.0536049311412
504,-626.0536049311412
505,-626.0536049311412
506,-624.5731110953071
507,-624.5731110953071
508,-624.5731110953071
509,-623.876805278362
510,-623.8084001821783
511,-624.2261702969869
512,-624.2261702969869
513,-624.2261702969869
514,-624.8455217677478
515,-624.8455217677478
516,-624.8455217677478
517,-624.8455217677478
518,-624.8455217677478
