iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,5,4,2,1,3
2,5,3,2,1,4
3,2,3,5,1,4
4,4,3,2,1,5
5,5,3,2,4,1
6,5,2,3,1,4
7,5,3,4,1,2
8,5,1,4,3,2
9,5,3,4,1,2
10,5,3,4,1,2
11,5,3,4,1,2
12,5,3,4,1,2
13,5,3,4,1,2
14,5,3,4,1,2
15,5,3,4,1,2
16,5,3,2,1,4
17,5,3,4,1,2
18,5,3,4,1,2
19,5,3,4,1,2
20,5,4,3,1,2
21,5,3,4,1,2
22,5,3,4,1,2
23,5,3,4,1,2
24,5,3,1,4,2
25,5,3,4,1,2
26,5,3,4,1,2
27,5,4,3,1,2
28,5,3,4,1,2
29,5,3,4,1,2
30,5,3,4,1,2
31,5,3,1,4,2
32,5,3,4,1,2
33,5,3,1,4,2
34,5,3,1,4,2
35,5,3,4,1,2
36,4,3,5,1,2
37,2,3,4,1,5
38,5,3,4,1,2
39,5,4,3,1,2
40,3,5,4,1,2
41,5,3,4,1,2
42,5,3,1,4,2
43,5,4,3,1,2
44,5,2,4,1,3
45,5,3,4,1,2
46,2,3,4,1,5
47,5,1,4,3,2
48,5,1,4,3,2
49,5,3,4,1,2
50,2,3,4,1,5
51,1,3,4,5,2
52,5,3,4,2,1
53,5,3,4,1,2
54,5,3,4,1,2
55,5,1,4,3,2
56,5,3,4,1,2
57,3,5,4,1,2
58,5,3,4,1,2
59,2,3,4,1,5
60,5,3,4,1,2
61,3,5,4,1,2
62,5,2,4,1,3
63,4,3,5,1,2
64,5,3,4,1,2
65,2,3,4,1,5
66,5,3,2,1,4
67,5,4,3,1,2
68,5,3,4,1,2
69,5,1,4,3,2
70,2,3,4,1,5
71,5,3,4,1,2
72,5,1,4,3,2
73,5,4,3,1,2
74,4,3,5,1,2
75,5,3,4,1,2
76,5,3,4,1,2
77,1,3,4,5,2
78,5,3,4,1,2
79,5,3,4,2,1
80,5,3,4,1,2
81,5,3,1,4,2
82,1,3,4,5,2
83,4,3,5,1,2
84,4,3,5,1,2
85,5,3,4,1,2
86,5,3,4,2,1
87,5,3,4,1,2
88,5,3,4,1,2
89,5,3,4,1,2
90,5,3,4,1,2
91,5,3,2,1,4
92,5,2,4,1,3
93,5,3,4,1,2
94,5,3,4,1,2
95,1,3,4,5,2
96,5,3,4,2,1
97,5,3,4,1,2
98,5,3,4,1,2
99,3,5,4,1,2
100,5,3,4,1,2
101,5,3,4,1,2
102,5,4,3,1,2
103,5,3,4,1,2
104,5,3,4,1,2
105,2,3,4,1,5
106,5,3,4,1,2
107,5,4,3,1,2
108,5,4,3,1,2
109,5,4,3,1,2
110,5,2,3,1,4
111,5,4,3,1,2
112,5,4,3,2,1
113,4,5,3,1,2
114,3,4,5,1,2
115,5,4,3,1,2
116,5,4,3,1,2
117,5,4,3,1,2
118,5,4,3,1,2
119,5,4,3,1,2
120,5,4,3,1,2
121,5,1,3,4,2
122,3,4,5,1,2
123,5,4,3,1,2
124,5,4,3,1,2
125,5,2,3,1,4
126,5,4,3,1,2
127,4,5,3,1,2
128,5,4,3,1,2
129,5,4,3,1,2
130,4,5,3,1,2
131,5,4,3,1,2
132,5,1,3,4,2
133,3,4,5,1,2
134,5,4,3,1,2
135,3,4,5,1,2
136,1,4,3,5,2
137,5,4,2,1,3
138,1,4,3,5,2
139,5,4,3,1,2
140,5,4,3,1,2
141,5,4,3,1,2
142,2,4,3,1,5
143,2,4,3,1,5
144,1,4,3,2,5
145,5,4,3,2,1
146,1,4,3,5,2
147,1,4,3,5,2
148,1,5,3,2,4
149,2,4,3,1,5
150,4,1,3,2,5
