iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,2,4,3,5,1
2,4,2,3,5,1
3,4,2,3,5,1
4,4,2,5,3,1
5,4,2,3,5,1
6,3,2,4,5,1
7,3,2,4,5,1
8,3,2,4,5,1
9,3,5,4,2,1
10,3,2,4,5,1
11,3,2,4,5,1
12,3,2,4,5,1
13,3,2,4,5,1
14,3,2,4,5,1
15,3,2,4,5,1
16,1,2,4,5,3
17,3,2,4,5,1
18,1,2,4,3,5
19,5,2,4,1,3
20,1,2,4,5,3
21,2,1,4,5,3
22,2,1,4,5,3
23,2,1,4,5,3
24,2,1,4,5,3
25,2,1,4,3,5
26,1,2,4,5,3
27,2,1,4,5,3
28,2,1,3,5,4
29,2,1,4,5,3
30,5,1,4,2,3
31,2,3,4,5,1
32,5,1,4,2,3
33,2,1,4,5,3
34,2,1,4,5,3
35,2,1,3,5,4
36,2,1,5,4,3
37,2,1,4,5,3
38,2,1,4,5,3
39,2,1,5,4,3
40,4,1,2,5,3
41,2,1,4,5,3
42,2,1,4,5,3
43,3,1,4,5,2
44,2,1,4,5,3
45,2,1,4,5,3
46,2,3,4,5,1
47,5,1,4,2,3
48,2,3,4,5,1
49,2,1,4,5,3
50,2,1,4,5,3
51,2,1,4,3,5
52,2,1,4,5,3
53,2,1,5,4,3
54,2,1,3,5,4
55,5,1,4,2,3
56,2,1,4,5,3
57,2,1,4,5,3
58,3,1,4,5,2
59,2,5,4,1,3
60,2,1,4,5,3
61,3,1,4,5,2
62,3,1,4,5,2
63,2,1,4,5,3
64,2,1,4,3,5
65,4,1,2,5,3
66,2,1,4,5,3
67,2,1,4,5,3
68,4,1,2,5,3
69,4,1,2,5,3
70,1,2,4,5,3
71,2,1,4,5,3
72,2,1,4,5,3
73,2,1,4,5,3
74,1,2,4,5,3
75,1,2,4,3,5
76,1,2,4,5,3
77,2,1,4,5,3
78,2,1,4,5,3
79,2,3,4,5,1
80,2,1,4,5,3
81,2,1,4,5,3
82,2,1,4,5,3
83,2,1,4,5,3
84,5,1,4,2,3
85,1,2,4,5,3
86,2,1,4,5,3
87,2,1,4,5,3
88,4,1,2,5,3
89,3,1,4,5,2
90,4,1,2,5,3
91,2,3,4,5,1
92,2,1,4,5,3
93,2,1,4,5,3
94,2,1,4,5,3
95,2,1,4,5,3
96,1,2,4,5,3
97,1,5,4,2,3
98,1,2,4,5,3
99,1,5,4,2,3
100,1,5,4,2,3
101,1,2,4,5,3
102,1,3,4,5,2
103,1,2,4,5,3
104,1,2,4,5,3
105,3,2,4,5,1
106,1,4,2,5,3
107,3,2,4,5,1
108,1,3,4,5,2
109,3,2,4,5,1
110,1,2,3,5,4
111,2,1,4,5,3
112,2,1,4,3,5
113,5,1,4,2,3
114,2,1,4,5,3
115,3,1,4,5,2
116,2,1,3,5,4
117,2,1,4,5,3
118,2,1,4,5,3
119,4,1,2,5,3
120,2,1,4,5,3
121,2,1,3,5,4
122,2,1,4,5,3
123,1,2,4,5,3
124,2,5,4,1,3
125,2,5,4,1,3
126,4,1,2,5,3
127,2,1,4,5,3
128,2,1,4,5,3
129,1,2,4,5,3
130,1,2,4,5,3
131,2,1,4,5,3
132,1,2,4,5,3
133,2,1,3,5,4
134,2,1,4,5,3
135,2,5,4,1,3
136,2,1,5,4,3
137,2,1,4,5,3
138,2,1,3,5,4
139,2,3,4,5,1
140,2,1,4,3,5
141,4,1,2,5,3
142,2,1,4,5,3
143,2,1,4,5,3
144,2,1,4,5,3
145,2,1,4,5,3
146,2,1,4,5,3
147,2,1,4,5,3
148,2,1,3,5,4
149,4,1,2,5,3
150,2,1,4,5,3
151,2,1,3,5,4
152,2,1,4,5,3
153,2,1,4,5,3
154,2,3,4,5,1
155,2,4,1,5,3
156,2,4,1,5,3
157,5,1,4,2,3
158,5,1,4,2,3
159,2,1,4,3,5
160,2,1,4,5,3
161,2,1,4,5,3
162,2,1,5,4,3
163,2,3,4,5,1
164,5,1,4,2,3
165,2,1,4,5,3
166,2,3,4,5,1
167,2,1,5,4,3
168,2,1,4,5,3
169,4,1,2,5,3
170,2,1,5,4,3
171,2,1,4,3,5
172,5,1,4,2,3
173,2,1,4,5,3
174,2,1,4,5,3
175,2,1,4,5,3
176,2,1,4,5,3
177,2,1,4,5,3
178,2,4,1,5,3
179,2,1,4,5,3
180,2,1,4,5,3
181,2,3,4,5,1
182,2,4,1,5,3
183,5,1,4,2,3
184,2,1,4,5,3
185,5,1,4,2,3
186,4,1,2,5,3
187,2,1,4,5,3
188,1,2,4,5,3
189,2,1,4,5,3
190,2,1,4,5,3
191,2,5,4,1,3
192,2,1,4,5,3
193,2,1,4,5,3
194,2,1,4,5,3
195,2,1,4,5,3
196,5,1,4,2,3
197,2,5,4,1,3
198,2,1,4,5,3
199,2,1,4,5,3
200,2,1,4,5,3
201,2,1,4,5,3
202,2,1,4,5,3
203,2,1,3,5,4
204,2,1,4,5,3
205,2,3,4,5,1
206,5,1,4,2,3
207,2,1,3,5,4
208,2,3,4,5,1
209,2,3,4,5,1
210,2,1,4,5,3
211,3,1,4,5,2
212,1,2,4,5,3
213,2,1,4,5,3
214,2,1,4,5,3
215,2,1,4,5,3
216,3,1,4,5,2
217,2,1,4,3,5
218,2,1,5,4,3
219,3,1,4,5,2
220,2,1,4,5,3
221,2,1,5,4,3
222,2,1,4,5,3
223,3,1,4,5,2
224,4,1,2,5,3
225,2,5,4,1,3
226,2,5,4,1,3
227,4,1,2,5,3
228,5,1,4,2,3
229,2,5,4,1,3
230,2,4,1,5,3
231,2,1,4,5,3
232,1,2,4,5,3
233,1,2,4,5,3
234,2,1,4,5,3
235,2,5,4,1,3
236,2,5,4,1,3
237,4,1,2,5,3
238,2,1,4,5,3
239,2,1,4,5,3
240,2,1,4,5,3
241,2,1,4,5,3
242,1,2,4,5,3
243,2,1,4,5,3
244,2,1,3,5,4
245,3,1,4,5,2
246,2,3,4,5,1
247,3,1,4,5,2
248,2,1,4,5,3
249,2,1,4,5,3
250,2,1,4,5,3
251,4,1,2,5,3
252,2,1,4,5,3
253,2,3,4,5,1
254,2,1,4,5,3
255,2,1,4,5,3
256,2,1,4,5,3
257,2,1,4,5,3
258,2,1,4,5,3
259,2,1,4,5,3
260,2,4,1,5,3
261,2,1,4,5,3
262,5,1,4,2,3
263,3,1,4,5,2
264,2,1,4,5,3
265,2,1,4,5,3
266,4,1,2,5,3
267,2,1,4,5,3
268,2,1,4,5,3
269,2,1,4,5,3
270,2,1,4,5,3
271,2,1,4,5,3
272,2,1,5,4,3
273,2,5,4,1,3
274,2,1,4,5,3
275,2,1,4,5,3
276,2,1,4,5,3
277,2,1,4,5,3
278,2,1,4,5,3
279,2,4,1,5,3
280,2,1,4,5,3
