iteration,all_current_accepted_likelihoods
1,-2928.9733579791937
2,-2862.8380847041317
3,-2826.786679857545
4,-2812.1667414303647
5,-2807.8015623692536
6,-2807.8015623692536
7,-2807.8015623692536
8,-2805.8568274245335
9,-2804.7546923416485
10,-2804.5801314631276
11,-2804.5801314631276
12,-2804.5801314631276
13,-2804.5801314631276
14,-2804.5801314631276
15,-2804.5801314631276
16,-2804.5801314631276
17,-2804.5801314631276
18,-2804.736032098851
19,-2802.48673686909
20,-2798.44546636143
21,-2798.3892891520964
22,-2798.3892891520964
23,-2798.3892891520964
24,-2798.3892891520964
25,-2800.4618951014763
26,-2794.7569770332602
27,-2796.2229426996037
28,-2795.307317711006
29,-2795.307317711006
30,-2795.307317711006
31,-2795.307317711006
32,-2795.307317711006
33,-2795.307317711006
34,-2795.307317711006
35,-2795.9742189498415
36,-2794.982151248112
37,-2794.982151248112
38,-2794.982151248112
39,-2794.982151248112
40,-2794.982151248112
41,-2794.982151248112
42,-2797.3568802425502
43,-2797.3568802425502
44,-2797.3568802425502
45,-2797.3568802425502
46,-2797.3568802425502
47,-2797.3568802425502
48,-2797.3568802425502
49,-2797.3568802425502
50,-2797.3568802425502
51,-2797.3568802425502
52,-2797.3568802425502
53,-2797.3568802425502
54,-2798.497377176349
55,-2798.497377176349
56,-2798.497377176349
57,-2798.497377176349
58,-2798.497377176349
59,-2798.497377176349
60,-2798.497377176349
61,-2798.497377176349
62,-2798.0266398408257
63,-2796.9090970267534
64,-2796.210878716521
65,-2796.6472956827574
66,-2796.0085864315492
67,-2796.0085864315492
68,-2796.0085864315492
69,-2796.0085864315492
70,-2796.0085864315492
71,-2796.0085864315492
72,-2796.0085864315492
73,-2796.0085864315492
74,-2796.0085864315492
75,-2796.0085864315492
76,-2796.0085864315492
77,-2796.0085864315492
78,-2796.693082601196
79,-2796.693082601196
80,-2796.693082601196
81,-2796.693082601196
82,-2797.1374896882576
83,-2795.718920300401
84,-2795.248248901547
85,-2795.248248901547
86,-2795.248248901547
87,-2795.248248901547
88,-2795.9052557239975
89,-2795.7945523866265
90,-2795.7945523866265
91,-2795.7945523866265
92,-2795.7945523866265
93,-2795.7945523866265
94,-2795.7945523866265
95,-2795.7945523866265
96,-2795.7945523866265
97,-2795.7945523866265
98,-2795.7945523866265
99,-2795.7945523866265
100,-2795.7945523866265
101,-2795.7945523866265
102,-2795.7945523866265
103,-2795.7945523866265
104,-2795.7945523866265
105,-2795.7945523866265
106,-2795.7945523866265
107,-2795.7945523866265
108,-2795.7945523866265
109,-2795.7945523866265
110,-2795.7945523866265
111,-2795.7945523866265
112,-2796.436568085745
113,-2795.9486989822417
114,-2795.9486989822417
115,-2795.9486989822417
116,-2795.9486989822417
117,-2795.9486989822417
