iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,2,5,4,1,3
2,2,4,5,1,3
3,1,4,5,2,3
4,1,4,5,2,3
5,1,4,5,2,3
6,3,4,5,2,1
7,1,4,5,2,3
8,2,4,5,1,3
9,2,4,5,1,3
10,2,4,5,1,3
11,3,4,5,1,2
12,2,4,1,5,3
13,5,4,2,1,3
14,2,4,5,1,3
15,2,3,5,1,4
16,2,4,5,1,3
17,2,4,5,1,3
18,2,4,5,1,3
19,2,3,5,1,4
20,2,3,5,1,4
21,2,3,5,1,4
22,2,3,1,5,4
23,2,3,5,4,1
24,2,3,5,1,4
25,2,3,5,1,4
26,2,3,5,1,4
27,2,3,5,1,4
28,2,3,5,1,4
29,3,2,5,1,4
30,2,4,5,1,3
31,2,3,5,1,4
32,4,3,5,1,2
33,1,3,5,2,4
34,2,3,5,1,4
35,2,3,5,1,4
36,2,3,5,1,4
37,2,3,4,1,5
38,2,1,5,3,4
39,2,3,5,1,4
40,2,3,5,1,4
41,2,3,5,1,4
42,2,3,5,1,4
43,2,3,5,4,1
44,2,3,1,5,4
45,2,3,4,1,5
46,2,3,5,1,4
47,2,3,5,1,4
48,2,3,1,5,4
49,2,5,3,1,4
50,2,3,5,1,4
51,3,2,5,1,4
52,2,3,5,1,4
53,2,3,5,1,4
54,2,3,5,1,4
55,2,1,5,3,4
56,2,3,5,1,4
57,2,3,5,1,4
58,2,3,1,5,4
59,2,3,5,4,1
60,2,3,5,1,4
61,2,3,5,1,4
62,1,3,5,2,4
63,1,3,5,2,4
64,1,3,5,2,4
65,1,3,5,2,4
66,1,3,5,2,4
67,1,2,5,3,4
68,2,3,5,1,4
69,1,2,5,3,4
70,1,2,5,3,4
71,1,3,5,4,2
72,1,5,3,2,4
73,1,3,5,2,4
74,1,3,5,2,4
75,1,4,5,2,3
76,1,3,5,2,4
77,1,3,5,2,4
78,1,3,5,2,4
79,1,3,5,4,2
80,1,3,5,2,4
81,1,3,5,2,4
82,1,3,5,2,4
83,1,3,5,2,4
84,2,3,5,1,4
85,2,3,1,5,4
86,2,3,5,1,4
87,2,3,5,1,4
88,2,3,5,1,4
89,2,3,5,1,4
90,2,4,5,1,3
91,2,1,5,3,4
92,2,3,1,5,4
93,2,3,5,1,4
