iteration,all_current_accepted_likelihoods
1,-4156.871668984625
2,-3008.1479003180616
3,-2873.8988366031945
4,-2873.8988366031945
5,-2873.8988366031945
6,-2873.8988366031945
7,-2863.113891892609
8,-2863.113891892609
9,-2863.113891892609
10,-2863.113891892609
11,-2863.113891892609
12,-2863.113891892609
13,-2863.113891892609
14,-2863.113891892609
15,-2863.113891892609
16,-2863.113891892609
17,-2863.113891892609
18,-2863.113891892609
19,-2863.113891892609
20,-2863.113891892609
21,-2863.113891892609
22,-2863.113891892609
23,-2863.113891892609
24,-2863.113891892609
25,-2863.113891892609
26,-2863.113891892609
27,-2863.113891892609
28,-2863.113891892609
29,-2863.113891892609
30,-2863.113891892609
31,-2863.113891892609
32,-2863.113891892609
33,-2863.113891892609
34,-2863.113891892609
35,-2863.113891892609
36,-2863.113891892609
37,-2863.113891892609
38,-2863.113891892609
39,-2863.113891892609
40,-2863.113891892609
41,-2863.113891892609
42,-2863.113891892609
43,-2863.113891892609
44,-2863.113891892609
45,-2863.113891892609
46,-2863.113891892609
47,-2863.113891892609
48,-2863.113891892609
49,-2863.113891892609
50,-2863.113891892609
51,-2863.113891892609
52,-2863.113891892609
53,-2863.113891892609
54,-2863.113891892609
55,-2863.113891892609
56,-2863.113891892609
57,-2863.113891892609
58,-2856.0367585216864
59,-2800.9383828027753
60,-2799.112248733451
61,-2799.112248733451
62,-2799.112248733451
63,-2799.112248733451
64,-2799.112248733451
65,-2799.112248733451
66,-2799.112248733451
67,-2799.112248733451
68,-2799.112248733451
69,-2799.112248733451
70,-2799.112248733451
71,-2799.112248733451
72,-2799.112248733451
73,-2799.112248733451
74,-2799.112248733451
75,-2799.112248733451
76,-2799.112248733451
77,-2799.112248733451
78,-2799.112248733451
79,-2799.112248733451
80,-2799.112248733451
81,-2799.112248733451
82,-2799.112248733451
83,-2799.112248733451
84,-2799.112248733451
85,-2799.112248733451
86,-2799.112248733451
87,-2799.112248733451
88,-2799.112248733451
89,-2799.112248733451
90,-2799.112248733451
91,-2799.112248733451
92,-2799.112248733451
93,-2799.112248733451
