iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,1,2,3,4,5
2,4,2,3,1,5
3,4,2,3,1,5
4,4,2,5,1,3
5,4,2,1,3,5
6,4,2,3,1,5
7,4,2,3,1,5
8,5,2,3,1,4
9,1,2,3,4,5
10,4,2,3,1,5
11,4,2,3,1,5
12,4,3,2,1,5
13,4,2,3,5,1
14,4,1,3,2,5
15,4,5,3,1,2
16,4,2,3,1,5
17,3,2,4,1,5
18,2,4,3,1,5
19,1,2,3,4,5
20,4,2,1,3,5
21,4,1,3,2,5
22,4,2,5,1,3
23,4,2,3,1,5
24,4,2,3,1,5
25,4,5,3,1,2
26,4,3,2,1,5
27,1,2,3,4,5
28,4,2,3,1,5
29,4,1,3,2,5
30,4,2,3,1,5
31,4,2,3,1,5
32,4,3,2,1,5
33,4,2,3,1,5
34,4,1,3,2,5
35,4,3,2,1,5
36,1,2,3,4,5
37,4,2,5,1,3
38,5,2,3,1,4
39,4,2,3,1,5
40,4,2,3,1,5
41,4,1,3,2,5
42,4,2,3,1,5
43,4,2,3,1,5
44,4,2,3,5,1
45,4,2,3,1,5
46,4,2,3,1,5
47,4,2,3,1,5
48,4,2,3,1,5
49,3,2,4,1,5
50,4,1,3,2,5
51,4,2,3,1,5
52,4,2,3,1,5
53,4,1,3,2,5
54,4,5,3,1,2
55,4,3,2,1,5
56,4,2,3,1,5
57,4,2,3,1,5
58,2,4,3,1,5
59,2,4,3,1,5
60,2,4,3,1,5
61,2,4,5,1,3
62,4,2,3,1,5
63,2,5,3,1,4
64,4,2,3,1,5
65,1,4,3,2,5
66,2,4,3,1,5
67,2,3,4,1,5
68,2,4,3,1,5
69,2,4,3,1,5
70,2,4,5,1,3
71,2,4,3,1,5
72,2,4,3,1,5
73,5,4,3,1,2
74,2,3,4,1,5
75,1,4,3,2,5
76,1,4,3,2,5
77,2,4,3,1,5
78,3,4,2,1,5
79,2,4,3,1,5
80,2,4,3,1,5
81,2,4,3,1,5
82,2,4,3,1,5
83,2,4,3,5,1
84,2,4,5,1,3
85,3,4,2,1,5
86,2,4,3,1,5
87,5,4,3,1,2
88,1,4,3,2,5
89,2,3,4,1,5
90,5,4,3,1,2
91,1,4,3,2,5
92,5,4,3,1,2
93,2,4,3,1,5
94,2,1,3,4,5
95,2,4,3,1,5
96,2,4,3,1,5
97,4,2,3,1,5
98,2,1,3,4,5
99,2,4,3,1,5
100,2,4,5,1,3
101,5,4,3,1,2
102,2,4,3,1,5
103,5,4,3,1,2
104,2,4,3,1,5
105,2,4,3,1,5
106,2,3,4,1,5
107,2,1,3,4,5
108,2,4,3,1,5
109,2,4,5,1,3
110,2,4,3,1,5
111,2,1,3,4,5
112,2,4,3,5,1
113,2,4,3,1,5
114,2,4,3,1,5
115,2,1,3,4,5
116,3,4,2,1,5
117,2,4,3,1,5
118,2,1,3,4,5
119,2,4,3,1,5
120,2,4,3,1,5
121,2,4,3,1,5
122,2,1,3,4,5
123,2,4,3,1,5
124,2,4,3,1,5
125,5,4,3,1,2
126,2,4,1,3,5
127,2,4,3,1,5
128,2,1,3,4,5
129,2,4,3,1,5
130,2,4,3,1,5
131,1,4,3,2,5
132,2,4,3,1,5
133,2,4,5,1,3
134,2,4,3,1,5
135,1,4,3,2,5
136,2,4,3,1,5
137,5,4,3,1,2
138,1,4,3,2,5
139,1,4,3,2,5
140,2,4,3,1,5
141,2,4,3,1,5
142,2,4,1,3,5
143,5,4,3,1,2
144,1,4,3,2,5
145,3,4,2,1,5
146,2,4,3,1,5
147,2,4,3,1,5
148,2,1,3,4,5
149,2,4,3,1,5
150,2,4,1,3,5
151,2,4,3,1,5
152,2,3,4,1,5
153,2,4,3,1,5
154,1,4,3,2,5
155,2,3,4,1,5
156,2,4,5,1,3
157,2,4,3,1,5
158,2,3,4,1,5
159,2,4,3,1,5
160,2,4,3,1,5
161,2,4,3,1,5
162,5,4,3,1,2
163,2,4,1,3,5
164,2,4,3,1,5
165,2,3,4,1,5
166,2,3,4,1,5
167,2,4,3,1,5
168,5,4,3,1,2
169,2,4,3,1,5
170,1,4,3,2,5
171,2,4,3,1,5
172,2,4,3,1,5
173,1,4,3,2,5
174,1,4,3,2,5
175,2,1,3,4,5
176,2,4,3,1,5
177,2,4,3,1,5
178,2,4,3,1,5
179,2,4,3,1,5
180,2,4,3,1,5
181,2,4,3,1,5
182,2,4,3,1,5
183,2,4,5,1,3
184,2,4,3,1,5
185,2,4,3,1,5
186,1,4,3,2,5
187,1,4,3,2,5
188,2,4,3,1,5
189,2,4,3,1,5
190,2,4,3,1,5
191,2,4,5,1,3
192,2,4,3,1,5
193,2,4,3,1,5
194,2,4,5,1,3
195,2,1,3,4,5
196,2,4,3,1,5
197,2,4,3,1,5
198,2,4,3,1,5
199,2,4,1,3,5
200,2,4,3,1,5
201,2,4,3,1,5
202,2,4,3,1,5
203,4,2,3,1,5
204,2,4,3,1,5
205,2,3,4,1,5
206,3,4,2,1,5
207,2,4,3,1,5
208,2,4,3,1,5
209,2,4,3,1,5
210,2,4,3,1,5
211,2,4,3,1,5
212,5,4,3,1,2
213,3,4,2,1,5
214,2,4,3,1,5
215,2,4,3,1,5
216,3,4,2,1,5
217,2,4,3,1,5
