iteration,all_current_best_likelihoods
1,-1086.391957842522
2,-1081.3071006008
3,-1081.3071006008
4,-1081.3071006008
5,-1074.2136574235458
6,-1074.2136574235458
7,-1074.2136574235458
8,-1074.2136574235458
9,-1074.2136574235458
10,-1074.2136574235458
11,-1074.2136574235458
12,-1074.2136574235458
13,-1074.2136574235458
14,-1074.2136574235458
15,-1074.2136574235458
16,-1074.2136574235458
17,-1074.2136574235458
18,-1074.2136574235458
19,-1074.2136574235458
20,-1074.2136574235458
21,-1074.2136574235458
22,-1074.2136574235458
23,-1074.2136574235458
24,-1075.343106674387
25,-1075.343106674387
26,-1075.343106674387
27,-1075.343106674387
28,-1075.343106674387
29,-1075.343106674387
30,-1075.343106674387
31,-1075.343106674387
32,-1075.343106674387
33,-1075.343106674387
34,-1075.343106674387
35,-1075.343106674387
36,-1075.343106674387
37,-1075.343106674387
38,-1075.343106674387
39,-1075.343106674387
40,-1075.343106674387
41,-1075.343106674387
42,-1075.343106674387
43,-1071.1234137623005
44,-1071.1234137623005
45,-1071.1234137623005
46,-1071.1234137623005
47,-1071.1234137623005
48,-1071.1234137623005
49,-1071.1234137623005
50,-1071.1234137623005
51,-1071.0527932859382
52,-1071.0527932859382
53,-1071.0527932859382
54,-1071.0527932859382
55,-1071.0527932859382
56,-1071.0527932859382
57,-1071.0527932859382
58,-1071.0527932859382
59,-1070.2561902361065
60,-1070.2561902361065
61,-1070.2561902361065
62,-1070.2561902361065
63,-1070.2561902361065
64,-1070.2561902361065
65,-1070.2561902361065
66,-1070.2561902361065
67,-1070.2561902361065
68,-1070.2561902361065
69,-1070.2561902361065
70,-1070.2561902361065
71,-1070.2561902361065
72,-1070.2561902361065
73,-1070.2561902361065
74,-1070.2561902361065
75,-1070.2561902361065
76,-1070.2561902361065
77,-1070.2561902361065
78,-1070.2561902361065
79,-1070.2561902361065
80,-1070.2561902361065
81,-1070.2561902361065
82,-1070.2561902361065
83,-1070.2561902361065
84,-1070.2561902361065
85,-1070.2561902361065
86,-1070.2561902361065
87,-1070.2561902361065
88,-1070.2561902361065
89,-1070.2561902361065
90,-1070.2561902361065
91,-1070.2561902361065
92,-1070.2561902361065
93,-1070.2561902361065
94,-1070.2561902361065
95,-1070.2561902361065
96,-1070.2561902361065
97,-1070.2561902361065
98,-1071.1234137623005
99,-1071.1234137623005
100,-1071.1234137623005
101,-1071.1234137623005
102,-1071.1234137623005
103,-1071.1234137623005
104,-1071.1234137623005
105,-1075.055533118352
106,-1075.055533118352
107,-1075.055533118352
108,-1075.055533118352
109,-1075.055533118352
110,-1075.055533118352
111,-1076.7563379272196
112,-1076.7563379272196
113,-1076.7563379272196
114,-1076.7563379272196
115,-1076.7563379272196
116,-1076.7563379272196
117,-1076.7563379272196
118,-1076.7563379272196
119,-1076.7563379272196
120,-1076.7563379272196
121,-1076.7563379272196
122,-1076.7563379272196
123,-1076.7563379272196
124,-1076.7563379272196
125,-1076.7563379272196
126,-1076.7563379272196
127,-1076.7563379272196
128,-1076.7563379272196
129,-1076.7563379272196
130,-1076.7563379272196
131,-1074.2488117318514
132,-1074.2488117318514
133,-1074.2488117318514
134,-1074.2488117318514
135,-1074.2488117318514
136,-1074.2488117318514
137,-1074.2488117318514
138,-1074.2488117318514
139,-1074.2488117318514
140,-1074.2488117318514
141,-1071.0527932859382
142,-1071.0527932859382
143,-1071.0527932859382
144,-1071.0527932859382
145,-1071.0527932859382
146,-1071.0527932859382
147,-1071.0527932859382
148,-1071.0527932859382
149,-1071.0527932859382
150,-1071.0527932859382
151,-1071.0527932859382
152,-1071.0527932859382
153,-1071.0527932859382
154,-1071.0527932859382
155,-1071.0527932859382
156,-1071.0527932859382
157,-1071.0527932859382
158,-1071.0527932859382
159,-1071.0527932859382
160,-1071.0527932859382
161,-1071.0527932859382
162,-1071.0527932859382
163,-1071.0527932859382
164,-1071.0527932859382
165,-1071.0527932859382
166,-1071.0527932859382
167,-1071.0527932859382
168,-1071.0527932859382
169,-1071.0527932859382
170,-1071.0527932859382
171,-1071.0527932859382
172,-1071.0527932859382
173,-1071.0527932859382
174,-1071.0527932859382
175,-1071.0527932859382
176,-1071.0527932859382
177,-1071.0527932859382
178,-1071.0527932859382
179,-1071.0527932859382
180,-1071.0527932859382
181,-1071.0527932859382
182,-1071.0527932859382
183,-1071.0527932859382
184,-1071.0527932859382
185,-1071.0527932859382
186,-1071.0527932859382
187,-1071.0527932859382
188,-1071.0527932859382
189,-1071.0527932859382
190,-1071.0527932859382
191,-1071.0527932859382
192,-1071.0527932859382
193,-1071.0527932859382
194,-1070.5571988519644
195,-1070.5571988519644
196,-1070.5571988519644
197,-1070.5571988519644
198,-1070.5571988519644
199,-1070.5571988519644
200,-1070.5571988519644
201,-1070.5571988519644
202,-1070.5571988519644
203,-1070.5571988519644
204,-1070.5571988519644
205,-1070.5571988519644
206,-1070.5571988519644
207,-1070.5571988519644
208,-1070.5571988519644
209,-1070.5571988519644
210,-1070.5571988519644
211,-1070.5571988519644
212,-1070.5571988519644
213,-1070.5571988519644
214,-1070.5571988519644
215,-1070.5571988519644
216,-1070.5571988519644
217,-1070.5571988519644
218,-1070.5571988519644
219,-1070.5571988519644
220,-1070.5571988519644
221,-1070.5571988519644
222,-1070.5571988519644
223,-1070.5571988519644
224,-1070.5571988519644
225,-1070.5571988519644
226,-1070.5571988519644
227,-1070.5571988519644
228,-1070.5571988519644
229,-1070.5571988519644
230,-1070.5571988519644
231,-1070.5571988519644
232,-1070.5571988519644
233,-1070.5571988519644
234,-1070.5571988519644
235,-1070.5571988519644
236,-1070.5571988519644
237,-1070.5571988519644
238,-1070.5571988519644
239,-1070.5571988519644
240,-1070.5571988519644
241,-1070.5571988519644
242,-1070.5571988519644
243,-1070.5571988519644
244,-1070.5571988519644
245,-1070.5571988519644
246,-1070.5571988519644
247,-1070.5571988519644
248,-1070.5571988519644
249,-1070.5571988519644
250,-1070.5571988519644
251,-1070.5571988519644
252,-1070.5571988519644
253,-1070.5571988519644
254,-1070.5571988519644
255,-1070.5571988519644
256,-1070.5571988519644
257,-1070.5571988519644
258,-1070.5571988519644
259,-1070.5571988519644
260,-1070.5571988519644
261,-1070.5571988519644
262,-1070.2561902361065
263,-1070.2561902361065
264,-1070.2561902361065
265,-1070.2561902361065
266,-1070.2561902361065
267,-1070.2561902361065
268,-1070.2561902361065
269,-1070.5571988519644
270,-1070.5571988519644
271,-1070.5571988519644
272,-1070.5571988519644
273,-1070.5571988519644
274,-1070.5571988519644
275,-1070.5571988519644
276,-1070.5571988519644
277,-1070.5571988519644
278,-1070.5571988519644
279,-1070.5571988519644
280,-1070.5571988519644
281,-1071.6481698299765
282,-1071.6481698299765
283,-1071.6481698299765
284,-1071.6481698299765
285,-1071.6481698299765
286,-1071.6481698299765
287,-1070.5571988519644
288,-1070.5571988519644
289,-1070.5571988519644
290,-1070.5571988519644
291,-1070.5571988519644
292,-1070.5571988519644
293,-1070.5571988519644
294,-1070.5571988519644
295,-1070.5571988519644
296,-1070.5571988519644
297,-1070.5571988519644
298,-1070.5571988519644
299,-1070.5571988519644
300,-1070.5571988519644
301,-1070.5571988519644
302,-1070.5571988519644
303,-1070.5571988519644
304,-1070.5571988519644
305,-1070.5571988519644
306,-1070.5571988519644
307,-1070.5571988519644
308,-1070.5571988519644
309,-1070.5571988519644
310,-1070.5571988519644
311,-1070.5571988519644
312,-1070.5571988519644
313,-1070.5571988519644
314,-1070.5571988519644
315,-1070.5571988519644
316,-1070.5571988519644
317,-1070.5571988519644
318,-1070.5571988519644
319,-1070.5571988519644
320,-1071.9844161951878
321,-1071.9844161951878
322,-1071.9844161951878
323,-1068.531008405101
324,-1068.531008405101
325,-1068.531008405101
326,-1068.531008405101
327,-1068.531008405101
328,-1068.531008405101
329,-1068.531008405101
330,-1068.531008405101
331,-1068.531008405101
332,-1068.531008405101
333,-1068.531008405101
334,-1068.531008405101
335,-1068.531008405101
336,-1068.531008405101
337,-1068.531008405101
338,-1068.531008405101
339,-1068.531008405101
340,-1068.531008405101
341,-1068.531008405101
342,-1068.531008405101
343,-1068.531008405101
344,-1068.531008405101
345,-1068.531008405101
346,-1068.531008405101
347,-1068.531008405101
348,-1068.531008405101
349,-1069.5318540004805
350,-1069.5318540004805
351,-1069.5318540004805
352,-1069.5318540004805
353,-1069.7699709690592
354,-1069.7699709690592
355,-1069.7699709690592
356,-1069.7699709690592
357,-1069.7699709690592
358,-1069.7699709690592
359,-1069.7699709690592
360,-1069.7699709690592
361,-1069.7699709690592
362,-1069.7699709690592
363,-1069.7699709690592
364,-1069.7699709690592
365,-1069.7699709690592
366,-1069.7699709690592
367,-1069.7699709690592
368,-1069.7699709690592
369,-1069.7699709690592
370,-1069.7699709690592
371,-1069.7699709690592
372,-1069.7699709690592
373,-1069.7699709690592
374,-1067.4501794951598
375,-1067.4501794951598
376,-1067.4501794951598
377,-1067.4501794951598
378,-1067.4501794951598
379,-1067.4501794951598
380,-1067.4501794951598
381,-1067.4501794951598
382,-1067.4501794951598
383,-1067.4501794951598
384,-1067.4501794951598
385,-1067.4501794951598
386,-1067.4501794951598
387,-1067.4501794951598
388,-1067.4501794951598
389,-1067.4501794951598
390,-1067.4501794951598
391,-1067.4501794951598
392,-1067.4501794951598
393,-1067.4501794951598
394,-1067.4501794951598
395,-1067.4501794951598
396,-1067.4501794951598
397,-1067.4501794951598
398,-1067.4501794951598
399,-1067.4501794951598
400,-1067.4501794951598
401,-1067.4501794951598
402,-1067.4501794951598
403,-1067.4501794951598
404,-1067.4501794951598
405,-1067.4501794951598
406,-1067.4501794951598
407,-1067.4501794951598
408,-1067.4501794951598
409,-1067.4501794951598
410,-1067.4501794951598
411,-1067.4501794951598
412,-1067.4501794951598
413,-1067.4501794951598
414,-1067.4501794951598
415,-1067.4501794951598
416,-1067.4501794951598
417,-1067.4501794951598
418,-1067.4501794951598
419,-1067.4501794951598
420,-1067.4501794951598
421,-1067.4501794951598
422,-1067.4501794951598
423,-1067.4501794951598
424,-1068.531008405101
425,-1068.531008405101
426,-1068.531008405101
427,-1068.531008405101
428,-1068.531008405101
429,-1068.531008405101
430,-1068.531008405101
431,-1068.531008405101
432,-1068.531008405101
433,-1068.531008405101
434,-1068.531008405101
435,-1068.531008405101
436,-1068.531008405101
437,-1068.531008405101
438,-1068.531008405101
439,-1068.531008405101
440,-1068.531008405101
441,-1068.531008405101
442,-1068.531008405101
443,-1068.531008405101
444,-1068.531008405101
445,-1068.531008405101
446,-1068.531008405101
447,-1068.531008405101
448,-1068.531008405101
449,-1068.531008405101
450,-1068.531008405101
451,-1068.531008405101
452,-1068.531008405101
453,-1068.531008405101
454,-1068.531008405101
455,-1068.531008405101
456,-1068.531008405101
457,-1068.531008405101
458,-1068.531008405101
459,-1068.531008405101
460,-1068.531008405101
461,-1068.531008405101
462,-1068.531008405101
463,-1068.531008405101
464,-1068.531008405101
465,-1068.531008405101
466,-1068.531008405101
467,-1068.531008405101
468,-1068.531008405101
469,-1068.531008405101
470,-1068.531008405101
471,-1068.531008405101
472,-1068.531008405101
473,-1068.531008405101
474,-1068.531008405101
475,-1068.531008405101
476,-1068.531008405101
477,-1068.531008405101
478,-1068.531008405101
479,-1068.531008405101
480,-1070.2406742468759
481,-1070.2406742468759
482,-1070.2406742468759
483,-1070.2406742468759
484,-1070.2406742468759
485,-1070.2406742468759
486,-1070.2406742468759
487,-1070.2406742468759
488,-1070.2406742468759
489,-1068.531008405101
490,-1068.531008405101
491,-1068.531008405101
492,-1068.531008405101
493,-1068.531008405101
494,-1068.531008405101
495,-1068.531008405101
496,-1068.531008405101
497,-1068.531008405101
498,-1068.531008405101
499,-1068.531008405101
500,-1068.531008405101
501,-1068.531008405101
502,-1068.531008405101
503,-1068.531008405101
504,-1068.531008405101
505,-1068.531008405101
506,-1068.531008405101
507,-1068.531008405101
508,-1068.531008405101
509,-1068.531008405101
510,-1068.531008405101
511,-1068.531008405101
512,-1068.531008405101
513,-1068.531008405101
514,-1068.531008405101
515,-1068.531008405101
516,-1069.278853109345
517,-1069.7699709690592
518,-1069.7699709690592
519,-1069.7699709690592
520,-1070.3557087272134
521,-1069.278853109345
522,-1069.278853109345
523,-1069.278853109345
524,-1069.278853109345
525,-1069.278853109345
526,-1069.278853109345
527,-1069.278853109345
528,-1069.278853109345
529,-1069.278853109345
530,-1069.278853109345
531,-1069.278853109345
532,-1069.278853109345
533,-1069.278853109345
534,-1069.278853109345
535,-1069.278853109345
536,-1069.278853109345
537,-1069.278853109345
538,-1069.278853109345
539,-1069.278853109345
540,-1069.278853109345
541,-1069.278853109345
542,-1069.278853109345
543,-1069.278853109345
544,-1069.278853109345
545,-1069.278853109345
546,-1069.278853109345
547,-1069.278853109345
548,-1069.278853109345
549,-1068.4410265491495
550,-1068.4410265491495
551,-1068.4410265491495
552,-1068.4410265491495
553,-1068.4410265491495
554,-1068.4410265491495
555,-1068.4410265491495
556,-1068.531008405101
557,-1068.531008405101
558,-1068.531008405101
559,-1068.531008405101
560,-1068.531008405101
561,-1068.531008405101
562,-1068.531008405101
563,-1068.531008405101
564,-1068.531008405101
565,-1068.531008405101
566,-1068.531008405101
567,-1068.531008405101
568,-1068.531008405101
569,-1068.531008405101
570,-1068.531008405101
571,-1068.4410265491495
572,-1068.4410265491495
573,-1068.4410265491495
574,-1068.4410265491495
575,-1068.4410265491495
576,-1068.4410265491495
577,-1068.4410265491495
578,-1068.4410265491495
579,-1068.4410265491495
580,-1068.4410265491495
581,-1068.4410265491495
582,-1068.4410265491495
583,-1068.4410265491495
584,-1068.4410265491495
585,-1068.4410265491495
586,-1068.4410265491495
587,-1068.4410265491495
588,-1068.4410265491495
589,-1068.4410265491495
590,-1068.4410265491495
591,-1068.4410265491495
592,-1068.4410265491495
593,-1068.4410265491495
594,-1068.4410265491495
595,-1068.4410265491495
596,-1068.4410265491495
597,-1068.4410265491495
598,-1068.4410265491495
599,-1068.4410265491495
600,-1068.4410265491495
601,-1068.4410265491495
