iteration,FCI(HIP),GMI(HIP),FCI(Fusi),FCI(PCC),GMI(FUS)
1,2,4,3,5,1
2,5,3,1,2,4
3,5,3,1,2,4
4,5,3,1,2,4
5,1,5,2,3,4
6,1,5,2,3,4
7,1,5,2,3,4
8,1,5,2,3,4
9,1,5,2,3,4
10,1,5,2,3,4
11,1,5,2,3,4
12,1,5,2,3,4
13,1,5,2,3,4
14,1,5,2,3,4
15,1,5,2,3,4
16,1,5,2,3,4
17,1,5,2,3,4
18,1,5,2,3,4
19,1,5,2,3,4
20,1,5,2,3,4
21,1,5,2,3,4
22,1,5,2,3,4
23,1,5,2,3,4
24,1,2,3,4,5
25,1,2,3,4,5
26,1,2,3,4,5
27,1,2,3,4,5
28,1,2,3,4,5
29,1,2,3,4,5
30,1,2,3,4,5
31,1,2,3,4,5
32,1,2,3,4,5
33,1,2,3,4,5
34,1,2,3,4,5
35,1,2,3,4,5
36,1,2,3,4,5
37,1,2,3,4,5
38,1,2,3,4,5
39,1,2,3,4,5
40,1,2,3,4,5
41,1,2,3,4,5
42,1,2,3,4,5
43,1,4,2,3,5
44,1,4,2,3,5
45,1,4,2,3,5
46,1,4,2,3,5
47,1,4,2,3,5
48,1,4,2,3,5
49,1,4,2,3,5
50,1,4,2,3,5
51,3,4,2,1,5
52,3,4,2,1,5
53,3,4,2,1,5
54,3,4,2,1,5
55,3,4,2,1,5
56,3,4,2,1,5
57,3,4,2,1,5
58,3,4,2,1,5
59,1,4,3,2,5
60,1,4,3,2,5
61,1,4,3,2,5
62,1,4,3,2,5
63,1,4,3,2,5
64,1,4,3,2,5
65,1,4,3,2,5
66,1,4,3,2,5
67,1,4,3,2,5
68,1,4,3,2,5
69,1,4,3,2,5
70,1,4,3,2,5
71,1,4,3,2,5
72,1,4,3,2,5
73,1,4,3,2,5
74,1,4,3,2,5
75,1,4,3,2,5
76,1,4,3,2,5
77,1,4,3,2,5
78,1,4,3,2,5
79,1,4,3,2,5
80,1,4,3,2,5
81,1,4,3,2,5
82,1,4,3,2,5
83,1,4,3,2,5
84,1,4,3,2,5
85,1,4,3,2,5
86,1,4,3,2,5
87,1,4,3,2,5
88,1,4,3,2,5
89,1,4,3,2,5
90,1,4,3,2,5
91,1,4,3,2,5
92,1,4,3,2,5
93,1,4,3,2,5
94,1,4,3,2,5
95,1,4,3,2,5
96,1,4,3,2,5
97,1,4,3,2,5
98,1,4,2,3,5
99,1,4,2,3,5
100,1,4,2,3,5
101,1,4,2,3,5
102,1,4,2,3,5
103,1,4,2,3,5
104,1,4,2,3,5
105,1,2,4,3,5
106,1,2,4,3,5
107,1,2,4,3,5
108,1,2,4,3,5
109,1,2,4,3,5
110,1,2,4,3,5
111,3,2,1,4,5
112,3,2,1,4,5
113,3,2,1,4,5
114,3,2,1,4,5
115,3,2,1,4,5
116,3,2,1,4,5
117,3,2,1,4,5
118,3,2,1,4,5
119,3,2,1,4,5
120,3,2,1,4,5
121,3,2,1,4,5
122,3,2,1,4,5
123,3,2,1,4,5
124,3,2,1,4,5
125,3,2,1,4,5
126,3,2,1,4,5
127,3,2,1,4,5
128,3,2,1,4,5
129,3,2,1,4,5
130,3,2,1,4,5
131,2,3,4,1,5
132,2,3,4,1,5
133,2,3,4,1,5
134,2,3,4,1,5
135,2,3,4,1,5
136,2,3,4,1,5
137,2,3,4,1,5
138,2,3,4,1,5
139,2,3,4,1,5
140,2,3,4,1,5
141,3,4,2,1,5
142,3,4,2,1,5
143,3,4,2,1,5
144,3,4,2,1,5
145,3,4,2,1,5
146,3,4,2,1,5
147,3,4,2,1,5
148,3,4,2,1,5
149,3,4,2,1,5
150,3,4,2,1,5
151,3,4,2,1,5
152,3,4,2,1,5
153,3,4,2,1,5
154,3,4,2,1,5
155,3,4,2,1,5
156,3,4,2,1,5
157,3,4,2,1,5
158,3,4,2,1,5
159,3,4,2,1,5
160,3,4,2,1,5
161,3,4,2,1,5
162,3,4,2,1,5
163,3,4,2,1,5
164,3,4,2,1,5
165,3,4,2,1,5
166,3,4,2,1,5
167,3,4,2,1,5
168,3,4,2,1,5
169,3,4,2,1,5
170,3,4,2,1,5
171,3,4,2,1,5
172,3,4,2,1,5
173,3,4,2,1,5
174,3,4,2,1,5
175,3,4,2,1,5
176,3,4,2,1,5
177,3,4,2,1,5
178,3,4,2,1,5
179,3,4,2,1,5
180,3,4,2,1,5
181,3,4,2,1,5
182,3,4,2,1,5
183,3,4,2,1,5
184,3,4,2,1,5
185,3,4,2,1,5
186,3,4,2,1,5
187,3,4,2,1,5
188,3,4,2,1,5
189,3,4,2,1,5
190,3,4,2,1,5
191,3,4,2,1,5
192,3,4,2,1,5
193,3,4,2,1,5
194,2,4,3,1,5
195,2,4,3,1,5
196,2,4,3,1,5
197,2,4,3,1,5
198,2,4,3,1,5
199,2,4,3,1,5
200,2,4,3,1,5
201,2,4,3,1,5
202,2,4,3,1,5
203,2,4,3,1,5
204,2,4,3,1,5
205,2,4,3,1,5
206,2,4,3,1,5
207,2,4,3,1,5
208,2,4,3,1,5
209,2,4,3,1,5
210,2,4,3,1,5
211,2,4,3,1,5
212,2,4,3,1,5
213,2,4,3,1,5
214,2,4,3,1,5
215,2,4,3,1,5
216,2,4,3,1,5
217,2,4,3,1,5
218,2,4,3,1,5
219,2,4,3,1,5
220,2,4,3,1,5
221,2,4,3,1,5
222,2,4,3,1,5
223,2,4,3,1,5
224,2,4,3,1,5
225,2,4,3,1,5
226,2,4,3,1,5
227,2,4,3,1,5
228,2,4,3,1,5
229,2,4,3,1,5
230,2,4,3,1,5
231,2,4,3,1,5
232,2,4,3,1,5
233,2,4,3,1,5
234,2,4,3,1,5
235,2,4,3,1,5
236,2,4,3,1,5
237,2,4,3,1,5
238,2,4,3,1,5
239,2,4,3,1,5
240,2,4,3,1,5
241,2,4,3,1,5
242,2,4,3,1,5
243,2,4,3,1,5
244,2,4,3,1,5
245,2,4,3,1,5
246,2,4,3,1,5
247,2,4,3,1,5
248,2,4,3,1,5
249,2,4,3,1,5
250,2,4,3,1,5
251,2,4,3,1,5
252,2,4,3,1,5
253,2,4,3,1,5
254,2,4,3,1,5
255,2,4,3,1,5
256,2,4,3,1,5
257,2,4,3,1,5
258,2,4,3,1,5
259,2,4,3,1,5
260,2,4,3,1,5
261,2,4,3,1,5
262,1,4,3,2,5
263,1,4,3,2,5
264,1,4,3,2,5
265,1,4,3,2,5
266,1,4,3,2,5
267,1,4,3,2,5
268,1,4,3,2,5
269,2,4,3,1,5
270,2,4,3,1,5
271,2,4,3,1,5
272,2,4,3,1,5
273,2,4,3,1,5
274,2,4,3,1,5
275,2,4,3,1,5
276,2,4,3,1,5
277,2,4,3,1,5
278,2,4,3,1,5
279,2,4,3,1,5
280,2,4,3,1,5
281,3,4,1,2,5
282,3,4,1,2,5
283,3,4,1,2,5
284,3,4,1,2,5
285,3,4,1,2,5
286,3,4,1,2,5
287,2,4,3,1,5
288,2,4,3,1,5
289,2,4,3,1,5
290,2,4,3,1,5
291,2,4,3,1,5
292,2,4,3,1,5
293,2,4,3,1,5
294,2,4,3,1,5
295,2,4,3,1,5
296,2,4,3,1,5
297,2,4,3,1,5
298,2,4,3,1,5
299,2,4,3,1,5
300,2,4,3,1,5
301,2,4,3,1,5
302,2,4,3,1,5
303,2,4,3,1,5
304,2,4,3,1,5
305,2,4,3,1,5
306,2,4,3,1,5
307,2,4,3,1,5
308,2,4,3,1,5
309,2,4,3,1,5
310,2,4,3,1,5
311,2,4,3,1,5
312,2,4,3,1,5
313,2,4,3,1,5
314,2,4,3,1,5
315,2,4,3,1,5
316,2,4,3,1,5
317,2,4,3,1,5
318,2,4,3,1,5
319,2,4,3,1,5
320,3,5,1,2,4
321,3,5,1,2,4
322,3,5,1,2,4
323,1,4,2,3,5
324,1,4,2,3,5
325,1,4,2,3,5
326,1,4,2,3,5
327,1,4,2,3,5
328,1,4,2,3,5
329,1,4,2,3,5
330,1,4,2,3,5
331,1,4,2,3,5
332,1,4,2,3,5
333,1,4,2,3,5
334,1,4,2,3,5
335,1,4,2,3,5
336,1,4,2,3,5
337,1,4,2,3,5
338,1,4,2,3,5
339,1,4,2,3,5
340,1,4,2,3,5
341,1,4,2,3,5
342,1,4,2,3,5
343,1,4,2,3,5
344,1,4,2,3,5
345,1,4,2,3,5
346,1,4,2,3,5
347,1,4,2,3,5
348,1,4,2,3,5
349,2,4,1,3,5
350,2,4,1,3,5
351,2,4,1,3,5
352,2,4,1,3,5
353,1,3,4,2,5
354,1,3,4,2,5
355,1,3,4,2,5
356,1,3,4,2,5
357,1,3,4,2,5
358,1,3,4,2,5
359,1,3,4,2,5
360,1,3,4,2,5
361,1,3,4,2,5
362,1,3,4,2,5
363,1,3,4,2,5
364,1,3,4,2,5
365,1,3,4,2,5
366,1,3,4,2,5
367,1,3,4,2,5
368,1,3,4,2,5
369,1,3,4,2,5
370,1,3,4,2,5
371,1,3,4,2,5
372,1,3,4,2,5
373,1,3,4,2,5
374,1,4,3,2,5
375,1,4,3,2,5
376,1,4,3,2,5
377,1,4,3,2,5
378,1,4,3,2,5
379,1,4,3,2,5
380,1,4,3,2,5
381,1,4,3,2,5
382,1,4,3,2,5
383,1,4,3,2,5
384,1,4,3,2,5
385,1,4,3,2,5
386,1,4,3,2,5
387,1,4,3,2,5
388,1,4,3,2,5
389,1,4,3,2,5
390,1,4,3,2,5
391,1,4,3,2,5
392,1,4,3,2,5
393,1,4,3,2,5
394,1,4,3,2,5
395,1,4,3,2,5
396,1,4,3,2,5
397,1,4,3,2,5
398,1,4,3,2,5
399,1,4,3,2,5
400,1,4,3,2,5
401,1,4,3,2,5
402,1,4,3,2,5
403,1,4,3,2,5
404,1,4,3,2,5
405,1,4,3,2,5
406,1,4,3,2,5
407,1,4,3,2,5
408,1,4,3,2,5
409,1,4,3,2,5
410,1,4,3,2,5
411,1,4,3,2,5
412,1,4,3,2,5
413,1,4,3,2,5
414,1,4,3,2,5
415,1,4,3,2,5
416,1,4,3,2,5
417,1,4,3,2,5
418,1,4,3,2,5
419,1,4,3,2,5
420,1,4,3,2,5
421,1,4,3,2,5
422,1,4,3,2,5
423,1,4,3,2,5
424,1,4,2,3,5
425,1,4,2,3,5
426,1,4,2,3,5
427,1,4,2,3,5
428,1,4,2,3,5
429,1,4,2,3,5
430,1,4,2,3,5
431,1,4,2,3,5
432,1,4,2,3,5
433,1,4,2,3,5
434,1,4,2,3,5
435,1,4,2,3,5
436,1,4,2,3,5
437,1,4,2,3,5
438,1,4,2,3,5
439,1,4,2,3,5
440,1,4,2,3,5
441,1,4,2,3,5
442,1,4,2,3,5
443,1,4,2,3,5
444,1,4,2,3,5
445,1,4,2,3,5
446,1,4,2,3,5
447,1,4,2,3,5
448,1,4,2,3,5
449,1,4,2,3,5
450,1,4,2,3,5
451,1,4,2,3,5
452,1,4,2,3,5
453,1,4,2,3,5
454,1,4,2,3,5
455,1,4,2,3,5
456,1,4,2,3,5
457,1,4,2,3,5
458,1,4,2,3,5
459,1,4,2,3,5
460,1,4,2,3,5
461,1,4,2,3,5
462,1,4,2,3,5
463,1,4,2,3,5
464,1,4,2,3,5
465,1,4,2,3,5
466,1,4,2,3,5
467,1,4,2,3,5
468,1,4,2,3,5
469,1,4,2,3,5
470,1,4,2,3,5
471,1,4,2,3,5
472,1,4,2,3,5
473,1,4,2,3,5
474,1,4,2,3,5
475,1,4,2,3,5
476,1,4,2,3,5
477,1,4,2,3,5
478,1,4,2,3,5
479,1,4,2,3,5
480,1,5,3,2,4
481,1,5,3,2,4
482,1,5,3,2,4
483,1,5,3,2,4
484,1,5,3,2,4
485,1,5,3,2,4
486,1,5,3,2,4
487,1,5,3,2,4
488,1,5,3,2,4
489,1,4,2,3,5
490,1,4,2,3,5
491,1,4,2,3,5
492,1,4,2,3,5
493,1,4,2,3,5
494,1,4,2,3,5
495,1,4,2,3,5
496,1,4,2,3,5
497,1,4,2,3,5
498,1,4,2,3,5
499,1,4,2,3,5
500,1,4,2,3,5
501,1,4,2,3,5
502,1,4,2,3,5
503,1,4,2,3,5
504,1,4,2,3,5
505,1,4,2,3,5
506,1,4,2,3,5
507,1,4,2,3,5
508,1,4,2,3,5
509,1,4,2,3,5
510,1,4,2,3,5
511,1,4,2,3,5
512,1,4,2,3,5
513,1,4,2,3,5
514,1,4,2,3,5
515,1,4,2,3,5
516,3,4,1,2,5
517,1,3,4,2,5
518,1,3,4,2,5
519,1,3,4,2,5
520,2,5,3,1,4
521,3,4,1,2,5
522,3,4,1,2,5
523,3,4,1,2,5
524,3,4,1,2,5
525,3,4,1,2,5
526,3,4,1,2,5
527,3,4,1,2,5
528,3,4,1,2,5
529,3,4,1,2,5
530,3,4,1,2,5
531,3,4,1,2,5
532,3,4,1,2,5
533,3,4,1,2,5
534,3,4,1,2,5
535,3,4,1,2,5
536,3,4,1,2,5
537,3,4,1,2,5
538,3,4,1,2,5
539,3,4,1,2,5
540,3,4,1,2,5
541,3,4,1,2,5
542,3,4,1,2,5
543,3,4,1,2,5
544,3,4,1,2,5
545,3,4,1,2,5
546,3,4,1,2,5
547,3,4,1,2,5
548,3,4,1,2,5
549,3,4,2,1,5
550,3,4,2,1,5
551,3,4,2,1,5
552,3,4,2,1,5
553,3,4,2,1,5
554,3,4,2,1,5
555,3,4,2,1,5
556,1,4,2,3,5
557,1,4,2,3,5
558,1,4,2,3,5
559,1,4,2,3,5
560,1,4,2,3,5
561,1,4,2,3,5
562,1,4,2,3,5
563,1,4,2,3,5
564,1,4,2,3,5
565,1,4,2,3,5
566,1,4,2,3,5
567,1,4,2,3,5
568,1,4,2,3,5
569,1,4,2,3,5
570,1,4,2,3,5
571,3,4,2,1,5
572,3,4,2,1,5
573,3,4,2,1,5
574,3,4,2,1,5
575,3,4,2,1,5
576,3,4,2,1,5
577,3,4,2,1,5
578,3,4,2,1,5
579,3,4,2,1,5
580,3,4,2,1,5
581,3,4,2,1,5
582,3,4,2,1,5
583,3,4,2,1,5
584,3,4,2,1,5
585,3,4,2,1,5
586,3,4,2,1,5
587,3,4,2,1,5
588,3,4,2,1,5
589,3,4,2,1,5
590,3,4,2,1,5
591,3,4,2,1,5
592,3,4,2,1,5
593,3,4,2,1,5
594,3,4,2,1,5
595,3,4,2,1,5
596,3,4,2,1,5
597,3,4,2,1,5
598,3,4,2,1,5
599,3,4,2,1,5
600,3,4,2,1,5
601,3,4,2,1,5
602,3,4,2,1,5
603,3,4,2,1,5
604,3,4,2,1,5
605,3,4,2,1,5
606,3,4,2,1,5
607,3,4,2,1,5
608,3,4,2,1,5
609,3,4,2,1,5
610,3,4,2,1,5
611,3,4,2,1,5
612,3,4,2,1,5
613,3,4,2,1,5
614,3,4,2,1,5
615,3,4,2,1,5
616,3,4,2,1,5
617,3,4,2,1,5
618,3,4,2,1,5
619,3,4,2,1,5
620,3,4,2,1,5
621,3,4,2,1,5
622,3,4,2,1,5
623,3,4,2,1,5
624,3,4,2,1,5
625,3,4,2,1,5
626,3,4,2,1,5
627,3,4,2,1,5
628,3,4,2,1,5
629,3,4,2,1,5
630,3,4,2,1,5
631,3,4,2,1,5
632,3,4,2,1,5
633,3,4,2,1,5
634,3,4,2,1,5
635,3,4,2,1,5
636,3,4,2,1,5
637,3,4,2,1,5
638,3,4,2,1,5
639,3,4,2,1,5
640,3,4,2,1,5
641,3,4,2,1,5
642,3,4,2,1,5
643,3,4,2,1,5
644,3,4,2,1,5
645,3,4,2,1,5
646,3,4,2,1,5
647,3,4,2,1,5
648,3,4,2,1,5
649,3,4,2,1,5
650,3,4,2,1,5
651,3,4,2,1,5
652,3,4,2,1,5
653,3,4,2,1,5
654,3,4,2,1,5
655,3,4,2,1,5
656,3,4,2,1,5
657,3,4,2,1,5
658,3,4,2,1,5
659,3,4,2,1,5
660,3,4,2,1,5
661,3,4,2,1,5
