iteration,all_current_likelihoods
1,-986.9256859476205
2,-982.1680679959012
3,-982.1680679959012
4,-982.1680679959012
5,-948.2959704005847
6,-907.202721323488
7,-894.4620363193746
8,-894.4620363193746
9,-894.4620363193746
10,-894.4620363193746
11,-894.4620363193746
12,-894.4620363193746
13,-894.4620363193746
14,-894.4620363193746
15,-894.4620363193746
16,-894.4620363193746
17,-890.9369353083957
18,-890.9369353083957
19,-890.9369353083957
20,-890.9369353083957
21,-890.9369353083957
22,-890.9369353083957
23,-890.9369353083957
24,-890.9369353083957
25,-890.9369353083957
26,-890.9369353083957
27,-890.9369353083957
28,-890.9369353083957
29,-890.9369353083957
30,-890.9369353083957
31,-890.9369353083957
32,-890.9369353083957
33,-890.9369353083957
34,-890.9369353083957
35,-890.9369353083957
36,-890.9369353083957
37,-890.9369353083957
38,-890.9369353083957
39,-890.9369353083957
40,-890.9369353083957
41,-890.9369353083957
42,-890.9369353083957
43,-890.9369353083957
44,-890.9369353083957
45,-890.9369353083957
46,-890.9369353083957
47,-890.9369353083957
48,-890.9369353083957
49,-890.9369353083957
50,-890.9369353083957
51,-890.9369353083957
52,-890.9369353083957
53,-890.9369353083957
54,-890.9369353083957
55,-890.9369353083957
56,-890.9369353083957
57,-890.9369353083957
58,-890.9369353083957
59,-890.9369353083957
60,-890.9369353083957
61,-890.9369353083957
62,-890.9369353083957
63,-890.9369353083957
64,-890.9369353083957
65,-887.1473027367969
66,-887.1473027367969
67,-887.1473027367969
68,-887.1473027367969
69,-887.1473027367969
70,-887.1473027367969
71,-887.1473027367969
72,-887.1473027367969
73,-887.1473027367969
74,-887.1473027367969
75,-887.1473027367969
76,-887.1473027367969
77,-887.1473027367969
78,-887.1473027367969
79,-887.1473027367969
80,-887.1473027367969
81,-887.1473027367969
82,-887.1473027367969
83,-887.1473027367969
84,-887.1473027367969
85,-887.1473027367969
86,-880.628003985852
87,-880.628003985852
88,-880.628003985852
89,-880.628003985852
90,-880.628003985852
91,-880.628003985852
92,-880.628003985852
93,-880.628003985852
94,-880.628003985852
95,-880.628003985852
96,-880.628003985852
97,-880.628003985852
98,-880.628003985852
99,-880.393881854527
100,-880.393881854527
101,-880.393881854527
102,-880.393881854527
103,-880.393881854527
104,-880.393881854527
105,-880.393881854527
106,-880.393881854527
107,-880.393881854527
108,-880.393881854527
109,-880.393881854527
110,-880.393881854527
111,-880.393881854527
112,-878.1853422780912
113,-878.1853422780912
114,-878.1853422780912
115,-878.1853422780912
116,-878.1853422780912
117,-878.1853422780912
118,-878.1853422780912
119,-878.1853422780912
120,-878.1853422780912
121,-878.1853422780912
122,-878.1853422780912
123,-878.1853422780912
124,-878.1853422780912
125,-878.1853422780912
126,-878.1853422780912
127,-878.1853422780912
128,-878.1853422780912
129,-878.1853422780912
130,-878.1853422780912
131,-878.1853422780912
132,-878.1853422780912
133,-878.1853422780912
134,-878.1853422780912
135,-878.1853422780912
136,-878.1853422780912
137,-878.1853422780912
138,-878.1853422780912
139,-878.1853422780912
140,-878.1853422780912
141,-878.1853422780912
142,-878.1853422780912
143,-878.1853422780912
144,-878.1853422780912
145,-878.1853422780912
146,-878.1853422780912
147,-878.1853422780912
148,-878.1853422780912
149,-878.1853422780912
150,-878.1853422780912
151,-878.1853422780912
152,-878.1853422780912
153,-878.1853422780912
154,-881.6371179979875
155,-881.6371179979875
156,-881.6371179979875
157,-881.6371179979875
158,-881.6371179979875
159,-881.6371179979875
160,-881.6371179979875
161,-881.6371179979875
162,-881.6371179979875
163,-881.6371179979875
164,-881.6371179979875
165,-881.6371179979875
166,-881.6371179979875
167,-881.6371179979875
168,-881.6371179979875
169,-881.6371179979875
170,-881.6371179979875
171,-874.2650773100517
172,-874.2650773100517
173,-874.2650773100517
174,-874.2650773100517
175,-874.2650773100517
176,-874.2650773100517
177,-874.2650773100517
178,-874.2650773100517
179,-874.2650773100517
180,-874.2650773100517
181,-874.2650773100517
182,-874.2650773100517
183,-874.2650773100517
184,-874.2650773100517
185,-874.2650773100517
186,-874.2650773100517
187,-874.2650773100517
188,-874.2650773100517
189,-874.2650773100517
190,-874.2650773100517
191,-874.2650773100517
192,-874.2650773100517
193,-874.2650773100517
194,-874.2650773100517
195,-874.2650773100517
196,-874.2650773100517
197,-874.2650773100517
198,-874.2650773100517
199,-874.2650773100517
200,-874.2650773100517
201,-874.2650773100517
202,-874.2650773100517
203,-874.2650773100517
204,-874.2650773100517
205,-874.2650773100517
206,-874.2650773100517
207,-874.2650773100517
208,-874.2650773100517
209,-874.2650773100517
210,-874.2650773100517
211,-874.2650773100517
212,-874.2650773100517
213,-874.2650773100517
214,-874.2650773100517
215,-874.2650773100517
216,-874.2650773100517
217,-874.2650773100517
218,-874.3335925606568
219,-874.3335925606568
220,-874.3335925606568
221,-874.3335925606568
222,-874.3335925606568
223,-874.3335925606568
224,-874.3335925606568
225,-874.3335925606568
226,-874.3335925606568
227,-874.3335925606568
228,-874.3335925606568
229,-874.3335925606568
230,-874.3335925606568
231,-874.3335925606568
232,-874.3335925606568
233,-874.3335925606568
234,-874.3335925606568
235,-874.3335925606568
236,-874.3335925606568
237,-874.3335925606568
238,-874.3335925606568
239,-874.3335925606568
240,-874.3335925606568
241,-874.3335925606568
242,-874.3335925606568
243,-874.3335925606568
244,-874.3335925606568
245,-874.3335925606568
246,-874.3335925606568
247,-874.3335925606568
248,-874.3335925606568
249,-874.3335925606568
250,-874.3335925606568
251,-874.3335925606568
252,-874.3335925606568
253,-874.3335925606568
254,-874.3335925606568
255,-874.3335925606568
256,-874.3335925606568
257,-874.3335925606568
258,-874.3335925606568
259,-874.3335925606568
260,-874.3335925606568
261,-874.3335925606568
262,-874.3335925606568
263,-874.3335925606568
264,-874.3335925606568
265,-874.3335925606568
266,-874.3335925606568
267,-866.6745525609758
268,-866.6745525609758
269,-866.6745525609758
270,-866.6745525609758
271,-866.6745525609758
272,-866.6745525609758
273,-866.6745525609758
274,-866.6745525609758
275,-866.6745525609758
276,-866.6745525609758
277,-866.6745525609758
278,-866.6745525609758
279,-866.6745525609758
280,-866.6745525609758
281,-866.6745525609758
282,-866.6745525609758
283,-866.6745525609758
284,-866.6745525609758
285,-866.6745525609758
286,-866.6745525609758
287,-866.6745525609758
288,-866.6745525609758
289,-866.6745525609758
290,-866.6745525609758
291,-866.6745525609758
292,-866.6745525609758
293,-866.6745525609758
294,-866.6745525609758
295,-866.6745525609758
296,-866.6745525609758
297,-866.6745525609758
298,-866.6745525609758
299,-866.6745525609758
300,-866.6745525609758
301,-866.6745525609758
302,-866.6745525609758
303,-866.6745525609758
304,-866.6745525609758
305,-866.6745525609758
306,-866.6745525609758
307,-866.6745525609758
308,-866.6745525609758
309,-866.6745525609758
310,-866.6745525609758
311,-866.6745525609758
312,-866.6745525609758
313,-866.6745525609758
314,-866.6745525609758
315,-866.6745525609758
316,-866.6745525609758
317,-866.6745525609758
318,-866.6745525609758
319,-866.6745525609758
320,-866.6745525609758
321,-866.6745525609758
322,-866.6745525609758
323,-866.6745525609758
324,-866.6745525609758
325,-866.6745525609758
326,-866.6745525609758
327,-866.6745525609758
328,-866.6745525609758
329,-866.6745525609758
330,-866.6745525609758
331,-866.6745525609758
332,-866.6745525609758
333,-866.6745525609758
334,-866.6745525609758
335,-866.6745525609758
336,-866.6745525609758
337,-866.6745525609758
338,-866.6745525609758
339,-866.6745525609758
340,-866.6745525609758
341,-866.6745525609758
342,-866.6745525609758
343,-866.6745525609758
344,-866.6745525609758
345,-866.6745525609758
346,-866.6745525609758
347,-866.6745525609758
348,-866.6745525609758
349,-866.6745525609758
350,-866.6745525609758
351,-866.6745525609758
352,-866.6745525609758
353,-866.6745525609758
354,-866.6745525609758
355,-866.6745525609758
356,-866.6745525609758
357,-866.6745525609758
358,-866.6745525609758
359,-866.6745525609758
360,-866.6745525609758
361,-866.6745525609758
362,-866.6745525609758
363,-866.6745525609758
364,-866.6745525609758
365,-866.6745525609758
366,-866.6745525609758
367,-866.6745525609758
368,-866.6745525609758
369,-866.6745525609758
370,-866.6745525609758
371,-866.6745525609758
372,-866.6745525609758
373,-866.6745525609758
374,-866.6745525609758
