iteration,FCI(HIP),GMI(HIP),FCI(Fusi),FCI(PCC),GMI(FUS)
1,2,5,3,4,1
2,2,5,4,3,1
3,2,5,4,3,1
4,2,5,4,3,1
5,2,5,1,3,4
6,1,5,2,3,4
7,3,5,2,1,4
8,3,5,2,1,4
9,3,5,2,1,4
10,3,5,2,1,4
11,3,5,2,1,4
12,3,5,2,1,4
13,3,5,2,1,4
14,3,5,2,1,4
15,3,5,2,1,4
16,3,5,2,1,4
17,1,5,2,3,4
18,1,5,2,3,4
19,1,5,2,3,4
20,1,5,2,3,4
21,1,5,2,3,4
22,1,5,2,3,4
23,1,5,2,3,4
24,1,5,2,3,4
25,1,5,2,3,4
26,1,5,2,3,4
27,1,5,2,3,4
28,1,5,2,3,4
29,1,5,2,3,4
30,1,5,2,3,4
31,1,5,2,3,4
32,1,5,2,3,4
33,1,5,2,3,4
34,1,5,2,3,4
35,1,5,2,3,4
36,1,5,2,3,4
37,1,5,2,3,4
38,1,5,2,3,4
39,1,5,2,3,4
40,1,5,2,3,4
41,1,5,2,3,4
42,1,5,2,3,4
43,1,5,2,3,4
44,1,5,2,3,4
45,1,5,2,3,4
46,1,5,2,3,4
47,1,5,2,3,4
48,1,5,2,3,4
49,1,5,2,3,4
50,1,5,2,3,4
51,1,5,2,3,4
52,1,5,2,3,4
53,1,5,2,3,4
54,1,5,2,3,4
55,1,5,2,3,4
56,1,5,2,3,4
57,1,5,2,3,4
58,1,5,2,3,4
59,1,5,2,3,4
60,1,5,2,3,4
61,1,5,2,3,4
62,1,5,2,3,4
63,1,5,2,3,4
64,1,5,2,3,4
65,1,4,2,3,5
66,1,4,2,3,5
67,1,4,2,3,5
68,1,4,2,3,5
69,1,4,2,3,5
70,1,4,2,3,5
71,1,4,2,3,5
72,1,4,2,3,5
73,1,4,2,3,5
74,1,4,2,3,5
75,1,4,2,3,5
76,1,4,2,3,5
77,1,4,2,3,5
78,1,4,2,3,5
79,1,4,2,3,5
80,1,4,2,3,5
81,1,4,2,3,5
82,1,4,2,3,5
83,1,4,2,3,5
84,1,4,2,3,5
85,1,4,2,3,5
86,3,4,2,1,5
87,3,4,2,1,5
88,3,4,2,1,5
89,3,4,2,1,5
90,3,4,2,1,5
91,3,4,2,1,5
92,3,4,2,1,5
93,3,4,2,1,5
94,3,4,2,1,5
95,3,4,2,1,5
96,3,4,2,1,5
97,3,4,2,1,5
98,3,4,2,1,5
99,4,3,2,1,5
100,4,3,2,1,5
101,4,3,2,1,5
102,4,3,2,1,5
103,4,3,2,1,5
104,4,3,2,1,5
105,4,3,2,1,5
106,4,3,2,1,5
107,4,3,2,1,5
108,4,3,2,1,5
109,4,3,2,1,5
110,4,3,2,1,5
111,4,3,2,1,5
112,4,3,1,2,5
113,4,3,1,2,5
114,4,3,1,2,5
115,4,3,1,2,5
116,4,3,1,2,5
117,4,3,1,2,5
118,4,3,1,2,5
119,4,3,1,2,5
120,4,3,1,2,5
121,4,3,1,2,5
122,4,3,1,2,5
123,4,3,1,2,5
124,4,3,1,2,5
125,4,3,1,2,5
126,4,3,1,2,5
127,4,3,1,2,5
128,4,3,1,2,5
129,4,3,1,2,5
130,4,3,1,2,5
131,4,3,1,2,5
132,4,3,1,2,5
133,4,3,1,2,5
134,4,3,1,2,5
135,4,3,1,2,5
136,4,3,1,2,5
137,4,3,1,2,5
138,4,3,1,2,5
139,4,3,1,2,5
140,4,3,1,2,5
141,4,3,1,2,5
142,4,3,1,2,5
143,4,3,1,2,5
144,4,3,1,2,5
145,4,3,1,2,5
146,4,3,1,2,5
147,4,3,1,2,5
148,4,3,1,2,5
149,4,3,1,2,5
150,4,3,1,2,5
151,4,3,1,2,5
152,4,3,1,2,5
153,4,3,1,2,5
154,2,3,1,4,5
155,2,3,1,4,5
156,2,3,1,4,5
157,2,3,1,4,5
158,2,3,1,4,5
159,2,3,1,4,5
160,2,3,1,4,5
161,2,3,1,4,5
162,2,3,1,4,5
163,2,3,1,4,5
164,2,3,1,4,5
165,2,3,1,4,5
166,2,3,1,4,5
167,2,3,1,4,5
168,2,3,1,4,5
169,2,3,1,4,5
170,2,3,1,4,5
171,2,3,4,1,5
172,2,3,4,1,5
173,2,3,4,1,5
174,2,3,4,1,5
175,2,3,4,1,5
176,2,3,4,1,5
177,2,3,4,1,5
178,2,3,4,1,5
179,2,3,4,1,5
180,2,3,4,1,5
181,2,3,4,1,5
182,2,3,4,1,5
183,2,3,4,1,5
184,2,3,4,1,5
185,2,3,4,1,5
186,2,3,4,1,5
187,2,3,4,1,5
188,2,3,4,1,5
189,2,3,4,1,5
190,2,3,4,1,5
191,2,3,4,1,5
192,2,3,4,1,5
193,2,3,4,1,5
194,2,3,4,1,5
195,2,3,4,1,5
196,2,3,4,1,5
197,2,3,4,1,5
198,2,3,4,1,5
199,2,3,4,1,5
200,2,3,4,1,5
201,2,3,4,1,5
202,2,3,4,1,5
203,2,3,4,1,5
204,2,3,4,1,5
205,2,3,4,1,5
206,2,3,4,1,5
207,2,3,4,1,5
208,2,3,4,1,5
209,2,3,4,1,5
210,2,3,4,1,5
211,2,3,4,1,5
212,2,3,4,1,5
213,2,3,4,1,5
214,2,3,4,1,5
215,2,3,4,1,5
216,2,3,4,1,5
217,2,3,4,1,5
218,2,3,5,1,4
219,2,3,5,1,4
220,2,3,5,1,4
221,2,3,5,1,4
222,2,3,5,1,4
223,2,3,5,1,4
224,2,3,5,1,4
225,2,3,5,1,4
226,2,3,5,1,4
227,2,3,5,1,4
228,2,3,5,1,4
229,2,3,5,1,4
230,2,3,5,1,4
231,2,3,5,1,4
232,2,3,5,1,4
233,2,3,5,1,4
234,2,3,5,1,4
235,2,3,5,1,4
236,2,3,5,1,4
237,2,3,5,1,4
238,2,3,5,1,4
239,2,3,5,1,4
240,2,3,5,1,4
241,2,3,5,1,4
242,2,3,5,1,4
243,2,3,5,1,4
244,2,3,5,1,4
245,2,3,5,1,4
246,2,3,5,1,4
247,2,3,5,1,4
248,2,3,5,1,4
249,2,3,5,1,4
250,2,3,5,1,4
251,2,3,5,1,4
252,2,3,5,1,4
253,2,3,5,1,4
254,2,3,5,1,4
255,2,3,5,1,4
256,2,3,5,1,4
257,2,3,5,1,4
258,2,3,5,1,4
259,2,3,5,1,4
260,2,3,5,1,4
261,2,3,5,1,4
262,2,3,5,1,4
263,2,3,5,1,4
