iteration,FCI(HIP),GMI(HIP),FCI(Fusi),FCI(PCC),GMI(FUS)
1,2,4,3,1,5
2,2,4,3,1,5
3,2,4,3,1,5
4,3,2,4,1,5
5,2,4,1,5,3
6,2,4,3,1,5
7,2,1,4,3,5
8,2,4,3,1,5
9,1,4,3,2,5
10,3,4,2,1,5
11,3,1,2,4,5
12,3,5,2,1,4
13,3,4,5,1,2
14,5,3,2,1,4
15,2,4,3,1,5
16,1,3,2,4,5
17,1,3,2,4,5
18,3,2,4,1,5
19,3,4,5,1,2
20,3,1,2,5,4
21,1,4,2,3,5
22,3,4,2,1,5
23,4,3,2,1,5
24,4,1,2,3,5
25,3,1,2,4,5
26,3,4,5,1,2
27,3,4,2,1,5
28,3,4,2,5,1
29,3,4,2,1,5
30,5,4,2,3,1
31,5,3,2,1,4
32,3,2,4,1,5
33,3,1,4,2,5
34,3,4,2,1,5
35,2,4,3,1,5
36,5,4,2,3,1
37,3,4,1,2,5
38,3,5,2,1,4
39,3,4,2,1,5
40,1,3,2,4,5
41,1,4,3,2,5
42,5,4,2,1,3
43,3,4,2,1,5
44,2,4,3,1,5
45,3,2,4,1,5
46,3,4,2,1,5
47,3,4,5,2,1
48,1,4,2,3,5
49,4,5,2,1,3
50,3,2,4,1,5
51,4,3,2,1,5
52,3,4,2,1,5
53,3,4,2,1,5
54,2,3,4,1,5
55,4,2,3,1,5
56,3,2,1,4,5
57,3,1,2,4,5
58,4,1,2,3,5
59,3,4,2,5,1
60,5,3,2,1,4
61,2,3,4,1,5
62,3,4,2,1,5
63,3,4,5,2,1
64,3,4,2,1,5
65,3,4,2,1,5
66,3,4,2,1,5
67,3,4,5,1,2
68,5,4,2,1,3
69,3,4,2,5,1
70,1,3,2,4,5
71,5,3,2,1,4
72,5,3,2,1,4
73,3,4,2,1,5
74,3,4,1,5,2
75,4,2,3,1,5
76,1,3,2,4,5
77,3,5,4,1,2
78,4,5,2,1,3
79,3,4,1,2,5
80,3,4,1,2,5
81,1,4,2,3,5
82,2,4,3,1,5
83,2,1,3,4,5
84,1,4,3,2,5
85,3,4,2,1,5
86,5,2,3,1,4
87,2,1,3,5,4
88,1,4,3,2,5
89,2,4,3,5,1
90,2,4,3,1,5
91,5,4,3,1,2
92,4,5,3,1,2
93,5,4,3,1,2
94,2,4,5,1,3
95,2,1,4,3,5
96,1,2,3,4,5
97,4,3,2,1,5
98,2,1,3,5,4
99,2,4,1,3,5
100,2,5,3,1,4
101,2,5,3,1,4
102,2,4,3,1,5
103,2,4,1,3,5
104,2,3,1,4,5
105,4,3,2,1,5
106,4,2,3,1,5
107,2,4,3,1,5
108,5,4,3,1,2
109,2,4,5,1,3
110,2,3,4,1,5
111,2,1,3,4,5
112,2,4,5,1,3
113,2,4,5,1,3
114,1,4,3,2,5
115,2,5,3,1,4
116,3,4,1,2,5
117,4,5,3,1,2
118,4,1,3,2,5
119,1,4,3,2,5
120,5,4,3,1,2
121,4,3,2,1,5
122,2,5,3,1,4
123,1,4,2,3,5
124,2,4,1,3,5
125,4,2,3,1,5
126,2,4,5,1,3
127,2,4,3,1,5
128,4,2,3,1,5
129,2,1,3,4,5
130,2,4,3,1,5
131,2,4,3,5,1
132,2,4,5,1,3
133,2,1,3,4,5
134,2,4,3,1,5
135,2,4,3,1,5
136,5,4,3,1,2
137,2,4,1,5,3
138,2,4,3,1,5
139,2,5,3,1,4
140,2,4,1,3,5
141,2,4,3,1,5
142,2,5,3,1,4
143,1,4,3,2,5
144,3,4,2,1,5
145,1,4,3,2,5
146,1,4,3,2,5
147,5,4,3,1,2
148,1,3,2,4,5
149,2,4,3,1,5
150,2,4,3,1,5
151,1,4,2,5,3
152,4,1,3,2,5
153,1,5,4,2,3
154,5,1,3,2,4
155,2,4,3,1,5
156,1,4,3,2,5
157,1,4,3,2,5
158,1,4,3,2,5
159,1,4,3,2,5
160,1,4,3,2,5
161,4,2,3,1,5
162,1,2,3,5,4
163,1,4,3,2,5
164,5,4,3,2,1
165,4,5,3,2,1
166,4,1,3,2,5
167,1,5,3,4,2
168,3,4,1,2,5
169,1,4,5,2,3
170,2,4,3,1,5
171,1,2,3,4,5
172,1,4,3,5,2
173,1,5,3,2,4
174,5,4,3,1,2
175,1,4,3,2,5
176,2,4,3,1,5
177,1,3,4,2,5
178,5,4,3,2,1
179,1,5,3,2,4
180,4,3,1,2,5
181,2,4,1,3,5
182,1,4,3,5,2
183,1,4,5,3,2
184,1,3,4,2,5
185,1,5,3,2,4
186,1,5,3,2,4
