iteration,FCI(HIP),GMI(HIP),FCI(Fusi),FCI(PCC),GMI(FUS)
1,3,4,2,5,1
2,2,4,1,5,3
3,2,5,3,4,1
4,1,4,3,5,2
5,5,4,3,2,1
6,1,4,3,5,2
7,4,2,3,5,1
8,5,4,3,2,1
9,1,4,3,5,2
10,2,1,3,5,4
11,4,2,3,5,1
12,2,4,3,1,5
13,1,4,3,5,2
14,2,3,4,5,1
15,5,4,3,2,1
16,2,3,4,5,1
17,2,4,3,1,5
18,2,3,4,5,1
19,5,4,3,2,1
20,4,2,3,5,1
21,2,4,1,5,3
22,2,4,1,5,3
23,2,5,3,4,1
24,2,5,3,4,1
25,2,1,3,5,4
26,2,4,5,3,1
27,4,2,3,5,1
28,4,2,3,5,1
29,3,4,2,5,1
30,5,4,3,2,1
31,1,4,3,5,2
32,4,2,3,5,1
33,5,4,3,2,1
34,2,3,4,5,1
35,4,2,3,5,1
36,2,1,3,5,4
37,3,4,2,5,1
38,2,4,5,3,1
39,5,4,3,2,1
40,2,1,3,5,4
41,2,4,1,5,3
42,2,5,3,4,1
43,2,4,3,1,5
44,4,2,3,5,1
45,3,4,2,5,1
46,3,4,2,5,1
47,2,4,1,5,3
48,2,3,4,5,1
49,2,4,1,5,3
50,1,4,3,5,2
51,2,1,3,5,4
52,2,3,4,5,1
53,1,4,3,5,2
54,4,2,3,5,1
55,2,3,4,5,1
56,2,4,1,5,3
57,2,4,1,5,3
58,2,5,3,4,1
59,2,4,1,5,3
60,5,4,3,2,1
61,2,4,3,1,5
62,2,1,3,5,4
63,2,3,4,5,1
64,2,1,3,5,4
65,2,4,1,5,3
66,5,4,3,2,1
67,2,5,3,4,1
68,2,1,3,5,4
69,3,4,2,5,1
70,4,2,3,5,1
71,1,4,3,5,2
72,1,4,3,5,2
73,2,1,3,5,4
74,5,4,3,2,1
75,2,3,4,5,1
76,2,4,5,3,1
77,4,2,3,5,1
78,2,3,4,5,1
79,2,4,3,1,5
80,2,3,4,5,1
81,4,2,3,5,1
82,5,4,3,2,1
83,2,3,4,5,1
84,2,1,3,5,4
85,2,4,3,1,5
86,2,4,5,3,1
87,2,4,3,1,5
88,2,1,3,5,4
89,5,4,3,2,1
90,2,4,1,5,3
91,2,5,3,4,1
92,2,3,4,5,1
93,2,4,5,3,1
94,2,4,3,1,5
95,5,4,3,2,1
96,2,4,3,1,5
97,1,4,3,5,2
98,2,4,5,3,1
99,5,4,3,2,1
100,1,4,3,5,2
101,2,5,3,4,1
102,2,3,4,5,1
103,2,3,4,5,1
104,3,4,2,5,1
105,1,4,3,5,2
106,5,4,3,2,1
107,3,4,2,5,1
108,5,4,3,2,1
109,2,1,3,5,4
110,2,1,3,5,4
111,5,4,3,2,1
112,3,4,2,5,1
113,2,4,1,5,3
114,3,4,2,5,1
115,2,3,4,5,1
116,5,4,3,2,1
117,2,5,3,4,1
118,3,4,2,5,1
119,2,4,1,5,3
120,2,4,1,5,3
121,2,4,1,5,3
122,2,4,1,5,3
123,2,3,4,5,1
124,3,4,2,5,1
125,2,4,5,3,1
126,1,4,3,5,2
127,3,4,2,5,1
128,3,4,2,5,1
129,4,2,3,5,1
130,2,4,5,3,1
131,4,2,3,5,1
132,3,4,2,5,1
133,2,5,3,4,1
134,4,2,3,5,1
135,5,4,3,2,1
136,2,1,3,5,4
137,1,4,3,5,2
138,2,4,1,5,3
139,2,4,5,3,1
140,3,4,2,5,1
141,5,4,3,2,1
142,2,4,3,1,5
143,2,4,3,1,5
144,2,3,4,5,1
145,2,1,3,5,4
146,2,3,4,5,1
147,2,1,3,5,4
148,5,4,3,2,1
149,3,4,2,5,1
150,2,5,3,4,1
151,2,4,1,5,3
152,1,4,3,5,2
153,2,4,3,1,5
154,2,3,4,5,1
155,2,4,1,5,3
156,5,4,3,2,1
157,2,4,1,5,3
158,2,3,4,5,1
159,2,4,3,1,5
160,2,4,3,1,5
161,2,5,3,4,1
162,3,4,2,5,1
163,2,1,3,5,4
164,1,4,3,5,2
165,2,3,4,5,1
166,2,4,1,5,3
167,2,5,3,4,1
168,3,4,2,5,1
169,5,4,3,2,1
170,2,3,4,5,1
171,4,2,3,5,1
172,5,4,3,2,1
173,1,4,3,5,2
174,4,2,3,5,1
175,2,3,4,5,1
176,4,2,3,5,1
177,2,4,3,1,5
178,3,4,2,5,1
179,2,1,3,5,4
180,2,1,3,5,4
181,1,4,3,5,2
182,5,4,3,2,1
183,2,4,1,5,3
184,4,2,3,5,1
185,2,5,3,4,1
186,1,4,3,5,2
187,2,1,3,5,4
188,2,4,1,5,3
189,2,1,3,5,4
190,2,4,1,5,3
191,2,3,4,5,1
192,2,4,3,1,5
193,2,4,1,5,3
194,4,2,3,5,1
195,2,4,3,1,5
196,2,3,4,5,1
197,2,4,3,1,5
198,5,4,3,2,1
199,4,2,3,5,1
200,2,4,5,3,1
201,2,4,3,1,5
202,1,4,3,5,2
203,1,4,3,5,2
204,2,4,5,3,1
205,5,4,3,2,1
206,2,4,5,3,1
207,2,1,3,5,4
208,2,3,4,5,1
209,2,3,4,5,1
210,5,4,3,2,1
211,2,3,4,5,1
212,3,4,2,5,1
213,3,4,2,5,1
214,2,5,3,4,1
215,2,1,3,5,4
216,2,5,3,4,1
217,2,3,4,5,1
218,2,3,4,5,1
219,2,3,4,5,1
220,2,4,3,1,5
221,2,4,1,5,3
222,1,4,3,5,2
223,1,4,3,5,2
224,2,4,5,3,1
225,3,4,2,5,1
226,2,3,4,5,1
227,4,2,3,5,1
228,5,4,3,2,1
229,2,1,3,5,4
230,1,4,3,5,2
231,2,4,5,3,1
232,2,4,3,1,5
233,2,4,1,5,3
234,4,2,3,5,1
235,4,2,3,5,1
236,2,4,1,5,3
237,1,4,3,5,2
238,2,1,3,5,4
239,2,1,3,5,4
240,2,4,1,5,3
241,2,4,1,5,3
242,1,4,3,5,2
243,2,4,5,3,1
244,2,5,3,4,1
245,2,4,3,1,5
246,3,4,2,5,1
247,2,4,3,1,5
248,2,3,4,5,1
249,2,4,1,5,3
250,2,4,1,5,3
251,4,2,3,5,1
252,2,3,4,5,1
253,2,4,1,5,3
254,2,4,3,1,5
255,3,4,2,5,1
256,5,4,3,2,1
257,2,1,3,5,4
258,5,4,3,2,1
259,2,5,3,4,1
260,2,4,5,3,1
261,5,4,3,2,1
262,3,4,2,5,1
263,2,4,3,1,5
264,3,4,2,5,1
265,2,4,5,3,1
266,2,4,3,1,5
267,2,3,4,5,1
268,5,4,3,2,1
269,3,4,2,5,1
270,3,4,2,5,1
271,5,4,3,2,1
272,5,4,3,2,1
273,4,2,3,5,1
274,2,4,3,1,5
275,2,1,3,5,4
276,4,2,3,5,1
277,2,4,5,3,1
278,2,1,3,5,4
279,2,5,3,4,1
280,2,3,4,5,1
281,2,1,3,5,4
282,4,2,3,5,1
283,3,4,2,5,1
284,4,2,3,5,1
285,3,4,2,5,1
286,2,1,3,5,4
287,2,4,3,1,5
288,2,5,3,4,1
289,2,1,3,5,4
290,3,4,2,5,1
291,2,4,5,3,1
292,5,4,3,2,1
293,4,2,3,5,1
294,5,4,3,2,1
295,4,2,3,5,1
296,2,4,3,1,5
297,2,5,3,4,1
298,1,4,3,5,2
299,2,3,4,5,1
300,2,4,5,3,1
301,5,4,3,2,1
302,2,4,5,3,1
303,2,1,3,5,4
304,5,4,3,2,1
305,2,4,1,5,3
306,2,5,3,4,1
307,2,1,3,5,4
308,3,4,2,5,1
309,2,3,4,5,1
310,2,3,4,5,1
311,4,2,3,5,1
312,2,5,3,4,1
313,5,4,3,2,1
314,4,2,3,5,1
315,2,4,1,5,3
316,4,2,3,5,1
317,1,4,3,5,2
318,4,2,3,5,1
319,5,4,3,2,1
320,3,4,2,5,1
321,1,4,3,5,2
322,5,4,3,2,1
323,2,4,5,3,1
324,2,5,3,4,1
325,2,5,3,4,1
326,5,4,3,2,1
327,1,4,3,5,2
328,2,1,3,5,4
329,2,1,3,5,4
330,2,4,5,3,1
331,2,3,4,5,1
332,4,2,3,5,1
333,2,1,3,5,4
334,2,5,3,4,1
335,2,5,3,4,1
336,2,4,3,1,5
337,2,4,1,5,3
338,4,2,3,5,1
339,3,4,2,5,1
340,4,2,3,5,1
341,2,1,3,5,4
342,5,4,3,2,1
343,2,4,1,5,3
344,2,4,5,3,1
345,2,1,3,5,4
346,2,1,3,5,4
347,4,2,3,5,1
348,2,1,3,5,4
349,1,4,3,5,2
350,4,2,3,5,1
351,2,3,4,5,1
352,2,4,1,5,3
353,2,3,4,5,1
354,2,1,3,5,4
355,2,1,3,5,4
356,2,1,3,5,4
357,4,2,3,5,1
358,1,4,3,5,2
359,1,4,3,5,2
360,2,4,5,3,1
361,2,4,5,3,1
362,2,4,5,3,1
363,3,4,2,5,1
364,2,4,5,3,1
365,2,4,5,3,1
366,1,4,3,5,2
367,3,4,2,5,1
368,3,4,2,5,1
369,2,4,3,1,5
370,3,4,2,5,1
371,2,1,3,5,4
372,2,5,3,4,1
373,2,3,4,5,1
374,2,5,3,4,1
375,2,5,3,4,1
376,2,4,1,5,3
377,2,5,3,4,1
378,3,4,2,5,1
379,2,4,5,3,1
380,2,4,1,5,3
381,2,1,3,5,4
382,2,1,3,5,4
383,2,3,4,5,1
384,2,5,3,4,1
385,4,2,3,5,1
386,2,4,5,3,1
387,2,4,5,3,1
388,5,4,3,2,1
389,4,2,3,5,1
390,5,4,3,2,1
391,2,4,3,1,5
392,5,4,3,2,1
393,2,5,3,4,1
394,2,5,3,4,1
395,3,4,2,5,1
396,1,4,3,5,2
397,2,4,3,1,5
398,4,2,3,5,1
399,3,4,2,5,1
400,2,4,3,1,5
401,2,4,1,5,3
402,2,5,3,4,1
403,2,3,4,5,1
404,2,1,3,5,4
405,1,4,3,5,2
406,2,1,3,5,4
407,3,4,2,5,1
408,2,4,5,3,1
409,1,4,3,5,2
410,2,4,3,1,5
411,2,4,5,3,1
412,2,4,1,5,3
413,2,5,3,4,1
414,2,1,3,5,4
415,4,2,3,5,1
416,5,4,3,2,1
417,2,4,1,5,3
418,2,5,3,4,1
419,4,2,3,5,1
420,5,4,3,2,1
421,2,3,4,5,1
422,2,4,3,1,5
423,4,2,3,5,1
424,2,4,3,1,5
425,2,5,3,4,1
426,2,4,1,5,3
427,2,1,3,5,4
428,1,4,3,5,2
429,1,4,3,5,2
430,4,2,3,5,1
431,2,5,3,4,1
432,3,4,2,5,1
433,2,4,5,3,1
434,4,2,3,5,1
435,3,4,2,5,1
436,2,4,1,5,3
437,4,2,3,5,1
438,4,2,3,5,1
439,2,4,1,5,3
440,3,4,2,5,1
441,2,4,5,3,1
442,2,4,3,1,5
443,5,4,3,2,1
444,2,4,3,1,5
445,1,4,3,5,2
446,2,4,3,1,5
447,2,4,5,3,1
448,2,4,3,1,5
449,2,3,4,5,1
450,1,4,3,5,2
451,2,5,3,4,1
452,4,2,3,5,1
453,5,4,3,2,1
454,1,4,3,5,2
455,2,1,3,5,4
456,2,3,4,5,1
457,2,3,4,5,1
458,4,2,3,5,1
459,2,4,5,3,1
460,2,4,3,1,5
461,2,5,3,4,1
462,2,5,3,4,1
463,2,4,3,1,5
464,2,3,4,5,1
465,2,1,3,5,4
466,4,2,3,5,1
467,2,4,3,1,5
468,2,4,3,1,5
469,1,4,3,5,2
470,2,4,5,3,1
