iteration,participant_stages_at_the_start_of_this_round,should_revert_to_max_likelihood_order,new_order_to_test,new_order_likelihood,max_likelihood_up_until_now,all_participant_ln_likelihood_is_larger,accepted_order,accepted_likelihood,participant_stages_at_the_end_of_iteration,acceptance_ratio,actualy_reverted
1,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 3. 1.
 3. 1. 1. 4. 4. 1. 2. 4. 5. 5. 2. 4. 1. 4. 3. 3. 1. 1. 1. 2. 2. 5. 1. 4.
 3. 3. 3. 4. 4. 2. 4. 1. 1. 5. 1. 1. 1. 2. 1. 5. 5. 1. 2. 5. 1. 5. 2. 1.
 1. 1. 1. 2. 2. 2. 5. 3. 1. 5. 1. 3. 1. 2. 4. 1. 2. 5. 4. 3. 5. 4. 1. 4.
 2. 1. 4. 1. 4. 3. 2. 4. 1. 1. 1. 1. 1. 1. 1. 1. 2. 4. 5. 2. 3. 5. 1. 1.]",False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-956.7426363483225,-956.7426363483225,True,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-956.7426363483225,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 2. 2.
 2. 5. 1. 5. 1. 4. 3. 3. 4. 2. 5. 2. 2. 2. 1. 5. 5. 1. 2. 2. 3. 1. 4. 1.
 2. 4. 4. 1. 5. 3. 3. 1. 1. 3. 5. 1. 1. 5. 1. 4. 5. 3. 3. 3. 1. 3. 2. 4.
 3. 1. 5. 3. 1. 3. 4. 5. 4. 5. 3. 4. 4. 1. 5. 5. 5. 2. 5. 3. 1. 2. 5. 1.
 4. 4. 4. 3. 3. 2. 3. 4. 4. 5. 5. 1. 4. 5. 3. 2. 4. 5. 5. 1. 2. 5. 5. 2.]",100.0,
2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 2. 2.
 2. 5. 1. 5. 1. 4. 3. 3. 4. 2. 5. 2. 2. 2. 1. 5. 5. 1. 2. 2. 3. 1. 4. 1.
 2. 4. 4. 1. 5. 3. 3. 1. 1. 3. 5. 1. 1. 5. 1. 4. 5. 3. 3. 3. 1. 3. 2. 4.
 3. 1. 5. 3. 1. 3. 4. 5. 4. 5. 3. 4. 4. 1. 5. 5. 5. 2. 5. 3. 1. 2. 5. 1.
 4. 4. 4. 3. 3. 2. 3. 4. 4. 5. 5. 1. 4. 5. 3. 2. 4. 5. 5. 1. 2. 5. 5. 2.]",False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-928.790036641446,-928.790036641446,True,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-928.790036641446,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 3. 2.
 1. 2. 4. 5. 4. 2. 5. 2. 3. 3. 2. 3. 4. 1. 2. 5. 4. 2. 2. 1. 3. 2. 5. 1.
 5. 5. 2. 2. 5. 2. 1. 4. 2. 3. 2. 3. 4. 4. 3. 5. 5. 2. 3. 3. 1. 5. 5. 4.
 2. 4. 5. 2. 2. 3. 1. 4. 5. 3. 5. 1. 3. 1. 5. 2. 5. 5. 2. 4. 3. 2. 5. 1.
 4. 5. 5. 2. 5. 5. 2. 4. 4. 3. 1. 5. 1. 5. 4. 4. 3. 5. 5. 2. 1. 5. 5. 2.]",100.0,
3,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 3. 2.
 1. 2. 4. 5. 4. 2. 5. 2. 3. 3. 2. 3. 4. 1. 2. 5. 4. 2. 2. 1. 3. 2. 5. 1.
 5. 5. 2. 2. 5. 2. 1. 4. 2. 3. 2. 3. 4. 4. 3. 5. 5. 2. 3. 3. 1. 5. 5. 4.
 2. 4. 5. 2. 2. 3. 1. 4. 5. 3. 5. 1. 3. 1. 5. 2. 5. 5. 2. 4. 3. 2. 5. 1.
 4. 5. 5. 2. 5. 5. 2. 4. 4. 3. 1. 5. 1. 5. 4. 4. 3. 5. 5. 2. 1. 5. 5. 2.]",False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-896.2713047906441,-896.2713047906441,True,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-896.2713047906441,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 3. 2.
 1. 3. 1. 4. 5. 3. 5. 2. 3. 3. 2. 3. 3. 1. 2. 5. 5. 2. 3. 2. 5. 3. 5. 2.
 4. 5. 2. 1. 1. 1. 1. 3. 5. 4. 3. 2. 1. 3. 3. 5. 5. 1. 3. 3. 3. 4. 3. 1.
 5. 4. 5. 1. 2. 4. 3. 4. 5. 2. 2. 1. 2. 1. 5. 3. 5. 5. 4. 3. 3. 3. 5. 2.
 2. 4. 5. 5. 4. 5. 4. 3. 4. 5. 1. 2. 5. 5. 3. 1. 1. 4. 5. 4. 2. 5. 5. 4.]",100.0,
4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 3. 2.
 1. 3. 1. 4. 5. 3. 5. 2. 3. 3. 2. 3. 3. 1. 2. 5. 5. 2. 3. 2. 5. 3. 5. 2.
 4. 5. 2. 1. 1. 1. 1. 3. 5. 4. 3. 2. 1. 3. 3. 5. 5. 1. 3. 3. 3. 4. 3. 1.
 5. 4. 5. 1. 2. 4. 3. 4. 5. 2. 2. 1. 2. 1. 5. 3. 5. 5. 4. 3. 3. 3. 5. 2.
 2. 4. 5. 5. 4. 5. 4. 3. 4. 5. 1. 2. 5. 5. 3. 1. 1. 4. 5. 4. 2. 5. 5. 4.]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 2, 'FCI(Fusi)': 4, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-902.334930782507,-896.2713047906441,False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-896.2713047906441,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 4. 1.
 2. 3. 3. 2. 3. 2. 5. 2. 1. 1. 2. 1. 1. 4. 1. 5. 4. 4. 1. 2. 4. 4. 5. 1.
 5. 3. 3. 3. 5. 3. 3. 4. 1. 4. 1. 5. 2. 1. 1. 5. 5. 1. 1. 4. 2. 1. 2. 5.
 5. 1. 5. 1. 3. 2. 1. 1. 5. 1. 2. 3. 1. 2. 5. 3. 5. 5. 4. 3. 4. 5. 5. 2.
 5. 2. 5. 2. 4. 2. 2. 4. 2. 5. 1. 1. 5. 5. 4. 3. 1. 5. 5. 3. 2. 5. 5. 4.]",75.0,
5,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 4. 1.
 2. 3. 3. 2. 3. 2. 5. 2. 1. 1. 2. 1. 1. 4. 1. 5. 4. 4. 1. 2. 4. 4. 5. 1.
 5. 3. 3. 3. 5. 3. 3. 4. 1. 4. 1. 5. 2. 1. 1. 5. 5. 1. 1. 4. 2. 1. 2. 5.
 5. 1. 5. 1. 3. 2. 1. 1. 5. 1. 2. 3. 1. 2. 5. 3. 5. 5. 4. 3. 4. 5. 5. 2.
 5. 2. 5. 2. 4. 2. 2. 4. 2. 5. 1. 1. 5. 5. 4. 3. 1. 5. 5. 3. 2. 5. 5. 4.]",False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 1, 'FCI(PCC)': 5, 'GMI(FUS)': 3}",-912.7145573230282,-896.2713047906441,False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-896.2713047906441,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 2.
 1. 3. 2. 4. 4. 2. 5. 1. 1. 1. 2. 1. 1. 4. 1. 4. 5. 1. 3. 1. 1. 1. 4. 2.
 3. 2. 3. 2. 5. 3. 2. 4. 3. 4. 2. 5. 1. 1. 2. 4. 4. 1. 1. 5. 3. 5. 1. 4.
 4. 5. 5. 5. 2. 2. 1. 2. 4. 1. 2. 1. 1. 1. 4. 1. 3. 4. 4. 4. 2. 3. 4. 4.
 5. 4. 2. 5. 4. 5. 4. 5. 5. 1. 1. 2. 3. 4. 2. 4. 1. 5. 4. 4. 4. 5. 5. 1.]",60.0,
6,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 2.
 1. 3. 2. 4. 4. 2. 5. 1. 1. 1. 2. 1. 1. 4. 1. 4. 5. 1. 3. 1. 1. 1. 4. 2.
 3. 2. 3. 2. 5. 3. 2. 4. 3. 4. 2. 5. 1. 1. 2. 4. 4. 1. 1. 5. 3. 5. 1. 4.
 4. 5. 5. 5. 2. 2. 1. 2. 4. 1. 2. 1. 1. 1. 4. 1. 3. 4. 4. 4. 2. 3. 4. 4.
 5. 4. 2. 5. 4. 5. 4. 5. 5. 1. 1. 2. 3. 4. 2. 4. 1. 5. 4. 4. 4. 5. 5. 1.]",False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-911.4842969157235,-896.2713047906441,False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-896.2713047906441,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 1. 4.
 3. 1. 3. 1. 5. 1. 5. 2. 3. 3. 2. 3. 3. 1. 1. 5. 5. 4. 1. 1. 3. 2. 5. 2.
 5. 3. 3. 2. 2. 1. 2. 5. 1. 4. 2. 4. 4. 3. 3. 5. 4. 1. 1. 4. 2. 1. 4. 5.
 5. 1. 5. 2. 2. 3. 1. 2. 4. 1. 3. 3. 1. 2. 4. 2. 5. 2. 4. 4. 1. 2. 5. 2.
 4. 5. 5. 4. 5. 3. 4. 4. 4. 2. 2. 2. 4. 5. 1. 2. 3. 5. 5. 5. 5. 5. 5. 3.]",50.0,
7,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 1. 4.
 3. 1. 3. 1. 5. 1. 5. 2. 3. 3. 2. 3. 3. 1. 1. 5. 5. 4. 1. 1. 3. 2. 5. 2.
 5. 3. 3. 2. 2. 1. 2. 5. 1. 4. 2. 4. 4. 3. 3. 5. 4. 1. 1. 4. 2. 1. 4. 5.
 5. 1. 5. 2. 2. 3. 1. 2. 4. 1. 3. 3. 1. 2. 4. 2. 5. 2. 4. 4. 1. 2. 5. 2.
 4. 5. 5. 4. 5. 3. 4. 4. 4. 2. 2. 2. 4. 5. 1. 2. 3. 5. 5. 5. 5. 5. 5. 3.]",False,"{'FCI(HIP)': 2, 'GMI(HIP)': 1, 'FCI(Fusi)': 4, 'FCI(PCC)': 3, 'GMI(FUS)': 5}",-935.9282808507912,-896.2713047906441,False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-896.2713047906441,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 5. 4. 3.
 3. 2. 3. 4. 4. 4. 5. 1. 2. 2. 3. 3. 2. 4. 2. 5. 5. 4. 2. 1. 4. 2. 5. 2.
 5. 3. 2. 5. 5. 4. 1. 1. 4. 3. 2. 4. 4. 5. 3. 1. 5. 3. 4. 5. 2. 2. 4. 2.
 3. 4. 5. 1. 4. 3. 3. 3. 2. 3. 4. 3. 2. 4. 5. 2. 2. 5. 1. 3. 4. 5. 5. 2.
 4. 5. 5. 4. 4. 2. 3. 1. 2. 2. 2. 3. 5. 5. 2. 2. 5. 2. 5. 1. 2. 5. 5. 2.]",42.857142857142854,
8,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 5. 4. 3.
 3. 2. 3. 4. 4. 4. 5. 1. 2. 2. 3. 3. 2. 4. 2. 5. 5. 4. 2. 1. 4. 2. 5. 2.
 5. 3. 2. 5. 5. 4. 1. 1. 4. 3. 2. 4. 4. 5. 3. 1. 5. 3. 4. 5. 2. 2. 4. 2.
 3. 4. 5. 1. 4. 3. 3. 3. 2. 3. 4. 3. 2. 4. 5. 2. 2. 5. 1. 3. 4. 5. 5. 2.
 4. 5. 5. 4. 4. 2. 3. 1. 2. 2. 2. 3. 5. 5. 2. 2. 5. 2. 5. 1. 2. 5. 5. 2.]",False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-915.7343436831812,-896.2713047906441,False,"{'FCI(HIP)': 2, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-896.2713047906441,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 1. 4.
 2. 3. 1. 1. 4. 2. 4. 4. 3. 3. 1. 1. 1. 4. 3. 5. 5. 1. 3. 3. 4. 1. 5. 4.
 5. 3. 3. 3. 4. 2. 2. 2. 1. 1. 2. 4. 1. 5. 3. 5. 5. 3. 2. 2. 1. 1. 4. 2.
 5. 2. 5. 1. 3. 3. 4. 5. 1. 3. 4. 1. 2. 2. 5. 1. 5. 5. 5. 5. 1. 5. 5. 4.
 2. 5. 4. 5. 4. 5. 5. 5. 5. 1. 1. 3. 5. 5. 1. 4. 4. 4. 5. 4. 4. 5. 5. 3.]",37.5,
9,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 1. 4.
 2. 3. 1. 1. 4. 2. 4. 4. 3. 3. 1. 1. 1. 4. 3. 5. 5. 1. 3. 3. 4. 1. 5. 4.
 5. 3. 3. 3. 4. 2. 2. 2. 1. 1. 2. 4. 1. 5. 3. 5. 5. 3. 2. 2. 1. 1. 4. 2.
 5. 2. 5. 1. 3. 3. 4. 5. 1. 3. 4. 1. 2. 2. 5. 1. 5. 5. 5. 5. 1. 5. 5. 4.
 2. 5. 4. 5. 4. 5. 5. 5. 5. 1. 1. 3. 5. 5. 1. 4. 4. 4. 5. 4. 4. 5. 5. 3.]",False,"{'FCI(HIP)': 1, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 2, 'GMI(FUS)': 5}",-891.0833978567832,-891.0833978567832,True,"{'FCI(HIP)': 1, 'GMI(HIP)': 4, 'FCI(Fusi)': 3, 'FCI(PCC)': 2, 'GMI(FUS)': 5}",-891.0833978567832,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 1. 1.
 2. 3. 1. 4. 4. 1. 5. 3. 2. 1. 2. 1. 3. 2. 1. 5. 2. 1. 1. 2. 3. 4. 5. 4.
 5. 2. 1. 3. 1. 3. 3. 5. 3. 1. 1. 2. 3. 3. 4. 4. 5. 1. 2. 1. 1. 3. 3. 4.
 5. 2. 5. 1. 3. 3. 3. 4. 5. 4. 2. 1. 1. 3. 5. 2. 5. 5. 5. 5. 4. 5. 5. 2.
 4. 4. 4. 5. 4. 3. 4. 4. 4. 3. 2. 1. 5. 5. 1. 4. 4. 5. 5. 5. 4. 5. 5. 3.]",44.44444444444444,
10,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 1. 1.
 2. 3. 1. 4. 4. 1. 5. 3. 2. 1. 2. 1. 3. 2. 1. 5. 2. 1. 1. 2. 3. 4. 5. 4.
 5. 2. 1. 3. 1. 3. 3. 5. 3. 1. 1. 2. 3. 3. 4. 4. 5. 1. 2. 1. 1. 3. 3. 4.
 5. 2. 5. 1. 3. 3. 3. 4. 5. 4. 2. 1. 1. 3. 5. 2. 5. 5. 5. 5. 4. 5. 5. 2.
 4. 4. 4. 5. 4. 3. 4. 4. 4. 3. 2. 1. 5. 5. 1. 4. 4. 5. 5. 5. 4. 5. 5. 3.]",False,"{'FCI(HIP)': 3, 'GMI(HIP)': 4, 'FCI(Fusi)': 2, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-878.5008721205526,-878.5008721205526,True,"{'FCI(HIP)': 3, 'GMI(HIP)': 4, 'FCI(Fusi)': 2, 'FCI(PCC)': 1, 'GMI(FUS)': 5}",-878.5008721205526,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 4.
 3. 2. 1. 4. 4. 1. 5. 1. 1. 1. 3. 2. 2. 2. 1. 5. 5. 2. 3. 2. 4. 2. 5. 3.
 5. 1. 1. 3. 3. 1. 2. 1. 1. 4. 2. 1. 2. 2. 1. 5. 5. 2. 3. 1. 2. 1. 2. 4.
 5. 1. 5. 3. 2. 3. 1. 3. 5. 2. 2. 3. 2. 3. 5. 3. 5. 1. 4. 4. 3. 5. 5. 3.
 5. 5. 4. 5. 4. 4. 4. 4. 5. 5. 1. 1. 5. 5. 3. 4. 2. 5. 5. 5. 4. 5. 5. 2.]",50.0,
