iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,1,5,4,2,3
2,1,5,4,2,3
3,1,5,4,2,3
4,5,1,4,2,3
5,5,1,4,2,3
6,5,1,4,2,3
7,2,1,4,5,3
8,2,1,4,5,3
9,2,1,4,5,3
10,2,1,4,5,3
11,2,1,4,5,3
12,2,1,4,5,3
13,2,1,4,5,3
14,2,1,4,5,3
15,2,1,4,5,3
16,2,1,4,5,3
17,2,1,4,5,3
18,2,1,4,5,3
19,2,1,4,5,3
20,2,1,4,5,3
21,2,1,4,5,3
22,2,1,4,5,3
23,2,1,4,5,3
24,1,2,4,5,3
25,1,2,4,5,3
26,1,2,4,5,3
27,1,2,4,5,3
28,1,2,4,5,3
29,1,2,4,5,3
30,1,2,4,5,3
31,1,2,4,5,3
32,1,2,4,5,3
33,1,2,4,5,3
34,1,2,4,5,3
35,1,2,4,5,3
36,1,2,4,5,3
37,1,2,4,5,3
38,1,2,4,5,3
39,1,2,4,5,3
40,1,2,4,5,3
41,1,2,4,5,3
42,1,2,4,5,3
43,1,2,4,5,3
44,1,2,4,5,3
45,1,2,4,5,3
46,1,2,4,5,3
47,1,2,4,5,3
48,1,2,4,5,3
49,1,2,4,5,3
50,1,2,4,5,3
51,1,2,4,5,3
52,1,2,4,5,3
53,1,2,4,5,3
54,1,2,4,5,3
55,1,2,4,5,3
56,1,2,4,5,3
57,1,2,4,5,3
58,1,2,4,5,3
59,1,2,4,5,3
60,1,2,4,5,3
61,1,2,4,5,3
62,1,2,4,5,3
63,1,2,4,5,3
64,1,2,4,5,3
65,1,2,4,5,3
66,1,2,4,5,3
67,1,2,4,5,3
68,1,2,4,5,3
69,1,2,4,5,3
70,1,2,4,5,3
71,1,2,4,5,3
72,1,2,4,5,3
73,1,2,4,5,3
74,1,2,4,5,3
75,1,2,4,5,3
76,1,2,4,5,3
77,1,2,4,5,3
78,1,2,4,5,3
79,1,2,4,5,3
80,1,2,4,5,3
81,1,2,4,5,3
82,1,2,4,5,3
83,1,2,4,5,3
84,1,2,4,5,3
85,1,2,4,5,3
86,1,2,4,5,3
87,1,2,4,5,3
88,1,2,4,5,3
89,1,2,4,5,3
90,1,2,4,5,3
91,1,2,4,5,3
92,1,2,4,5,3
93,1,2,4,5,3
94,1,2,4,5,3
95,1,2,4,5,3
96,1,2,4,5,3
97,1,2,4,5,3
98,1,2,4,5,3
99,1,2,4,5,3
100,1,2,4,5,3
