iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,1,5,4,2,3
2,3,5,4,2,1
3,1,5,4,2,3
4,5,1,4,2,3
5,5,1,3,2,4
6,5,1,4,2,3
7,2,1,4,5,3
8,2,1,3,5,4
9,2,1,4,3,5
10,2,1,4,5,3
11,2,1,4,5,3
12,2,3,4,5,1
13,2,1,4,3,5
14,2,5,4,1,3
15,2,1,4,5,3
16,2,1,4,5,3
17,2,1,4,5,3
18,2,1,5,4,3
19,2,1,4,5,3
20,2,1,4,5,3
21,2,1,4,5,3
22,2,1,4,5,3
23,2,5,4,1,3
24,1,2,4,5,3
25,2,1,4,5,3
26,1,2,3,5,4
27,3,2,4,5,1
28,1,2,4,5,3
29,1,2,4,5,3
30,3,2,4,5,1
31,5,2,4,1,3
32,1,3,4,5,2
33,1,5,4,2,3
34,1,2,4,5,3
35,5,2,4,1,3
36,1,2,4,5,3
37,4,2,1,5,3
38,1,2,4,3,5
39,1,2,4,5,3
40,1,2,4,5,3
41,1,2,4,5,3
42,1,2,5,4,3
43,1,2,4,5,3
44,1,2,4,5,3
45,1,2,4,5,3
46,1,2,4,5,3
47,2,1,4,5,3
48,1,2,4,5,3
49,4,2,1,5,3
50,1,2,4,5,3
51,3,2,4,5,1
52,1,2,4,3,5
53,1,2,4,5,3
54,1,2,4,5,3
55,1,2,4,5,3
56,4,2,1,5,3
57,1,2,4,5,3
58,1,2,4,3,5
59,1,2,4,5,3
60,1,2,5,4,3
61,1,4,2,5,3
62,1,2,3,5,4
63,1,2,4,5,3
64,1,4,2,5,3
65,4,2,1,5,3
66,1,2,4,5,3
67,3,2,4,5,1
68,1,2,4,5,3
69,1,4,2,5,3
70,3,2,4,5,1
71,1,5,4,2,3
72,3,2,4,5,1
73,1,4,2,5,3
74,1,2,4,5,3
75,1,3,4,5,2
76,5,2,4,1,3
77,1,2,4,5,3
78,1,2,4,5,3
79,1,2,4,5,3
80,4,2,1,5,3
81,1,2,4,5,3
82,1,5,4,2,3
83,1,2,4,5,3
84,1,2,4,5,3
85,1,2,4,5,3
86,1,2,4,5,3
87,1,2,4,5,3
88,1,2,4,5,3
89,1,2,4,5,3
90,1,2,4,5,3
91,1,2,3,5,4
92,1,5,4,2,3
93,1,2,5,4,3
94,1,2,4,5,3
95,1,2,4,5,3
96,1,4,2,5,3
97,2,1,4,5,3
98,1,5,4,2,3
99,1,2,4,5,3
100,1,2,4,5,3
