iteration,all_current_best_likelihoods
1,-1163.0084708498935
2,-1163.0084708498935
3,-1156.0628242301025
4,-1156.0628242301025
5,-1156.0628242301025
6,-1156.0628242301025
7,-1156.0628242301025
8,-1156.0628242301025
9,-1156.0628242301025
10,-1156.0628242301025
11,-1154.2744786011556
12,-1154.2744786011556
13,-1154.2744786011556
14,-1154.2744786011556
15,-1154.2744786011556
16,-1154.2744786011556
17,-1154.2744786011556
18,-1154.2744786011556
19,-1154.2744786011556
20,-1134.3213289275284
21,-1134.3213289275284
22,-1134.3213289275284
23,-1134.3213289275284
24,-1134.3213289275284
25,-1134.3213289275284
26,-1134.3213289275284
27,-1134.3213289275284
28,-1134.3213289275284
29,-1134.3213289275284
30,-1134.3213289275284
31,-1134.3213289275284
32,-1134.3213289275284
33,-1134.3213289275284
34,-1134.3213289275284
35,-1134.3213289275284
36,-1134.3213289275284
37,-1134.3213289275284
38,-1134.3213289275284
39,-1134.3213289275284
40,-1134.3213289275284
41,-1134.3213289275284
42,-1134.3213289275284
43,-1134.3213289275284
44,-1134.3213289275284
45,-1134.3213289275284
46,-1134.3213289275284
47,-1134.3213289275284
48,-1134.3213289275284
49,-1134.3213289275284
50,-1134.3213289275284
51,-1134.3213289275284
52,-1134.3213289275284
53,-1134.3213289275284
54,-1134.3213289275284
55,-1134.3213289275284
56,-1134.3213289275284
57,-1134.3213289275284
58,-1134.3213289275284
59,-1134.3213289275284
60,-1134.3213289275284
61,-1134.3213289275284
62,-1134.3213289275284
63,-1134.3213289275284
64,-1134.3213289275284
65,-1134.3213289275284
66,-1134.3213289275284
67,-1134.3213289275284
68,-1134.3213289275284
69,-1134.3213289275284
70,-1134.3213289275284
71,-1134.3213289275284
72,-1134.3213289275284
73,-1134.3213289275284
74,-1134.3213289275284
75,-1134.3213289275284
76,-1134.3213289275284
77,-1134.3213289275284
78,-1134.3213289275284
79,-1134.3213289275284
80,-1134.3213289275284
81,-1134.3213289275284
82,-1134.3213289275284
83,-1134.3213289275284
84,-1134.3213289275284
85,-1134.3213289275284
86,-1134.3213289275284
87,-1134.3213289275284
88,-1134.3213289275284
89,-1134.3213289275284
90,-1134.3213289275284
91,-1134.3213289275284
92,-1134.3213289275284
93,-1134.3213289275284
94,-1134.3213289275284
95,-1134.3213289275284
96,-1134.3213289275284
97,-1134.3213289275284
98,-1134.3213289275284
99,-1134.3213289275284
100,-1134.3213289275284
101,-1134.3213289275284
102,-1134.3213289275284
103,-1134.3213289275284
104,-1133.7781357057063
105,-1133.7781357057063
106,-1133.7781357057063
107,-1133.7781357057063
108,-1133.7781357057063
109,-1133.7781357057063
110,-1133.7781357057063
111,-1133.7781357057063
112,-1133.7781357057063
113,-1133.7781357057063
114,-1133.7781357057063
115,-1133.7781357057063
116,-1133.7781357057063
117,-1133.7781357057063
118,-1133.7781357057063
119,-1133.7781357057063
120,-1133.7781357057063
121,-1133.7781357057063
122,-1133.7781357057063
123,-1133.7781357057063
124,-1133.7781357057063
125,-1133.7781357057063
126,-1133.7781357057063
127,-1133.7781357057063
128,-1133.7781357057063
129,-1133.7781357057063
130,-1133.7781357057063
131,-1133.7781357057063
132,-1133.7781357057063
133,-1133.7781357057063
134,-1133.7781357057063
135,-1133.7781357057063
136,-1133.7781357057063
137,-1133.7781357057063
138,-1133.7781357057063
139,-1133.7781357057063
140,-1133.7781357057063
141,-1133.7781357057063
142,-1133.7781357057063
143,-1133.7781357057063
144,-1134.3213289275284
145,-1134.3213289275284
146,-1134.3213289275284
147,-1134.3213289275284
148,-1134.3213289275284
149,-1134.3213289275284
150,-1134.3213289275284
151,-1134.3213289275284
152,-1134.3213289275284
153,-1134.3213289275284
154,-1134.3213289275284
155,-1134.3213289275284
156,-1134.3213289275284
157,-1134.3213289275284
158,-1134.3213289275284
159,-1134.3213289275284
160,-1134.3213289275284
161,-1134.3213289275284
162,-1134.3213289275284
163,-1134.3213289275284
164,-1134.3213289275284
165,-1134.3213289275284
166,-1134.3213289275284
167,-1134.3213289275284
168,-1134.3213289275284
169,-1134.3213289275284
170,-1134.3213289275284
171,-1134.3213289275284
172,-1134.3213289275284
173,-1134.3213289275284
174,-1134.3213289275284
175,-1134.3213289275284
176,-1134.3213289275284
177,-1134.3213289275284
178,-1134.3213289275284
179,-1134.3213289275284
180,-1134.3213289275284
181,-1134.3213289275284
182,-1134.3213289275284
183,-1134.3213289275284
184,-1134.3213289275284
185,-1134.3213289275284
186,-1134.3213289275284
187,-1134.3213289275284
188,-1134.3213289275284
189,-1134.3213289275284
190,-1134.3213289275284
191,-1134.3213289275284
192,-1134.3213289275284
193,-1134.3213289275284
194,-1134.3213289275284
195,-1134.3213289275284
196,-1134.3213289275284
197,-1134.3213289275284
198,-1134.3213289275284
199,-1134.3213289275284
200,-1134.3213289275284
201,-1134.3213289275284
202,-1134.3213289275284
203,-1134.3213289275284
204,-1134.3213289275284
205,-1134.3213289275284
206,-1134.3213289275284
207,-1134.3213289275284
208,-1134.3213289275284
209,-1133.7781357057063
210,-1133.7781357057063
211,-1133.7781357057063
212,-1133.7781357057063
213,-1133.7781357057063
214,-1133.7781357057063
215,-1133.7781357057063
216,-1133.7781357057063
217,-1133.7781357057063
218,-1110.2630661684486
219,-1110.2630661684486
220,-1110.2630661684486
221,-1110.2630661684486
222,-1110.2630661684486
223,-1110.2630661684486
224,-1110.2630661684486
225,-1110.2630661684486
226,-1110.2630661684486
227,-1110.2630661684486
228,-1110.2630661684486
229,-1110.2630661684486
230,-1110.2630661684486
231,-1110.2630661684486
232,-1110.2630661684486
233,-1110.2630661684486
234,-1110.2630661684486
235,-1110.2630661684486
236,-1110.2630661684486
237,-1110.2630661684486
238,-1110.2630661684486
239,-1110.2630661684486
240,-1110.2630661684486
241,-1110.2630661684486
242,-1110.2630661684486
243,-1110.2630661684486
244,-1110.2630661684486
245,-1110.2630661684486
246,-1110.2630661684486
247,-1110.2630661684486
248,-1110.2630661684486
249,-1110.2630661684486
250,-1110.2630661684486
251,-1110.2630661684486
252,-1110.2630661684486
253,-1110.2630661684486
254,-1110.2630661684486
255,-1110.2630661684486
256,-1110.2630661684486
257,-1110.2630661684486
258,-1110.2630661684486
259,-1110.2630661684486
260,-1110.2630661684486
261,-1110.2630661684486
262,-1110.2630661684486
263,-1110.2630661684486
264,-1110.2630661684486
265,-1110.2630661684486
266,-1110.2630661684486
267,-1110.2630661684486
268,-1110.2630661684486
269,-1110.2630661684486
270,-1110.2630661684486
271,-1110.2630661684486
272,-1110.2630661684486
273,-1110.2630661684486
274,-1110.2630661684486
275,-1110.2630661684486
276,-1110.2630661684486
277,-1110.2630661684486
278,-1110.2630661684486
279,-1110.2630661684486
280,-1110.2630661684486
281,-1110.2630661684486
282,-1110.2630661684486
283,-1110.2630661684486
284,-1110.2630661684486
285,-1110.2630661684486
286,-1110.2630661684486
287,-1110.2630661684486
288,-1110.2630661684486
289,-1110.2630661684486
290,-1110.2630661684486
291,-1110.2630661684486
292,-1110.2630661684486
293,-1110.2630661684486
294,-1110.2630661684486
295,-1110.2630661684486
296,-1110.2630661684486
297,-1110.2630661684486
298,-1110.2630661684486
299,-1110.2630661684486
300,-1110.2630661684486
301,-1110.2630661684486
302,-1110.2630661684486
303,-1110.2630661684486
304,-1110.2630661684486
305,-1110.2630661684486
306,-1110.2630661684486
307,-1110.2630661684486
308,-1110.2630661684486
309,-1110.2630661684486
310,-1110.2630661684486
311,-1110.2630661684486
312,-1110.2630661684486
313,-1110.2630661684486
314,-1110.2630661684486
315,-1110.2630661684486
316,-1110.2630661684486
317,-1110.2630661684486
318,-1110.2630661684486
319,-1110.2630661684486
320,-1110.2630661684486
321,-1110.2630661684486
322,-1110.2630661684486
323,-1110.2630661684486
324,-1110.2630661684486
325,-1110.2630661684486
326,-1110.2630661684486
327,-1110.2630661684486
328,-1110.2630661684486
329,-1110.2630661684486
330,-1110.2630661684486
331,-1110.2630661684486
332,-1110.2630661684486
333,-1110.2630661684486
334,-1110.2630661684486
335,-1110.2630661684486
336,-1110.2630661684486
337,-1110.2630661684486
338,-1110.2630661684486
339,-1110.2630661684486
340,-1110.2630661684486
341,-1110.2630661684486
342,-1110.2630661684486
343,-1110.2630661684486
344,-1110.2630661684486
345,-1110.2630661684486
346,-1110.2630661684486
347,-1110.2630661684486
348,-1110.2630661684486
349,-1110.2630661684486
350,-1110.2630661684486
351,-1110.2630661684486
352,-1110.2630661684486
353,-1110.2630661684486
354,-1110.2630661684486
355,-1110.2630661684486
356,-1110.2630661684486
357,-1110.2630661684486
358,-1110.2630661684486
359,-1110.2630661684486
