iteration,all_current_best_likelihoods
1,-558.1657618818375
2,-558.1657618818375
3,-558.1657618818375
4,-547.9813026775211
5,-547.9813026775211
6,-547.9813026775211
7,-547.9813026775211
8,-547.9813026775211
9,-547.9813026775211
10,-548.5444815287578
11,-547.9813026775211
12,-547.9813026775211
13,-547.9813026775211
14,-547.9813026775211
15,-547.9813026775211
16,-547.9813026775211
17,-547.9813026775211
18,-547.9813026775211
19,-547.9813026775211
20,-548.5444815287578
21,-548.5444815287578
22,-548.5444815287578
23,-548.5444815287578
24,-548.5444815287578
25,-548.5444815287578
26,-548.5444815287578
27,-548.5444815287578
28,-548.5444815287578
29,-547.9813026775211
30,-547.9813026775211
31,-547.9813026775211
32,-547.9813026775211
33,-547.9813026775211
34,-547.9813026775211
35,-547.9813026775211
36,-547.9813026775211
37,-547.9813026775211
38,-547.9813026775211
39,-547.9813026775211
40,-547.9813026775211
41,-547.9813026775211
42,-547.9813026775211
43,-547.9813026775211
44,-547.9813026775211
45,-547.9813026775211
46,-547.9813026775211
47,-547.9813026775211
48,-547.9813026775211
49,-547.9813026775211
50,-547.9813026775211
51,-547.9813026775211
52,-547.9813026775211
53,-548.5444815287578
54,-548.5444815287578
55,-548.5444815287578
56,-548.5444815287578
57,-548.5444815287578
58,-548.5444815287578
59,-548.5444815287578
60,-548.5444815287578
61,-548.5444815287578
62,-548.5444815287578
63,-548.5444815287578
64,-548.5444815287578
65,-548.5444815287578
66,-548.5444815287578
67,-548.5444815287578
68,-548.5444815287578
69,-548.5444815287578
70,-548.5444815287578
71,-548.5444815287578
72,-547.9813026775211
73,-547.9813026775211
74,-547.9813026775211
75,-547.9813026775211
76,-547.9813026775211
77,-547.9813026775211
78,-547.9813026775211
79,-547.9813026775211
80,-547.9813026775211
81,-547.9813026775211
82,-547.9813026775211
83,-547.9813026775211
84,-547.9813026775211
85,-547.9813026775211
86,-547.9813026775211
87,-547.9813026775211
88,-547.9813026775211
89,-547.9813026775211
90,-547.9813026775211
91,-547.9813026775211
92,-547.9813026775211
93,-547.9813026775211
94,-547.9813026775211
95,-547.9813026775211
96,-547.9813026775211
97,-547.9813026775211
98,-547.9813026775211
99,-547.9813026775211
100,-547.9813026775211
101,-547.9813026775211
102,-547.9813026775211
103,-547.9813026775211
104,-547.9813026775211
105,-547.9813026775211
106,-547.9813026775211
107,-547.9813026775211
108,-547.9813026775211
109,-547.9813026775211
110,-547.9813026775211
111,-547.9813026775211
112,-547.9813026775211
113,-547.9813026775211
114,-547.9813026775211
115,-547.9813026775211
116,-548.5444815287578
117,-547.9813026775211
118,-547.9813026775211
119,-547.9813026775211
120,-547.9813026775211
121,-548.5444815287578
122,-548.5444815287578
123,-548.5444815287578
124,-548.5444815287578
125,-548.5444815287578
126,-548.5444815287578
127,-548.5444815287578
128,-548.5444815287578
129,-547.9813026775211
130,-547.9813026775211
131,-547.9813026775211
132,-547.9813026775211
133,-547.9813026775211
134,-547.9813026775211
135,-547.9813026775211
136,-547.9813026775211
137,-547.9813026775211
138,-548.5444815287578
139,-548.5444815287578
140,-548.5444815287578
141,-548.5444815287578
142,-548.5444815287578
143,-548.5444815287578
144,-548.5444815287578
145,-548.5444815287578
146,-548.5444815287578
147,-548.5444815287578
148,-547.9813026775211
149,-547.9813026775211
150,-547.9813026775211
151,-547.9813026775211
152,-547.9813026775211
153,-548.5444815287578
154,-547.9813026775211
155,-547.9813026775211
156,-547.9813026775211
157,-547.9813026775211
158,-547.9813026775211
159,-547.9813026775211
160,-547.9813026775211
161,-547.9813026775211
162,-547.9813026775211
163,-547.9813026775211
164,-547.9813026775211
165,-547.9813026775211
166,-547.9813026775211
167,-547.9813026775211
168,-547.9813026775211
169,-547.9813026775211
170,-547.9813026775211
171,-547.9813026775211
172,-547.9813026775211
173,-547.9813026775211
174,-547.9813026775211
175,-547.9813026775211
176,-547.9813026775211
177,-547.9813026775211
178,-547.9813026775211
179,-547.9813026775211
180,-547.9813026775211
181,-547.9813026775211
182,-547.9813026775211
183,-547.9813026775211
184,-547.9813026775211
185,-547.9813026775211
186,-547.9813026775211
187,-547.9813026775211
188,-547.9813026775211
189,-547.9813026775211
190,-547.9813026775211
191,-547.9813026775211
192,-547.9813026775211
193,-547.9813026775211
194,-547.9813026775211
195,-547.9813026775211
196,-547.9813026775211
197,-547.9813026775211
198,-547.9813026775211
199,-547.9813026775211
200,-547.9813026775211
201,-547.9813026775211
202,-548.5444815287578
203,-548.5444815287578
204,-547.9813026775211
205,-547.9813026775211
206,-547.9813026775211
207,-547.9813026775211
208,-547.9813026775211
209,-547.9813026775211
210,-547.9813026775211
211,-547.9813026775211
212,-547.9813026775211
213,-547.9813026775211
214,-547.9813026775211
215,-547.9813026775211
216,-547.9813026775211
217,-547.9813026775211
218,-547.9813026775211
219,-547.9813026775211
220,-547.9813026775211
221,-547.9813026775211
222,-547.9813026775211
223,-547.9813026775211
224,-547.9813026775211
225,-547.9813026775211
226,-547.9813026775211
227,-547.9813026775211
228,-547.9813026775211
229,-547.9813026775211
230,-547.9813026775211
231,-547.9813026775211
232,-547.9813026775211
233,-547.9813026775211
234,-547.9813026775211
235,-547.9813026775211
236,-547.9813026775211
237,-547.9813026775211
238,-547.9813026775211
239,-547.9813026775211
240,-547.9813026775211
241,-547.9813026775211
242,-547.9813026775211
243,-547.9813026775211
244,-547.9813026775211
245,-547.9813026775211
246,-547.9813026775211
247,-547.9813026775211
248,-547.9813026775211
249,-547.9813026775211
250,-547.9813026775211
251,-547.9813026775211
252,-547.9813026775211
253,-547.9813026775211
254,-547.9813026775211
255,-547.9813026775211
256,-547.9813026775211
257,-547.9813026775211
258,-547.9813026775211
259,-547.9813026775211
260,-547.9813026775211
261,-547.9813026775211
262,-548.5444815287578
263,-548.5444815287578
264,-548.5444815287578
265,-548.5444815287578
266,-548.5444815287578
267,-547.9813026775211
268,-547.9813026775211
269,-547.9813026775211
270,-547.9813026775211
271,-547.9813026775211
272,-547.9813026775211
273,-547.9813026775211
274,-547.9813026775211
275,-547.9813026775211
276,-547.9813026775211
277,-547.9813026775211
278,-547.9813026775211
279,-547.9813026775211
280,-548.5444815287578
281,-548.5444815287578
282,-548.5444815287578
283,-548.5444815287578
284,-548.5444815287578
285,-548.5444815287578
286,-548.5444815287578
287,-548.5444815287578
288,-548.5444815287578
289,-548.5444815287578
290,-548.5444815287578
291,-548.5444815287578
292,-548.5444815287578
293,-548.5444815287578
294,-548.5444815287578
295,-548.5444815287578
296,-547.9813026775211
297,-547.9813026775211
298,-547.9813026775211
299,-547.9813026775211
300,-547.9813026775211
301,-547.9813026775211
302,-547.9813026775211
303,-547.9813026775211
304,-547.9813026775211
305,-547.9813026775211
306,-547.9813026775211
307,-547.9813026775211
308,-547.9813026775211
309,-547.9813026775211
310,-547.9813026775211
311,-547.9813026775211
312,-548.5444815287578
313,-548.5444815287578
314,-547.9813026775211
315,-547.9813026775211
316,-547.9813026775211
317,-547.9813026775211
318,-547.9813026775211
319,-547.9813026775211
320,-547.9813026775211
321,-548.5444815287578
322,-548.5444815287578
323,-548.5444815287578
324,-548.5444815287578
325,-548.5444815287578
326,-548.5444815287578
327,-548.5444815287578
328,-548.5444815287578
