iteration,FCI(HIP),GMI(HIP),FCI(Fusi),FCI(PCC),GMI(FUS)
1,4,1,3,5,2
2,4,5,3,1,2
3,4,1,2,5,3
4,4,2,3,5,1
5,4,2,3,1,5
6,5,2,3,4,1
7,2,4,3,5,1
8,5,2,3,4,1
9,4,2,3,1,5
10,3,2,4,5,1
11,4,2,3,5,1
12,4,1,3,5,2
13,4,2,3,1,5
14,2,4,3,5,1
15,2,4,3,5,1
16,4,1,3,5,2
17,4,1,3,5,2
18,4,2,1,5,3
19,4,2,5,3,1
20,3,2,4,5,1
21,5,2,4,3,1
22,3,4,2,5,1
23,3,5,4,2,1
24,3,5,4,2,1
25,1,2,4,5,3
26,3,5,4,2,1
27,3,4,2,5,1
28,3,1,4,5,2
29,4,2,3,5,1
30,2,4,3,5,1
31,5,2,3,4,1
32,4,5,3,2,1
33,5,2,3,4,1
34,4,2,3,1,5
35,4,5,3,2,1
36,2,4,3,5,1
37,4,2,3,1,5
38,4,2,3,1,5
39,1,2,3,5,4
40,2,4,3,5,1
41,1,2,3,5,4
42,2,4,3,5,1
43,4,2,1,5,3
44,4,5,3,2,1
45,2,4,3,5,1
46,4,5,3,2,1
47,4,2,5,3,1
48,4,5,3,2,1
49,2,4,3,5,1
50,2,4,3,5,1
51,4,3,2,5,1
52,1,2,3,5,4
53,3,2,4,5,1
54,3,2,5,4,1
55,3,2,5,4,1
56,3,2,1,5,4
57,5,2,4,3,1
58,3,2,5,4,1
59,2,3,4,5,1
60,2,3,4,5,1
61,3,1,4,5,2
62,3,1,4,5,2
63,3,1,4,5,2
64,1,2,4,5,3
65,3,4,2,5,1
66,3,2,4,1,5
67,5,2,4,3,1
68,1,2,4,5,3
69,3,2,4,1,5
70,3,1,4,5,2
71,3,2,4,1,5
72,4,2,3,5,1
73,4,2,3,1,5
74,4,3,2,5,1
75,4,3,2,5,1
76,4,1,3,5,2
77,4,5,3,2,1
78,4,2,1,5,3
79,4,5,3,2,1
80,4,2,5,3,1
81,4,2,1,5,3
82,5,2,3,4,1
83,3,2,4,5,1
84,4,3,2,5,1
85,4,5,3,2,1
86,4,2,1,5,3
87,1,2,3,5,4
88,4,3,2,5,1
89,2,4,3,5,1
90,4,1,3,5,2
91,4,2,5,3,1
92,2,4,3,5,1
93,4,1,3,5,2
94,2,4,3,5,1
95,4,3,2,5,1
96,4,2,5,3,1
97,4,1,3,5,2
98,4,5,3,2,1
99,4,2,5,3,1
100,4,5,3,2,1
101,4,2,5,3,1
102,5,2,3,4,1
103,4,3,2,5,1
104,4,2,3,1,5
105,2,4,3,5,1
106,4,1,3,5,2
107,4,3,2,5,1
108,2,4,3,5,1
109,4,2,3,1,5
110,4,2,1,5,3
111,4,3,2,5,1
112,4,1,3,5,2
113,2,4,3,5,1
114,4,5,3,2,1
115,4,2,1,5,3
116,3,2,4,5,1
117,4,2,3,5,1
118,2,4,3,5,1
119,4,3,2,5,1
120,4,2,1,5,3
121,3,2,4,5,1
122,3,2,5,4,1
123,3,1,4,5,2
124,3,4,2,5,1
125,3,2,5,4,1
126,3,2,1,5,4
127,3,1,4,5,2
128,3,1,4,5,2
129,4,2,3,5,1
130,1,2,3,5,4
131,4,2,5,3,1
132,4,2,3,1,5
133,4,2,5,3,1
134,4,2,5,3,1
135,4,3,2,5,1
136,4,2,1,5,3
137,4,2,3,1,5
138,3,2,4,5,1
139,3,4,2,5,1
140,3,2,5,4,1
141,3,5,4,2,1
142,3,5,4,2,1
143,1,2,4,5,3
144,3,1,4,5,2
145,3,5,4,2,1
146,3,2,4,1,5
147,3,2,4,1,5
148,4,2,3,5,1
149,4,3,2,5,1
150,4,2,3,1,5
151,4,2,3,1,5
152,4,2,5,3,1
153,3,2,4,5,1
154,4,2,3,5,1
155,4,2,5,3,1
156,5,2,3,4,1
157,1,2,3,5,4
158,4,1,3,5,2
159,4,2,1,5,3
160,4,5,3,2,1
161,4,1,3,5,2
162,1,2,3,5,4
163,5,2,3,4,1
164,4,2,1,5,3
165,2,4,3,5,1
166,1,2,3,5,4
167,4,2,1,5,3
168,4,5,3,2,1
169,4,1,3,5,2
170,2,4,3,5,1
171,4,2,3,1,5
172,4,5,3,2,1
173,4,2,3,1,5
174,4,5,3,2,1
175,3,2,4,5,1
176,4,2,5,3,1
177,4,5,3,2,1
178,1,2,3,5,4
179,4,1,3,5,2
180,3,2,4,5,1
181,4,1,3,5,2
182,4,5,3,2,1
183,4,2,1,5,3
184,4,2,1,5,3
185,3,2,4,5,1
186,4,5,3,2,1
187,4,2,5,3,1
188,4,2,5,3,1
189,4,2,1,5,3
190,4,5,3,2,1
191,4,5,3,2,1
192,4,2,1,5,3
193,1,2,3,5,4
194,4,2,5,3,1
195,4,1,3,5,2
196,2,4,3,5,1
197,4,2,3,1,5
198,4,2,5,3,1
199,4,3,2,5,1
200,4,2,1,5,3
201,4,5,3,2,1
202,3,2,4,5,1
203,1,2,4,5,3
204,4,2,3,5,1
205,4,2,5,3,1
206,5,2,3,4,1
207,3,2,4,5,1
208,2,4,3,5,1
209,4,2,5,3,1
210,4,3,2,5,1
211,4,2,1,5,3
212,4,5,3,2,1
213,1,2,3,5,4
214,4,2,5,3,1
215,4,2,3,1,5
216,2,4,3,5,1
217,4,3,2,5,1
218,1,2,3,5,4
219,4,3,2,5,1
220,5,2,3,4,1
221,4,2,1,5,3
222,5,2,3,4,1
223,4,2,3,1,5
224,4,2,5,3,1
225,4,2,3,1,5
226,3,2,4,5,1
227,4,2,5,3,1
228,4,3,2,5,1
229,1,2,3,5,4
230,4,3,2,5,1
231,2,4,3,5,1
232,5,2,3,4,1
233,5,2,3,4,1
234,4,2,5,3,1
235,4,2,3,1,5
236,4,1,3,5,2
237,4,2,1,5,3
238,3,2,4,5,1
239,4,3,2,5,1
240,4,2,5,3,1
241,1,2,3,5,4
242,2,4,3,5,1
243,4,2,3,1,5
244,2,4,3,5,1
245,5,2,3,4,1
246,4,2,5,3,1
247,4,2,3,1,5
248,4,3,2,5,1
249,4,1,3,5,2
250,4,5,3,2,1
251,4,2,5,3,1
252,4,2,3,1,5
253,4,1,3,5,2
254,4,2,3,1,5
255,2,4,3,5,1
256,2,4,3,5,1
257,5,2,3,4,1
258,2,4,3,5,1
259,1,2,3,5,4
260,4,5,3,2,1
261,5,2,3,4,1
262,3,2,4,5,1
263,3,2,5,4,1
264,2,3,4,5,1
265,5,2,4,3,1
266,3,4,2,5,1
267,4,2,3,5,1
268,4,5,3,2,1
269,4,2,1,5,3
270,3,2,4,5,1
271,1,2,3,5,4
272,4,2,5,3,1
273,4,1,3,5,2
274,4,2,1,5,3
275,1,2,3,5,4
276,4,1,3,5,2
277,4,2,3,1,5
278,4,2,5,3,1
279,1,2,3,5,4
280,3,2,4,5,1
281,3,5,4,2,1
282,3,2,1,5,4
283,1,2,4,5,3
284,3,1,4,5,2
285,1,2,4,5,3
286,5,2,4,3,1
287,3,1,4,5,2
288,3,1,4,5,2
289,3,2,1,5,4
290,3,4,2,5,1
291,3,2,5,4,1
292,1,2,4,5,3
293,1,2,4,5,3
294,3,5,4,2,1
295,1,2,4,5,3
296,4,2,3,5,1
297,4,2,3,1,5
298,4,1,3,5,2
299,2,4,3,5,1
300,4,2,1,5,3
301,4,2,5,3,1
302,1,2,3,5,4
303,4,3,2,5,1
304,3,2,4,5,1
305,5,2,3,4,1
306,4,1,3,5,2
307,4,1,3,5,2
308,4,2,5,3,1
309,4,2,5,3,1
310,4,3,2,5,1
311,4,1,3,5,2
312,3,2,4,5,1
313,3,2,1,5,4
314,4,2,3,5,1
315,4,2,3,1,5
316,4,5,3,2,1
317,4,1,3,5,2
318,4,2,1,5,3
319,4,1,3,5,2
320,2,4,3,5,1
321,3,2,4,5,1
322,3,4,2,5,1
323,1,2,4,5,3
324,3,2,5,4,1
325,3,2,4,1,5
326,5,2,4,3,1
327,3,4,2,5,1
328,5,2,4,3,1
329,3,1,4,5,2
330,3,2,1,5,4
331,3,2,5,4,1
332,2,3,4,5,1
333,5,2,4,3,1
334,2,3,4,5,1
335,3,5,4,2,1
336,3,4,2,5,1
337,3,2,4,1,5
338,3,2,1,5,4
339,3,2,4,1,5
340,4,2,3,5,1
341,3,2,4,5,1
342,1,2,4,5,3
343,3,2,1,5,4
344,1,2,4,5,3
345,2,3,4,5,1
346,1,2,4,5,3
347,3,2,5,4,1
348,3,4,2,5,1
349,3,2,5,4,1
350,5,2,4,3,1
351,3,2,4,1,5
352,4,2,3,5,1
353,4,5,3,2,1
354,4,2,1,5,3
355,4,2,1,5,3
356,4,5,3,2,1
357,5,2,3,4,1
358,3,2,4,5,1
359,4,3,2,5,1
360,4,1,3,5,2
361,4,2,1,5,3
362,4,5,3,2,1
363,4,1,3,5,2
364,4,5,3,2,1
365,4,3,2,5,1
366,4,2,5,3,1
367,4,2,3,1,5
368,4,3,2,5,1
369,4,1,3,5,2
370,4,2,1,5,3
371,1,2,3,5,4
372,2,4,3,5,1
373,3,2,4,5,1
374,4,2,1,5,3
375,4,2,3,1,5
376,4,1,3,5,2
377,4,2,3,1,5
378,4,5,3,2,1
379,4,2,5,3,1
380,4,5,3,2,1
381,4,5,3,2,1
382,3,2,4,5,1
383,4,2,3,1,5
384,1,2,3,5,4
385,1,2,3,5,4
386,4,2,5,3,1
387,4,2,5,3,1
388,2,4,3,5,1
389,3,2,4,5,1
390,2,3,4,5,1
391,2,3,4,5,1
392,2,3,4,5,1
393,3,5,4,2,1
394,3,5,4,2,1
395,3,2,1,5,4
396,3,2,4,1,5
397,3,2,4,1,5
398,3,2,5,4,1
399,3,2,5,4,1
400,2,3,4,5,1
401,3,2,4,1,5
402,2,3,4,5,1
403,3,2,4,1,5
404,1,2,4,5,3
405,3,2,4,1,5
406,3,2,1,5,4
407,1,2,4,5,3
408,3,2,5,4,1
409,3,4,2,5,1
410,1,2,4,5,3
411,4,2,3,5,1
412,1,2,3,5,4
413,4,2,3,1,5
414,4,2,1,5,3
415,5,2,3,4,1
416,4,2,3,1,5
417,2,4,3,5,1
418,4,2,5,3,1
