iteration,all_current_accepted_likelihoods
1,-1344.5516651043135
2,-877.7873430609527
3,-877.7873430609527
4,-877.7873430609527
5,-877.7873430609527
6,-877.7873430609527
7,-874.3952166324099
8,-874.13238815217
9,-874.13238815217
10,-874.13238815217
11,-874.13238815217
12,-874.13238815217
13,-874.13238815217
14,-874.13238815217
15,-873.76241328542
16,-873.76241328542
17,-873.76241328542
18,-871.0696156395367
19,-865.197623726329
20,-864.9382988534973
21,-865.145816398504
22,-865.389638021002
23,-865.389638021002
24,-865.389638021002
25,-865.389638021002
26,-865.389638021002
27,-865.389638021002
28,-865.389638021002
29,-861.802989798724
30,-861.802989798724
31,-861.802989798724
32,-861.802989798724
33,-857.6215547633717
34,-855.6108605786205
35,-855.6108605786205
36,-855.6108605786205
37,-855.6108605786205
38,-855.6108605786205
39,-850.818712163174
40,-849.9952186385758
41,-849.9952186385758
42,-849.9952186385758
43,-849.9952186385758
44,-849.9952186385758
45,-849.9952186385758
46,-849.9952186385758
47,-849.9952186385758
48,-849.9952186385758
49,-849.9952186385758
50,-849.9952186385758
51,-849.9952186385758
52,-849.9952186385758
53,-849.9952186385758
54,-850.4726238804897
55,-850.3862621504476
56,-850.3862621504476
57,-850.3862621504476
58,-850.3862621504476
59,-849.5803763682098
60,-849.5803763682098
61,-849.5803763682098
62,-849.5803763682098
63,-849.5803763682098
64,-849.5803763682098
65,-849.5803763682098
66,-849.5803763682098
67,-849.5803763682098
68,-849.5803763682098
69,-849.5803763682098
70,-849.5803763682098
71,-849.5803763682098
72,-850.5645012455302
73,-850.5645012455302
74,-850.5645012455302
75,-850.5645012455302
76,-850.5645012455302
77,-850.382472046415
78,-850.2375802456289
79,-850.2375802456289
80,-850.2375802456289
81,-850.2375802456289
82,-850.2375802456289
83,-850.2375802456289
84,-850.2375802456289
85,-850.2375802456289
86,-850.2375802456289
87,-850.2375802456289
88,-850.2375802456289
89,-850.2375802456289
90,-850.2375802456289
91,-850.2375802456289
92,-850.2375802456289
93,-850.2375802456289
94,-850.2375802456289
95,-850.2375802456289
96,-850.2375802456289
97,-850.2375802456289
98,-850.2375802456289
99,-850.2375802456289
100,-850.2375802456289
101,-850.2375802456289
102,-850.2375802456289
103,-850.2375802456289
104,-850.2375802456289
105,-850.2375802456289
106,-850.2375802456289
107,-850.2375802456289
108,-850.2375802456289
109,-850.7995533521863
110,-850.0188251790678
111,-850.0188251790678
112,-850.0188251790678
113,-849.8120593909616
114,-849.5057756696922
115,-849.52159603995
116,-849.5131356457908
117,-849.5131356457908
118,-849.5131356457908
119,-849.5131356457908
120,-849.5131356457908
121,-849.5131356457908
122,-849.5131356457908
123,-849.5131356457908
124,-849.5131356457908
125,-849.5131356457908
126,-849.5131356457908
127,-849.5131356457908
128,-849.5131356457908
129,-849.5131356457908
130,-849.5131356457908
131,-849.5131356457908
132,-849.5131356457908
133,-849.5131356457908
134,-849.5131356457908
135,-849.5131356457908
136,-849.5131356457908
137,-850.9676453563609
138,-850.9676453563609
139,-850.9676453563609
140,-850.9676453563609
141,-850.9676453563609
142,-850.9676453563609
143,-850.9676453563609
144,-850.9676453563609
145,-850.9676453563609
146,-850.9676453563609
147,-850.9676453563609
148,-850.9676453563609
149,-851.4150582210482
150,-850.3248084467562
151,-850.0886012969544
152,-850.0886012969544
153,-850.0886012969544
154,-849.9805456742904
155,-849.9805456742904
156,-849.9805456742904
157,-849.9805456742904
158,-849.9805456742904
159,-849.9805456742904
160,-849.9805456742904
161,-849.9805456742904
162,-849.9805456742904
163,-849.9805456742904
164,-850.1434916855259
165,-850.1434916855259
166,-850.1434916855259
167,-850.1434916855259
168,-850.1434916855259
169,-850.1434916855259
170,-850.1434916855259
171,-850.1434916855259
172,-850.1434916855259
173,-850.1434916855259
174,-850.1434916855259
175,-850.1434916855259
176,-850.1434916855259
177,-850.1434916855259
178,-850.1434916855259
179,-849.8239189030171
180,-849.5236331736552
181,-849.708602257493
182,-849.708602257493
183,-849.708602257493
184,-849.708602257493
185,-849.708602257493
186,-849.708602257493
187,-849.708602257493
188,-849.708602257493
189,-850.382472046415
190,-850.382472046415
191,-851.1914776737904
192,-851.1914776737904
193,-851.1914776737904
194,-851.1914776737904
195,-851.1914776737904
196,-851.1914776737904
197,-851.1914776737904
198,-850.9039562929428
199,-852.4621640280884
200,-852.4621640280884
201,-852.4621640280884
202,-852.4621640280884
203,-852.4621640280884
204,-852.4621640280884
205,-852.4621640280884
206,-852.4621640280884
207,-852.4621640280884
208,-852.4621640280884
209,-852.4621640280884
210,-850.1326353864935
211,-849.8311363926853
212,-849.8311363926853
213,-849.8311363926853
214,-849.8311363926853
215,-849.8311363926853
216,-849.8311363926853
217,-849.8311363926853
218,-849.8311363926853
219,-849.8311363926853
220,-849.8311363926853
221,-849.8311363926853
222,-849.8311363926853
223,-850.4991084883156
224,-850.4991084883156
225,-850.4991084883156
226,-850.4991084883156
227,-850.4991084883156
228,-851.6841446629556
229,-851.6841446629556
230,-851.6841446629556
231,-851.6841446629556
232,-851.6841446629556
233,-851.6841446629556
234,-851.6841446629556
235,-851.6841446629556
236,-851.6841446629556
237,-851.6841446629556
238,-851.6841446629556
239,-851.6841446629556
240,-851.6841446629556
241,-851.6841446629556
242,-851.4777210667334
243,-851.4777210667334
244,-851.4911434704069
245,-849.6095951380735
246,-849.4968447900319
247,-849.4856231183726
248,-849.4856231183726
249,-849.4856231183726
250,-849.4856231183726
251,-849.4856231183726
252,-849.4856231183726
253,-849.4856231183726
254,-849.4856231183726
255,-849.4856231183726
256,-849.4856231183726
257,-849.4856231183726
258,-849.4856231183726
259,-849.4856231183726
260,-849.4856231183726
261,-849.4856231183726
262,-849.4856231183726
263,-849.4856231183726
264,-849.4856231183726
265,-849.4856231183726
266,-849.4856231183726
267,-849.4856231183726
268,-849.4856231183726
269,-849.4856231183726
270,-849.4856231183726
271,-849.4856231183726
272,-849.4856231183726
273,-849.4856231183726
274,-849.4856231183726
275,-849.4856231183726
276,-849.4856231183726
277,-849.4856231183726
278,-849.4856231183726
279,-849.4856231183726
280,-849.4856231183726
281,-849.4856231183726
282,-849.4856231183726
283,-849.4856231183726
284,-849.4856231183726
285,-849.4856231183726
286,-849.4856231183726
287,-849.4856231183726
288,-849.4856231183726
289,-850.7546698086667
290,-849.7346330894655
