iteration,all_current_best_likelihoods
1,-1910.4097083037109
2,-1854.452262166661
3,-1854.452262166661
4,-1854.452262166661
5,-1854.452262166661
6,-1852.2234576977248
7,-1852.3157437041084
8,-1852.3157437041084
9,-1845.6061336821017
10,-1845.6061336821017
11,-1845.6061336821017
12,-1845.6061336821017
13,-1845.6061336821017
14,-1845.6061336821017
15,-1841.7766750392775
16,-1841.7766750392775
17,-1841.7766750392775
18,-1841.7766750392775
19,-1841.7766750392775
20,-1841.7766750392775
21,-1841.7766750392775
22,-1841.7766750392775
23,-1841.7766750392775
24,-1841.7766750392775
25,-1841.7766750392775
26,-1841.7766750392775
27,-1841.7766750392775
28,-1841.7766750392775
29,-1841.7766750392775
30,-1841.7766750392775
31,-1841.7766750392775
32,-1841.7766750392775
33,-1841.7766750392775
34,-1841.7766750392775
35,-1841.7766750392775
36,-1841.7766750392775
37,-1841.7766750392775
38,-1841.7766750392775
39,-1841.445704730199
40,-1841.445704730199
41,-1841.445704730199
42,-1841.445704730199
43,-1841.445704730199
44,-1841.445704730199
45,-1841.445704730199
46,-1841.445704730199
47,-1841.445704730199
48,-1841.445704730199
49,-1841.445704730199
50,-1841.445704730199
51,-1841.445704730199
52,-1841.445704730199
53,-1841.445704730199
54,-1841.445704730199
55,-1841.445704730199
56,-1838.468566704445
57,-1838.468566704445
58,-1838.468566704445
59,-1838.468566704445
60,-1838.468566704445
61,-1838.468566704445
62,-1838.468566704445
63,-1838.468566704445
64,-1838.468566704445
65,-1838.468566704445
66,-1838.468566704445
67,-1838.468566704445
68,-1838.468566704445
69,-1838.468566704445
70,-1838.468566704445
71,-1835.1136462269687
72,-1835.1136462269687
73,-1835.1136462269687
74,-1835.1136462269687
75,-1835.1136462269687
76,-1835.1136462269687
77,-1835.1136462269687
78,-1835.1136462269687
79,-1832.516624483656
80,-1832.516624483656
81,-1832.516624483656
82,-1832.516624483656
83,-1832.516624483656
84,-1832.516624483656
85,-1832.516624483656
86,-1832.516624483656
87,-1832.516624483656
88,-1832.516624483656
89,-1832.516624483656
90,-1832.516624483656
91,-1832.516624483656
92,-1832.516624483656
93,-1832.516624483656
94,-1832.516624483656
95,-1832.516624483656
96,-1832.516624483656
97,-1832.516624483656
98,-1832.516624483656
99,-1832.516624483656
100,-1832.516624483656
101,-1832.516624483656
102,-1832.516624483656
103,-1832.516624483656
104,-1832.516624483656
105,-1832.516624483656
