iteration 10 done, current best likelihood: -1845.6061336821017, current acceptance ratio is 50.00 %, current best order is {'MMSE': 2, 'ADAS': 5, 'AB': 3, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 20 done, current best likelihood: -1841.7766750392775, current acceptance ratio is 30.00 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 30 done, current best likelihood: -1841.7766750392775, current acceptance ratio is 20.00 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 40 done, current best likelihood: -1841.445704730199, current acceptance ratio is 17.50 %, current best order is {'MMSE': 5, 'ADAS': 3, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 50 done, current best likelihood: -1841.445704730199, current acceptance ratio is 14.00 %, current best order is {'MMSE': 5, 'ADAS': 3, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 60 done, current best likelihood: -1838.468566704445, current acceptance ratio is 13.33 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 70 done, current best likelihood: -1838.468566704445, current acceptance ratio is 11.43 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 80 done, current best likelihood: -1832.516624483656, current acceptance ratio is 12.50 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 90 done, current best likelihood: -1832.516624483656, current acceptance ratio is 11.11 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 100 done, current best likelihood: -1832.516624483656, current acceptance ratio is 10.00 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 110 done, current best likelihood: -1832.516624483656, current acceptance ratio is 9.09 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 120 done, current best likelihood: -1832.516624483656, current acceptance ratio is 8.33 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 130 done, current best likelihood: -1831.864377365461, current acceptance ratio is 8.46 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 140 done, current best likelihood: -1831.864377365461, current acceptance ratio is 7.86 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 150 done, current best likelihood: -1831.864377365461, current acceptance ratio is 7.33 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 160 done, current best likelihood: -1831.864377365461, current acceptance ratio is 6.88 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 170 done, current best likelihood: -1831.864377365461, current acceptance ratio is 6.47 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 180 done, current best likelihood: -1826.5586155266992, current acceptance ratio is 6.67 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 190 done, current best likelihood: -1826.5586155266992, current acceptance ratio is 6.32 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 200 done, current best likelihood: -1826.5586155266992, current acceptance ratio is 6.00 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 210 done, current best likelihood: -1826.5586155266992, current acceptance ratio is 5.71 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 220 done, current best likelihood: -1826.5586155266992, current acceptance ratio is 5.45 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 230 done, current best likelihood: -1826.5586155266992, current acceptance ratio is 5.22 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 240 done, current best likelihood: -1826.5586155266992, current acceptance ratio is 5.00 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 250 done, current best likelihood: -1828.8331745762823, current acceptance ratio is 5.20 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 260 done, current best likelihood: -1828.8331745762823, current acceptance ratio is 5.00 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 270 done, current best likelihood: -1828.8331745762823, current acceptance ratio is 4.81 %, current best order is {'MMSE': 3, 'ADAS': 4, 'AB': 2, 'P-Tau': 5, 'HIP-FCI': 1}
iteration 280 done, current best likelihood: -1822.3932421019822, current acceptance ratio is 5.00 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 290 done, current best likelihood: -1822.3932421019822, current acceptance ratio is 4.83 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 300 done, current best likelihood: -1822.3932421019822, current acceptance ratio is 4.67 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 310 done, current best likelihood: -1822.3932421019822, current acceptance ratio is 4.52 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 320 done, current best likelihood: -1822.3932421019822, current acceptance ratio is 4.38 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 330 done, current best likelihood: -1822.3932421019822, current acceptance ratio is 4.24 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
