iteration,all_current_best_likelihoods
1,-2230.504784445698
2,-2230.504784445698
3,-2103.343211234678
4,-2003.5193962654091
5,-2003.5193962654091
6,-2003.5193962654091
7,-1924.7607326278312
8,-1924.7607326278312
9,-1924.7607326278312
10,-1924.7607326278312
11,-1924.7607326278312
12,-1924.7607326278312
13,-1924.7607326278312
14,-1924.7607326278312
15,-1812.271065258668
16,-1812.271065258668
17,-1812.271065258668
18,-1812.271065258668
19,-1812.271065258668
20,-1812.271065258668
21,-1812.271065258668
22,-1812.271065258668
23,-1812.271065258668
24,-1812.271065258668
25,-1812.271065258668
26,-1812.271065258668
27,-1812.271065258668
28,-1812.271065258668
29,-1812.271065258668
30,-1812.271065258668
31,-1812.271065258668
32,-1812.271065258668
33,-1812.271065258668
34,-1812.271065258668
35,-1812.271065258668
36,-1812.271065258668
37,-1812.271065258668
38,-1812.271065258668
39,-1812.271065258668
40,-1812.271065258668
41,-1812.271065258668
42,-1812.271065258668
43,-1812.271065258668
44,-1812.271065258668
45,-1812.271065258668
46,-1812.271065258668
47,-1812.271065258668
48,-1812.271065258668
49,-1812.271065258668
50,-1812.271065258668
51,-1812.271065258668
52,-1812.271065258668
53,-1812.271065258668
54,-1812.271065258668
55,-1812.271065258668
56,-1812.271065258668
57,-1812.271065258668
58,-1812.271065258668
59,-1812.271065258668
60,-1812.271065258668
61,-1812.271065258668
62,-1812.271065258668
63,-1812.271065258668
64,-1812.271065258668
65,-1812.271065258668
66,-1812.271065258668
67,-1812.271065258668
68,-1812.271065258668
69,-1812.271065258668
70,-1812.271065258668
71,-1812.271065258668
72,-1812.271065258668
73,-1812.271065258668
74,-1812.271065258668
75,-1812.271065258668
76,-1812.271065258668
77,-1812.271065258668
78,-1812.271065258668
79,-1812.271065258668
80,-1812.271065258668
81,-1812.271065258668
82,-1812.271065258668
83,-1812.271065258668
84,-1812.271065258668
85,-1812.271065258668
86,-1812.271065258668
87,-1812.271065258668
88,-1812.271065258668
89,-1812.271065258668
90,-1812.271065258668
91,-1812.271065258668
92,-1812.271065258668
93,-1812.271065258668
94,-1812.271065258668
95,-1812.271065258668
96,-1812.271065258668
97,-1812.271065258668
98,-1812.271065258668
99,-1812.271065258668
100,-1812.271065258668
101,-1812.271065258668
102,-1812.271065258668
103,-1812.271065258668
104,-1812.271065258668
105,-1812.271065258668
106,-1812.271065258668
107,-1812.271065258668
108,-1812.271065258668
109,-1812.271065258668
110,-1812.271065258668
111,-1812.271065258668
112,-1812.271065258668
113,-1812.271065258668
114,-1812.271065258668
115,-1812.271065258668
116,-1812.271065258668
117,-1812.271065258668
118,-1812.271065258668
119,-1812.271065258668
