iteration,MMSE,ADAS,AB,P-Tau,HIP-FCI
1,2,3,4,5,1
2,3,2,1,4,5
3,5,3,1,4,2
4,3,4,1,5,2
5,2,1,3,4,5
6,1,5,4,3,2
7,5,4,3,2,1
8,2,1,3,4,5
9,1,3,2,4,5
10,5,2,3,4,1
11,2,4,3,5,1
12,3,4,1,5,2
13,1,2,3,5,4
14,3,1,5,2,4
15,4,5,2,3,1
16,2,3,4,1,5
17,3,2,1,4,5
18,1,4,2,3,5
19,1,3,2,5,4
20,1,3,5,2,4
21,4,2,3,5,1
22,2,3,5,1,4
23,1,2,5,4,3
24,5,2,3,4,1
25,3,2,1,5,4
26,3,5,2,4,1
27,1,2,4,5,3
28,5,1,3,2,4
29,3,4,2,1,5
30,2,3,1,4,5
31,4,5,3,1,2
32,4,3,5,1,2
33,1,3,4,2,5
34,5,2,3,1,4
35,2,5,4,3,1
36,3,4,2,1,5
37,4,1,2,3,5
38,1,5,3,2,4
39,5,1,3,2,4
40,1,4,5,3,2
41,3,2,1,4,5
42,5,1,2,3,4
43,4,1,3,2,5
44,4,3,5,1,2
45,4,2,1,3,5
46,5,1,3,4,2
47,4,1,3,5,2
48,1,3,4,2,5
49,5,3,4,1,2
50,1,3,4,5,2
51,5,2,3,4,1
52,1,3,2,4,5
53,4,2,5,3,1
54,1,3,5,2,4
55,3,2,4,5,1
56,3,5,2,1,4
57,3,2,1,5,4
58,3,2,4,1,5
59,4,5,3,1,2
60,3,1,4,5,2
61,2,1,4,3,5
62,4,2,5,3,1
63,4,2,3,5,1
64,2,4,3,1,5
65,5,3,2,4,1
66,2,3,4,1,5
67,5,4,1,3,2
68,5,3,2,4,1
69,4,3,5,1,2
70,1,2,4,5,3
71,4,5,3,1,2
72,4,2,3,1,5
73,1,3,2,4,5
74,1,4,5,3,2
75,4,3,5,2,1
76,5,2,4,3,1
77,4,5,1,3,2
78,3,5,2,4,1
79,2,1,5,3,4
80,3,2,1,4,5
81,3,1,5,2,4
82,2,1,5,3,4
83,5,1,2,3,4
84,4,1,5,2,3
85,3,2,1,5,4
86,2,5,4,3,1
87,2,4,3,5,1
88,4,3,2,1,5
89,4,3,2,1,5
90,5,4,3,2,1
91,2,1,5,4,3
92,2,1,4,5,3
93,5,1,2,4,3
94,2,1,4,5,3
95,1,2,4,3,5
96,3,5,4,1,2
97,5,2,1,3,4
98,5,2,1,4,3
99,5,2,1,4,3
100,3,2,1,5,4
101,5,2,1,4,3
102,1,3,2,5,4
103,2,4,5,1,3
104,3,2,4,1,5
105,4,1,2,3,5
106,3,5,4,1,2
107,3,5,2,1,4
108,4,1,2,5,3
109,1,3,5,2,4
110,4,2,1,3,5
111,5,2,4,3,1
112,4,5,2,1,3
113,3,1,5,4,2
114,5,3,1,4,2
115,4,3,2,5,1
116,4,3,5,2,1
117,5,4,3,1,2
118,5,1,3,4,2
119,4,1,3,5,2
120,1,5,3,2,4
121,5,1,3,2,4
122,4,2,3,1,5
123,1,5,2,4,3
124,5,2,3,4,1
125,3,1,2,4,5
126,3,1,4,5,2
127,2,3,1,5,4
128,1,3,2,4,5
129,5,3,2,1,4
130,4,5,3,2,1
131,3,1,2,4,5
132,5,4,2,1,3
133,5,1,4,2,3
134,1,5,4,2,3
135,5,2,1,4,3
136,5,4,2,1,3
137,2,4,5,3,1
138,4,1,5,3,2
139,4,2,1,3,5
140,2,1,3,4,5
141,4,1,5,2,3
142,2,3,5,4,1
143,3,1,2,4,5
144,1,2,4,5,3
145,4,1,3,2,5
146,4,1,3,2,5
147,1,3,4,2,5
148,1,3,5,2,4
149,4,5,3,1,2
150,3,2,1,4,5
151,2,3,5,4,1
152,1,2,3,5,4
153,2,1,4,3,5
154,5,1,3,4,2
155,4,3,2,1,5
156,5,2,1,3,4
157,5,4,2,3,1
158,1,3,4,5,2
159,3,4,1,2,5
160,3,1,5,4,2
161,5,4,1,2,3
162,3,4,1,2,5
163,4,1,3,5,2
164,3,5,1,2,4
165,2,4,5,3,1
166,4,2,1,3,5
167,1,4,5,3,2
168,1,4,5,3,2
169,5,2,4,3,1
170,4,5,3,2,1
171,5,2,3,1,4
172,5,4,3,1,2
173,4,1,5,2,3
174,3,2,1,4,5
175,2,1,3,5,4
176,3,2,1,5,4
177,5,2,3,1,4
178,5,3,2,1,4
179,3,5,1,2,4
180,5,3,4,1,2
181,2,3,4,5,1
182,3,2,5,1,4
183,3,4,2,5,1
184,1,4,3,5,2
185,2,3,1,5,4
186,4,3,5,2,1
187,5,4,2,1,3
188,4,3,5,1,2
189,1,4,3,5,2
190,2,5,4,3,1
191,2,5,3,4,1
192,3,5,4,2,1
193,2,3,5,4,1
194,3,4,1,2,5
195,1,2,5,4,3
196,2,4,1,3,5
197,1,2,3,5,4
198,5,2,4,3,1
199,4,5,1,2,3
200,5,3,2,4,1
201,3,5,2,4,1
202,2,3,1,4,5
203,4,1,3,2,5
204,4,1,3,2,5
205,2,5,3,1,4
206,1,3,5,2,4
207,5,1,4,3,2
208,2,1,3,5,4
209,4,3,2,5,1
210,4,5,2,1,3
211,1,3,4,5,2
212,2,1,4,3,5
213,2,1,3,5,4
214,2,5,4,1,3
215,4,3,1,2,5
216,1,4,2,5,3
217,3,2,1,4,5
218,4,1,3,2,5
219,1,2,5,4,3
220,5,3,2,4,1
221,4,5,2,1,3
222,2,3,5,4,1
223,1,3,2,4,5
224,2,5,3,1,4
225,2,3,1,4,5
226,5,1,3,2,4
227,2,1,3,4,5
228,3,1,4,2,5
229,4,1,5,2,3
230,5,2,1,3,4
231,5,2,3,1,4
232,3,2,4,1,5
233,5,2,1,3,4
234,5,4,2,1,3
235,1,2,5,3,4
236,4,5,1,2,3
237,1,5,3,2,4
238,3,4,2,1,5
239,1,3,4,5,2
240,2,5,1,3,4
241,5,2,3,1,4
242,5,4,1,2,3
243,2,1,3,4,5
244,5,3,2,4,1
245,2,5,1,4,3
246,2,4,3,1,5
247,2,4,5,3,1
248,5,4,2,3,1
249,4,3,5,1,2
250,1,5,4,3,2
251,4,1,5,2,3
252,2,5,3,4,1
253,3,5,2,1,4
254,2,4,5,1,3
255,5,4,3,1,2
256,4,2,1,3,5
257,3,4,1,2,5
258,2,4,3,1,5
259,1,4,3,2,5
260,1,3,2,4,5
261,3,5,2,1,4
262,1,2,3,4,5
263,1,5,3,4,2
264,1,5,3,4,2
265,2,3,4,1,5
266,3,5,1,2,4
267,2,4,5,3,1
268,2,4,1,5,3
269,4,3,5,2,1
270,1,3,2,4,5
271,3,4,5,1,2
272,3,4,1,2,5
273,1,2,3,4,5
274,2,1,3,5,4
275,1,5,3,4,2
276,3,1,2,4,5
277,3,5,2,1,4
278,4,2,3,1,5
279,2,3,1,5,4
280,3,5,4,1,2
281,2,4,5,1,3
282,1,5,2,3,4
283,5,4,2,3,1
284,4,5,3,1,2
285,5,4,3,1,2
286,5,3,4,2,1
287,5,2,4,3,1
288,2,5,3,4,1
289,3,2,5,4,1
290,3,5,4,1,2
291,3,4,2,5,1
292,4,5,3,2,1
293,2,4,1,3,5
294,5,4,2,3,1
295,3,1,2,4,5
296,1,4,2,3,5
297,3,2,1,4,5
298,2,3,1,4,5
299,1,2,4,3,5
300,3,5,2,4,1
301,4,2,5,3,1
302,3,4,1,2,5
303,3,1,2,5,4
304,4,3,1,2,5
305,3,5,2,4,1
306,3,4,1,5,2
307,1,4,2,3,5
308,2,1,3,4,5
309,5,1,3,2,4
310,4,5,2,3,1
311,4,3,1,2,5
312,1,4,3,2,5
313,3,5,2,4,1
314,1,3,5,4,2
315,5,2,1,3,4
316,3,2,5,1,4
317,2,1,4,3,5
318,5,2,4,3,1
319,2,3,1,5,4
320,5,2,4,3,1
321,3,5,2,4,1
322,5,4,1,3,2
323,4,2,5,3,1
324,4,1,3,2,5
325,2,4,3,1,5
326,1,4,3,5,2
327,2,1,4,5,3
328,1,2,5,3,4
329,1,5,2,3,4
330,3,4,5,2,1
331,2,4,5,3,1
332,1,5,4,2,3
333,5,1,4,3,2
334,2,5,4,1,3
335,1,2,3,4,5
