iteration,all_current_best_likelihoods
1,-1932.197648425109
2,-1929.5165969807658
3,-1904.3121117499059
4,-1904.3121117499059
5,-1904.3121117499059
6,-1886.338976147724
7,-1873.0998091926806
8,-1873.0998091926806
9,-1873.0998091926806
10,-1873.0998091926806
11,-1857.5338490829433
12,-1857.5338490829433
13,-1811.5417313978935
14,-1811.5417313978935
15,-1811.5417313978935
16,-1811.5417313978935
17,-1811.5417313978935
18,-1811.5417313978935
19,-1811.5417313978935
20,-1811.5417313978935
21,-1801.1921606395194
22,-1801.1921606395194
23,-1801.1921606395194
24,-1801.1921606395194
25,-1801.1921606395194
26,-1801.1921606395194
27,-1801.1921606395194
28,-1801.1921606395194
29,-1801.1921606395194
30,-1801.1921606395194
31,-1801.1921606395194
32,-1801.1921606395194
33,-1801.1921606395194
34,-1801.1921606395194
35,-1801.1921606395194
36,-1801.1921606395194
37,-1801.1921606395194
38,-1801.1921606395194
39,-1801.1921606395194
40,-1801.1921606395194
41,-1801.1921606395194
42,-1801.1921606395194
43,-1801.1921606395194
44,-1801.1921606395194
45,-1801.1921606395194
46,-1801.1921606395194
47,-1801.1921606395194
48,-1801.1921606395194
49,-1801.1921606395194
50,-1801.1921606395194
51,-1801.1921606395194
52,-1801.1921606395194
53,-1801.1921606395194
54,-1801.1921606395194
55,-1801.1921606395194
56,-1801.1921606395194
57,-1801.1921606395194
58,-1801.1921606395194
59,-1801.1921606395194
60,-1801.1921606395194
61,-1801.1921606395194
62,-1801.1921606395194
63,-1801.1921606395194
64,-1801.1921606395194
65,-1801.1921606395194
66,-1801.1921606395194
67,-1801.1921606395194
68,-1801.1921606395194
69,-1801.1921606395194
70,-1801.1921606395194
71,-1801.1921606395194
72,-1801.1921606395194
73,-1801.1921606395194
74,-1801.1921606395194
75,-1801.1921606395194
76,-1801.1921606395194
77,-1801.1921606395194
78,-1801.1921606395194
79,-1801.1921606395194
80,-1801.1921606395194
81,-1801.1921606395194
82,-1801.1921606395194
83,-1801.1921606395194
84,-1801.1921606395194
85,-1801.1921606395194
86,-1801.1921606395194
87,-1801.1921606395194
88,-1801.1921606395194
89,-1801.1921606395194
90,-1801.1921606395194
91,-1801.1921606395194
92,-1801.1921606395194
93,-1801.1921606395194
94,-1801.1921606395194
95,-1801.1921606395194
96,-1801.1921606395194
97,-1801.1921606395194
98,-1801.1921606395194
99,-1801.1921606395194
100,-1801.1921606395194
101,-1801.1921606395194
102,-1801.1921606395194
103,-1801.1921606395194
104,-1801.1921606395194
105,-1801.1921606395194
106,-1801.1921606395194
107,-1801.1921606395194
108,-1801.1921606395194
109,-1801.1921606395194
110,-1801.1921606395194
111,-1801.1921606395194
112,-1801.1921606395194
113,-1801.1921606395194
114,-1801.1921606395194
115,-1801.1921606395194
116,-1801.1921606395194
117,-1801.1921606395194
118,-1801.1921606395194
119,-1801.1921606395194
120,-1801.1921606395194
121,-1801.1921606395194
122,-1801.1921606395194
123,-1801.1921606395194
124,-1801.1921606395194
125,-1801.1921606395194
126,-1801.1921606395194
