iteration,all_current_likelihoods
1,-1920.0433111042657
2,-1887.1649960503464
3,-1839.2207307305478
4,-1819.1791294888642
5,-1819.1791294888642
6,-1803.2375381983547
7,-1803.2375381983547
8,-1803.2375381983547
9,-1803.2375381983547
10,-1796.6356449090988
11,-1793.868422935786
12,-1793.868422935786
13,-1793.868422935786
14,-1793.868422935786
15,-1793.868422935786
16,-1779.1538632546478
17,-1779.1538632546478
18,-1758.184746223209
19,-1746.9368646511978
20,-1746.9368646511978
21,-1746.9368646511978
22,-1746.9368646511978
23,-1746.9368646511978
24,-1746.9368646511978
25,-1746.9368646511978
26,-1746.9368646511978
27,-1746.9368646511978
28,-1746.9368646511978
29,-1746.9368646511978
30,-1746.9368646511978
31,-1746.9368646511978
32,-1746.9368646511978
33,-1746.9368646511978
34,-1746.9368646511978
35,-1746.9368646511978
36,-1746.9368646511978
37,-1746.9368646511978
38,-1746.9368646511978
39,-1746.9368646511978
40,-1746.9368646511978
41,-1746.9368646511978
42,-1746.9368646511978
43,-1746.9368646511978
44,-1746.9368646511978
45,-1746.9368646511978
46,-1746.9368646511978
47,-1746.9368646511978
48,-1746.9368646511978
49,-1746.9368646511978
50,-1746.9368646511978
51,-1734.7779115396422
52,-1734.7779115396422
53,-1734.7779115396422
54,-1734.7779115396422
55,-1734.7779115396422
56,-1734.7779115396422
57,-1734.7779115396422
58,-1734.7779115396422
59,-1734.7779115396422
60,-1734.7779115396422
61,-1721.426430051692
62,-1714.1569325191467
63,-1714.1569325191467
64,-1714.1569325191467
65,-1714.1569325191467
66,-1714.1569325191467
67,-1714.1569325191467
68,-1714.1569325191467
69,-1714.1569325191467
70,-1714.1569325191467
71,-1714.1569325191467
72,-1714.1569325191467
73,-1714.1569325191467
74,-1714.1569325191467
75,-1714.1569325191467
76,-1714.1569325191467
77,-1714.1569325191467
78,-1714.1569325191467
79,-1714.1569325191467
80,-1714.1569325191467
81,-1714.1569325191467
82,-1714.1569325191467
83,-1714.1569325191467
84,-1714.1569325191467
85,-1714.1569325191467
86,-1714.1569325191467
87,-1714.1569325191467
88,-1714.1569325191467
89,-1714.1569325191467
90,-1714.1569325191467
91,-1714.1569325191467
92,-1714.1569325191467
93,-1714.1569325191467
94,-1714.1569325191467
95,-1714.1569325191467
96,-1714.1569325191467
97,-1714.1569325191467
98,-1714.1569325191467
99,-1714.1569325191467
100,-1714.1569325191467
101,-1714.1569325191467
102,-1714.1569325191467
103,-1714.1569325191467
104,-1714.1569325191467
105,-1714.1569325191467
