iteration,HIP-FCI,HIP-GMI,FUS-FCI,PCC-FCI,FUS-GMI
1,3,2,1,4,5
2,3,2,1,5,4
3,3,4,1,5,2
4,3,2,5,4,1
5,3,2,1,5,4
6,4,2,1,5,3
7,4,2,1,5,3
8,4,3,1,5,2
9,4,2,1,5,3
10,4,5,2,1,3
11,4,2,1,5,3
12,4,2,1,5,3
13,4,2,1,5,3
14,5,2,1,4,3
15,2,5,1,4,3
16,5,2,1,4,3
17,1,2,5,4,3
18,4,2,5,1,3
19,1,2,5,4,3
20,1,2,4,5,3
21,1,3,5,2,4
22,3,2,5,4,1
23,2,1,5,4,3
24,1,2,5,4,3
25,3,2,5,4,1
26,1,2,5,3,4
27,1,5,4,2,3
28,1,2,5,4,3
29,1,3,5,4,2
30,1,4,2,5,3
31,1,5,4,2,3
32,3,2,5,4,1
33,1,5,4,2,3
34,3,2,5,4,1
35,1,2,5,4,3
36,1,2,3,4,5
37,5,1,2,4,3
38,1,2,3,5,4
39,1,2,5,4,3
40,1,4,5,2,3
41,1,2,4,5,3
42,4,2,5,1,3
43,2,1,5,4,3
44,3,1,5,4,2
45,4,2,5,3,1
46,2,3,5,4,1
47,2,3,5,4,1
48,4,2,1,5,3
49,4,1,5,2,3
50,4,2,1,5,3
51,5,2,1,4,3
52,1,2,5,3,4
53,3,1,5,4,2
54,1,5,2,4,3
55,1,2,4,5,3
56,1,2,5,4,3
57,2,1,5,4,3
58,1,2,5,4,3
59,1,2,5,4,3
60,3,2,5,1,4
61,1,2,5,4,3
62,1,2,3,4,5
63,3,2,5,4,1
64,1,4,2,5,3
65,2,4,5,1,3
66,1,2,5,4,3
67,3,2,5,4,1
68,1,4,5,2,3
69,5,2,3,4,1
70,4,2,5,3,1
71,3,1,5,4,2
72,1,2,5,4,3
73,1,4,5,2,3
74,1,4,5,2,3
75,1,2,5,3,4
76,3,2,5,4,1
77,5,2,3,4,1
78,5,2,3,4,1
79,2,4,5,1,3
80,1,2,3,4,5
81,2,1,5,4,3
82,1,2,5,3,4
83,1,2,5,3,4
84,3,1,5,4,2
85,4,2,5,1,3
86,4,1,5,2,3
87,3,2,1,4,5
88,3,2,5,4,1
89,1,3,2,4,5
90,1,2,4,5,3
91,4,1,5,2,3
92,1,2,5,4,3
93,1,2,5,4,3
94,3,2,5,4,1
95,1,3,5,2,4
96,1,2,3,4,5
97,1,5,2,4,3
98,1,4,5,2,3
99,1,4,5,2,3
100,1,3,5,4,2
101,3,2,5,4,1
102,1,2,4,5,3
103,1,3,2,4,5
104,1,3,5,4,2
105,1,2,5,4,3
106,1,2,4,5,3
107,2,4,1,5,3
108,4,1,2,5,3
109,2,3,4,5,1
110,5,2,1,4,3
111,4,2,1,5,3
112,5,2,4,1,3
113,1,2,3,4,5
114,1,2,4,5,3
115,1,2,4,5,3
116,1,2,5,4,3
117,5,2,4,1,3
118,1,5,4,3,2
119,4,2,1,5,3
120,3,2,4,5,1
121,1,4,2,5,3
122,1,2,4,5,3
123,1,2,4,5,3
124,4,2,1,5,3
125,3,2,4,5,1
126,5,2,4,3,1
127,5,2,4,3,1
128,5,1,4,2,3
129,1,2,3,5,4
130,2,1,4,5,3
131,1,3,4,5,2
132,1,5,2,4,3
133,1,2,5,3,4
134,1,2,4,5,3
135,4,2,3,5,1
136,1,4,2,5,3
137,1,2,4,5,3
138,1,2,4,5,3
139,1,4,5,2,3
140,1,3,4,5,2
141,3,2,4,5,1
142,1,4,2,5,3
143,2,5,4,1,3
144,1,4,2,5,3
145,3,2,4,5,1
146,3,2,4,5,1
147,1,4,2,5,3
148,5,2,4,3,1
149,2,1,4,5,3
150,3,2,4,5,1
151,2,1,4,5,3
152,1,3,4,5,2
153,1,5,4,2,3
154,1,2,4,5,3
155,2,3,4,5,1
156,1,4,5,2,3
157,1,5,2,4,3
158,5,1,4,2,3
159,2,3,4,5,1
160,4,2,1,5,3
161,1,3,4,5,2
162,1,2,4,5,3
163,2,1,4,5,3
164,4,2,1,5,3
165,1,2,3,5,4
166,4,2,5,1,3
167,1,3,4,5,2
168,1,2,4,5,3
169,1,4,2,5,3
170,5,1,4,2,3
171,1,4,3,5,2
172,1,2,4,5,3
173,5,2,4,1,3
174,2,3,4,5,1
175,1,3,4,5,2
176,1,5,4,2,3
177,1,2,4,3,5
178,5,2,4,3,1
179,1,2,3,5,4
180,1,2,4,5,3
181,5,1,4,2,3
182,1,3,4,5,2
183,1,4,5,2,3
184,1,2,3,5,4
185,1,5,4,3,2
186,1,5,4,2,3
187,2,1,4,5,3
188,1,5,4,3,2
189,3,2,4,1,5
190,3,2,4,5,1
191,4,2,3,5,1
192,5,2,4,1,3
193,1,2,5,4,3
194,1,2,4,3,5
195,1,2,4,5,3
196,1,3,4,5,2
197,1,2,4,3,5
198,1,2,4,5,3
199,1,5,4,2,3
200,1,5,2,4,3
201,1,2,5,4,3
202,5,2,4,1,3
203,1,2,4,5,3
204,5,2,4,1,3
205,1,2,4,5,3
206,1,2,5,4,3
207,4,1,2,5,3
