iteration,participant_stages_at_the_start_of_this_round,should_revert_to_max_likelihood_order,new_order_to_test,new_order_likelihood,max_likelihood_up_until_now,all_participant_ln_likelihood_is_larger,accepted_order,accepted_likelihood,participant_stages_at_the_end_of_iteration,acceptance_ratio,actualy_reverted
1,"[1. 0. 4. 1. 5. 5. 0. 1. 2. 5. 2. 0. 3. 1. 4. 0. 3. 0. 0. 3. 3. 0. 4. 3.
 4. 2. 3. 3. 5. 4. 3. 3. 3. 3. 3. 5. 2. 0. 1. 4. 1. 3. 0. 2. 4. 0. 2. 5.
 5. 0. 4. 2. 1. 1. 5. 3. 2. 0. 5. 4. 2. 2. 0. 5. 5. 5. 0. 1. 5. 0. 3. 3.
 3. 2. 3. 3. 1. 1. 3. 3. 4. 5. 3. 5. 4. 4. 4. 0. 3. 2. 0. 3. 1. 0. 4. 1.
 3. 4. 0. 0.]",False,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 4, 'FUS-GMI': 5}",-1891.593992863545,-1891.593992863545,True,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 4, 'FUS-GMI': 5}",-1891.593992863545,"[1. 0. 1. 4. 3. 4. 0. 1. 5. 5. 4. 0. 5. 4. 3. 0. 2. 0. 0. 5. 4. 0. 3. 4.
 4. 5. 4. 5. 1. 5. 5. 3. 5. 5. 1. 4. 5. 0. 5. 1. 2. 4. 0. 3. 2. 0. 5. 4.
 5. 0. 5. 2. 4. 1. 5. 3. 2. 0. 2. 1. 3. 3. 0. 3. 4. 3. 0. 3. 3. 0. 5. 5.
 5. 5. 4. 4. 3. 3. 2. 4. 3. 1. 4. 3. 1. 4. 1. 0. 3. 2. 0. 4. 2. 0. 5. 4.
 5. 3. 0. 0.]",100.0,
2,"[1. 0. 1. 4. 3. 4. 0. 1. 5. 5. 4. 0. 5. 4. 3. 0. 2. 0. 0. 5. 4. 0. 3. 4.
 4. 5. 4. 5. 1. 5. 5. 3. 5. 5. 1. 4. 5. 0. 5. 1. 2. 4. 0. 3. 2. 0. 5. 4.
 5. 0. 5. 2. 4. 1. 5. 3. 2. 0. 2. 1. 3. 3. 0. 3. 4. 3. 0. 3. 3. 0. 5. 5.
 5. 5. 4. 4. 3. 3. 2. 4. 3. 1. 4. 3. 1. 4. 1. 0. 3. 2. 0. 4. 2. 0. 5. 4.
 5. 3. 0. 0.]",False,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1861.5393235382764,-1861.5393235382764,True,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1861.5393235382764,"[3. 0. 1. 3. 5. 3. 0. 1. 2. 2. 4. 0. 4. 4. 2. 0. 3. 0. 0. 4. 5. 0. 4. 3.
 3. 4. 1. 1. 1. 4. 5. 2. 4. 5. 5. 5. 4. 0. 3. 5. 1. 1. 0. 2. 5. 0. 4. 3.
 1. 0. 5. 5. 2. 4. 5. 4. 4. 0. 2. 4. 5. 4. 0. 4. 4. 5. 0. 2. 5. 0. 2. 3.
 5. 3. 4. 3. 1. 3. 4. 1. 4. 4. 4. 2. 1. 2. 1. 0. 5. 3. 0. 2. 4. 0. 3. 4.
 3. 5. 0. 0.]",100.0,
3,"[3. 0. 1. 3. 5. 3. 0. 1. 2. 2. 4. 0. 4. 4. 2. 0. 3. 0. 0. 4. 5. 0. 4. 3.
 3. 4. 1. 1. 1. 4. 5. 2. 4. 5. 5. 5. 4. 0. 3. 5. 1. 1. 0. 2. 5. 0. 4. 3.
 1. 0. 5. 5. 2. 4. 5. 4. 4. 0. 2. 4. 5. 4. 0. 4. 4. 5. 0. 2. 5. 0. 2. 3.
 5. 3. 4. 3. 1. 3. 4. 1. 4. 4. 4. 2. 1. 2. 1. 0. 5. 3. 0. 2. 4. 0. 3. 4.
 3. 5. 0. 0.]",False,"{'HIP-FCI': 3, 'HIP-GMI': 4, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 2}",-1867.194349836091,-1861.5393235382764,False,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1861.5393235382764,"[4. 0. 5. 3. 4. 5. 0. 1. 5. 3. 5. 0. 1. 4. 1. 0. 2. 0. 0. 1. 5. 0. 5. 5.
 5. 4. 1. 3. 1. 3. 5. 5. 3. 1. 5. 1. 3. 0. 1. 2. 4. 5. 0. 1. 4. 0. 5. 5.
 1. 0. 2. 5. 1. 1. 4. 2. 1. 0. 1. 3. 3. 4. 0. 3. 5. 2. 0. 4. 5. 0. 5. 1.
 5. 4. 2. 4. 4. 2. 1. 1. 3. 1. 4. 4. 1. 3. 2. 0. 5. 1. 0. 5. 1. 0. 1. 4.
 4. 3. 0. 0.]",66.66666666666667,
4,"[4. 0. 5. 3. 4. 5. 0. 1. 5. 3. 5. 0. 1. 4. 1. 0. 2. 0. 0. 1. 5. 0. 5. 5.
 5. 4. 1. 3. 1. 3. 5. 5. 3. 1. 5. 1. 3. 0. 1. 2. 4. 5. 0. 1. 4. 0. 5. 5.
 1. 0. 2. 5. 1. 1. 4. 2. 1. 0. 1. 3. 3. 4. 0. 3. 5. 2. 0. 4. 5. 0. 5. 1.
 5. 4. 2. 4. 4. 2. 1. 1. 3. 1. 4. 4. 1. 3. 2. 0. 5. 1. 0. 5. 1. 0. 1. 4.
 4. 3. 0. 0.]",False,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 5, 'PCC-FCI': 4, 'FUS-GMI': 1}",-1863.969190609718,-1861.5393235382764,False,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1861.5393235382764,"[4. 0. 2. 4. 3. 4. 0. 1. 3. 3. 3. 0. 3. 4. 2. 0. 2. 0. 0. 4. 4. 0. 3. 5.
 4. 5. 3. 5. 1. 3. 4. 3. 5. 1. 4. 2. 4. 0. 2. 2. 5. 2. 0. 2. 5. 0. 4. 3.
 3. 0. 3. 4. 2. 3. 5. 3. 1. 0. 2. 2. 2. 3. 0. 3. 5. 5. 0. 1. 4. 0. 1. 2.
 3. 5. 3. 4. 3. 3. 1. 1. 4. 5. 4. 1. 2. 2. 3. 0. 2. 3. 0. 5. 1. 0. 3. 3.
 4. 4. 0. 0.]",50.0,
5,"[4. 0. 2. 4. 3. 4. 0. 1. 3. 3. 3. 0. 3. 4. 2. 0. 2. 0. 0. 4. 4. 0. 3. 5.
 4. 5. 3. 5. 1. 3. 4. 3. 5. 1. 4. 2. 4. 0. 2. 2. 5. 2. 0. 2. 5. 0. 4. 3.
 3. 0. 3. 4. 2. 3. 5. 3. 1. 0. 2. 2. 2. 3. 0. 3. 5. 5. 0. 1. 4. 0. 1. 2.
 3. 5. 3. 4. 3. 3. 1. 1. 4. 5. 4. 1. 2. 2. 3. 0. 2. 3. 0. 5. 1. 0. 3. 3.
 4. 4. 0. 0.]",False,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1853.9542960521774,-1853.9542960521774,True,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1853.9542960521774,"[2. 0. 3. 3. 1. 4. 0. 1. 2. 4. 5. 0. 3. 5. 2. 0. 3. 0. 0. 4. 5. 0. 1. 3.
 5. 1. 1. 3. 2. 5. 3. 3. 3. 1. 3. 1. 1. 0. 1. 2. 5. 5. 0. 2. 5. 0. 3. 3.
 1. 0. 5. 5. 2. 3. 4. 4. 2. 0. 2. 3. 5. 4. 0. 4. 4. 2. 0. 3. 4. 0. 2. 2.
 3. 3. 4. 4. 5. 3. 2. 3. 5. 5. 5. 4. 1. 4. 4. 0. 4. 2. 0. 4. 1. 0. 5. 4.
 5. 3. 0. 0.]",60.0,
6,"[2. 0. 3. 3. 1. 4. 0. 1. 2. 4. 5. 0. 3. 5. 2. 0. 3. 0. 0. 4. 5. 0. 1. 3.
 5. 1. 1. 3. 2. 5. 3. 3. 3. 1. 3. 1. 1. 0. 1. 2. 5. 5. 0. 2. 5. 0. 3. 3.
 1. 0. 5. 5. 2. 3. 4. 4. 2. 0. 2. 3. 5. 4. 0. 4. 4. 2. 0. 3. 4. 0. 2. 2.
 3. 3. 4. 4. 5. 3. 2. 3. 5. 5. 5. 4. 1. 4. 4. 0. 4. 2. 0. 4. 1. 0. 5. 4.
 5. 3. 0. 0.]",False,"{'HIP-FCI': 4, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 3}",-1795.4240342052585,-1795.4240342052585,True,"{'HIP-FCI': 4, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 3}",-1795.4240342052585,"[3. 0. 5. 1. 1. 5. 0. 1. 2. 5. 3. 0. 4. 3. 2. 0. 5. 0. 0. 4. 4. 0. 1. 1.
 5. 4. 1. 1. 1. 2. 4. 2. 2. 2. 1. 1. 5. 0. 1. 3. 1. 1. 0. 2. 5. 0. 2. 5.
 1. 0. 1. 4. 2. 1. 4. 4. 1. 0. 1. 4. 4. 5. 0. 1. 1. 3. 0. 1. 5. 0. 2. 1.
 1. 4. 3. 3. 4. 5. 2. 1. 5. 2. 5. 2. 1. 3. 1. 0. 4. 3. 0. 3. 1. 0. 2. 4.
 5. 2. 0. 0.]",66.66666666666667,
7,"[3. 0. 5. 1. 1. 5. 0. 1. 2. 5. 3. 0. 4. 3. 2. 0. 5. 0. 0. 4. 4. 0. 1. 1.
 5. 4. 1. 1. 1. 2. 4. 2. 2. 2. 1. 1. 5. 0. 1. 3. 1. 1. 0. 2. 5. 0. 2. 5.
 1. 0. 1. 4. 2. 1. 4. 4. 1. 0. 1. 4. 4. 5. 0. 1. 1. 3. 0. 1. 5. 0. 2. 1.
 1. 4. 3. 3. 4. 5. 2. 1. 5. 2. 5. 2. 1. 3. 1. 0. 4. 3. 0. 3. 1. 0. 2. 4.
 5. 2. 0. 0.]",False,"{'HIP-FCI': 4, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 3}",-1748.154247916631,-1748.154247916631,True,"{'HIP-FCI': 4, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 3}",-1748.154247916631,"[4. 0. 1. 1. 1. 4. 0. 2. 5. 5. 5. 0. 2. 5. 2. 0. 1. 0. 0. 1. 5. 0. 1. 4.
 5. 1. 1. 1. 1. 5. 4. 2. 2. 2. 1. 1. 1. 0. 1. 3. 1. 4. 0. 2. 5. 0. 2. 5.
 1. 0. 2. 5. 2. 1. 5. 5. 1. 0. 1. 5. 3. 4. 0. 1. 1. 2. 0. 1. 4. 0. 2. 1.
 1. 5. 4. 3. 1. 3. 2. 1. 4. 1. 4. 3. 1. 4. 1. 0. 4. 3. 0. 2. 1. 0. 2. 5.
 5. 5. 0. 0.]",71.42857142857143,
8,"[4. 0. 1. 1. 1. 4. 0. 2. 5. 5. 5. 0. 2. 5. 2. 0. 1. 0. 0. 1. 5. 0. 1. 4.
 5. 1. 1. 1. 1. 5. 4. 2. 2. 2. 1. 1. 1. 0. 1. 3. 1. 4. 0. 2. 5. 0. 2. 5.
 1. 0. 2. 5. 2. 1. 5. 5. 1. 0. 1. 5. 3. 4. 0. 1. 1. 2. 0. 1. 4. 0. 2. 1.
 1. 5. 4. 3. 1. 3. 2. 1. 4. 1. 4. 3. 1. 4. 1. 0. 4. 3. 0. 2. 1. 0. 2. 5.
 5. 5. 0. 0.]",False,"{'HIP-FCI': 4, 'HIP-GMI': 3, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 2}",-1825.9479324375961,-1748.154247916631,False,"{'HIP-FCI': 4, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 3}",-1748.154247916631,"[2. 0. 1. 5. 1. 1. 0. 1. 5. 5. 5. 0. 3. 5. 3. 0. 1. 0. 0. 1. 4. 0. 1. 1.
 5. 1. 1. 2. 1. 4. 1. 4. 1. 1. 4. 1. 1. 0. 1. 2. 1. 2. 0. 3. 5. 0. 2. 4.
 1. 0. 1. 5. 3. 1. 4. 5. 1. 0. 1. 2. 3. 5. 0. 2. 1. 5. 0. 1. 4. 0. 1. 1.
 1. 5. 3. 5. 4. 1. 1. 2. 3. 3. 5. 3. 1. 3. 2. 0. 5. 3. 0. 1. 1. 0. 3. 5.
 5. 4. 0. 0.]",62.5,
9,"[2. 0. 1. 5. 1. 1. 0. 1. 5. 5. 5. 0. 3. 5. 3. 0. 1. 0. 0. 1. 4. 0. 1. 1.
 5. 1. 1. 2. 1. 4. 1. 4. 1. 1. 4. 1. 1. 0. 1. 2. 1. 2. 0. 3. 5. 0. 2. 4.
 1. 0. 1. 5. 3. 1. 4. 5. 1. 0. 1. 2. 3. 5. 0. 2. 1. 5. 0. 1. 4. 0. 1. 1.
 1. 5. 3. 5. 4. 1. 1. 2. 3. 3. 5. 3. 1. 3. 2. 0. 5. 3. 0. 1. 1. 0. 3. 5.
 5. 4. 0. 0.]",False,"{'HIP-FCI': 4, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 3}",-1818.6798983685474,-1748.154247916631,False,"{'HIP-FCI': 4, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 3}",-1748.154247916631,"[3. 0. 1. 1. 2. 5. 0. 1. 2. 4. 5. 0. 2. 5. 2. 0. 1. 0. 0. 4. 5. 0. 1. 4.
 5. 2. 1. 5. 1. 4. 4. 3. 1. 2. 1. 4. 2. 0. 1. 3. 1. 1. 0. 2. 4. 0. 2. 4.
 1. 0. 1. 4. 2. 1. 4. 5. 2. 0. 1. 4. 4. 5. 0. 1. 1. 2. 0. 1. 5. 0. 2. 1.
 1. 3. 4. 5. 4. 3. 2. 1. 4. 5. 5. 3. 1. 2. 1. 0. 4. 2. 0. 5. 1. 0. 2. 4.
 5. 2. 0. 0.]",55.55555555555556,
10,"[3. 0. 1. 1. 2. 5. 0. 1. 2. 4. 5. 0. 2. 5. 2. 0. 1. 0. 0. 4. 5. 0. 1. 4.
 5. 2. 1. 5. 1. 4. 4. 3. 1. 2. 1. 4. 2. 0. 1. 3. 1. 1. 0. 2. 4. 0. 2. 4.
 1. 0. 1. 4. 2. 1. 4. 5. 2. 0. 1. 4. 4. 5. 0. 1. 1. 2. 0. 1. 5. 0. 2. 1.
 1. 3. 4. 5. 4. 3. 2. 1. 4. 5. 5. 3. 1. 2. 1. 0. 4. 2. 0. 5. 1. 0. 2. 4.
 5. 2. 0. 0.]",False,"{'HIP-FCI': 4, 'HIP-GMI': 5, 'FUS-FCI': 2, 'PCC-FCI': 1, 'FUS-GMI': 3}",-1841.0343642174153,-1748.154247916631,False,"{'HIP-FCI': 4, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 3}",-1748.154247916631,"[3. 0. 3. 4. 2. 1. 0. 1. 2. 2. 5. 0. 1. 4. 2. 0. 2. 0. 0. 4. 4. 0. 1. 1.
 4. 4. 2. 4. 1. 1. 5. 2. 5. 1. 5. 2. 3. 0. 1. 3. 1. 1. 0. 2. 5. 0. 5. 5.
 2. 0. 1. 4. 1. 4. 3. 4. 2. 0. 2. 4. 5. 4. 0. 1. 1. 2. 0. 5. 4. 0. 1. 2.
 4. 3. 5. 5. 1. 1. 2. 5. 5. 2. 4. 5. 2. 5. 2. 0. 4. 2. 0. 1. 1. 0. 1. 5.
 4. 5. 0. 0.]",50.0,
