iteration,all_current_accepted_likelihoods
1,-1005.4680252126653
2,-934.4946422500761
3,-887.2290125578543
4,-864.3880498358421
5,-864.3880498358421
6,-864.3880498358421
7,-864.3880498358421
8,-837.5481834481417
9,-837.5481834481417
10,-815.9593430444882
11,-815.9593430444882
12,-815.9593430444882
13,-815.9593430444882
14,-815.9593430444882
15,-815.9593430444882
16,-815.9593430444882
17,-815.9593430444882
18,-815.9593430444882
19,-815.9593430444882
20,-815.9593430444882
21,-815.9593430444882
22,-815.9593430444882
23,-815.9593430444882
24,-815.9593430444882
25,-815.9593430444882
26,-815.9593430444882
27,-815.9593430444882
28,-815.9593430444882
29,-815.9593430444882
30,-815.9593430444882
31,-815.9593430444882
32,-815.9593430444882
33,-815.9593430444882
34,-815.9593430444882
35,-815.9593430444882
36,-815.9593430444882
37,-815.9593430444882
38,-815.9593430444882
39,-815.9593430444882
40,-815.9593430444882
41,-815.9593430444882
42,-815.9593430444882
43,-815.9593430444882
44,-815.9593430444882
45,-815.9593430444882
46,-815.9593430444882
47,-815.9593430444882
48,-815.9593430444882
49,-815.9593430444882
50,-815.9593430444882
51,-815.9593430444882
52,-815.9593430444882
53,-815.9593430444882
54,-815.9593430444882
55,-815.9593430444882
56,-815.9593430444882
57,-815.9593430444882
58,-815.9593430444882
59,-815.9593430444882
60,-815.9593430444882
61,-815.9593430444882
62,-815.9593430444882
63,-815.9593430444882
64,-815.9593430444882
65,-815.9593430444882
66,-815.9593430444882
67,-815.9593430444882
68,-815.9593430444882
69,-815.9593430444882
70,-815.9593430444882
71,-815.9593430444882
72,-815.9593430444882
73,-815.9593430444882
74,-815.9593430444882
75,-815.9593430444882
76,-815.9593430444882
77,-815.9593430444882
78,-815.9593430444882
79,-815.9593430444882
80,-815.9593430444882
81,-815.9593430444882
82,-815.9593430444882
83,-815.9593430444882
84,-815.9593430444882
85,-815.9593430444882
86,-815.9593430444882
87,-815.9593430444882
88,-815.9593430444882
89,-815.9593430444882
90,-815.9593430444882
91,-815.9593430444882
92,-815.9593430444882
93,-815.9593430444882
94,-815.9593430444882
95,-815.9593430444882
96,-815.9593430444882
97,-815.9593430444882
98,-815.9593430444882
99,-815.9593430444882
100,-815.9593430444882
