iteration,all_current_best_likelihoods
1,-2065.7463075551145
2,-2065.7463075551145
3,-2065.7463075551145
4,-2065.7463075551145
5,-2065.7463075551145
6,-2065.7463075551145
7,-2065.7463075551145
8,-2024.1646502133824
9,-2024.1646502133824
10,-2024.1646502133824
11,-2024.1646502133824
12,-2024.1646502133824
13,-2024.1646502133824
14,-2024.1646502133824
15,-1994.7816677338135
16,-1994.7816677338135
17,-1994.7816677338135
18,-1994.7816677338135
19,-1989.8400951621882
20,-1989.8400951621882
21,-1989.8400951621882
22,-1989.8400951621882
23,-1989.8400951621882
24,-1989.8400951621882
25,-1952.6666009157298
26,-1952.6666009157298
27,-1952.6666009157298
28,-1952.6666009157298
29,-1952.6666009157298
30,-1952.6666009157298
31,-1952.6666009157298
32,-1952.6666009157298
33,-1952.6666009157298
34,-1952.7177367436468
35,-1952.7177367436468
36,-1952.7177367436468
37,-1952.7177367436468
38,-1952.7177367436468
39,-1952.7177367436468
40,-1952.7177367436468
41,-1952.7177367436468
42,-1952.7177367436468
43,-1952.7177367436468
44,-1952.7177367436468
45,-1952.7177367436468
46,-1952.7177367436468
47,-1952.7177367436468
48,-1952.7177367436468
49,-1952.7177367436468
50,-1952.7177367436468
51,-1952.7177367436468
52,-1952.7177367436468
53,-1952.7177367436468
54,-1952.7177367436468
55,-1952.7177367436468
56,-1952.7177367436468
57,-1952.6666009157298
58,-1952.6666009157298
59,-1952.6666009157298
60,-1952.6666009157298
61,-1952.6666009157298
62,-1952.6666009157298
63,-1952.6666009157298
64,-1952.6666009157298
65,-1952.6666009157298
66,-1952.6666009157298
67,-1952.6666009157298
68,-1952.6666009157298
69,-1952.6666009157298
70,-1952.6666009157298
71,-1952.6666009157298
72,-1952.6666009157298
73,-1952.6666009157298
74,-1952.7177367436468
75,-1952.7177367436468
76,-1952.7177367436468
77,-1952.7177367436468
78,-1952.7177367436468
79,-1952.7177367436468
80,-1952.7177367436468
81,-1952.7177367436468
82,-1952.6666009157298
83,-1952.6666009157298
84,-1952.6666009157298
85,-1952.6666009157298
86,-1952.6666009157298
87,-1952.6666009157298
88,-1952.6666009157298
89,-1952.6666009157298
90,-1952.6666009157298
91,-1952.6666009157298
92,-1952.6666009157298
93,-1952.6666009157298
94,-1952.6666009157298
95,-1952.6666009157298
