iteration,HIP-FCI,HIP-GMI,FUS-FCI,PCC-FCI,FUS-GMI
1,4,2,3,5,1
2,4,2,5,3,1
3,1,2,5,3,4
4,1,2,5,3,4
5,1,2,5,3,4
6,1,3,5,2,4
7,1,3,5,2,4
8,1,3,5,2,4
9,1,3,5,2,4
10,1,3,5,2,4
11,1,3,5,2,4
12,1,3,4,2,5
13,1,3,4,2,5
14,1,3,5,2,4
15,1,3,5,2,4
16,1,3,5,2,4
17,1,3,5,2,4
18,1,3,5,2,4
19,1,3,5,2,4
20,1,3,5,2,4
21,1,3,4,2,5
22,1,3,4,2,5
23,1,3,4,2,5
24,1,3,4,2,5
25,1,3,4,2,5
26,1,3,4,2,5
27,1,3,4,2,5
28,1,3,4,2,5
29,1,3,4,2,5
30,1,3,4,2,5
31,1,3,4,2,5
32,1,3,4,2,5
33,1,3,4,2,5
34,1,3,4,2,5
35,1,3,4,2,5
36,1,3,4,2,5
37,1,3,4,2,5
38,1,3,4,2,5
39,1,3,4,2,5
40,1,3,4,2,5
41,1,3,4,2,5
42,1,3,4,2,5
43,1,3,4,2,5
44,1,3,4,2,5
45,1,3,4,2,5
46,1,3,4,2,5
47,1,3,4,2,5
48,1,3,4,2,5
49,1,3,4,2,5
50,1,3,4,2,5
51,1,3,4,2,5
52,1,3,4,2,5
53,1,3,4,2,5
54,1,3,4,2,5
55,1,3,4,2,5
56,1,3,4,2,5
57,1,3,4,2,5
58,1,3,4,2,5
59,1,3,4,2,5
60,1,3,4,2,5
61,1,3,4,2,5
62,1,3,4,2,5
63,1,3,4,2,5
64,1,3,5,2,4
65,1,3,5,2,4
66,1,3,5,2,4
67,1,3,5,2,4
68,1,3,5,2,4
69,1,3,5,2,4
70,1,3,5,2,4
71,1,3,5,2,4
72,1,3,4,2,5
73,1,3,4,2,5
74,1,3,4,2,5
75,1,3,4,2,5
76,1,3,4,2,5
77,1,3,4,2,5
78,1,3,4,2,5
79,1,3,4,2,5
80,1,3,4,2,5
81,1,3,4,2,5
82,1,3,4,2,5
83,1,3,4,2,5
84,1,3,5,2,4
85,1,3,5,2,4
86,1,3,5,2,4
87,1,3,5,2,4
88,1,3,5,2,4
89,1,3,5,2,4
90,1,3,5,2,4
91,1,3,5,2,4
92,1,3,5,2,4
93,1,3,4,2,5
94,1,3,4,2,5
95,1,3,4,2,5
96,1,3,4,2,5
97,1,3,4,2,5
98,1,3,4,2,5
99,1,3,4,2,5
100,1,3,4,2,5
101,1,3,4,2,5
102,1,3,4,2,5
103,1,3,4,2,5
104,1,3,5,2,4
105,1,3,5,2,4
106,1,3,5,2,4
107,1,3,5,2,4
108,1,3,5,2,4
109,1,3,5,2,4
110,1,3,5,2,4
111,1,3,5,2,4
112,1,3,5,2,4
113,1,3,5,2,4
114,1,3,4,2,5
115,1,3,4,2,5
116,1,3,4,2,5
117,1,3,4,2,5
118,1,3,4,2,5
119,1,3,4,2,5
120,1,3,4,2,5
121,1,3,4,2,5
122,1,3,4,2,5
123,1,3,4,2,5
124,1,3,4,2,5
125,1,3,4,2,5
126,1,3,4,2,5
127,1,3,4,2,5
128,1,3,4,2,5
129,1,3,4,2,5
130,1,3,4,2,5
131,1,3,4,2,5
132,1,3,4,2,5
133,1,3,4,2,5
134,1,3,4,2,5
135,1,3,4,2,5
136,1,3,4,2,5
137,1,3,4,2,5
138,1,3,4,2,5
139,1,3,4,2,5
140,1,3,4,2,5
141,1,3,4,2,5
142,1,3,4,2,5
143,1,3,5,2,4
144,1,3,5,2,4
145,1,3,5,2,4
146,1,3,5,2,4
147,1,3,5,2,4
148,1,3,5,2,4
149,1,3,5,2,4
150,1,3,5,2,4
151,1,3,5,2,4
152,1,3,5,2,4
153,1,3,4,2,5
154,1,3,4,2,5
155,1,3,4,2,5
156,1,3,4,2,5
157,1,3,4,2,5
158,1,3,4,2,5
159,1,3,4,2,5
160,1,3,4,2,5
161,1,3,4,2,5
162,1,3,4,2,5
