iteration,HIP-FCI,HIP-GMI,FUS-FCI,PCC-FCI,FUS-GMI
1,1,3,4,5,2
2,3,1,4,5,2
3,5,3,4,1,2
4,3,1,4,5,2
5,5,3,4,1,2
6,1,5,4,3,2
7,1,5,4,3,2
8,1,2,4,5,3
9,1,4,2,5,3
10,1,3,4,5,2
11,1,4,2,5,3
12,1,2,5,4,3
13,1,2,5,4,3
14,1,2,5,4,3
15,1,2,4,3,5
16,2,1,4,3,5
17,1,5,4,3,2
18,3,2,4,1,5
19,1,2,5,3,4
20,4,2,5,3,1
21,1,5,2,3,4
22,5,2,1,3,4
23,5,2,1,3,4
24,3,2,5,1,4
25,1,3,5,2,4
26,5,3,1,2,4
27,1,3,5,4,2
28,2,3,5,1,4
29,1,5,3,2,4
30,2,3,5,1,4
31,1,3,5,4,2
32,1,4,5,2,3
33,1,3,2,5,4
34,1,3,4,2,5
35,5,3,4,2,1
36,5,3,4,2,1
37,1,3,4,5,2
38,4,3,1,2,5
39,1,4,3,2,5
40,1,2,4,3,5
41,3,1,4,2,5
42,1,3,4,5,2
43,1,3,2,4,5
44,1,3,4,5,2
45,5,3,4,2,1
46,1,3,4,5,2
47,1,5,4,2,3
48,1,3,4,5,2
49,1,2,4,3,5
50,1,3,2,4,5
51,1,3,2,4,5
52,4,3,1,2,5
53,4,3,1,2,5
54,1,3,2,4,5
55,1,4,3,2,5
56,5,3,4,2,1
57,1,3,5,2,4
58,1,2,5,3,4
59,1,4,5,2,3
60,1,4,5,2,3
61,1,4,5,2,3
62,1,3,5,4,2
63,1,3,2,5,4
64,1,3,2,5,4
65,4,3,5,2,1
66,1,4,5,2,3
67,1,3,5,4,2
68,1,3,5,4,2
69,5,3,1,2,4
70,1,3,5,4,2
71,3,1,5,2,4
72,1,5,3,2,4
73,5,3,1,2,4
74,1,3,4,2,5
75,1,5,4,2,3
76,1,2,4,3,5
77,2,3,4,1,5
78,1,4,3,2,5
79,1,2,4,3,5
80,4,3,1,2,5
81,4,3,1,2,5
82,1,3,5,2,4
83,1,2,5,3,4
84,1,2,5,3,4
85,5,3,1,2,4
86,1,3,2,5,4
87,1,5,3,2,4
88,1,3,5,4,2
89,3,1,5,2,4
90,2,3,5,1,4
91,4,3,5,2,1
92,1,2,5,3,4
93,2,3,5,1,4
94,1,3,5,4,2
95,1,3,5,4,2
96,1,3,5,4,2
97,3,1,5,2,4
98,4,3,5,2,1
99,5,3,1,2,4
100,1,3,5,4,2
101,1,3,2,5,4
102,1,5,3,2,4
103,3,1,5,2,4
104,1,4,5,2,3
105,1,4,5,2,3
106,1,4,5,2,3
107,1,3,5,4,2
108,1,5,3,2,4
109,1,3,2,5,4
110,1,3,5,4,2
111,1,3,2,5,4
112,4,3,5,2,1
113,1,4,5,2,3
114,1,3,5,4,2
115,1,3,4,2,5
116,3,1,4,2,5
117,5,3,4,2,1
118,1,5,4,2,3
119,1,4,3,2,5
120,1,3,2,4,5
121,5,3,4,2,1
122,4,3,1,2,5
123,2,3,4,1,5
124,5,3,4,2,1
125,5,3,4,2,1
126,2,3,4,1,5
127,1,5,4,2,3
128,1,5,4,2,3
129,1,3,5,2,4
130,1,3,2,5,4
131,1,3,4,2,5
132,1,2,4,3,5
133,4,3,1,2,5
134,1,2,4,3,5
135,1,4,3,2,5
136,5,3,4,2,1
137,1,3,4,5,2
138,1,3,2,4,5
139,2,3,4,1,5
140,1,4,3,2,5
141,1,5,4,2,3
142,1,5,4,2,3
143,1,3,4,5,2
144,1,4,3,2,5
145,2,3,4,1,5
146,1,4,3,2,5
147,1,4,3,2,5
148,2,3,4,1,5
149,1,3,4,5,2
150,1,3,2,4,5
151,1,4,3,2,5
152,4,3,1,2,5
153,1,5,4,2,3
154,2,3,4,1,5
155,2,3,4,1,5
156,4,3,1,2,5
157,1,3,5,2,4
158,5,3,1,2,4
159,1,3,2,5,4
160,1,3,4,2,5
161,1,3,4,5,2
162,1,5,4,2,3
163,3,1,4,2,5
164,5,3,4,2,1
165,1,3,2,4,5
166,1,4,3,2,5
167,1,5,4,2,3
168,2,3,4,1,5
169,1,2,4,3,5
170,3,1,4,2,5
171,2,3,4,1,5
172,1,3,4,5,2
173,1,4,3,2,5
174,3,1,4,2,5
175,1,2,4,3,5
176,2,3,4,1,5
177,1,5,4,2,3
178,1,5,4,2,3
179,2,3,4,1,5
180,3,1,4,2,5
181,5,3,4,2,1
182,4,3,1,2,5
183,1,5,4,2,3
184,1,3,5,2,4
185,1,2,5,3,4
186,4,3,5,2,1
187,1,2,5,3,4
188,1,5,3,2,4
189,1,3,4,2,5
190,3,1,4,2,5
191,1,5,4,2,3
192,1,3,5,2,4
193,4,3,5,2,1
194,1,3,2,5,4
195,1,3,2,5,4
196,4,3,5,2,1
197,1,2,5,3,4
198,1,2,5,3,4
199,1,3,4,2,5
200,1,3,5,2,4
201,1,4,5,2,3
202,1,5,3,2,4
203,1,3,5,4,2
204,1,2,5,3,4
205,4,3,5,2,1
206,1,3,4,2,5
207,1,2,4,3,5
208,1,3,2,4,5
209,5,3,4,2,1
210,4,3,1,2,5
211,1,4,3,2,5
212,4,3,1,2,5
213,5,3,4,2,1
214,4,3,1,2,5
215,5,3,4,2,1
216,5,3,4,2,1
217,1,2,4,3,5
218,1,5,4,2,3
219,1,3,2,4,5
220,1,2,4,3,5
221,1,3,2,4,5
222,1,3,5,2,4
223,1,3,4,2,5
224,2,3,4,1,5
225,1,3,5,2,4
226,3,1,5,2,4
227,1,3,2,5,4
228,1,3,4,2,5
229,2,3,4,1,5
230,1,3,2,4,5
231,1,3,4,5,2
232,1,5,4,2,3
233,1,3,5,2,4
234,2,3,5,1,4
235,1,2,5,3,4
236,1,3,5,4,2
237,1,3,4,2,5
238,1,3,5,2,4
239,1,5,3,2,4
240,3,1,5,2,4
241,3,1,5,2,4
242,4,3,5,2,1
243,5,3,1,2,4
244,1,3,2,5,4
245,4,3,5,2,1
246,2,3,5,1,4
247,1,3,2,5,4
248,1,4,5,2,3
249,2,3,5,1,4
250,3,1,5,2,4
251,4,3,5,2,1
252,1,3,5,4,2
253,1,5,3,2,4
254,1,5,3,2,4
255,1,2,5,3,4
256,1,2,5,3,4
257,1,4,5,2,3
258,2,3,5,1,4
259,5,3,1,2,4
260,1,3,5,4,2
261,1,2,5,3,4
262,1,3,4,2,5
263,2,3,4,1,5
264,1,3,5,2,4
265,3,1,5,2,4
266,1,3,5,4,2
267,1,3,4,2,5
268,5,3,4,2,1
269,1,4,3,2,5
270,1,4,3,2,5
271,1,4,3,2,5
272,1,4,3,2,5
273,1,4,3,2,5
274,5,3,4,2,1
275,1,5,4,2,3
276,1,5,4,2,3
277,1,2,4,3,5
278,2,3,4,1,5
279,1,3,5,2,4
280,1,2,5,3,4
281,2,3,5,1,4
282,5,3,1,2,4
283,5,3,1,2,4
284,3,1,5,2,4
285,1,3,5,4,2
286,2,3,5,1,4
287,1,3,2,5,4
288,1,3,2,5,4
289,1,4,5,2,3
290,1,5,3,2,4
291,3,1,5,2,4
292,1,5,3,2,4
293,1,3,2,5,4
294,1,3,4,2,5
295,4,3,5,2,1
296,2,3,5,1,4
297,4,3,5,2,1
298,3,1,5,2,4
299,3,1,5,2,4
300,3,1,5,2,4
301,1,3,5,4,2
302,2,3,5,1,4
303,1,3,4,2,5
