iteration,HIP-FCI,HIP-GMI,FUS-FCI,PCC-FCI,FUS-GMI
1,1,2,3,4,5
2,1,3,2,4,5
3,1,3,2,4,5
4,1,3,2,4,5
5,1,3,2,4,5
6,1,3,2,4,5
7,1,3,2,4,5
8,1,3,2,4,5
9,1,3,2,4,5
10,1,3,2,4,5
11,3,1,2,4,5
12,3,1,2,4,5
13,3,1,2,4,5
14,3,1,2,4,5
15,3,1,2,4,5
16,3,1,2,4,5
17,3,1,2,4,5
18,3,1,2,4,5
19,3,1,2,4,5
20,3,1,2,4,5
21,3,1,2,4,5
22,3,1,2,4,5
23,3,1,2,4,5
24,3,1,2,4,5
25,3,1,2,4,5
26,3,1,2,4,5
27,3,1,2,4,5
28,3,1,2,4,5
29,3,1,2,4,5
30,3,1,2,4,5
31,2,1,3,4,5
32,3,1,2,4,5
33,3,1,2,4,5
34,3,1,2,4,5
35,3,1,2,4,5
36,3,1,2,4,5
37,3,1,2,4,5
38,3,1,2,4,5
39,3,1,2,4,5
40,3,1,2,4,5
41,3,1,2,4,5
42,3,1,2,4,5
43,3,1,2,4,5
44,3,1,2,4,5
45,3,2,1,4,5
46,3,2,1,4,5
47,3,2,1,4,5
48,3,2,1,4,5
49,3,2,1,4,5
50,3,2,1,4,5
51,2,3,1,4,5
52,2,3,1,4,5
53,2,3,1,4,5
54,2,3,1,4,5
55,2,3,1,4,5
56,2,3,1,4,5
57,2,3,1,4,5
58,2,3,1,4,5
59,2,3,1,4,5
60,2,3,1,4,5
61,2,3,1,4,5
62,2,3,1,4,5
63,2,3,1,4,5
64,2,3,1,4,5
65,2,3,1,4,5
66,2,3,1,4,5
67,2,3,1,4,5
68,2,3,1,4,5
69,2,3,1,4,5
70,2,3,1,4,5
71,2,3,1,4,5
72,2,3,1,4,5
73,2,3,1,4,5
74,2,3,1,4,5
75,2,3,1,4,5
76,2,3,1,4,5
77,2,3,1,4,5
78,2,3,1,4,5
79,2,3,1,4,5
80,2,3,1,4,5
81,2,3,1,4,5
82,2,1,3,4,5
83,2,1,3,4,5
84,2,1,4,3,5
85,2,1,4,3,5
86,2,1,4,3,5
87,2,1,4,3,5
88,2,1,4,3,5
89,2,1,4,3,5
90,2,1,4,3,5
91,2,1,4,3,5
92,2,1,4,3,5
93,2,1,4,3,5
94,2,1,4,3,5
95,2,1,4,3,5
96,2,1,4,3,5
97,2,1,4,3,5
98,2,1,4,3,5
99,2,1,4,3,5
100,2,1,4,3,5
101,2,1,4,3,5
102,2,1,4,3,5
103,2,1,4,3,5
104,2,1,4,3,5
105,2,1,4,3,5
106,2,1,4,3,5
107,2,1,4,3,5
108,2,1,4,3,5
109,2,1,4,3,5
110,2,1,4,3,5
111,2,1,4,3,5
112,2,1,4,3,5
113,2,1,4,3,5
114,2,1,4,3,5
115,2,1,4,3,5
116,2,1,4,3,5
117,2,1,4,3,5
118,2,1,4,3,5
119,2,1,4,3,5
120,2,1,4,3,5
121,2,1,4,3,5
122,2,1,4,3,5
123,2,1,4,3,5
124,2,1,4,3,5
125,2,1,4,3,5
126,2,1,4,3,5
127,2,1,4,3,5
128,2,1,4,3,5
129,2,1,4,3,5
130,2,1,4,3,5
131,2,1,4,3,5
132,2,1,4,3,5
133,2,1,4,3,5
134,2,1,4,3,5
135,2,1,4,3,5
136,2,1,4,3,5
137,2,1,4,3,5
138,2,1,4,3,5
139,2,1,4,3,5
140,2,1,4,3,5
141,2,1,4,3,5
142,2,1,4,3,5
143,2,1,4,3,5
144,2,1,4,3,5
145,2,1,4,3,5
146,2,1,4,3,5
147,2,1,4,3,5
148,2,1,4,3,5
149,2,1,4,3,5
150,2,1,4,3,5
151,2,1,4,3,5
152,2,1,4,3,5
153,2,1,4,3,5
154,2,1,4,3,5
155,2,1,4,3,5
156,2,1,4,3,5
157,2,1,4,3,5
158,2,1,4,3,5
159,2,1,4,3,5
160,2,1,4,3,5
161,2,1,4,3,5
162,2,1,5,3,4
163,2,1,5,3,4
164,2,1,5,3,4
165,2,1,5,3,4
166,2,1,5,3,4
167,2,1,5,3,4
168,2,1,5,3,4
169,2,1,5,3,4
170,2,1,5,3,4
171,2,1,5,3,4
172,2,1,5,3,4
173,2,1,5,3,4
174,2,1,5,3,4
175,2,1,5,3,4
176,2,1,5,3,4
177,2,1,5,3,4
178,2,1,5,3,4
179,2,1,5,3,4
180,2,1,5,3,4
181,2,1,5,3,4
182,2,1,5,3,4
183,2,1,5,3,4
184,2,1,5,3,4
185,2,1,5,3,4
186,2,1,5,3,4
187,2,1,5,3,4
188,2,1,5,3,4
189,2,1,5,3,4
190,2,1,5,3,4
191,2,1,5,3,4
192,2,1,5,3,4
193,2,1,5,3,4
194,2,1,5,3,4
195,2,1,5,3,4
196,2,1,5,3,4
197,2,1,5,3,4
198,2,1,5,3,4
199,2,1,5,3,4
200,2,1,5,3,4
201,2,1,5,3,4
202,2,1,5,3,4
203,2,1,5,3,4
204,2,1,5,3,4
205,2,1,5,3,4
206,2,1,5,3,4
207,2,1,5,3,4
208,2,1,5,3,4
209,2,1,5,3,4
210,2,1,5,3,4
211,2,1,5,3,4
212,2,1,5,3,4
213,2,1,5,3,4
214,2,1,5,3,4
215,2,1,5,3,4
216,2,1,5,3,4
217,2,1,5,3,4
218,2,1,5,3,4
219,2,1,5,3,4
220,2,1,5,3,4
221,2,1,5,3,4
222,2,1,5,3,4
223,2,1,5,3,4
224,2,1,5,3,4
225,2,1,5,3,4
226,2,1,5,3,4
227,2,1,5,3,4
228,2,1,5,3,4
229,2,1,5,3,4
230,2,1,5,3,4
231,2,1,5,3,4
232,2,1,5,3,4
233,2,1,5,3,4
234,2,1,5,3,4
235,2,1,5,3,4
236,2,1,5,3,4
237,2,1,5,3,4
238,2,1,5,3,4
239,2,1,5,3,4
240,2,1,5,3,4
241,2,1,5,3,4
242,2,1,5,3,4
243,2,1,5,3,4
244,2,1,5,3,4
245,2,1,5,3,4
246,2,1,5,3,4
247,2,1,5,3,4
248,2,1,5,3,4
249,2,1,5,3,4
250,2,1,5,3,4
251,2,1,5,3,4
252,2,1,5,3,4
253,2,1,5,3,4
254,2,1,5,3,4
255,2,1,5,3,4
256,2,1,5,3,4
257,2,1,5,3,4
258,2,1,5,3,4
259,2,1,5,3,4
260,2,1,5,3,4
261,2,1,5,3,4
262,2,1,5,3,4
263,2,1,5,3,4
264,2,1,5,3,4
265,2,1,5,3,4
266,2,1,5,3,4
267,2,1,5,3,4
268,2,1,5,3,4
269,2,1,5,3,4
270,2,1,5,3,4
271,2,1,5,3,4
272,2,1,5,3,4
273,2,1,5,3,4
274,2,1,5,3,4
275,2,1,5,3,4
276,2,1,5,3,4
277,2,1,5,3,4
278,2,1,5,3,4
279,2,1,5,3,4
280,2,1,5,3,4
281,2,1,5,3,4
282,2,1,5,3,4
283,2,1,5,3,4
284,2,1,5,3,4
285,2,1,5,3,4
286,2,1,5,3,4
287,2,1,5,3,4
288,2,1,5,3,4
289,2,1,5,3,4
290,2,1,5,3,4
291,2,1,5,3,4
292,2,1,5,3,4
293,2,1,5,3,4
294,2,1,5,3,4
295,2,1,5,3,4
296,2,1,5,3,4
297,2,1,5,3,4
298,2,1,5,3,4
299,2,1,5,3,4
300,2,1,5,3,4
301,2,1,5,3,4
302,2,1,5,3,4
303,2,1,5,3,4
304,2,1,5,3,4
305,2,1,5,3,4
306,2,1,5,3,4
307,2,1,5,3,4
308,2,1,5,3,4
309,2,1,5,3,4
310,2,1,5,3,4
311,2,1,5,3,4
312,2,1,5,3,4
313,2,1,5,3,4
314,2,1,5,3,4
315,2,1,5,3,4
316,2,1,5,3,4
317,2,1,5,3,4
318,2,1,5,3,4
319,2,1,5,3,4
320,2,1,5,3,4
321,2,1,5,3,4
322,2,1,5,3,4
323,2,1,5,3,4
324,2,1,5,3,4
325,2,1,5,3,4
326,2,1,5,3,4
327,2,1,5,3,4
328,2,1,5,3,4
329,2,1,5,3,4
330,2,1,5,3,4
331,2,1,5,3,4
332,2,1,5,3,4
333,2,1,5,3,4
334,2,1,5,3,4
335,2,1,5,3,4
336,2,1,5,3,4
337,2,1,5,3,4
338,2,1,5,3,4
339,2,1,5,3,4
340,2,1,5,3,4
341,2,1,5,3,4
342,2,1,5,3,4
343,2,1,5,3,4
344,2,1,5,3,4
345,2,1,5,3,4
346,2,1,5,3,4
347,2,1,5,3,4
348,2,1,5,3,4
349,2,1,5,3,4
350,2,1,5,3,4
351,2,1,5,3,4
352,2,1,5,3,4
353,2,1,5,3,4
354,2,1,5,3,4
355,2,1,5,3,4
356,2,1,5,3,4
357,2,1,5,3,4
358,2,1,5,3,4
359,2,1,5,3,4
360,2,1,5,3,4
361,2,1,5,3,4
362,2,1,5,3,4
363,2,1,5,3,4
364,2,1,5,3,4
365,2,1,5,3,4
366,2,1,5,3,4
367,2,1,5,3,4
368,2,1,5,3,4
369,2,1,5,3,4
370,2,1,5,3,4
371,2,1,5,3,4
372,2,1,5,3,4
