iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,4,3,5,2,1
2,4,2,5,3,1
3,4,2,5,3,1
4,1,2,5,3,4
5,1,2,5,3,4
6,1,2,5,3,4
7,1,2,4,3,5
8,1,2,5,3,4
9,2,1,5,3,4
10,1,4,5,3,2
11,1,2,4,3,5
12,1,2,5,3,4
13,4,2,5,3,1
14,3,2,5,1,4
15,1,2,5,3,4
16,1,2,5,3,4
17,1,5,2,3,4
18,1,2,5,3,4
19,1,2,5,3,4
20,1,2,5,3,4
21,1,2,5,3,4
22,1,5,2,3,4
23,1,2,5,3,4
24,4,2,5,3,1
25,1,4,5,3,2
26,1,2,5,3,4
27,1,5,2,3,4
28,1,2,5,3,4
29,1,2,5,3,4
30,1,3,5,2,4
31,1,3,5,2,4
32,1,3,5,2,4
33,1,3,5,2,4
34,1,3,5,2,4
35,1,3,5,2,4
36,1,3,5,2,4
37,1,3,5,2,4
38,1,3,5,2,4
39,1,3,5,2,4
40,1,3,2,5,4
41,1,3,4,2,5
42,1,3,5,2,4
43,1,3,5,2,4
44,1,3,5,2,4
45,1,3,5,2,4
46,1,2,5,3,4
47,1,3,5,2,4
48,1,3,5,2,4
49,1,3,5,2,4
50,1,3,5,2,4
51,5,3,1,2,4
52,1,3,5,2,4
53,1,3,5,2,4
54,5,3,1,2,4
55,1,3,5,2,4
56,1,3,5,2,4
57,1,5,3,2,4
58,1,3,5,2,4
59,5,3,1,2,4
60,1,3,5,4,2
61,1,3,5,2,4
62,1,5,3,2,4
63,1,3,5,2,4
64,1,3,5,2,4
65,1,3,2,5,4
66,1,3,5,2,4
67,2,3,5,1,4
68,2,1,5,3,4
69,2,3,5,1,4
70,2,3,5,1,4
71,2,3,5,1,4
72,2,3,5,1,4
73,3,2,5,1,4
74,2,5,3,1,4
75,2,1,5,3,4
76,2,5,3,1,4
77,2,3,5,1,4
78,2,1,5,3,4
79,2,1,5,3,4
80,2,3,5,1,4
81,2,3,5,1,4
82,2,3,5,1,4
83,4,3,5,1,2
84,2,3,5,1,4
85,2,3,1,5,4
86,2,3,5,4,1
87,5,3,2,1,4
88,2,5,3,1,4
89,2,3,5,1,4
90,2,3,5,1,4
91,2,3,5,1,4
92,2,3,5,1,4
93,2,3,5,1,4
94,2,3,1,5,4
95,2,3,1,5,4
96,2,3,1,5,4
97,2,3,5,1,4
98,4,3,5,1,2
99,2,3,5,1,4
100,2,3,5,1,4
101,2,3,1,5,4
102,2,3,5,1,4
103,2,3,5,1,4
104,2,3,1,5,4
105,2,3,5,1,4
106,5,3,2,1,4
107,2,3,5,1,4
108,2,3,5,1,4
109,2,4,5,1,3
110,2,3,5,1,4
111,5,3,2,1,4
112,2,3,5,1,4
113,5,3,2,1,4
114,5,3,2,1,4
115,5,3,2,4,1
116,5,3,2,1,4
117,5,3,2,1,4
118,5,4,2,1,3
119,1,3,2,5,4
120,5,3,2,1,4
121,2,3,5,1,4
122,2,3,5,1,4
123,2,3,5,4,1
124,2,5,3,1,4
125,2,3,5,1,4
126,2,3,5,1,4
127,2,3,5,1,4
128,2,3,5,1,4
129,2,3,1,5,4
130,2,3,5,1,4
131,2,3,5,1,4
132,3,2,5,1,4
133,2,3,5,1,4
134,2,3,5,1,4
135,5,3,2,1,4
136,1,3,5,2,4
137,2,3,5,1,4
138,2,3,4,1,5
139,5,3,2,1,4
140,1,3,5,2,4
141,2,3,4,1,5
142,2,3,5,1,4
143,2,3,4,1,5
144,2,3,1,5,4
145,4,3,5,1,2
146,2,3,5,1,4
147,2,1,5,3,4
148,2,3,5,1,4
149,2,3,5,1,4
150,2,3,5,4,1
151,2,3,5,1,4
152,2,3,4,1,5
153,2,3,5,1,4
154,4,3,5,1,2
155,2,3,5,1,4
156,2,3,5,1,4
157,2,3,5,1,4
158,2,3,5,1,4
159,4,3,5,1,2
160,2,3,5,1,4
161,2,3,5,1,4
162,2,3,4,1,5
163,2,3,5,1,4
164,2,5,3,1,4
165,2,3,5,1,4
166,4,3,5,1,2
167,3,2,5,1,4
168,2,3,4,1,5
169,4,3,5,1,2
170,4,3,5,1,2
171,2,3,5,1,4
172,2,4,5,1,3
173,2,3,5,4,1
174,2,3,1,5,4
175,5,3,2,1,4
176,2,3,1,5,4
177,2,4,5,1,3
178,2,3,5,1,4
179,3,2,5,1,4
180,2,3,5,1,4
181,2,3,5,1,4
182,2,4,5,1,3
183,2,3,5,1,4
184,2,3,5,1,4
185,2,4,5,1,3
186,2,3,5,1,4
187,2,3,5,1,4
188,2,3,5,1,4
189,2,3,5,1,4
190,4,3,5,1,2
191,2,3,5,1,4
192,2,3,5,4,1
193,1,3,5,2,4
194,2,3,5,1,4
195,2,3,5,1,4
196,3,2,5,1,4
197,2,3,5,1,4
198,2,5,3,1,4
199,2,1,5,3,4
200,4,3,5,1,2
201,3,2,5,1,4
202,2,3,5,1,4
203,2,3,4,1,5
204,2,3,5,1,4
205,2,5,3,1,4
206,2,3,4,1,5
207,2,3,5,1,4
208,2,3,4,1,5
209,2,3,5,1,4
210,5,3,2,1,4
211,2,3,5,1,4
212,2,3,1,5,4
213,2,3,5,1,4
214,2,3,4,1,5
215,2,3,5,1,4
216,2,3,5,1,4
217,2,3,5,1,4
218,5,3,2,1,4
219,2,3,5,1,4
220,2,1,5,3,4
221,2,3,5,1,4
222,2,3,5,1,4
223,4,3,5,1,2
224,2,3,5,1,4
225,2,3,5,4,1
226,2,4,5,1,3
227,2,3,1,5,4
228,2,3,5,1,4
229,2,3,5,1,4
230,2,3,4,1,5
231,2,3,1,5,4
232,1,3,5,2,4
233,2,1,5,3,4
234,2,3,5,1,4
235,2,3,5,4,1
236,4,3,5,1,2
237,2,3,4,1,5
238,4,3,5,1,2
239,2,3,5,1,4
240,5,3,2,1,4
241,2,3,1,5,4
242,2,1,5,3,4
243,2,3,5,1,4
244,2,3,5,1,4
245,2,3,5,1,4
246,2,3,5,1,4
247,2,3,5,1,4
248,2,3,5,1,4
249,2,3,5,4,1
250,2,3,1,5,4
251,2,3,5,1,4
252,2,3,5,1,4
253,2,3,5,1,4
254,3,2,5,1,4
255,2,3,5,1,4
256,2,3,5,1,4
257,3,2,5,1,4
258,2,3,5,1,4
259,2,3,5,1,4
260,2,3,5,1,4
261,2,3,5,1,4
262,2,3,5,1,4
263,2,3,5,1,4
264,2,1,5,3,4
265,2,3,5,1,4
266,2,1,5,3,4
267,2,4,5,1,3
268,2,3,5,1,4
269,2,3,5,1,4
270,2,3,1,5,4
271,2,4,5,1,3
272,4,3,5,1,2
273,2,3,4,1,5
274,2,3,5,1,4
275,2,3,4,1,5
276,2,3,5,1,4
277,2,3,5,1,4
278,2,3,5,1,4
279,2,4,5,1,3
280,2,3,5,1,4
281,2,3,5,1,4
282,2,3,5,1,4
283,2,3,5,1,4
284,2,5,3,1,4
285,2,5,3,1,4
286,2,3,5,1,4
287,2,3,5,1,4
288,2,3,1,5,4
289,2,3,5,1,4
290,2,3,1,5,4
291,2,3,5,1,4
292,4,3,5,1,2
293,2,5,3,1,4
294,2,3,5,1,4
295,2,3,1,5,4
296,2,3,4,1,5
297,2,3,5,1,4
298,2,3,5,1,4
299,2,3,5,1,4
300,2,3,4,1,5
301,2,3,5,1,4
302,2,3,1,5,4
303,3,2,5,1,4
304,2,3,5,4,1
305,2,3,5,1,4
306,2,3,1,5,4
307,2,3,5,1,4
308,2,3,5,1,4
309,4,3,5,1,2
310,2,3,4,1,5
311,2,5,3,1,4
312,3,2,5,1,4
313,2,3,5,1,4
314,5,3,2,1,4
315,2,3,5,1,4
316,2,3,5,1,4
317,2,3,5,1,4
318,2,3,5,1,4
319,2,3,5,1,4
320,5,3,2,1,4
321,2,4,5,1,3
322,2,3,5,1,4
323,2,3,5,1,4
324,2,1,5,3,4
325,2,3,5,1,4
326,3,2,5,1,4
327,2,3,5,1,4
328,2,3,5,1,4
329,2,3,5,1,4
330,2,1,5,3,4
331,2,4,5,1,3
332,2,3,5,1,4
333,2,3,4,1,5
334,4,3,5,1,2
335,2,3,5,1,4
336,3,2,5,1,4
337,2,3,5,1,4
338,2,3,5,1,4
339,2,3,5,1,4
340,2,4,5,1,3
341,2,1,5,3,4
342,2,3,5,1,4
343,3,2,5,1,4
344,2,3,4,1,5
345,2,3,5,1,4
346,2,3,5,1,4
347,2,3,5,1,4
348,2,3,1,5,4
349,2,3,1,5,4
350,3,2,5,1,4
351,2,3,5,1,4
352,2,4,5,1,3
353,2,3,5,1,4
354,2,3,5,1,4
355,2,3,5,1,4
356,2,4,5,1,3
357,2,3,5,1,4
358,2,3,1,5,4
359,2,3,5,1,4
360,2,3,5,1,4
361,2,3,5,1,4
362,1,3,5,2,4
363,2,3,5,1,4
364,4,3,5,1,2
365,2,3,5,1,4
366,2,1,5,3,4
367,2,3,5,1,4
368,2,3,5,1,4
369,2,3,5,1,4
370,2,3,5,1,4
371,3,2,5,1,4
372,2,3,5,4,1
373,2,3,5,1,4
374,2,3,5,1,4
375,2,4,5,1,3
376,2,3,5,1,4
377,2,3,5,1,4
378,2,3,5,1,4
379,2,3,5,1,4
380,2,3,5,4,1
381,2,3,5,1,4
382,4,3,5,1,2
383,2,3,4,1,5
384,4,3,5,1,2
385,2,3,5,1,4
386,2,3,1,5,4
387,2,3,5,1,4
388,2,3,5,1,4
389,2,3,5,1,4
390,5,3,2,1,4
391,3,2,5,1,4
392,2,3,5,1,4
393,2,3,5,1,4
394,2,3,5,1,4
395,1,3,5,2,4
396,1,4,5,2,3
397,1,3,5,2,4
398,1,3,5,2,4
399,1,3,5,2,4
400,1,3,5,2,4
401,1,5,3,2,4
402,1,4,5,2,3
403,4,3,5,2,1
404,1,5,3,2,4
405,1,3,2,5,4
406,1,2,5,3,4
407,1,3,2,5,4
408,1,3,5,2,4
409,1,3,2,5,4
410,1,3,5,2,4
411,1,3,5,2,4
412,1,3,5,2,4
413,1,3,5,2,4
414,1,2,5,3,4
415,1,3,5,2,4
416,1,3,5,2,4
417,1,3,5,4,2
418,2,3,5,1,4
419,2,3,5,1,4
420,2,3,5,1,4
421,2,5,3,1,4
422,2,3,1,5,4
423,2,3,5,1,4
424,2,3,5,1,4
425,2,3,1,5,4
426,2,3,5,1,4
427,2,3,5,4,1
428,2,3,5,1,4
429,2,4,5,1,3
430,2,3,5,1,4
431,2,5,3,1,4
432,2,3,5,1,4
433,2,3,5,1,4
434,3,2,5,1,4
435,4,3,5,1,2
436,1,3,5,2,4
437,2,4,5,1,3
438,3,2,5,1,4
439,2,3,5,1,4
440,2,3,5,1,4
441,3,2,5,1,4
442,2,3,5,4,1
443,2,3,5,1,4
444,2,3,5,1,4
445,2,3,4,1,5
446,2,3,5,1,4
447,2,3,1,5,4
448,2,4,5,1,3
449,2,3,4,1,5
450,2,5,3,1,4
451,2,3,5,1,4
452,2,3,5,1,4
453,4,3,5,1,2
454,1,3,5,2,4
455,2,4,5,1,3
456,2,3,5,1,4
457,2,3,4,1,5
458,2,5,3,1,4
459,2,3,5,1,4
460,2,3,4,1,5
461,2,1,5,3,4
462,2,5,3,1,4
463,2,3,5,1,4
464,2,3,5,1,4
465,2,3,1,5,4
466,1,3,5,2,4
467,1,3,5,2,4
468,1,3,2,5,4
469,1,3,5,2,4
470,1,2,5,3,4
471,1,3,5,2,4
472,5,3,1,2,4
473,1,2,5,3,4
474,1,4,5,2,3
475,1,3,5,2,4
476,4,3,5,2,1
477,1,3,5,4,2
478,1,3,5,2,4
479,2,3,5,1,4
480,2,4,5,1,3
481,2,3,5,1,4
482,2,3,5,1,4
483,2,5,3,1,4
484,2,5,3,1,4
485,2,3,5,1,4
486,5,3,2,1,4
487,2,3,4,1,5
488,2,3,4,1,5
489,2,5,3,1,4
490,4,3,5,1,2
491,2,1,5,3,4
492,2,3,5,1,4
493,2,3,5,1,4
494,2,3,1,5,4
495,2,3,5,4,1
496,2,3,5,1,4
497,2,5,3,1,4
498,2,3,5,1,4
499,2,3,5,1,4
500,2,3,5,1,4
501,2,5,3,1,4
502,2,3,5,1,4
503,4,3,5,1,2
504,5,3,2,1,4
505,2,3,5,1,4
506,1,3,5,2,4
507,2,3,5,1,4
508,4,3,5,1,2
509,2,1,5,3,4
510,2,3,1,5,4
511,2,3,5,1,4
512,5,3,2,1,4
513,5,3,2,1,4
514,3,2,5,1,4
515,2,3,5,1,4
516,2,3,5,1,4
517,2,3,5,1,4
518,2,3,5,1,4
519,2,3,5,1,4
520,2,4,5,1,3
521,2,3,5,1,4
522,2,3,5,1,4
523,2,3,5,1,4
524,2,3,5,1,4
525,2,4,5,1,3
526,2,3,5,1,4
527,2,3,5,1,4
528,2,3,5,1,4
529,2,3,4,1,5
530,2,3,5,1,4
531,5,3,2,1,4
532,2,3,1,5,4
533,2,3,5,1,4
534,2,1,5,3,4
535,2,3,5,4,1
536,2,4,5,1,3
537,2,3,5,1,4
538,2,5,3,1,4
539,2,3,5,1,4
540,5,3,2,1,4
541,2,1,5,3,4
542,3,2,5,1,4
543,1,3,5,2,4
544,2,3,5,1,4
545,2,3,5,1,4
546,3,2,5,1,4
547,2,5,3,1,4
548,2,3,5,4,1
549,2,3,5,1,4
