iteration,FCI(HIP)-1,GMI(HIP)-3,FCI(Fusi)-5,FCI(PCC)-2,GMI(FUS)-4
1,3,2,4,1,5
2,1,2,4,3,5
3,1,2,4,5,3
4,1,3,4,5,2
5,1,2,4,5,3
6,1,2,4,5,3
7,1,3,4,5,2
8,1,2,4,3,5
9,1,2,3,5,4
10,1,2,3,5,4
11,1,2,3,5,4
12,1,4,2,5,3
13,1,2,4,5,3
14,1,2,4,5,3
15,1,2,5,4,3
16,1,2,4,5,3
17,1,2,4,5,3
18,1,2,5,4,3
19,4,2,1,5,3
20,1,2,4,5,3
21,1,2,4,5,3
22,1,2,4,5,3
23,4,2,1,5,3
24,3,2,4,5,1
25,1,4,2,5,3
26,1,5,4,2,3
27,1,2,4,5,3
28,2,1,4,5,3
29,2,1,4,3,5
30,2,1,4,5,3
31,3,1,4,5,2
32,2,1,4,3,5
33,2,1,4,5,3
34,2,5,4,1,3
35,2,1,4,5,3
36,2,1,4,5,3
37,2,1,4,5,3
38,2,1,4,5,3
39,2,4,1,5,3
40,2,4,1,5,3
41,2,1,4,5,3
42,2,5,4,1,3
43,2,1,4,5,3
44,2,1,4,5,3
45,2,5,4,1,3
46,3,1,4,5,2
47,2,1,4,5,3
48,2,1,4,5,3
49,2,1,4,5,3
50,5,1,4,2,3
51,1,2,4,5,3
52,2,1,4,5,3
53,2,1,4,5,3
54,2,1,4,5,3
55,2,1,4,5,3
56,2,4,1,5,3
57,2,1,4,5,3
58,2,1,5,4,3
59,2,1,4,5,3
60,2,1,4,5,3
61,2,1,4,5,3
62,2,1,4,5,3
63,2,1,4,5,3
64,2,1,4,5,3
65,2,5,4,1,3
66,2,1,4,5,3
67,2,1,4,5,3
68,2,1,3,5,4
69,2,1,3,5,4
70,2,1,4,5,3
71,2,1,5,4,3
72,3,1,4,5,2
73,2,1,4,5,3
74,2,1,4,5,3
75,2,1,4,5,3
76,2,1,4,5,3
77,2,1,4,5,3
78,2,1,4,5,3
79,2,1,4,5,3
80,4,1,2,5,3
81,2,1,4,5,3
82,2,1,4,5,3
83,2,1,3,5,4
84,5,1,4,2,3
85,3,1,4,5,2
86,3,1,4,5,2
87,2,1,4,5,3
88,2,1,5,4,3
89,2,1,4,5,3
90,2,1,3,5,4
91,2,1,4,5,3
92,2,1,4,5,3
93,2,4,1,5,3
94,2,1,4,5,3
95,3,1,4,5,2
96,5,1,4,2,3
97,2,1,4,5,3
98,2,1,4,3,5
99,2,1,3,5,4
100,2,1,4,5,3
101,2,1,4,5,3
102,4,1,2,5,3
103,2,4,1,5,3
104,2,1,3,5,4
105,2,1,4,5,3
106,2,1,4,5,3
107,2,3,4,5,1
108,2,4,1,5,3
109,2,1,4,5,3
110,2,1,5,4,3
111,2,1,4,5,3
112,5,1,4,2,3
113,2,1,4,3,5
114,2,1,4,3,5
115,3,1,4,5,2
116,2,1,5,4,3
117,2,1,3,5,4
118,2,3,4,5,1
119,2,1,4,5,3
120,2,1,4,5,3
121,3,1,4,5,2
122,2,1,3,5,4
123,2,1,4,5,3
124,2,1,4,5,3
125,2,1,4,3,5
126,1,2,4,5,3
127,1,2,5,4,3
128,1,2,4,3,5
129,1,2,4,5,3
130,1,2,4,5,3
131,1,5,4,2,3
132,1,4,2,5,3
133,1,3,4,5,2
134,1,2,4,5,3
135,1,5,4,2,3
136,1,2,4,5,3
137,1,3,4,5,2
138,2,1,4,5,3
139,2,1,4,5,3
140,2,1,4,5,3
141,2,4,1,5,3
142,2,5,4,1,3
143,5,1,4,2,3
144,2,1,4,5,3
145,2,1,4,5,3
146,2,1,4,5,3
147,2,1,4,5,3
148,2,3,4,5,1
149,3,1,4,5,2
150,2,1,4,5,3
151,2,1,4,3,5
152,2,1,4,5,3
153,2,1,4,5,3
154,4,1,2,5,3
155,2,1,4,5,3
156,2,3,4,5,1
157,3,1,4,5,2
158,2,1,4,5,3
159,2,1,4,5,3
160,2,4,1,5,3
161,3,1,4,5,2
162,2,1,4,5,3
163,2,1,4,5,3
164,2,1,5,4,3
165,2,1,4,5,3
166,2,1,4,5,3
167,2,1,4,5,3
168,2,1,4,5,3
169,2,1,4,3,5
170,1,2,4,5,3
171,2,1,4,5,3
172,2,1,3,5,4
173,2,1,3,5,4
174,1,2,4,5,3
175,2,1,4,5,3
176,2,1,4,5,3
177,2,4,1,5,3
178,2,4,1,5,3
179,2,1,4,5,3
180,2,1,4,5,3
181,4,1,2,5,3
182,2,1,4,5,3
