iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,3,2,4,5,1
2,4,2,3,5,1
3,3,4,2,5,1
4,3,2,4,5,1
5,5,2,4,3,1
6,5,2,4,3,1
7,5,2,4,3,1
8,5,2,4,3,1
9,5,2,1,3,4
10,5,2,1,3,4
11,5,2,1,3,4
12,5,2,4,3,1
13,5,2,4,3,1
14,5,2,4,3,1
15,5,2,4,1,3
16,1,2,4,5,3
17,5,2,4,3,1
18,2,5,4,1,3
19,2,5,4,1,3
20,3,5,4,1,2
21,2,5,4,1,3
22,2,5,4,1,3
23,5,2,4,1,3
24,2,5,4,1,3
25,2,1,4,5,3
26,5,2,4,1,3
27,2,5,4,1,3
28,2,5,4,1,3
29,2,5,4,1,3
30,2,3,4,1,5
31,2,5,4,1,3
32,2,5,4,1,3
33,4,5,2,1,3
34,2,5,4,1,3
35,2,1,4,5,3
36,2,5,4,1,3
37,2,5,4,1,3
38,2,5,4,3,1
39,2,5,3,1,4
40,2,5,4,1,3
41,2,5,4,1,3
42,5,2,4,1,3
43,2,5,4,1,3
44,2,1,4,5,3
45,2,5,4,1,3
46,2,1,4,5,3
47,2,5,4,1,3
48,2,3,4,1,5
49,2,5,1,4,3
50,4,5,2,1,3
51,2,5,4,1,3
52,2,5,4,1,3
53,1,5,4,2,3
54,1,5,4,2,3
55,1,3,4,2,5
56,1,5,4,2,3
57,1,5,4,2,3
58,1,5,4,2,3
59,1,5,4,2,3
60,1,5,4,2,3
61,1,5,4,2,3
62,2,5,4,1,3
63,1,5,4,2,3
64,1,5,4,2,3
65,1,5,4,2,3
66,1,5,4,2,3
67,1,5,4,2,3
68,1,3,4,2,5
69,1,5,2,4,3
70,1,5,4,2,3
71,1,5,4,2,3
72,1,5,4,2,3
73,1,5,4,2,3
74,5,1,4,2,3
75,1,5,4,2,3
76,1,5,4,2,3
77,1,3,4,2,5
78,1,5,4,3,2
79,1,5,4,2,3
80,2,5,4,1,3
81,1,5,2,4,3
82,1,5,3,2,4
83,1,5,3,2,4
84,1,5,4,2,3
85,1,5,4,2,3
86,1,5,4,2,3
87,1,5,4,2,3
88,1,5,4,2,3
89,5,1,4,2,3
90,1,5,4,3,2
91,1,5,4,2,3
92,1,5,4,2,3
93,1,4,5,2,3
94,1,4,5,2,3
95,1,4,5,2,3
96,1,4,5,2,3
97,1,4,5,2,3
98,1,4,5,2,3
99,1,4,5,2,3
100,5,4,1,2,3
101,1,4,5,3,2
102,1,3,5,2,4
103,1,3,5,2,4
104,1,4,3,2,5
105,1,4,5,2,3
106,1,3,5,2,4
107,1,2,5,4,3
108,1,4,5,2,3
109,1,4,5,2,3
110,1,4,5,2,3
111,4,1,5,2,3
112,1,4,5,2,3
113,1,4,5,2,3
114,1,4,5,2,3
115,5,4,1,2,3
116,1,4,5,2,3
117,1,4,5,2,3
118,1,4,5,2,3
119,1,4,5,3,2
120,1,4,5,2,3
121,1,4,5,2,3
122,1,4,5,2,3
123,1,4,5,2,3
124,3,4,5,2,1
125,1,2,5,4,3
126,1,2,5,4,3
127,1,4,5,2,3
128,1,5,4,2,3
129,1,4,5,2,3
130,1,4,5,2,3
131,1,4,5,2,3
132,1,4,5,2,3
133,1,4,5,2,3
134,1,4,5,3,2
135,1,4,2,5,3
136,1,4,3,2,5
137,1,4,5,2,3
138,1,4,5,2,3
139,3,4,5,2,1
140,1,4,5,2,3
141,1,4,5,2,3
142,1,4,5,2,3
143,3,4,5,2,1
144,1,4,5,2,3
145,1,4,5,2,3
146,1,4,5,3,2
147,5,4,1,2,3
148,1,4,3,2,5
149,1,3,5,2,4
150,1,4,5,2,3
151,1,4,5,2,3
152,1,4,5,2,3
153,1,4,5,2,3
154,1,5,4,2,3
155,1,4,5,2,3
156,5,4,1,2,3
157,1,4,5,2,3
158,2,4,5,1,3
159,1,2,5,4,3
160,1,4,5,2,3
161,2,4,5,1,3
162,1,4,5,2,3
163,1,4,5,3,2
164,1,4,5,2,3
165,1,4,5,2,3
166,1,5,4,2,3
167,1,4,5,2,3
168,1,4,5,2,3
169,1,4,5,2,3
170,1,4,5,2,3
171,1,4,5,2,3
172,1,4,5,2,3
173,1,4,5,2,3
174,1,4,5,2,3
175,1,4,5,2,3
