iteration,all_current_accepted_likelihoods
1,-1520.5929997816875
2,-1046.0752298993998
3,-1046.0752298993998
4,-1046.0752298993998
5,-1042.6891083725409
6,-1026.9365873705879
7,-1027.4500029773978
8,-1027.4500029773978
9,-1027.4500029773978
10,-1027.4500029773978
11,-1027.4500029773978
12,-1027.4500029773978
13,-1027.4500029773978
14,-1027.4500029773978
15,-1027.4500029773978
16,-1028.324888725772
17,-1028.0420552127632
18,-1028.0420552127632
19,-1028.0420552127632
20,-1028.0420552127632
21,-1028.0420552127632
22,-1028.0420552127632
23,-1028.0867572363159
24,-1028.0867572363159
25,-1028.0867572363159
26,-1028.0867572363159
27,-1028.0867572363159
28,-1028.0867572363159
29,-1028.0867572363159
30,-1028.0867572363159
31,-1028.0867572363159
32,-1028.0867572363159
33,-1028.0867572363159
34,-1028.0867572363159
35,-1028.0867572363159
36,-1028.0867572363159
37,-1028.0867572363159
38,-1028.0867572363159
39,-1029.470692650603
40,-1029.470692650603
41,-1029.470692650603
42,-1029.470692650603
43,-1029.470692650603
44,-1029.470692650603
45,-1029.470692650603
46,-1029.75119240306
47,-1029.75119240306
48,-1029.75119240306
49,-1029.75119240306
50,-1029.75119240306
51,-1030.737743076378
52,-1030.737743076378
53,-1030.737743076378
54,-1027.6037634608765
55,-1027.6037634608765
56,-1027.6037634608765
57,-1027.6037634608765
58,-1027.6037634608765
59,-1027.6037634608765
60,-1027.6037634608765
61,-1027.6037634608765
62,-1027.6037634608765
63,-971.9746982243921
64,-971.9746982243921
65,-971.9746982243921
66,-971.9746982243921
67,-971.9746982243921
68,-971.9746982243921
69,-971.1237963946743
70,-971.1237963946743
71,-971.1237963946743
72,-971.1237963946743
73,-971.1237963946743
74,-971.1237963946743
75,-971.4348228325465
76,-971.4348228325465
77,-971.4348228325465
78,-971.4348228325465
79,-971.4348228325465
80,-971.4348228325465
81,-971.4348228325465
82,-971.4348228325465
83,-971.4348228325465
84,-971.4348228325465
85,-969.2013788405562
86,-970.5257105109541
87,-971.8421384975134
88,-971.8421384975134
89,-971.8421384975134
90,-971.8421384975134
91,-971.8421384975134
92,-971.8421384975134
93,-971.8421384975134
94,-971.8421384975134
95,-971.8421384975134
96,-971.8421384975134
97,-971.8421384975134
98,-970.6997441374334
99,-970.6997441374334
100,-970.6997441374334
101,-971.4432692840321
102,-971.7890729981726
103,-971.7890729981726
104,-971.7890729981726
105,-971.7890729981726
106,-972.4196267260019
107,-971.5672938082624
108,-971.5672938082624
109,-971.5672938082624
110,-971.5672938082624
111,-971.5672938082624
112,-971.5672938082624
113,-971.5672938082624
114,-972.6961040286147
115,-972.6961040286147
116,-972.6961040286147
117,-971.4432692840321
118,-971.7890729981726
119,-970.6546574528578
120,-971.3152213154003
121,-971.8692437070735
122,-971.9283993264006
123,-971.9283993264006
124,-971.9283993264006
125,-971.9283993264006
126,-971.9283993264006
127,-971.0854778825391
128,-971.0854778825391
129,-971.0854778825391
130,-971.0854778825391
131,-971.0854778825391
132,-971.0854778825391
133,-971.0854778825391
134,-971.0854778825391
135,-972.4346097113574
136,-972.3716921440189
137,-972.3716921440189
138,-972.3716921440189
139,-971.0904588206326
140,-971.3957916635295
141,-971.3358609946846
142,-971.6407075494474
143,-971.6407075494474
144,-971.6407075494474
145,-971.6407075494474
146,-971.6407075494474
147,-971.6407075494474
148,-971.6407075494474
149,-971.6407075494474
150,-971.6407075494474
151,-971.6407075494474
152,-970.7745352037603
153,-971.215171781313
154,-971.215171781313
155,-971.215171781313
156,-972.4827153015204
157,-972.1978887594174
158,-972.1978887594174
159,-972.1978887594174
160,-972.1978887594174
161,-972.5253683289793
162,-972.5253683289793
163,-972.5253683289793
164,-972.5253683289793
165,-972.5253683289793
166,-972.5253683289793
167,-972.5253683289793
168,-971.9710539692032
169,-971.9710539692032
170,-971.9710539692032
171,-971.0125993107665
172,-971.3358609946846
173,-971.3358609946846
174,-971.3358609946846
175,-971.3358609946846
176,-971.3358609946846
177,-971.3358609946846
178,-971.3358609946846
179,-971.3358609946846
180,-970.7345814820073
181,-970.7345814820073
182,-970.7345814820073
183,-970.7345814820073
184,-970.7345814820073
185,-970.7345814820073
186,-970.7345814820073
187,-970.7345814820073
188,-970.7345814820073
189,-970.7345814820073
190,-972.0697620253712
191,-972.0697620253712
192,-972.0697620253712
193,-972.0697620253712
194,-972.0697620253712
195,-972.0697620253712
196,-972.0697620253712
197,-972.0697620253712
198,-972.0697620253712
199,-972.0697620253712
200,-972.0697620253712
201,-972.0697620253712
202,-972.0697620253712
203,-972.0697620253712
204,-972.0697620253712
205,-972.0697620253712
206,-972.0697620253712
207,-972.0697620253712
208,-973.3365774077928
209,-973.3365774077928
210,-973.3365774077928
211,-973.3365774077928
212,-973.3365774077928
213,-973.3365774077928
214,-973.3365774077928
215,-971.8013745225331
216,-971.8013745225331
217,-971.8013745225331
218,-971.0904588206326
219,-971.0904588206326
220,-971.0904588206326
221,-971.0904588206326
222,-970.9041792191579
223,-971.7106220752501
224,-971.9283993264006
225,-971.9283993264006
226,-971.9283993264006
227,-972.4827153015204
228,-972.1978887594174
229,-972.1978887594174
230,-972.1978887594174
231,-972.1978887594174
232,-971.8013745225331
233,-972.0283586644454
234,-972.0283586644454
235,-972.0283586644454
236,-972.0283586644454
237,-972.0283586644454
238,-972.0283586644454
239,-971.586763090868
240,-971.586763090868
241,-971.586763090868
242,-971.586763090868
243,-973.1777441257666
244,-971.5905877700958
245,-972.0283733889933
246,-972.0283586644454
247,-972.0283586644454
248,-972.0283586644454
249,-972.0283586644454
250,-972.0283586644454
251,-972.0283586644454
252,-972.0283586644454
253,-972.0283586644454
254,-972.0283586644454
255,-972.0283586644454
256,-972.0283586644454
257,-972.0283586644454
258,-972.0283586644454
259,-972.0283586644454
260,-972.0283586644454
261,-972.0283586644454
262,-972.0283586644454
263,-972.6016253706101
264,-972.1978887594174
265,-972.0283586644454
266,-972.0283586644454
267,-972.0283586644454
268,-972.0283586644454
269,-972.0283586644454
270,-972.0283586644454
271,-972.0283586644454
272,-972.0283586644454
273,-972.007785692945
274,-972.007785692945
275,-972.007785692945
276,-972.007785692945
277,-972.007785692945
278,-972.007785692945
279,-972.007785692945
280,-972.007785692945
281,-973.1468163069366
282,-973.1468163069366
283,-973.1468163069366
284,-970.7852881063156
285,-970.7852881063156
286,-970.7852881063156
287,-970.7852881063156
288,-970.7852881063156
289,-970.7852881063156
290,-970.7852881063156
291,-970.7852881063156
292,-970.7852881063156
293,-970.7852881063156
294,-970.3648491562946
295,-971.5672938082624
296,-971.3358609946846
297,-971.6407075494474
298,-971.6407075494474
299,-971.6407075494474
300,-971.6407075494474
301,-971.6407075494474
302,-971.6407075494474
303,-971.6407075494474
304,-971.6407075494474
305,-971.6407075494474
306,-971.6407075494474
307,-972.0678030746706
308,-972.0678030746706
309,-972.0678030746706
310,-972.0678030746706
311,-972.0678030746706
312,-972.0678030746706
313,-972.0678030746706
314,-972.0678030746706
315,-972.0678030746706
316,-972.0678030746706
317,-971.8966270425126
318,-971.8966270425126
319,-971.8966270425126
320,-971.8966270425126
321,-971.8966270425126
322,-971.8966270425126
323,-971.8966270425126
324,-971.8966270425126
325,-971.8966270425126
326,-971.8966270425126
327,-971.8966270425126
328,-971.8966270425126
329,-971.1631770709542
330,-971.7106220752501
331,-971.9283993264006
332,-971.9283993264006
333,-971.9283993264006
334,-971.9283993264006
335,-971.9283993264006
336,-971.1079614449056
337,-971.3152213154003
338,-971.8692437070735
339,-971.9283993264006
340,-971.9283993264006
341,-971.9283993264006
342,-971.9283993264006
343,-971.9283993264006
344,-971.9283993264006
345,-971.9283993264006
346,-970.6301096543307
347,-970.6301096543307
348,-970.6301096543307
349,-970.6301096543307
350,-970.6301096543307
351,-970.6301096543307
352,-970.6301096543307
353,-970.6301096543307
354,-970.7166756496756
355,-970.8567419905862
356,-970.8567419905862
357,-970.8567419905862
358,-970.8567419905862
359,-970.8567419905862
360,-970.8567419905862
361,-970.8567419905862
362,-970.8567419905862
363,-970.8567419905862
364,-970.8567419905862
365,-970.8567419905862
366,-970.8567419905862
367,-970.8567419905862
368,-970.8567419905862
369,-970.8567419905862
370,-970.8567419905862
371,-970.8567419905862
372,-970.6091126361449
373,-971.3957916635295
374,-971.3358609946846
375,-971.6407075494474
376,-971.6407075494474
377,-971.6407075494474
378,-971.6407075494474
379,-971.6407075494474
380,-971.6407075494474
381,-971.6407075494474
382,-971.6407075494474
383,-970.7852881063156
384,-970.7852881063156
385,-970.7852881063156
386,-970.7852881063156
387,-970.7852881063156
388,-970.7852881063156
389,-971.8447999224613
390,-971.8447999224613
391,-971.8447999224613
392,-971.8447999224613
393,-969.186672711404
394,-969.186672711404
395,-969.186672711404
396,-969.186672711404
397,-969.186672711404
398,-969.186672711404
399,-969.186672711404
400,-969.186672711404
401,-969.186672711404
402,-969.186672711404
403,-969.186672711404
404,-969.186672711404
405,-969.186672711404
406,-969.186672711404
407,-969.186672711404
408,-969.186672711404
409,-969.186672711404
410,-969.186672711404
411,-969.186672711404
412,-969.186672711404
413,-969.186672711404
414,-969.186672711404
415,-969.186672711404
416,-969.186672711404
417,-969.186672711404
418,-969.186672711404
419,-969.186672711404
420,-969.186672711404
421,-969.186672711404
422,-969.186672711404
423,-969.186672711404
424,-969.186672711404
425,-969.186672711404
426,-969.186672711404
427,-969.186672711404
428,-969.186672711404
429,-969.186672711404
430,-969.186672711404
431,-969.186672711404
432,-969.186672711404
433,-969.186672711404
434,-969.186672711404
435,-969.186672711404
436,-969.186672711404
437,-969.186672711404
438,-969.186672711404
439,-969.186672711404
440,-969.186672711404
441,-969.186672711404
442,-969.186672711404
443,-969.186672711404
444,-969.186672711404
445,-969.186672711404
446,-969.186672711404
447,-969.186672711404
448,-969.186672711404
449,-969.186672711404
450,-969.186672711404
451,-969.186672711404
452,-969.186672711404
453,-969.186672711404
454,-969.186672711404
455,-969.186672711404
456,-969.186672711404
457,-969.186672711404
458,-969.186672711404
459,-969.186672711404
460,-969.186672711404
461,-969.186672711404
462,-969.186672711404
463,-968.8212525270015
464,-968.8212525270015
465,-968.8212525270015
466,-969.5539204948731
467,-969.5539204948731
468,-969.5539204948731
469,-969.5539204948731
470,-969.5539204948731
471,-969.5539204948731
472,-969.5539204948731
473,-969.5539204948731
474,-969.5539204948731
475,-969.5539204948731
476,-969.8605748693728
477,-969.8605748693728
478,-969.8605748693728
479,-965.8058040918255
480,-966.1924145229589
481,-966.2334748153296
482,-966.2334748153296
483,-966.2334748153296
484,-966.2334748153296
485,-966.2334748153296
486,-966.2334748153296
487,-966.2334748153296
488,-965.9152441661255
489,-966.4077578476416
490,-966.4077578476416
491,-966.4077578476416
492,-966.4077578476416
493,-966.4077578476416
494,-966.4077578476416
495,-966.4077578476416
496,-966.4077578476416
497,-966.4077578476416
498,-966.4077578476416
499,-966.4077578476416
500,-966.4077578476416
501,-966.4077578476416
502,-966.4077578476416
503,-966.6285492236649
504,-966.6285492236649
505,-968.1570093894114
506,-968.032689940213
507,-967.8874331072395
508,-967.7484181224914
509,-967.7484181224914
510,-967.7484181224914
511,-967.3952052427748
512,-967.6038625470966
513,-967.8722431883858
514,-967.8351581911128
515,-967.8351581911128
516,-967.8351581911128
517,-967.8351581911128
518,-967.8351581911128
519,-967.8351581911128
520,-967.8351581911128
521,-967.8351581911128
522,-966.7822934327604
523,-967.3742719456213
524,-967.9417126405375
525,-967.6979500687113
526,-967.9684923171293
527,-967.9906065538236
528,-967.9906065538236
529,-967.9906065538236
530,-967.9906065538236
531,-967.9906065538236
532,-967.9906065538236
533,-967.9906065538236
534,-967.9906065538236
535,-967.9906065538236
536,-967.308581084031
537,-967.308581084031
538,-967.308581084031
539,-967.308581084031
540,-967.308581084031
541,-967.308581084031
542,-967.308581084031
543,-967.308581084031
544,-967.308581084031
545,-967.308581084031
546,-967.308581084031
547,-967.308581084031
548,-968.9261717529521
549,-968.8879677502241
550,-968.8879677502241
551,-968.8879677502241
552,-968.5810565744836
553,-968.7340792232663
554,-968.9242709136262
555,-968.9242709136262
556,-968.9242709136262
557,-968.5810565744836
558,-968.7340792232663
559,-968.9242709136262
560,-968.9242709136262
561,-968.9242709136262
562,-968.9242709136262
563,-968.9242709136262
564,-968.9242709136262
565,-968.9242709136262
566,-968.9242709136262
567,-968.9242709136262
568,-968.9242709136262
569,-968.9242709136262
570,-968.9242709136262
571,-968.9242709136262
572,-968.9242709136262
573,-969.1136301660607
574,-967.4455181020605
575,-967.7484181224914
576,-967.7484181224914
