iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,2,4,3,1,5
2,1,4,3,2,5
3,1,4,3,2,5
4,1,4,3,2,5
5,1,4,3,2,5
6,1,4,3,2,5
7,1,4,3,2,5
8,1,4,3,2,5
9,1,4,5,2,3
10,1,4,5,2,3
11,1,4,5,2,3
12,1,4,5,2,3
13,1,4,5,2,3
14,1,4,5,2,3
15,1,4,5,2,3
16,1,4,5,2,3
17,1,4,5,2,3
18,1,4,5,2,3
19,1,4,5,2,3
20,1,4,5,2,3
21,1,4,5,2,3
22,1,4,5,2,3
23,1,4,5,2,3
24,1,4,5,2,3
25,1,4,5,2,3
26,1,4,5,2,3
27,1,4,5,2,3
28,1,4,5,2,3
29,1,4,5,2,3
30,1,4,5,2,3
31,1,4,5,2,3
32,1,4,5,2,3
33,1,4,5,2,3
34,1,4,5,2,3
35,1,4,5,2,3
36,1,4,5,2,3
37,1,4,5,2,3
38,1,4,5,2,3
39,1,4,5,2,3
40,1,4,5,2,3
41,1,4,5,2,3
42,1,4,5,2,3
43,1,4,5,2,3
44,1,4,5,2,3
45,1,4,5,2,3
46,1,4,5,2,3
47,1,4,5,2,3
48,1,4,5,2,3
49,1,4,5,2,3
50,1,4,5,2,3
51,1,4,5,2,3
52,1,4,5,2,3
53,1,4,5,2,3
54,1,4,5,2,3
55,1,4,5,2,3
56,1,4,5,2,3
57,1,4,5,2,3
58,1,4,5,2,3
59,1,4,5,2,3
60,1,4,5,2,3
61,1,4,5,2,3
62,1,4,5,2,3
63,1,4,5,2,3
64,1,4,5,2,3
65,1,4,5,2,3
66,1,4,5,2,3
67,1,4,5,2,3
68,1,5,4,2,3
69,1,5,4,2,3
70,1,5,4,2,3
71,1,5,4,2,3
72,1,5,4,2,3
73,1,5,4,2,3
74,1,5,4,2,3
75,1,5,4,2,3
76,1,5,4,2,3
77,1,5,4,2,3
78,1,5,4,2,3
79,1,5,4,2,3
80,1,5,4,2,3
81,1,5,4,2,3
82,1,5,4,2,3
83,1,5,4,2,3
84,1,5,4,2,3
85,1,5,4,2,3
86,1,5,4,2,3
87,1,5,4,2,3
88,1,5,4,2,3
89,1,5,4,2,3
90,1,5,4,2,3
91,1,5,4,2,3
92,1,5,4,2,3
93,1,5,4,2,3
94,1,5,4,2,3
95,1,5,4,2,3
96,1,5,4,2,3
97,1,5,4,2,3
98,1,5,4,2,3
99,1,5,4,2,3
100,1,5,4,2,3
101,1,5,4,2,3
102,1,5,4,2,3
103,1,5,4,2,3
104,1,5,4,2,3
105,1,5,4,2,3
106,1,5,4,2,3
107,1,5,4,2,3
108,1,5,4,2,3
109,1,5,4,2,3
110,1,5,4,2,3
111,1,5,4,2,3
112,1,5,4,2,3
113,1,5,4,2,3
114,1,5,4,2,3
115,1,5,4,2,3
116,1,5,4,2,3
117,1,5,4,2,3
118,1,5,4,2,3
119,1,5,4,2,3
120,1,5,4,2,3
121,1,5,4,2,3
122,1,5,4,2,3
123,1,5,4,2,3
124,1,5,4,2,3
125,1,5,4,2,3
126,1,5,4,2,3
127,1,5,4,2,3
128,1,5,4,2,3
129,1,5,4,2,3
130,1,5,4,2,3
131,1,5,4,2,3
132,1,5,4,2,3
133,1,5,4,2,3
134,1,5,4,2,3
135,1,5,4,2,3
136,1,5,4,2,3
137,1,5,4,2,3
138,1,5,4,2,3
139,1,5,4,2,3
140,1,5,4,2,3
141,1,5,4,2,3
142,1,5,4,2,3
143,1,5,4,2,3
144,1,5,4,2,3
145,1,5,4,2,3
146,1,5,4,2,3
147,1,5,4,2,3
148,1,5,4,2,3
149,1,5,4,2,3
150,1,5,4,2,3
151,1,5,4,2,3
152,1,5,4,2,3
153,1,5,4,2,3
154,1,5,4,2,3
155,1,5,4,2,3
156,1,5,4,2,3
157,1,5,4,2,3
158,1,5,4,2,3
159,1,5,4,2,3
160,1,5,4,2,3
161,1,5,4,2,3
162,1,5,4,2,3
163,1,5,4,2,3
164,1,5,4,2,3
165,1,5,4,2,3
166,1,5,4,2,3
167,1,5,4,2,3
168,1,5,4,2,3
169,1,5,4,2,3
170,1,5,4,2,3
171,1,5,4,2,3
172,1,5,4,2,3
173,1,5,4,2,3
174,1,5,4,2,3
175,1,5,4,2,3
176,1,5,4,2,3
177,1,5,4,2,3
178,1,5,4,2,3
179,1,5,4,2,3
180,1,5,4,2,3
181,1,5,4,2,3
182,1,5,4,2,3
183,1,5,4,2,3
184,1,5,4,2,3
185,1,5,4,2,3
186,1,3,4,2,5
187,1,3,4,2,5
188,1,3,4,2,5
189,1,3,4,2,5
190,1,3,4,2,5
191,1,3,4,2,5
192,1,3,4,2,5
193,1,3,4,2,5
194,1,3,4,2,5
195,1,3,4,2,5
196,1,3,4,2,5
197,1,3,4,2,5
198,1,3,4,2,5
199,1,3,4,2,5
200,1,3,4,2,5
201,1,3,4,2,5
202,1,3,4,2,5
203,1,3,4,2,5
204,1,3,4,2,5
205,1,3,4,2,5
206,1,3,4,2,5
207,1,3,4,2,5
208,1,3,4,2,5
209,1,3,4,2,5
210,1,3,4,2,5
211,1,3,4,2,5
212,1,3,4,2,5
213,1,3,4,2,5
214,1,3,4,2,5
215,1,3,4,2,5
216,1,3,4,2,5
217,1,3,4,2,5
218,1,3,4,2,5
219,1,3,4,2,5
220,1,3,4,2,5
221,1,3,4,2,5
222,1,3,4,2,5
223,1,3,4,2,5
224,1,3,4,2,5
225,1,3,4,2,5
226,1,3,4,2,5
227,1,3,4,2,5
228,1,3,4,2,5
229,1,3,4,2,5
230,1,3,4,2,5
231,1,3,4,2,5
232,1,3,4,2,5
233,1,3,4,2,5
234,1,3,4,2,5
235,1,3,4,2,5
236,1,3,4,2,5
237,1,3,4,2,5
238,1,3,4,2,5
239,1,3,4,2,5
240,1,3,4,2,5
241,1,3,4,2,5
242,1,3,4,2,5
243,1,3,4,2,5
244,1,3,4,2,5
245,1,3,4,2,5
246,1,3,4,2,5
247,1,3,4,2,5
248,1,3,4,2,5
249,1,3,4,2,5
250,1,3,4,2,5
251,1,3,4,2,5
252,1,3,4,2,5
253,1,3,4,2,5
254,1,3,4,2,5
255,1,3,4,2,5
256,1,3,4,2,5
257,1,3,4,2,5
258,1,3,4,2,5
259,1,3,4,2,5
260,1,3,4,2,5
261,1,3,4,2,5
262,1,3,4,2,5
263,1,3,4,2,5
264,1,3,4,2,5
265,1,3,4,2,5
266,1,3,4,2,5
267,1,3,4,2,5
268,1,3,4,2,5
269,1,3,4,2,5
270,1,3,4,2,5
271,1,3,4,2,5
272,1,3,4,2,5
273,1,3,4,2,5
274,1,3,4,2,5
275,1,3,4,2,5
276,1,3,4,2,5
277,1,3,4,2,5
278,1,3,4,2,5
279,1,3,4,2,5
280,1,3,4,2,5
281,1,3,4,2,5
282,1,3,4,2,5
283,1,3,4,2,5
284,1,3,4,2,5
285,1,3,4,2,5
286,1,3,4,2,5
287,1,3,4,2,5
288,1,3,4,2,5
289,1,3,4,2,5
290,1,3,4,2,5
291,1,3,4,2,5
292,1,3,4,2,5
293,1,3,4,2,5
294,1,3,4,2,5
295,1,3,4,2,5
296,1,3,4,2,5
297,1,3,4,2,5
298,1,3,4,2,5
299,1,3,4,2,5
300,1,3,4,2,5
301,1,3,4,2,5
302,1,3,4,2,5
303,1,3,4,2,5
304,1,3,4,2,5
305,1,3,4,2,5
306,1,3,4,2,5
307,1,3,4,2,5
308,1,3,4,2,5
309,1,3,4,2,5
310,1,3,4,2,5
311,1,3,4,2,5
312,1,3,4,2,5
313,1,3,4,2,5
314,1,3,4,2,5
315,1,3,4,2,5
316,1,3,4,2,5
317,1,3,4,2,5
318,1,3,4,2,5
319,1,3,4,2,5
320,1,3,4,2,5
321,1,3,4,2,5
322,1,3,4,2,5
323,1,3,4,2,5
324,1,3,4,2,5
325,1,3,4,2,5
326,1,3,4,2,5
327,1,3,5,2,4
328,1,3,5,2,4
329,1,3,5,2,4
330,1,3,5,2,4
331,1,3,5,2,4
332,1,3,5,2,4
333,1,3,5,2,4
334,1,3,5,2,4
335,1,3,5,2,4
336,1,3,5,2,4
337,1,3,5,2,4
338,1,3,5,2,4
339,1,3,5,2,4
340,1,3,5,2,4
341,1,3,5,2,4
342,1,3,5,2,4
343,1,3,5,2,4
344,1,3,5,2,4
345,1,3,5,2,4
346,1,3,5,2,4
347,1,3,5,2,4
348,1,3,5,2,4
349,1,3,5,2,4
350,1,3,5,2,4
351,1,3,5,2,4
352,1,3,5,2,4
353,1,3,5,2,4
354,1,3,5,2,4
355,1,3,5,2,4
356,1,3,5,2,4
357,1,3,5,2,4
358,1,3,5,2,4
359,1,3,5,2,4
360,1,3,5,2,4
361,1,3,5,2,4
362,1,3,5,2,4
363,1,3,5,2,4
364,1,3,5,2,4
365,1,3,5,2,4
366,1,3,5,2,4
367,1,3,5,2,4
368,1,3,5,2,4
369,1,3,5,2,4
370,1,3,5,2,4
371,1,3,5,2,4
372,1,3,5,2,4
373,1,3,5,2,4
374,1,3,5,2,4
375,1,3,5,2,4
376,1,3,5,2,4
377,1,3,5,2,4
378,1,3,5,2,4
379,1,3,5,2,4
380,1,3,5,2,4
381,1,3,5,2,4
382,1,3,5,2,4
383,1,3,5,2,4
384,1,3,5,2,4
385,1,3,5,2,4
386,1,3,5,2,4
387,1,3,5,2,4
388,1,3,5,2,4
389,1,3,5,2,4
390,1,3,5,2,4
391,1,3,5,2,4
392,1,3,5,2,4
393,1,3,5,2,4
394,1,3,5,2,4
395,1,3,5,2,4
396,1,3,5,2,4
397,1,3,5,2,4
398,1,3,5,2,4
399,1,3,5,2,4
400,1,3,5,2,4
401,1,3,5,2,4
402,1,3,5,2,4
403,1,3,5,2,4
404,1,3,5,2,4
405,1,3,5,2,4
406,1,3,5,2,4
407,1,3,5,2,4
408,1,3,5,2,4
409,1,3,5,2,4
410,1,3,5,2,4
411,1,3,5,2,4
412,1,3,5,2,4
413,1,3,5,2,4
414,1,3,5,2,4
415,1,3,5,2,4
416,1,3,5,2,4
417,1,3,5,2,4
418,1,3,5,2,4
419,1,3,5,2,4
420,1,3,5,2,4
421,1,3,5,2,4
422,1,3,5,2,4
423,1,3,5,2,4
424,1,3,5,2,4
425,1,3,5,2,4
426,1,3,5,2,4
427,1,3,5,2,4
428,1,3,5,2,4
429,1,3,5,2,4
430,1,3,5,2,4
431,1,3,5,2,4
432,1,3,5,2,4
433,1,3,5,2,4
434,1,3,5,2,4
435,1,3,5,2,4
436,1,3,5,2,4
437,1,3,5,2,4
438,1,3,5,2,4
439,1,3,5,2,4
440,1,3,5,2,4
441,1,3,5,2,4
442,1,3,5,2,4
443,1,3,5,2,4
444,1,3,5,2,4
445,1,3,5,2,4
446,1,3,5,2,4
447,1,3,5,2,4
448,1,3,5,2,4
449,1,3,5,2,4
450,1,3,5,2,4
451,1,3,5,2,4
452,1,3,5,2,4
453,1,3,5,2,4
454,1,3,5,2,4
455,1,3,5,2,4
456,1,3,5,2,4
457,1,3,5,2,4
458,1,3,5,2,4
459,1,3,5,2,4
460,1,3,5,2,4
461,1,3,5,2,4
462,1,3,5,2,4
463,1,3,5,2,4
464,1,3,5,2,4
465,1,3,5,2,4
466,1,3,5,2,4
467,1,3,5,2,4
468,1,3,5,2,4
469,1,3,5,2,4
470,1,3,5,2,4
471,1,3,5,2,4
472,1,3,5,2,4
473,1,3,5,2,4
474,1,3,5,2,4
475,1,3,5,2,4
476,1,3,5,2,4
477,1,3,5,2,4
478,1,3,5,2,4
479,1,3,5,2,4
480,1,3,5,2,4
481,1,3,5,2,4
482,1,3,5,2,4
483,1,3,5,2,4
484,1,3,5,2,4
485,1,3,5,2,4
486,1,3,5,2,4
487,1,3,5,2,4
488,1,3,5,2,4
489,1,3,5,2,4
490,1,3,5,2,4
491,1,3,5,2,4
492,1,3,5,2,4
493,1,3,5,2,4
494,1,3,5,2,4
495,1,3,5,2,4
496,1,3,5,2,4
497,1,3,5,2,4
498,1,3,5,2,4
499,1,3,5,2,4
500,1,3,5,2,4
501,1,3,5,2,4
502,1,3,5,2,4
503,1,3,5,2,4
504,1,3,5,2,4
505,1,3,5,2,4
506,1,3,5,2,4
507,1,3,5,2,4
508,1,3,5,2,4
509,1,3,5,2,4
510,1,3,5,2,4
511,1,3,5,2,4
512,1,3,5,2,4
513,1,3,5,2,4
514,1,3,5,2,4
515,1,3,5,2,4
516,1,3,5,2,4
517,1,3,5,2,4
518,1,3,5,2,4
519,1,3,5,2,4
520,1,3,5,2,4
521,1,3,5,2,4
522,1,3,5,2,4
523,1,3,5,2,4
524,1,3,5,2,4
525,1,3,5,2,4
526,1,3,5,2,4
527,1,3,5,2,4
528,1,3,5,2,4
529,1,3,5,2,4
530,1,3,5,2,4
531,1,3,5,2,4
532,1,3,5,2,4
533,1,3,5,2,4
534,1,3,5,2,4
535,1,3,5,2,4
536,1,3,5,2,4
537,1,3,5,2,4
538,1,3,5,2,4
539,1,3,5,2,4
540,1,3,5,2,4
541,1,3,5,2,4
542,1,3,5,2,4
543,1,3,5,2,4
544,1,3,5,2,4
545,1,3,5,2,4
546,1,3,5,2,4
547,1,3,5,2,4
548,1,3,5,2,4
549,1,3,5,2,4
550,1,3,5,2,4
551,1,3,5,2,4
552,1,3,5,2,4
553,1,3,5,2,4
554,1,3,5,2,4
555,1,3,5,2,4
556,1,3,5,2,4
557,1,3,5,2,4
558,1,3,5,2,4
559,1,3,5,2,4
560,1,3,5,2,4
561,1,3,5,2,4
562,1,3,5,2,4
563,1,3,5,2,4
564,1,3,5,2,4
565,1,3,5,2,4
566,1,3,5,2,4
567,1,3,5,2,4
568,1,3,5,2,4
569,1,3,5,2,4
570,1,3,5,2,4
571,1,3,5,2,4
572,1,3,5,2,4
573,1,3,5,2,4
574,1,3,5,2,4
575,1,3,5,2,4
576,1,3,5,2,4
577,1,3,5,2,4
578,1,3,5,2,4
579,1,3,5,2,4
580,1,3,5,2,4
581,1,3,5,2,4
582,1,3,5,2,4
583,1,3,5,2,4
584,1,3,5,2,4
585,1,3,5,2,4
586,1,3,5,2,4
587,1,3,5,2,4
588,1,3,5,2,4
589,1,3,5,2,4
590,1,3,5,2,4
591,1,3,5,2,4
592,1,3,5,2,4
593,1,3,5,2,4
594,1,3,5,2,4
595,1,3,5,2,4
596,1,3,5,2,4
597,1,3,5,2,4
598,1,3,5,2,4
599,1,3,5,2,4
600,1,3,5,2,4
601,1,3,5,2,4
602,1,3,5,2,4
603,1,3,5,2,4
604,1,3,5,2,4
605,1,3,5,2,4
606,1,3,5,2,4
607,1,3,5,2,4
608,1,3,5,2,4
609,1,3,5,2,4
610,1,3,5,2,4
611,1,3,5,2,4
612,1,3,5,2,4
613,1,3,5,2,4
614,1,3,5,2,4
615,1,3,5,2,4
616,1,3,5,2,4
617,1,3,5,2,4
618,1,3,5,2,4
619,1,3,5,2,4
620,1,3,5,2,4
621,1,3,5,2,4
622,1,3,5,2,4
623,1,3,5,2,4
624,1,3,5,2,4
625,1,3,5,2,4
626,1,3,5,2,4
627,1,3,5,2,4
628,1,3,5,2,4
629,1,3,5,2,4
630,1,3,5,2,4
631,1,3,5,2,4
632,1,3,5,2,4
633,1,3,5,2,4
634,1,3,5,2,4
635,1,3,5,2,4
636,1,3,5,2,4
637,1,3,5,2,4
638,1,3,5,2,4
639,1,3,5,2,4
640,1,3,5,2,4
641,1,3,5,2,4
642,1,3,5,2,4
643,1,3,5,2,4
644,1,3,5,2,4
645,1,3,5,2,4
646,1,3,5,2,4
647,1,3,5,2,4
648,1,3,5,2,4
649,1,3,5,2,4
650,1,3,5,2,4
651,1,3,5,2,4
652,1,3,5,2,4
653,1,3,5,2,4
654,1,3,5,2,4
655,1,3,5,2,4
656,1,3,5,2,4
657,1,3,5,2,4
658,1,3,5,2,4
659,1,3,5,2,4
660,1,3,5,2,4
661,1,3,5,2,4
662,1,3,5,2,4
663,1,3,5,2,4
664,1,3,5,2,4
665,1,3,5,2,4
666,1,3,5,2,4
667,1,3,5,2,4
668,1,3,5,2,4
669,1,3,5,2,4
670,1,3,5,2,4
671,1,3,5,2,4
672,1,3,5,2,4
673,1,3,5,2,4
674,1,3,5,2,4
675,1,3,5,2,4
676,1,3,5,2,4
677,1,3,5,2,4
678,1,3,5,2,4
679,1,3,5,2,4
680,1,3,5,2,4
681,1,3,5,2,4
682,1,3,5,2,4
683,1,3,5,2,4
684,1,3,5,2,4
685,1,3,5,2,4
686,1,3,5,2,4
687,1,3,5,2,4
688,1,3,5,2,4
689,1,3,5,2,4
690,1,3,5,2,4
691,1,3,5,2,4
692,1,3,5,2,4
693,1,3,5,2,4
694,1,3,5,2,4
695,1,3,5,2,4
696,1,3,5,2,4
697,1,3,5,2,4
698,1,3,5,2,4
699,1,3,5,2,4
700,1,3,5,2,4
701,1,3,5,2,4
702,1,3,5,2,4
703,1,3,5,2,4
704,1,3,5,2,4
705,1,3,5,2,4
706,1,3,5,2,4
707,1,3,5,2,4
708,1,3,5,2,4
709,1,3,5,2,4
710,1,3,5,2,4
711,1,3,5,2,4
712,1,3,5,2,4
713,1,3,5,2,4
714,1,3,5,2,4
715,1,3,5,2,4
716,1,3,5,2,4
717,1,3,5,2,4
718,1,3,5,2,4
719,1,3,5,2,4
720,1,3,5,2,4
721,1,3,5,2,4
722,1,3,5,2,4
723,1,3,5,2,4
