iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,4,3,2,5,1
2,4,5,2,3,1
3,1,5,2,3,4
4,1,5,2,3,4
5,1,5,2,3,4
6,1,5,2,3,4
7,3,5,2,1,4
8,1,5,2,3,4
9,1,5,4,3,2
10,1,5,2,3,4
11,4,5,2,3,1
12,3,5,2,1,4
13,1,5,2,3,4
14,1,5,4,3,2
15,1,5,2,3,4
16,1,5,4,3,2
17,1,5,4,3,2
18,3,5,4,1,2
19,1,3,4,5,2
20,1,4,5,3,2
21,5,1,4,3,2
22,1,5,4,3,2
23,1,5,4,3,2
24,1,5,4,3,2
25,4,5,1,3,2
26,4,5,1,3,2
27,1,5,4,3,2
28,1,5,3,4,2
29,1,5,2,3,4
30,1,5,4,3,2
31,5,1,4,3,2
32,1,5,3,4,2
33,3,5,4,1,2
34,1,2,4,3,5
35,1,2,4,3,5
36,1,3,4,5,2
37,1,5,4,3,2
38,1,5,4,3,2
39,5,1,4,3,2
40,1,5,3,4,2
41,1,5,4,3,2
42,1,5,4,3,2
43,2,5,4,3,1
44,4,5,1,3,2
45,4,5,1,3,2
46,1,5,4,3,2
47,1,5,4,3,2
48,5,1,4,3,2
49,1,5,4,2,3
50,5,1,4,3,2
51,3,5,4,1,2
52,1,5,4,3,2
53,1,5,4,3,2
54,1,5,4,3,2
55,1,5,4,3,2
56,5,1,4,3,2
57,1,5,4,3,2
58,1,3,4,5,2
59,1,4,5,3,2
60,1,3,4,5,2
61,1,5,4,3,2
62,4,5,1,3,2
63,1,5,4,3,2
64,1,5,4,3,2
65,1,5,4,3,2
66,1,5,2,3,4
67,3,5,4,1,2
68,1,5,3,4,2
69,1,5,4,3,2
70,1,5,2,3,4
71,1,5,4,3,2
72,1,5,4,3,2
73,1,5,4,3,2
74,1,5,4,3,2
75,1,5,4,3,2
76,1,3,4,5,2
77,1,5,4,2,3
78,1,5,4,3,2
79,1,5,2,3,4
80,3,5,4,1,2
81,1,2,4,3,5
82,1,5,2,3,4
83,5,1,4,3,2
84,1,3,4,5,2
85,1,5,4,3,2
86,1,5,4,3,2
87,1,4,5,3,2
88,1,5,4,3,2
89,1,5,3,4,2
90,1,5,4,3,2
91,1,5,3,4,2
92,1,5,4,3,2
93,1,5,4,3,2
94,1,5,4,3,2
95,1,3,4,5,2
96,1,5,4,3,2
97,1,5,4,3,2
98,1,5,4,3,2
99,1,5,4,2,3
100,2,5,4,3,1
101,1,5,4,3,2
102,1,5,3,4,2
103,1,5,4,3,2
104,3,5,4,1,2
105,1,5,4,3,2
106,1,3,4,5,2
107,1,5,4,3,2
108,1,5,4,3,2
109,1,5,3,4,2
110,1,5,4,3,2
111,1,5,4,3,2
112,3,5,4,1,2
113,1,5,4,2,3
114,1,5,2,3,4
115,5,1,4,3,2
116,1,5,4,3,2
117,1,5,3,4,2
118,3,5,4,1,2
119,1,5,4,3,2
120,2,5,4,3,1
121,4,5,1,3,2
122,1,5,4,3,2
123,1,4,5,3,2
124,1,5,2,3,4
125,2,5,4,3,1
126,1,5,4,3,2
127,1,5,4,3,2
128,1,2,4,3,5
129,1,5,2,3,4
130,1,2,4,3,5
131,1,5,4,3,2
132,5,1,4,3,2
133,1,5,4,3,2
134,1,3,4,5,2
135,2,5,4,3,1
136,1,5,4,3,2
137,1,5,4,3,2
138,1,5,4,3,2
139,3,5,4,1,2
140,4,5,1,3,2
141,1,5,2,3,4
142,1,2,4,3,5
143,1,5,3,4,2
144,1,5,4,2,3
145,2,5,4,3,1
146,4,5,1,3,2
147,1,5,4,3,2
148,1,5,3,4,2
149,1,5,4,3,2
150,1,5,2,3,4
151,1,5,4,2,3
152,1,5,4,3,2
153,1,5,4,3,2
154,1,5,4,3,2
155,3,5,4,1,2
156,1,5,4,3,2
157,5,1,4,3,2
158,1,5,4,3,2
159,1,5,2,3,4
160,1,5,4,3,2
161,2,5,4,3,1
162,1,5,4,3,2
163,1,5,4,3,2
164,1,5,4,3,2
165,4,5,1,3,2
166,1,5,2,3,4
