iteration,all_current_accepted_likelihoods
1,-314.702815245914
2,-308.8273093746146
3,-308.66181579349995
4,-308.66181579349995
5,-308.66181579349995
6,-308.5088436420342
7,-308.5088436420342
8,-309.200172384131
9,-309.5155433334369
10,-309.5155433334369
11,-307.93937646921694
12,-306.61471858418224
13,-304.5869878564687
14,-304.4002681031058
15,-304.4002681031058
16,-304.4002681031058
17,-303.65021809398496
18,-303.6995432091655
19,-303.730004330928
20,-303.67525927958
21,-303.67525927958
22,-303.67525927958
23,-303.67525927958
24,-303.67525927958
25,-303.67525927958
26,-303.67525927958
27,-303.859982330501
28,-299.93890516754783
29,-299.93890516754783
30,-299.93890516754783
31,-299.93890516754783
32,-299.93890516754783
33,-299.93890516754783
34,-299.93890516754783
35,-299.93890516754783
36,-299.93890516754783
37,-299.93890516754783
38,-299.93890516754783
39,-299.9120061938963
40,-299.9120061938963
41,-299.77810784528464
42,-299.77810784528464
43,-299.77810784528464
44,-299.77810784528464
45,-299.77810784528464
46,-299.77810784528464
47,-300.52821267189137
48,-301.3265950320907
49,-301.8044884076506
50,-301.8044884076506
51,-301.63677999323374
52,-301.2304098541985
53,-301.2304098541985
54,-301.2304098541985
55,-301.2304098541985
56,-301.2304098541985
57,-301.2304098541985
58,-301.2304098541985
59,-301.2304098541985
60,-301.2304098541985
61,-301.2304098541985
62,-301.2304098541985
63,-301.2304098541985
64,-301.2304098541985
65,-301.2304098541985
66,-301.2304098541985
67,-301.2304098541985
68,-301.2304098541985
69,-301.8810952614553
70,-301.8045400962389
71,-302.35362015674514
72,-301.9174631015194
73,-301.5096619483148
74,-301.5096619483148
75,-301.5096619483148
76,-301.5096619483148
77,-301.5096619483148
78,-301.5096619483148
79,-301.5096619483148
80,-301.5096619483148
81,-301.5096619483148
82,-305.96906387681645
83,-305.96906387681645
84,-306.4665193036596
85,-305.8704604139246
86,-305.8704604139246
87,-305.79148946457804
88,-305.79148946457804
89,-306.21398922966586
90,-306.21398922966586
91,-306.21398922966586
92,-306.21398922966586
93,-306.21398922966586
94,-306.21398922966586
95,-306.58110099283465
96,-306.58110099283465
97,-306.1953439341043
98,-301.56832315870355
99,-301.56832315870355
100,-301.56832315870355
101,-301.56832315870355
102,-301.56832315870355
103,-300.6045346168115
104,-300.6045346168115
105,-300.6045346168115
106,-301.59202883927776
107,-301.30771474035873
108,-301.4064350609962
109,-301.04729288472066
110,-301.04729288472066
111,-301.04729288472066
112,-301.04729288472066
113,-301.1591442967681
114,-301.32833005204617
115,-301.32833005204617
116,-302.140194944418
117,-302.140194944418
118,-302.140194944418
119,-301.9932907824663
120,-301.3776524654233
121,-301.3776524654233
122,-301.3776524654233
123,-301.3776524654233
124,-301.3776524654233
125,-301.3776524654233
126,-301.3776524654233
127,-301.3776524654233
128,-301.3776524654233
129,-301.3776524654233
130,-301.3776524654233
131,-301.557610191633
132,-301.1938187151479
133,-301.1938187151479
134,-301.5925570005117
135,-301.5296628322384
136,-301.5296628322384
137,-301.5296628322384
138,-301.5296628322384
139,-301.5296628322384
140,-301.5296628322384
141,-301.5296628322384
142,-301.5296628322384
143,-301.5296628322384
144,-301.5296628322384
145,-302.03536295382344
146,-302.03536295382344
147,-301.8472793839848
148,-301.67914851574074
149,-301.6744582524528
150,-301.6203356544379
151,-301.6203356544379
152,-301.6203356544379
153,-301.6203356544379
154,-301.6203356544379
155,-301.6203356544379
156,-301.6203356544379
157,-301.6203356544379
158,-301.6203356544379
159,-301.6203356544379
160,-301.6203356544379
161,-300.06973167534693
162,-300.06973167534693
163,-300.49610974576876
164,-300.49610974576876
165,-299.97343939208906
166,-299.97343939208906
167,-299.97343939208906
168,-299.97343939208906
169,-299.97343939208906
170,-299.97343939208906
171,-299.97343939208906
172,-299.97343939208906
173,-299.97343939208906
174,-299.97343939208906
175,-299.97343939208906
176,-299.97343939208906
177,-299.97343939208906
178,-299.97343939208906
179,-299.97343939208906
180,-299.97343939208906
181,-299.97343939208906
182,-299.97343939208906
183,-299.97343939208906
184,-299.97343939208906
185,-299.97343939208906
186,-299.97343939208906
187,-299.97343939208906
188,-299.97343939208906
189,-299.97343939208906
190,-299.97343939208906
191,-299.97343939208906
192,-299.97343939208906
193,-299.97343939208906
194,-299.97343939208906
195,-299.97343939208906
196,-299.97343939208906
197,-299.97343939208906
198,-299.97343939208906
199,-299.97343939208906
200,-299.97343939208906
201,-299.97343939208906
202,-299.97343939208906
203,-299.97343939208906
204,-299.97343939208906
205,-299.97343939208906
206,-299.97343939208906
207,-299.97343939208906
208,-299.97343939208906
209,-299.97343939208906
210,-299.97343939208906
211,-299.97343939208906
212,-299.97343939208906
213,-299.97343939208906
214,-300.312524621039
215,-300.90229264914876
216,-300.7312255750792
217,-300.7312255750792
218,-299.93506066989164
219,-300.19744131571036
220,-299.6258927028032
221,-299.6258927028032
222,-299.6258927028032
223,-299.6258927028032
224,-299.6258927028032
225,-299.80520662915984
226,-300.0479369229724
227,-299.67647144446477
228,-299.67647144446477
